Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Nick Martino,Outreach ID
001Hr000028ZdIK,"County Of Rutland, VT",Vermont,County,Alicia Gopal,60591,,Tier S,2.0,43.6106,-72.9726,ba8ef967-4c3c-4f40-86a0-3cea50b8f312,,,,,,,,,3,2025-08-25,3,,,,6887
001Hr000028ZdIj,"Town Of Lyndon, VT",Vermont,Municipality,Alicia Gopal,5576,,Tier 3,0.75,44.5453,-72.0001,e257f153-cb76-4072-a079-ff14615727bd,,,,,,,,,7,2025-07-18,7,,,,6252
001Hr000028ZdIy,"County Of Bennington, VT",Vermont,County,Alicia Gopal,37312,,Tier 1,1.5,43.0279,-73.135,685d6df6-baef-4e9c-8148-19c3d29190f5,,,,,,,,,9,2025-07-07,9,,,,6876
001Hr000028ZdJs,"Town Of Colchester, VT",Vermont,Municipality,Alicia Gopal,17612,,Tier 2,1.0,44.5516,-73.1637,b070af47-3704-4239-a4cd-825f44c422a8,,,,,,,,,8,2026-05-19,,1,7,,6928
001Hr000028ZdMX,"City Of Barre, VT",Vermont,Municipality,Alicia Gopal,8457,,Tier 3,0.75,44.1967,-72.5014,5bf5a208-d311-4f3a-b8dc-76651d625a5c,,,,,,,,,,,,,,,6551
001Hr000028ZdNV,"Town Of Woodstock, VT",Vermont,Municipality,Alicia Gopal,3034,Implementation,Tier 3,0.75,43.6242,-72.5185,5dc15724-1680-4a20-8e42-ea6c82a7b269,Closed Won,,,Jenny Allison,12/16/2025,12/15/2025,"$18,800",,3,2025-12-15,,,3,,12508
001Hr000028ZdOj,"Town Of Barre, VT",Vermont,Municipality,Alicia Gopal,7908,,Tier 3,0.75,44.1608,-72.4484,1d423541-3819-416b-8ade-4fba907ae32d,,,,,,,,,,,,,,,6494
001Hr000028ZdOx,"Town Of Brattleboro, VT",Vermont,Municipality,Alicia Gopal,12215,Recent Competitor Purchase,Tier 2,1.0,42.8509,-72.5579,40b6c2b3-9062-4fe8-acbb-38df66db20f7,,,,,,,,,2,2026-05-19,,2,,,6755
001Hr000028ZdPK,"City Of South Burlington, VT",Vermont,Municipality,Alicia Gopal,20282,,Tier 2,1.0,44.4654,-73.1772,18f29e2f-419f-404b-a2e8-0d5dd2041b6f,,,,,,,,,3,2026-02-19,1,2,,,6988
001Hr000028ZdPy,"Town Of Swanton, VT",Vermont,Municipality,Alicia Gopal,6791,,Tier 3,0.75,44.9182,-73.1245,26e158b7-8551-48ef-b845-c201352ebc7b,,,,,,,,,3,2025-06-10,3,,,,6401
001Hr000028ZdQ9,"Rutland County, VT",Vermont,County,Alicia Gopal,60198,,Tier S,2.0,43.6449,-72.9933,ba8ef967-4c3c-4f40-86a0-3cea50b8f312,,,,,,,,,,,,,,,11921
001Hr000028ZdRt,"Town Of Shelburne, VT",Vermont,Municipality,Alicia Gopal,7803,Open Opportunity,Tier 3,0.75,44.3807,-73.2276,975252ef-b176-4f4e-922c-bcd689f16ec8,Open,Initial Interest,Top of Funnel,Alicia Gopal,,1/14/2026,,Yes,19,2026-05-18,,19,,,6481
001Hr000028ZdSA,"County Of Addison, VT",Vermont,County,Alicia Gopal,37260,,Tier 1,1.5,44.089,-73.3023,c01f8de0-79ef-4277-b7c1-90d60bbb10a2,,,,,,,,,,,,,,,6588
001Hr000028ZdVR,"Town Of Hartford, VT",Vermont,Municipality,Alicia Gopal,10772,Open Opportunity,Tier 2,1.0,43.6637,-72.3697,96443c27-493f-41df-a229-0b69653e9b1a,Open,Initial Interest,Top of Funnel,Quinzel Perry,,2/5/2025,,,1,2025-06-03,1,,,,6673
001Hr000028Zdcd,"Washington County, VT",Vermont,County,Alicia Gopal,59844,,Tier S,2.0,44.1987,-72.6973,fe27c87b-0657-4b58-b5e6-c5669a693be6,,,,,,,,,,,,,,,11923
001cv00000AuWQK,"Town Of Fairfield, VT",Vermont,Municipality,Alicia Gopal,2042,,Tier 3,0.75,44.802,-72.9457,451efd60-68c5-4911-ad55-91125329095d,,,,,,,,,,,,,,,12987
001cv00000AuWXe,"Town Of Westford, VT",Vermont,Municipality,Alicia Gopal,2057,Nurture,Tier 3,0.75,44.5983,-72.9977,a68b74db-d88f-49af-bfae-5eb1edb0c33e,Closed Lost,,,Andy Blakely,9/16/2025,9/12/2025,,,,,,,,,13263
001cv00000AuWZ8,"Town Of Monkton, VT",Vermont,Municipality,Alicia Gopal,2087,,Tier 3,0.75,44.2201,-73.1254,ad71b551-1c85-4373-9d36-6bfe28a90ac5,,,,,,,,,,,,,,,13487
001cv00000AuWaw,"Town Of Grand Isle, VT",Vermont,Municipality,Alicia Gopal,2120,,Tier 3,0.75,44.7225,-73.2924,c9b04d2a-6305-434c-af8c-7f8c408262c3,,,,,,,,,,,,,,,13053
001cv00000AuWb9,"Town Of Wallingford, VT",Vermont,Municipality,Alicia Gopal,2124,,Tier 3,0.75,43.4717,-72.9774,f303af39-6f79-4c58-87ab-f95106357fc5,,,,,,,,,,,,,,,13045
001cv00000AuWbl,"Town Of Dorset, VT",Vermont,Municipality,Alicia Gopal,2137,,Tier 3,0.75,43.2548,-73.0988,a358643c-c5e9-4df3-879f-a1cfce974aed,,,,,,,,,1,2026-01-08,,,1,,13112
001cv00000AuWc0,"Town Of Alburgh, VT",Vermont,Municipality,Alicia Gopal,2141,,Tier 3,0.75,44.9749,-73.3011,ac54041c-00db-4601-8e45-741f91b86114,,,,,,,,,,,,,,,13101
001cv00000AuWcC,"Town Of Sheldon, VT",Vermont,Municipality,Alicia Gopal,2144,,Tier 3,0.75,44.8817,-72.9429,f8c4df7f-1b52-4755-abab-62b0bd132d78,,,,,,,,,,,,,,,13151
001cv00000AuWcQ,"Town Of Guilford, VT",Vermont,Municipality,Alicia Gopal,2148,,Tier 3,0.75,42.817,-72.5755,cce3ccaa-77bc-43a1-b9cd-a0133a67bef2,,,,,,,,,,,,,,,13253
001cv00000AuWpp,"Town Of Ludlow, VT",Vermont,Municipality,Alicia Gopal,2186,,Tier 3,0.75,43.3961,-72.701,2f265bb0-47a8-4620-8b39-9a394877189c,,,,,,,,,,,,,,,13529
001cv00000AuWqd,"Town Of West Rutland, VT",Vermont,Municipality,Alicia Gopal,2202,,Tier 3,0.75,43.5931,-73.0451,2ce0c770-a2e2-4a34-8c16-5c4148a44599,,,,,,,,,,,,,,,13551
001cv00000AuWqu,"Town Of Vernon, VT",Vermont,Municipality,Alicia Gopal,2209,,Tier 3,0.75,42.762,-72.5134,20801066-ca7f-4c01-a553-ad6bf915bc12,,,,,,,,,,,,,,,13567
001cv00000AuWqx,"Village Of Morrisville, VT",Vermont,Municipality,Alicia Gopal,2210,,Tier 3,0.75,44.5617,-72.5984,9e65efe7-4375-465c-8689-89c103c944b4,,,,,,,,,,,,,,,13647
001cv00000AuX7a,"Town Of Wilmington, VT",Vermont,Municipality,Alicia Gopal,2291,,Tier 3,0.75,42.8684,-72.8714,84d7c71e-e7a1-4a0b-8ff7-4c2d88a25c56,,,,,,,,,,,,,,,13845
001cv00000AuX8a,"Town Of Richford, VT",Vermont,Municipality,Alicia Gopal,2310,,Tier 3,0.75,44.997,-72.6713,dffd9f45-0336-4424-ae0d-7a91f4b98d10,,,,,,,,,,,,,,,13773
001cv00000AuX9I,"Town Of Newbury, VT",Vermont,Municipality,Alicia Gopal,2329,,Tier 3,0.75,44.1283,-72.1342,1ac15f7e-7632-4255-8991-60cc7982a600,,,,,,,,,,,,,,,13931
001cv00000AuX9p,"Town Of Danville, VT",Vermont,Municipality,Alicia Gopal,2339,,Tier 3,0.75,44.4115,-72.1401,cac0df79-2a40-42af-966d-661a318591e2,,,,,,,,,,,,,,,13870
001cv00000AuXEp,"Town Of Arlington, VT",Vermont,Municipality,Alicia Gopal,2453,,Tier 3,0.75,43.0748,-73.154,2e0f0488-9009-41fb-81d4-827b5c7a37ac,,,,,,,,,,,,,,,13985
001cv00000AuXUW,"City Of Vergennes, VT",Vermont,Municipality,Alicia Gopal,2559,,Tier 3,0.75,44.1673,-73.254,eaef8ef0-7c9c-4cc4-82da-6aa98c98ffc2,,,,,,,,,,,,,,,14327
001cv00000AuXUZ,"Town Of Putney, VT",Vermont,Municipality,Alicia Gopal,2560,,Tier 3,0.75,42.9753,-72.5217,30869983-ae61-438a-8a95-5f72d1b5bd90,,,,,,,,,,,,,,,14337
001cv00000AuXV6,"Town Of East Montpelier, VT",Vermont,Municipality,Alicia Gopal,2573,,Tier 3,0.75,44.2712,-72.487,8aa41400-9a8b-47a8-860c-46349787bb62,,,,,,,,,,,,,,,14314
001cv00000AuXbP,"Town Of Weathersfield, VT",Vermont,Municipality,Alicia Gopal,2861,,Tier 3,0.75,43.4033,-72.4135,81ef5511-e84a-47ff-a3e4-067ec6912406,,,,,,,,,,,,,,,14390
001cv00000AuXfW,"Town Of Fair Haven, VT",Vermont,Municipality,Alicia Gopal,2719,,Tier 3,0.75,43.5948,-73.2657,7567ea45-1107-4789-b456-266ee4de07a3,,,,,,,,,,,,,,,14429
001cv00000AuXhE,"Town Of Royalton, VT",Vermont,Municipality,Alicia Gopal,2770,,Tier 3,0.75,43.8177,-72.5427,94c0d9a2-38ac-4dc0-8996-4c174f082f95,,,,,,,,,,,,,,,14619
001cv00000AuXii,"Town Of Thetford, VT",Vermont,Municipality,Alicia Gopal,2799,Nurture,Tier 3,0.75,43.8251,-72.2435,3942e30e-62d5-4034-a789-201b2aaca806,Closed Lost,,,Andy Blakely,8/28/2025,8/21/2025,,,,,,,,,14551
001cv00000AuXit,"Town Of Bradford, VT",Vermont,Municipality,Alicia Gopal,2804,,Tier 3,0.75,43.9973,-72.126,25eb4ae2-9122-449f-96a4-b9382df97303,,,,,,,,,2,2026-05-19,,2,,,14737
001cv00000AuXiw,"Town Of Enosburgh, VT",Vermont,Municipality,Alicia Gopal,2806,,Tier 3,0.75,44.907,-72.8065,c9ae8cf5-2264-4cf5-95b7-4406fe54b6fd,,,,,,,,,,,,,,,14632
001cv00000AuXj9,"Village Of Bellows Falls, VT",Vermont,Municipality,Alicia Gopal,2814,,Tier 3,0.75,43.134,-72.4448,4b84a6e1-266c-4022-af92-0fd3167fe2ec,,,,,,,,,,,,,,,14659
001cv00000AuXkL,"Town Of Barton, VT",Vermont,Municipality,Alicia Gopal,2848,,Tier 3,0.75,44.7481,-72.1763,17e51000-c2b2-4e50-a91b-5a0afe349ddd,,,,,,,,,,,,,,,14698
001cv00000AuXlF,"Town Of Pittsford, VT",Vermont,Municipality,Alicia Gopal,2868,,Tier 3,0.75,43.7067,-73.0282,24ec3fbd-bdb3-4d51-9246-2b6b11f8d806,,,,,,,,,1,2025-12-03,,1,,,14768
001cv00000AuXmg,"Town Of Berlin, VT",Vermont,Municipality,Alicia Gopal,2912,,Tier 3,0.75,44.2153,-72.5862,4fa1f8fa-4d7d-4780-973a-2d341b2f4832,,,,,,,,,,,,,,,14867
001cv00000AuXnZ,"Town Of Hardwick, VT",Vermont,Municipality,Alicia Gopal,2951,,Tier 3,0.75,44.5055,-72.3648,a139085e-674f-47e2-ba05-961010b6945c,,,,,,,,,,,,,,,14881
001cv00000AuYCf,"Town Of Underhill, VT",Vermont,Municipality,Alicia Gopal,3138,,Tier 3,0.75,44.5259,-72.9451,3bebd0a7-4787-4786-a752-95d3a12964f6,,,,,,,,,,,,,,,15230
001cv00000AuYFG,"Town Of Poultney, VT",Vermont,Municipality,Alicia Gopal,3013,,Tier 3,0.75,43.517,-73.2362,c6d054e4-8422-4ddb-bed1-800306f76b8b,,,,,,,,,,,,,,,15064
001cv00000AuYFQ,"Town Of Hyde Park, VT",Vermont,Municipality,Alicia Gopal,3019,,Tier 3,0.75,44.5973,-72.6163,98176cc0-1b82-47ff-aa25-fba81cdc8f1a,,,,,,,,,,,,,,,14967
001cv00000AuYFf,"Town Of Chester, VT",Vermont,Municipality,Alicia Gopal,3027,,Tier 3,0.75,43.2628,-72.5951,c2040d95-2d15-4e00-8766-7086d40d3b9c,,,,,,,,,,,,,,,15075
001cv00000AuYGN,"Town Of Westminster, VT",Vermont,Municipality,Alicia Gopal,3050,,Tier 3,0.75,43.0678,-72.4587,94e51592-4bff-4eb0-a3ef-e600709c6140,,,,,,,,,,,,,,,15094
001cv00000AuYMG,"Town Of Hartland, VT",Vermont,Municipality,Alicia Gopal,3477,,Tier 3,0.75,43.5406,-72.3989,7d98f7a5-e17d-429e-9480-dfc65a6dc6c3,,,,,,,,,,,,,,,16008
001cv00000AuYN7,"Town Of Highgate, VT",Vermont,Municipality,Alicia Gopal,3508,,Tier 3,0.75,44.9565,-73.0511,31e25a4e-1f82-469a-93e0-d1699bd14231,,,,,,,,,,,,,,,15388
001cv00000AuYPW,"Town Of Pownal, VT",Vermont,Municipality,Alicia Gopal,3259,,Tier 3,0.75,42.7923,-73.2269,a2f7b858-2bc7-46da-b0fa-6f2341464f68,,,,,,,,,,,,,,,15378
001cv00000AuYRI,"Town Of Johnson, VT",Vermont,Municipality,Alicia Gopal,3546,,Tier 3,0.75,44.6362,-72.6847,b20d9145-1bd6-45e4-9343-f3feb6d9617b,,,,,,,,,,,,,,,15417
001cv00000AuYRO,"Town Of Williamstown, VT",Vermont,Municipality,Alicia Gopal,3549,,Tier 3,0.75,44.1217,-72.5415,41367807-4815-42e0-b31f-caf7868cddcc,,,,,,,,,,,,,,,15565
001cv00000AuYRq,"Town Of Windsor, VT",Vermont,Municipality,Alicia Gopal,3572,,Tier 3,0.75,43.48,-72.3866,373eb518-e57d-42b4-a2f8-50fd0752d259,,,,,,,,,,,,,,,15584
001cv00000AuYSR,"Town Of Shaftsbury, VT",Vermont,Municipality,Alicia Gopal,3602,,Tier 3,0.75,43.0037,-73.1955,26981c7a-d2c1-4097-802c-9085de3559c8,,,,,,,,,,,,,,,16077
001cv00000AuYTT,"Town Of Norwich, VT",Vermont,Municipality,Alicia Gopal,3646,,Tier 3,0.75,43.7153,-72.3079,68b11dc2-f555-4a3a-9414-958f6bd32667,,,,,,,,,4,2026-01-22,,,4,,15980
001cv00000AuYg0,"Town Of Cambridge, VT",Vermont,Municipality,Alicia Gopal,3815,,Tier 3,0.75,44.6448,-72.8763,c7a5824a-9e69-4a89-9e9f-0037b0889a36,,,,,,,,,,,,,,,16100
001cv00000AuYhc,"Town Of Charlotte, VT",Vermont,Municipality,Alicia Gopal,3893,,Tier 3,0.75,44.311,-73.2503,4c3a0616-3ddc-416e-9ce7-919b4ba0dff1,,,,,,,,,2,2026-01-14,,,2,,16070
001cv00000AuYhz,"Town Of Rutland, VT",Vermont,Municipality,Alicia Gopal,3913,,Tier 3,0.75,43.5871,-72.9684,77515c4a-682f-4bf4-82b6-5d7b155257b6,,,,,,,,,,,,,,,16145
001cv00000AuYnv,"Town Of Brandon, VT",Vermont,Municipality,Alicia Gopal,4106,,Tier 3,0.75,43.7997,-73.0892,9198a7c3-c3ef-4ba9-84a1-5e545592656b,,,,,,,,,,,,,,,16681
001cv00000AuYoK,"Town Of Richmond, VT",Vermont,Municipality,Alicia Gopal,4130,,Tier 3,0.75,44.4053,-72.9924,59c7dc65-cdeb-4ddf-9911-bd3a7cafdc3c,,,,,,,,,3,2026-01-22,,,3,,16742
001cv00000AuYsZ,"Town Of Bristol, VT",Vermont,Municipality,Alicia Gopal,3752,,Tier 3,0.75,44.1332,-73.0787,f0bb5f35-3bd2-4538-886e-a4e2d2c20f12,,,,,,,,,,,,,,,16498
001cv00000AuYyF,"City Of Newport, VT",Vermont,Municipality,Alicia Gopal,4440,,Tier 3,0.75,44.9364,-72.2051,1c3e599c-59f9-4cc4-a556-56c17a85e6c1,,,,,,,,,,,,,,,20009
001cv00000AuYyw,"Town Of Manchester, VT",Vermont,Municipality,Alicia Gopal,4488,,Tier 3,0.75,43.1635,-73.0721,3012a84f-c58b-4332-82f8-d3d16f75a96c,,,,,,,,,3,2026-01-22,,,3,,20037
001cv00000AuZ06,"Town Of Derby, VT",Vermont,Municipality,Alicia Gopal,4561,,Tier 3,0.75,44.9544,-72.1304,e2fb158a-2031-4b0f-9776-09bcce5a35c6,,,,,,,,,,,,,,,20119
001cv00000AuZAq,"County Of Essex, VT",Vermont,County,Alicia Gopal,5925,,Tier 3,0.75,44.5102,-73.0835,a75b05bd-695b-4640-bbeb-be7a5ccc9628,,,,,,,,,,,,,,,17044
001cv00000AuZCv,"Town Of St Albans, VT",Vermont,Municipality,Alicia Gopal,6948,,Tier 3,0.75,44.8164,-73.1363,b4a4645f-7152-4ae6-928f-718502399903,,,,,,,,,1,2025-09-10,1,,,,17171
001cv00000AuZLj,"Town Of Randolph, VT",Vermont,Municipality,Alicia Gopal,4799,,Tier 3,0.75,43.9247,-72.6657,f9109f89-18a9-49bb-8f78-0f2d841f874b,,,,,,,,,,,,,,,17361
001cv00000AuZMy,"Town Of Rockingham, VT",Vermont,Municipality,Alicia Gopal,4873,,Tier 3,0.75,43.1876,-72.4889,05c3f4b8-8b2d-4edd-90dc-bdcc5ddbcdf5,,,,,,,,,,,,,,,17341
001cv00000AuZN8,"Town Of Georgia, VT",Vermont,Municipality,Alicia Gopal,4883,,Tier 3,0.75,44.7292,-73.1167,ed471f0b-786a-4ea2-8dfe-b75e5502db31,,,,,,,,,,,,,,,17484
001cv00000AuZR7,"County Of Grand Isle, VT",Vermont,County,Alicia Gopal,7421,,Tier 3,0.75,44.7225,-73.2924,eee4633d-bb98-429d-b2c3-7df3cc1fecc2,,,,,,,,,,,,,,,17655
001cv00000AuZTT,"Town Of Fairfax, VT",Vermont,Municipality,Alicia Gopal,5140,,Tier 3,0.75,44.6655,-73.0103,98a2932f-69fe-49bf-bb62-c103f8ae0da0,,,,,,,,,9,2025-10-22,9,,,,17591
001cv00000Aua15,"County Of Orange, VT",Vermont,County,Alicia Gopal,29541,,Tier 1,1.5,44.1484,-72.4031,61867600-bad6-4b2e-9243-d46e2a275d6d,,,,,,,,,,,,,,,18869
001cv00000AuaJl,"County Of Windham, VT",Vermont,County,Alicia Gopal,46090,,Tier 1,1.5,43.1734,-72.7234,3e6dee36-e1ee-44e6-b26c-bb20a4d6d465,,,,,,,,,8,2025-10-22,8,,,,19494
001cv00000AuaKq,"County Of Franklin, VT",Vermont,County,Alicia Gopal,50325,,Tier S,2.0,44.9813,-72.9166,3feb4e2e-d7a6-497e-9e6d-bdc020b25079,,,,,,,,,,,,,,,19434
001cv00000AuaNt,"County Of Windsor, VT",Vermont,County,Alicia Gopal,58196,,Tier S,2.0,43.48,-72.3866,6d4941f0-549a-40ab-86f0-0e67f40ce475,,,,,,,,,5,2025-09-25,5,,,,19797
001cv00000B21q7,"Town Of Clarendon, VT",Vermont,Municipality,Alicia Gopal,2392,,Tier 3,0.75,43.5649,-72.9661,77dec0db-1aa9-46dc-ad67-2610c062db15,,,,,,,,,,,,,,,20186
001cv00000B21x7,"Town Of Ferrisburgh, VT",Vermont,Municipality,Alicia Gopal,2639,,Tier 3,0.75,44.2056,-73.2462,42abe198-d9dd-4c34-b1df-9425e55c2cd8,,,,,,,,,,,,,,,20426
001cv00000B220K,"Town Of Castleton, VT",Vermont,Municipality,Alicia Gopal,4594,,Tier 3,0.75,43.6084,-73.2084,16c57353-2737-4633-b120-beb8dde2458e,,,,,,,,,,,,,,,20521
001cv00000B221l,"Town Of Hinesburg, VT",Vermont,Municipality,Alicia Gopal,4691,,Tier 3,0.75,44.329,-73.1102,8264943f-a309-48c8-b176-4e1639550226,,,,,,,,,6,2025-11-12,,,6,,20620
001cv00000CLwx8,"Town Of St Johnsbury, VT",Vermont,Municipality,Alicia Gopal,7380,Nurture,Tier 3,0.75,44.4193,-72.0151,6667ac23-16c1-42db-8707-2baf9bb70320,Closed Lost,,,Quinzel Perry,5/14/2025,5/6/2025,"$9,000",,,,,,,,20695
001cv00000CLwx9,"City Of Montpelier, VT",Vermont,Municipality,Alicia Gopal,8002,,Tier 3,0.75,44.2601,-72.5754,53ff8749-f287-4ce7-b6d3-10c9bd2a3929,,,,,,,,,,,,,,,20679
001cv00000CLwxA,"Town Of Middlebury, VT",Vermont,Municipality,Alicia Gopal,9064,,Tier 3,0.75,44.0151,-73.167,890b8da3-a628-4123-ab6b-99fe8c64110c,,,,,,,,,7,2026-05-19,1,2,4,,20681
001cv00000CLwxB,"Town Of Bennington, VT",Vermont,Municipality,Alicia Gopal,15303,,Tier 2,1.0,42.8783,-73.1971,f9e89453-239c-4cf9-a7e0-b11bb35f4558,,,,,,,,,1,2026-05-19,,1,,,20721
001cv00000CLwxC,"City Of Rutland, VT",Vermont,Municipality,Alicia Gopal,15851,Open Opportunity,Tier 2,1.0,43.6106,-72.9726,d0cf4acb-e5ee-41d3-ac40-21918ef057e7,Open,Sales Qualified,Mid Funnel,Alicia Gopal,2/26/2026,1/21/2026,,,24,2026-02-17,,11,13,,20715
001cv00000NVXVd,"Town of Killington, VT",Vermont,Municipality,Alicia Gopal,1407,Open Opportunity,Tier 3,0.75,43.6776,-72.7798,4035915c-5bdd-40d4-a8df-8d4650bb9f5a,Open,Meeting Booked,Top of Funnel,Nick Martino,12/11/2025,11/6/2025,,,38,2026-05-13,,,,38,20900
001cv00000bBVeS,Town of Peacham,Vermont,Municipality,Asher Rosenfeld,716,,Tier 3,0.75,44.3286,-72.1704,7846701c-7ed8-4703-bbfe-26711adbb439,,,,,,,,,,,,,,,21234
001cv00000bBVw2,Town of Winhall,Vermont,Municipality,Asher Rosenfeld,1164,,Tier 3,0.75,43.1558,-72.9133,a6a46d8c-89b5-461b-9735-972cfd4b08c9,,,,,,,,,,,,,,,21541
001cv00000bBWBs,Town of Marshfield,Vermont,Municipality,Asher Rosenfeld,1563,,Tier 3,0.75,44.3508,-72.354,18e02199-43d0-45a9-9970-30d452e09605,,,,,,,,,,,,,,,22000
001cv00000bBWDY,Town of Warren,Vermont,Municipality,Asher Rosenfeld,1974,,Tier 3,0.75,44.112,-72.8559,9a71ee48-cff6-4f5f-a73b-22c409f397a1,,,,,,,,,,,,,,,22031
001cv00000bBWJe,Town of Dover,Vermont,Municipality,Asher Rosenfeld,1835,,Tier 3,0.75,42.964,-72.8898,62ae2854-83a4-40c1-9342-324f03c5df96,,,,,,,,,,,,,,,21786
001cv00000bBWKn,Town of Bethel,Vermont,Municipality,Asher Rosenfeld,1916,,Tier 3,0.75,43.8333,-72.634,befdc0c0-6248-4611-85b1-c6f6d3b06c9d,,,,,,,,,,,,,,,21866
001cv00000bBWKs,Town of Londonderry,Vermont,Municipality,Asher Rosenfeld,1923,,Tier 3,0.75,43.2265,-72.8065,2aa91cde-161f-4199-a32c-cc10bba355fe,,,,,,,,,,,,,,,21879
001cv00000bBWRR,Village of Swanton,Vermont,Municipality,Asher Rosenfeld,2382,,Tier 3,0.75,44.9182,-73.1245,5b1a8292-fa9e-40f4-abdc-671b32b49aa9,,,,,,,,,,,,,,,22243
001cv00000bBWRU,Town of Newport,Vermont,Municipality,Asher Rosenfeld,2421,,Tier 3,0.75,44.9507,-72.3067,6294fd1a-bcc3-4fa7-b80f-f2247224ad38,,,,,,,,,,,,,,,22254
