Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Jenny Allison,Calls - Alicia Gopal,Calls - Quinzel Perry,Calls - Leila Assil,Calls - Joe del Rosario,Calls - Nick Martino,Calls - Shane Lieberman,Outreach ID
001Hr000028ZcaA,"Town Of Henniker, NH",New Hampshire,Municipality,Mihir Shah,5827,,Tier 3,0.75,43.1797,-71.8223,e729388a-dffd-4cef-b0f6-b2eacf811878,,,,,,,,,,,,,,,,,,3647
001Hr000028ZcaC,"Town Of Newport, NH",New Hampshire,Municipality,Mihir Shah,6352,,Tier 3,0.75,43.3649,-72.1736,9c6dd363-4762-40a5-8ecb-3f7b65d1e84a,,,,,,,,,2,2025-06-11,,,2,,,,,3837
001Hr000028ZcdN,"Town Of Weare, NH",New Hampshire,Municipality,Mihir Shah,9156,,Tier 3,0.75,43.0948,-71.7306,6d62be08-738b-4f48-b148-6e9d361801fe,,,,,,,,,14,2025-11-07,1,,13,,,,,4415
001Hr000028Zcea,"Town Of Stratham, NH",New Hampshire,Municipality,Mihir Shah,7783,Nurture,Tier 3,0.75,43.0229,-70.9164,d88742ed-2e01-4b9d-8c05-f38fdfe04d38,Closed Lost,,,Nick Martino,12/22/2025,12/12/2025,,,12,2026-01-20,,,,,,12,,4129
001Hr000028ZcfC,"Town Of Farmington, NH",New Hampshire,Municipality,Mihir Shah,6803,,Tier 3,0.75,43.3877,-71.0627,dd2bd700-a877-4d8a-ae32-e5c58853e864,,,,,,,,,5,2025-12-02,4,,1,,,,,3931
001Hr000028ZchC,"Town Of Brookline, NH",New Hampshire,Municipality,Mihir Shah,5715,,Tier 3,0.75,42.7348,-71.6581,29be1f43-bd50-40b5-b004-91b9106279db,,,,,,,,,,,,,,,,,,3622
001Hr000028ZchT,"Town Of Newmarket, NH",New Hampshire,Municipality,Mihir Shah,9435,Nurture,Tier 3,0.75,43.0776,-70.9373,a81b2348-e2cf-4c9a-bf4b-276b44a7d0fc,Closed Lost,,,Quinzel Perry,6/5/2025,6/2/2025,,,6,2025-06-04,,,6,,,,,4471
001Hr000028Zchi,"Town Of Sandown, NH",New Hampshire,Municipality,Mihir Shah,6574,Open Opportunity,Tier 3,0.75,42.9287,-71.187,1870a030-f22b-47b5-9645-ffe8a3675432,Open,Initial Interest,Top of Funnel,Quinzel Perry,6/30/2025,6/18/2025,,,8,2025-09-11,,,8,,,,,3876
001Hr000028Zchx,"Town Of Littleton, NH",New Hampshire,Municipality,Mihir Shah,6043,,Tier 3,0.75,44.3061,-71.7703,ffa7cda4-f73c-4ee3-8b4c-296eea152812,,,,,,,,,,,,,,,,,,3753
001Hr000028ZciE,"Town Of Bedford, NH",New Hampshire,Municipality,Mihir Shah,23598,Nurture,Tier 2,1.0,42.9463,-71.5132,9e9969f0-68b8-4260-958a-a5f7b244de99,Closed Lost,,,Shane Lieberman,3/21/2024,1/5/2025,"$63,000",,4,2025-11-19,4,,,,,,,5574
001Hr000028ZcjJ,"Town Of Epping, NH",New Hampshire,Municipality,Mihir Shah,7223,,Tier 3,0.75,43.0535,-71.0735,21378577-5e2f-4b8e-afaa-5db783985adc,,,,,,,,,,,,,,,,,,3985
001Hr000028ZckM,"Town Of Atkinson, NH",New Hampshire,Municipality,Mihir Shah,7231,,Tier 3,0.75,42.8384,-71.147,20df6c16-3160-4abf-b6cc-61e8ef65f825,,,,,,,,,1,2026-01-12,1,,,,,,,3990
001Hr000028Zckb,"Town Of Bow, NH",New Hampshire,Municipality,Mihir Shah,8383,,Tier 3,0.75,43.132,-71.5492,8ca43ffd-d927-4797-bde2-f98357d1669e,,,,,,,,,4,2026-04-08,4,,,,,,,4252
001Hr000028Zckk,"Town Of Peterborough, NH",New Hampshire,Municipality,Mihir Shah,6440,Open Opportunity,Tier 3,0.75,42.8706,-71.9517,148ac0cf-486c-422a-8285-4280dea1c6fc,Open,Proposal,Mid Funnel,Alicia Gopal,4/6/2026,3/30/2026,"$10,000",,9,2026-04-03,,2,,7,,,,3857
001Hr000028Zcld,"Town Of Plymouth, NH",New Hampshire,Municipality,Mihir Shah,6626,,Tier 3,0.75,43.757,-71.6878,8a5828de-c17d-45ad-b709-b46a10eee8a4,,,,,,,,,,,,,,,,,,3908
001Hr000028Zcmn,"Town Of Hanover, NH",New Hampshire,Municipality,Mihir Shah,11721,,Tier 2,1.0,43.7022,-72.2896,1ec11f69-d9f7-4da2-98db-162c12f29a08,,,,,,,,,2,2026-01-12,1,,,,1,,,4766
001Hr000028Zcmt,"City Of Keene, NH",New Hampshire,Municipality,Mihir Shah,23106,Recent Competitor Purchase,Tier 2,1.0,42.9337,-72.2781,2a84a712-a94c-4bb7-8764-95b35196010b,Closed Lost,,,Quinzel Perry,11/8/2024,1/5/2025,,,6,2025-12-11,5,,,,1,,,5556
001Hr000028Zcnj,"Town Of Swanzey, NH",New Hampshire,Municipality,Mihir Shah,7463,Open Opportunity,Tier 3,0.75,42.8741,-72.2795,e3024ac8-2a53-4ce6-91c9-c89a1f952fcd,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,3,2025-07-18,,,3,,,,,4044
001Hr000028Zco4,"Town Of Seabrook, NH",New Hampshire,Municipality,Mihir Shah,8437,,Tier 3,0.75,42.891,-70.8655,363a3a72-be77-4038-a085-c6eae87b6e26,,,,,,,,,2,2025-06-10,,,2,,,,,4299
001Hr000028Zcoi,"Town Of Hampstead, NH",New Hampshire,Municipality,Mihir Shah,9045,,Tier 3,0.75,42.8745,-71.1811,b10f5604-d667-41e3-bc26-87a731de441c,,,,,,,,,11,2025-07-30,,,11,,,,,4387
001Hr000028Zcop,"Town Of Conway, NH",New Hampshire,Municipality,Mihir Shah,10079,,Tier 2,1.0,43.9788,-71.1185,fa664901-c229-4f28-85ae-04f212d4b9bc,,,,,,,,,,,,,,,,,,4545
001Hr000028Zcou,"Town Of Raymond, NH",New Hampshire,Municipality,Mihir Shah,10866,Open Opportunity,Tier 2,1.0,43.0362,-71.1834,30b02e6b-3e4e-4a4b-a74e-150ce17e1d9f,Open,Proposal,Mid Funnel,Joe del Rosario,10/22/2025,10/16/2025,"$29,000",,3,2025-10-16,,,,,3,,,4660
001Hr000028Zcpa,"Town Of Plaistow, NH",New Hampshire,Municipality,Mihir Shah,7857,,Tier 3,0.75,42.8365,-71.0948,d9f6977f-55c2-45a9-8de8-8f3d1382faa1,,,,,,,,,,,,,,,,,,4165
001Hr000028ZcqK,"Town Of Barrington, NH",New Hampshire,Municipality,Mihir Shah,9444,Nurture,Tier 3,0.75,43.2229,-71.047,d5f18229-85cd-4dc4-b91a-5128b80de28f,Closed Lost,,,Quinzel Perry,1/29/2025,1/30/2025,"$12,000",,,,,,,,,,,4452
001Hr000028ZcrP,"City Of Claremont, NH",New Hampshire,Municipality,Mihir Shah,13039,,Tier 2,1.0,43.3729,-72.3379,c3025ab7-1093-4057-948d-7bac1d282f12,,,,,,,,,,,,,,,,,,4918
001Hr000028ZcrU,"Town Of Durham, NH",New Hampshire,Municipality,Mihir Shah,15539,,Tier 2,1.0,43.134,-70.9264,6a023fa7-4aa8-4de4-918c-dc0ecb61f44e,,,,,,,,,10,2025-12-11,10,,,,,,,5136
001Hr000028ZcrV,"Town Of Windham, NH",New Hampshire,Municipality,Mihir Shah,15938,Nurture,Tier 2,1.0,42.8072,-71.2644,98efcb83-14f4-4dfa-9837-8c854a8ea8dd,Closed Lost,,,Troy LeCaire,,1/5/2025,,,11,2025-11-25,11,,,,,,,5147
001Hr000028Zcrq,"Town Of Litchfield, NH",New Hampshire,Municipality,Mihir Shah,8522,Nurture,Tier 3,0.75,42.8443,-71.4798,15fa2a59-5ee5-4e29-bfe9-7dd8086f8c6d,Closed Lost,,,Quinzel Perry,5/6/2025,2/14/2025,,,1,2025-09-11,,,1,,,,,4306
001Hr000028ZcsR,"Town Of Hooksett, NH",New Hampshire,Municipality,Mihir Shah,15127,Nurture,Tier 2,1.0,43.0463,-71.4365,ca763858-2352-4e0b-a98d-0700f47aa434,Closed Lost,,,Joe del Rosario,10/28/2024,1/5/2025,,,2,2025-10-09,,,,,2,,,5077
001Hr000028Zcsk,"Town Of Hampton, NH",New Hampshire,Municipality,Mihir Shah,16333,,Tier 2,1.0,42.9376,-70.8389,87e53bab-cf68-4c3a-8ac8-c51ab0e1cd82,,,,,,,,,11,2025-12-16,11,,,,,,,5188
001Hr000028Zct6,"City Of Rochester, NH",New Hampshire,Municipality,Mihir Shah,32869,,Tier 1,1.5,43.3045,-70.9756,b9bd6292-3d89-43d6-82b7-8cffab868646,,,,,,,,,23,2026-05-18,,23,,,,,,5905
001Hr000028Zcve,"Town Of Amherst, NH",New Hampshire,Municipality,Mihir Shah,11822,,Tier 2,1.0,42.8633,-71.6272,74d09a28-7802-4375-b9d3-e36ad8fc8569,,,,,,,,,9,2026-02-02,4,,,,5,,,4786
001Hr000028ZcwI,"Town Of Exeter, NH",New Hampshire,Municipality,Mihir Shah,16114,,Tier 2,1.0,42.9814,-70.9462,a34de6a4-0073-4700-8e7f-bc7ffc808eda,,,,,,,,,2,2025-10-16,,,,,2,,,5157
001Hr000028Zd0i,"City Of Somersworth, NH",New Hampshire,Municipality,Mihir Shah,12066,,Tier 2,1.0,43.2626,-70.8648,69b250c6-4bd7-4070-ae76-0f6658ebafff,,,,,,,,,1,2025-11-12,1,,,,,,,4816
001Hr000028Zd0p,"City Of Lebanon, NH",New Hampshire,Municipality,Mihir Shah,15389,,Tier 2,1.0,43.6423,-72.2518,4e460f71-53d2-4444-8166-623e0a2d40c9,,,,,,,,,11,2025-12-01,11,,,,,,,5031
001Hr000028Zd4B,"Town Of Pelham, NH",New Hampshire,Municipality,Mihir Shah,14309,,Tier 2,1.0,42.7319,-71.3244,5387c888-e088-46d7-bb5e-a04ae96ab803,,,,,,,,,6,2025-12-16,6,,,,,,,5018
001Hr000028Zd4n,"Town Of Goffstown, NH",New Hampshire,Municipality,Mihir Shah,18361,,Tier 2,1.0,43.0204,-71.6002,2b1a25ac-403e-4bad-8cc0-eb275a79f00b,,,,,,,,,7,2025-11-25,7,,,,,,,5315
001Hr000028Zd7F,"Town Of Milford, NH",New Hampshire,Municipality,Mihir Shah,16232,,Tier 2,1.0,42.8354,-71.6492,2d283a64-8b27-491a-9128-b95d49507bb6,,,,,,,,,9,2025-12-11,9,,,,,,,5178
001Hr000028Zd7y,"City Of Laconia, NH",New Hampshire,Municipality,Mihir Shah,17025,Nurture,Tier 2,1.0,43.5293,-71.471,f8888ddb-ac29-405d-a60f-8240b120b16f,Closed Lost,,,Jenny Allison,1/12/2026,11/20/2025,,,3,2026-01-09,3,,,,,,,5232
001Hr000028ZdAG,"City Of Portsmouth, NH",New Hampshire,Municipality,Mihir Shah,22277,,Tier 2,1.0,43.0702,-70.7547,1fce399d-4da5-4db2-9efd-f15518c9b8e1,,,,,,,,,,,,,,,,,,5514
001Hr000028ZdCm,"Town Of Derry, NH",New Hampshire,Municipality,Mihir Shah,34354,Implementation,Tier 1,1.5,42.882,-71.3242,743401cb-fa88-4b3f-8a04-262443ca498f,Closed Won,,,Jenny Allison,1/27/2026,1/14/2026,"$48,000",,13,2026-03-13,5,,,,8,,,5945
001Hr000028ZdEQ,"Town Of Hudson, NH",New Hampshire,Municipality,Mihir Shah,25468,,Tier 1,1.5,42.7648,-71.4398,03e238eb-49fe-4f05-9e98-0cbfa248e800,,,,,,,,,13,2026-04-17,5,8,,,,,,5669
001Hr000028ZdEu,"Town Of Merrimack, NH",New Hampshire,Municipality,Mihir Shah,27132,,Tier 1,1.5,42.8667,-71.4935,c8165bde-0944-4789-bb9d-1f43fc0eb3dc,,,,,,,,,6,2026-03-05,5,1,,,,,,5728
001Hr000028ZdHZ,"Town Of Salem, NH",New Hampshire,Municipality,Mihir Shah,30542,,Tier 1,1.5,42.7886,-71.2009,0a5a385c-070c-4c0c-9eb9-ca955c3411f5,,,,,,,,,6,2026-03-13,,4,,,2,,,5849
001Hr000028ZdII,"City Of Dover, NH",New Hampshire,Municipality,Mihir Shah,33171,,Tier 1,1.5,43.1979,-70.8737,966a4364-2b02-4e32-b506-ea02cfd58624,,,,,,,,,33,2026-04-07,9,24,,,,,,5914
001Hr000028ZdL7,"City Of Concord, NH",New Hampshire,Municipality,Mihir Shah,44006,,Tier 1,1.5,43.2062,-71.5398,70f5b9b3-6bab-4f1b-8dcf-7a1037534117,,,,,,,,,11,2026-02-13,5,3,3,,,,,6089
001Hr000028ZdW8,"Sullivan County, NH",New Hampshire,County,Mihir Shah,43969,,Tier 1,1.5,43.377,-72.2364,698f3aa9-30bd-4473-b53e-a8838007301c,,,,,,,,,6,2025-07-02,,,,6,,,,12305
001Hr000028ZdZ2,"City Of Nashua, NH",New Hampshire,Municipality,Mihir Shah,91124,Nurture,Tier S,2.0,42.7575,-71.4655,4f4d67ce-c46c-488a-a68b-ac8fdfbf8bfb,Closed Lost,,,Nick Martino,11/20/2025,11/6/2025,,,12,2025-11-12,,,,9,,3,,11556
001Hr000028Zdic,"Coos County, NH",New Hampshire,County,Mihir Shah,31094,,Tier 1,1.5,44.7289,-71.2787,93be34c0-2664-4899-b946-b88981344274,,,,,,,,,12,2026-03-06,,2,,10,,,,12383
001cv00000AuWOg,"Town Of Sutton, NH",New Hampshire,Municipality,Mihir Shah,2021,,Tier 3,0.75,43.3299,-71.9485,7904d913-f515-4d8e-b3af-552a2e5611ce,,,,,,,,,,,,,,,,,,12904
001cv00000AuWOt,"Town Of Holderness, NH",New Hampshire,Municipality,Mihir Shah,2024,,Tier 3,0.75,43.732,-71.5884,7420be7a-31cf-4eca-bd06-5298a0b51578,,,,,,,,,,,,,,,,,,12866
001cv00000AuWQ2,"Town Of Colebrook, NH",New Hampshire,Municipality,Mihir Shah,2039,,Tier 3,0.75,44.8943,-71.4963,08ebbe26-fc0f-442f-b752-59f4105ec889,,,,,,,,,1,2026-03-05,,1,,,,,,12880
001cv00000AuWYe,"Town Of Northumberland, NH",New Hampshire,Municipality,Mihir Shah,2077,,Tier 3,0.75,44.5975,-71.5121,e4d893a9-bbc5-450d-913b-93e621f6f603,,,,,,,,,,,,,,,,,,13271
001cv00000AuWZa,"Town Of Kensington, NH",New Hampshire,Municipality,Mihir Shah,2096,,Tier 3,0.75,42.927,-70.9439,24e12b5b-67cd-4a66-b240-d529812e8c5b,,,,,,,,,2,2026-01-22,2,,,,,,,13390
001cv00000AuWbb,"Town Of Marlborough, NH",New Hampshire,Municipality,Mihir Shah,2133,,Tier 3,0.75,42.9042,-72.2078,241ad74a-7890-4e1b-9f44-e7a148c59927,,,,,,,,,,,,,,,,,,13111
001cv00000AuWk7,"Town Of Troy, NH",New Hampshire,Municipality,Mihir Shah,2170,,Tier 3,0.75,42.827,-72.183,b663e00f-d1b1-42e4-b255-58827bf6d06e,,,,,,,,,,,,,,,,,,13303
001cv00000AuWrJ,"Town Of Newbury, NH",New Hampshire,Municipality,Mihir Shah,2219,,Tier 3,0.75,43.3215,-72.0359,85760edd-80ca-4aed-92d9-130103e1ff0d,,,,,,,,,,,,,,,,,,13556
001cv00000AuXEe,"Town Of Canterbury, NH",New Hampshire,Municipality,Mihir Shah,2449,,Tier 3,0.75,43.3373,-71.5653,3d7ea9fe-4304-4b5d-8d00-99e110af12ae,,,,,,,,,,,,,,,,,,14027
001cv00000AuXNR,"Town Of Plainfield, NH",New Hampshire,Municipality,Mihir Shah,2468,,Tier 3,0.75,43.549,-72.2601,dbc6748e-f87c-486c-9ac8-c5175c4094e4,,,,,,,,,,,,,,,,,,14265
001cv00000AuXTR,"Town Of Bethlehem, NH",New Hampshire,Municipality,Mihir Shah,2527,,Tier 3,0.75,44.2804,-71.6875,d2a92432-244e-49e6-aa1e-cf8a61a5ed54,,,,,,,,,,,,,,,,,,14289
001cv00000AuXU2,"Town Of Tuftonboro, NH",New Hampshire,Municipality,Mihir Shah,2547,,Tier 3,0.75,43.6683,-71.2571,fb1104c3-e312-4adc-a9a5-4ecbed88341e,,,,,,,,,6,2025-11-21,6,,,,,,,14281
001cv00000AuXUH,"Town Of Whitefield, NH",New Hampshire,Municipality,Mihir Shah,2552,,Tier 3,0.75,44.373,-71.6118,685ef4a6-0197-4099-8bc9-83fd35b4fa19,,,,,,,,,,,,,,,,,,14340
001cv00000AuXfw,"Town Of New Durham, NH",New Hampshire,Municipality,Mihir Shah,2735,,Tier 3,0.75,43.134,-70.9264,48954717-9e78-4c34-a9ec-81cad3fa0f9e,,,,,,,,,,,,,,,,,,14577
001cv00000AuXg0,"Town Of Chichester, NH",New Hampshire,Municipality,Mihir Shah,2737,,Tier 3,0.75,43.2492,-71.3998,7aac563c-660e-4421-9670-5b784f8f2a8e,,,,,,,,,,,,,,,,,,14455
001cv00000AuXge,"Town Of Thornton, NH",New Hampshire,Municipality,Mihir Shah,2754,,Tier 3,0.75,43.8928,-71.6759,fec655cb-da76-418b-8671-84ea946fa297,,,,,,,,,,,,,,,,,,14498
001cv00000AuXlt,"Town Of Tamworth, NH",New Hampshire,Municipality,Mihir Shah,2889,,Tier 3,0.75,43.8598,-71.2625,27d112ae-ca97-467a-b9f3-0cacc259be3c,,,,,,,,,,,,,,,,,,14750
001cv00000AuXnd,"Town Of Warner, NH",New Hampshire,Municipality,Mihir Shah,2953,,Tier 3,0.75,43.2557,-71.8334,d547280d-bcc0-43d5-a4ae-9fff2914316c,,,,,,,,,,,,,,,,,,14969
001cv00000AuXza,"Town Of Dunbarton, NH",New Hampshire,Municipality,Mihir Shah,3080,,Tier 3,0.75,43.1026,-71.6165,1d7b9cc9-269d-469e-ae1e-a42ce9ca2b5c,,,,,,,,,,,,,,,,,,15171
001cv00000AuY2p,"Town Of Bristol, NH",New Hampshire,Municipality,Mihir Shah,3286,,Tier 3,0.75,43.5911,-71.7367,14dadb00-a2de-49f2-8bf1-4e6a689fe3bd,,,,,,,,,,,,,,,,,,15612
001cv00000AuY64,"Town Of Sunapee, NH",New Hampshire,Municipality,Mihir Shah,3402,,Tier 3,0.75,43.3876,-72.0879,8abbdfca-4cd3-4030-adb5-732d8d06b4f4,,,,,,,,,,,,,,,,,,15642
001cv00000AuYGc,"Town Of Sanbornton, NH",New Hampshire,Municipality,Mihir Shah,3058,,Tier 3,0.75,43.4898,-71.5823,9fce3e1b-8ffd-45b0-884e-6472995d900c,,,,,,,,,,,,,,,,,,15190
001cv00000AuYHP,"Town Of Bartlett, NH",New Hampshire,Municipality,Mihir Shah,3288,,Tier 3,0.75,44.0739,-71.2343,f66ff990-ba68-490b-bfcc-1cdf4b6ab492,,,,,,,,,,,,,,,,,,15684
001cv00000AuYK6,"Town Of Campton, NH",New Hampshire,Municipality,Mihir Shah,3390,,Tier 3,0.75,43.8225,-71.6441,6a6701c3-c2ca-46ed-b460-e951ee351150,,,,,,,,,,,,,,,,,,15983
001cv00000AuYLv,"Town Of Grantham, NH",New Hampshire,Municipality,Mihir Shah,3459,,Tier 3,0.75,43.5225,-72.1535,43495766-2f6a-4bba-9349-635db12c5376,,,,,,,,,,,,,,,,,,15952
001cv00000AuYO4,"Town Of Lancaster, NH",New Hampshire,Municipality,Mihir Shah,3195,,Tier 3,0.75,44.4872,-71.5696,59285e5b-5bfb-47c1-86b5-b453007772dc,,,,,,,,,,,,,,,,,,15438
001cv00000AuYST,"Town Of Chesterfield, NH",New Hampshire,Municipality,Mihir Shah,3603,,Tier 3,0.75,42.9031,-72.4495,bfa57c02-dd41-4d0d-a732-1cc9a2abc3b4,,,,,,,,,,,,,,,,,,15947
001cv00000AuYae,"Town Of Greenland, NH",New Hampshire,Municipality,Mihir Shah,4084,,Tier 3,0.75,43.0362,-70.8328,bc402766-2e7e-4804-9bfc-4ee233122925,,,,,,,,,,,,,,,,,,16223
001cv00000AuYfw,"Town Of Canaan, NH",New Hampshire,Municipality,Mihir Shah,3810,,Tier 3,0.75,43.6809,-72.0519,38bdb39a-c334-41c1-ab7b-7bd3bd79dbd1,,,,,,,,,3,2026-05-04,,3,,,,,,16171
001cv00000AuYkb,"Town Of Wilton, NH",New Hampshire,Municipality,Mihir Shah,3948,,Tier 3,0.75,42.8446,-71.7385,e29f334a-a9c2-4c01-812c-b0f4393b1dfa,,,,,,,,,,,,,,,,,,16504
001cv00000AuYlD,"Town Of Boscawen, NH",New Hampshire,Municipality,Mihir Shah,3978,,Tier 3,0.75,43.3244,-71.6369,cf704d81-32a6-4222-9da2-3dd451ebe64e,,,,,,,,,,,,,,,,,,16527
001cv00000AuYlZ,"Town Of Gilmanton, NH",New Hampshire,Municipality,Mihir Shah,3994,,Tier 3,0.75,43.4249,-71.4138,461ee4e0-7d7d-4f51-9caf-6cdcb015d5c7,,,,,,,,,,,,,,,,,,16550
001cv00000AuYlg,"Town Of Hinsdale, NH",New Hampshire,Municipality,Mihir Shah,3998,,Tier 3,0.75,42.7865,-72.4867,e786e0f7-bf67-4c1b-a0cd-545bccad29c5,,,,,,,,,,,,,,,,,,16535
001cv00000AuYmb,"Town Of Tilton, NH",New Hampshire,Municipality,Mihir Shah,4044,,Tier 3,0.75,43.4426,-71.5892,abf7a77d-08f8-4de8-adb4-8f6a4615577b,,,,,,,,,,,,,,,,,,16561
