Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Ali Cohen,Calls - Ryan Minter,Calls - Lucy Nemerov,Calls - Leila Assil,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Mihir Shah,Calls - Nick Martino,Salesforce ID
001Hr000028ZbsL,City of Inglewood,California,Municipality,Alicia Gopal,108206,Open Opportunity,Tier S,2.0,33.9618,-118.3534,6a3a24bc-30d5-4e74-acac-8bea27418790,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,3/26/2026,,,30,2026-05-01,25,,5,,,,,,,,
001Hr000028ZbsU,"City Of Compton, CA",California,Municipality,Alicia Gopal,93597,Open Opportunity,Tier S,2.0,33.8959,-118.2244,fb262cf4-ae43-4ba9-98b0-027174a84064,Open,Verbal,Mid Funnel,Ryan Minter,10/21/2025,10/6/2025,"$108,000",,16,2025-10-21,,,16,,,,,,,,
001Hr000028Zbsb,"City Of Pico Rivera, CA",California,Municipality,Alicia Gopal,60764,Open Opportunity,Tier S,2.0,33.9831,-118.0967,7b69d6ac-bf15-4caa-883d-12d097194d27,Open,Initial Interest,Top of Funnel,Ryan Minter,1/29/2026,1/5/2026,,,14,2026-02-03,,,14,,,,,,,,
001Hr000028Zbts,"City Of South Gate, CA",California,Municipality,Alicia Gopal,91154,Open Opportunity,Tier S,2.0,33.9547,-118.212,0f4d6b3d-feca-4807-a347-e84dfb842573,Open,Initial Interest,Top of Funnel,Ryan Minter,,11/20/2025,,,27,2025-12-08,,,26,,,1,,,,,
001Hr000028Zbur,City of Redding,California,Municipality,Lucy Nemerov,93251,Nurture,Tier S,2.0,40.5754,-122.3836,44b193c2-d81e-41b0-a58e-ce273db16c74,Closed Lost,,,Ryan Minter,,9/24/2025,,,26,2026-05-22,,,16,10,,,,,,,
001Hr000028Zbuu,"City Of Fortuna, CA",California,Municipality,Lucy Nemerov,12482,,Tier 2,1.0,40.5982,-124.1573,fe237bda-91a1-4d9c-af78-4f80b9eea884,,,,,,,,,37,2026-05-14,,26,,11,,,,,,,
001Hr000028Zbv1,"City Of Fowler, CA",California,Municipality,Catherine Silvestri,6934,,Tier 3,0.75,36.6305,-119.6785,18f5a7ce-3c75-4ae0-ab90-646ce6edf09a,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbvA,City of Daly City,California,Municipality,Catherine Silvestri,104914,,Tier S,2.0,37.6879,-122.4702,2f1a4fcf-13cb-449d-a4fd-30474f8de7b0,,,,,,,,,10,2026-05-11,10,,,,,,,,,,
001Hr000028ZbvM,City of Downey,California,Municipality,Alicia Gopal,114293,,Tier S,2.0,33.9401,-118.1332,11bd7757-cce5-4385-9975-26669eba068c,,,,,,,,,2,2025-11-18,,,2,,,,,,,,
001Hr000028Zbw5,"City Of Tracy, CA",California,Municipality,Lucy Nemerov,95387,Open Opportunity,Tier S,2.0,37.7396,-121.426,692d637b-790a-464c-9e1a-d2f05db01f11,Open,Initial Interest,Top of Funnel,Ali Cohen,,4/17/2026,,,13,2026-04-30,6,1,6,,,,,,,,
001Hr000028Zbw7,City of Carlsbad,California,Municipality,Alicia Gopal,114858,Nurture,Tier S,2.0,33.1641,-117.3411,c594f704-e760-4e34-a6bc-87afe501d004,Closed Lost,,,Ali Cohen,3/11/2026,2/17/2026,,,8,2026-02-27,,8,,,,,,,,,
001Hr000028ZbwF,"City Of Perris, CA",California,Municipality,Alicia Gopal,79835,,Tier S,2.0,33.7866,-117.2261,946ecf6a-9c2f-4fe4-ad1e-034cbe40db2a,,,,,,,,,8,2025-08-27,,,8,,,,,,,,
001Hr000028Zbwq,City of Garden Grove,California,Municipality,Alicia Gopal,172708,,Tier S,2.0,33.7743,-117.938,e2667cd2-7e8d-456f-8b3d-208df6b51f49,,,,,,,,,7,2026-03-11,,7,,,,,,,,,
001Hr000028ZbxF,"City of Richmond, CA",California,Municipality,Lucy Nemerov,115677,,Tier S,2.0,37.9375,-122.3433,8ef8b604-9d26-4677-9408-20dfcee1f06f,,,,,,,,,2,2026-05-14,,,1,1,,,,,,,
001Hr000028ZbxR,"City Of Rio Vista, CA",California,Municipality,Lucy Nemerov,10217,,Tier 2,1.0,38.1557,-121.6913,fc39eb8c-ed0f-42c2-b7bd-6a985f83281a,,,,,,,,,9,2026-05-08,,,,4,5,,,,,,
001Hr000028Zbxo,"City Of Davis, CA",California,Municipality,Lucy Nemerov,66799,,Tier S,2.0,38.5449,-121.7405,596cf39b-6458-4553-97b8-b77595d6dcd9,,,,,,,,,19,2026-04-03,9,,10,,,,,,,,
001Hr000028Zbxq,"City Of Monterey, CA",California,Municipality,Catherine Silvestri,29874,Nurture,Tier 1,1.5,36.5973,-121.8978,3cb40b25-95a3-4424-a774-ce8c356f5100,Closed Lost,,,Ali Cohen,2/27/2026,2/17/2026,,,14,2026-02-26,,14,,,,,,,,,
001Hr000028ZbyB,"City Of Delano, CA",California,Municipality,Catherine Silvestri,52173,Open Opportunity,Tier S,2.0,35.7688,-119.2471,ba8a5163-85d4-41ca-a1e3-4bf85ecd7743,Open,Initial Interest,Top of Funnel,Ryan Minter,11/18/2025,11/12/2025,,,36,2026-05-11,20,,16,,,,,,,,
001Hr000028ZbyL,City of Santa Clara,California,Municipality,Catherine Silvestri,127922,Open Opportunity,Tier S,2.0,37.3541,-121.9552,1d1d3625-6c78-4994-9008-00989405308d,Open,Initial Interest,Top of Funnel,Ryan Minter,,10/6/2025,,,18,2026-05-21,14,2,2,,,,,,,,
001Hr000028ZbyP,"City Of Whittier, CA",California,Municipality,Alicia Gopal,85311,Open Opportunity,Tier S,2.0,33.9754,-118.0327,c87ac61b-a6a4-4af7-a891-48f87fa2fa78,Open,Sales Qualified,Mid Funnel,Jason Ginsberg,5/11/2026,4/30/2026,,,15,2026-05-19,8,,1,,,,6,,,,
001Hr000028Zbyu,City of Santa Clarita,California,Municipality,Catherine Silvestri,227182,Nurture,Tier S,2.0,34.3917,-118.5426,d9a02225-13f4-490b-bd23-1dab75ced271,Closed Lost,,,Ryan Minter,1/12/2026,10/30/2025,,,3,2026-01-12,,,3,,,,,,,,
001Hr000028Zbz2,"City Of Calistoga, CA",California,Municipality,Lucy Nemerov,5187,,Tier 3,0.75,38.5788,-122.5797,58e9d469-f06f-48bb-8750-6ee0acd15349,,,,,,,,,2,2026-05-19,,,,2,,,,,,,
001Hr000028ZbzS,City of Milpitas,California,Municipality,Catherine Silvestri,79593,,Tier S,2.0,37.4323,-121.8996,eba91ef2-22a4-473a-80cb-93f662d2782f,,,,,,,,,13,2026-02-25,12,,1,,,,,,,,
001Hr000028ZbzT,"City Of El Centro, CA",California,Municipality,Alicia Gopal,44158,Open Opportunity,Tier 1,1.5,32.792,-115.5631,1bf78f80-57a5-40c0-8627-259cdaebb64d,Open,Initial Interest,Top of Funnel,Ali Cohen,,11/3/2025,,,6,2025-11-17,,6,,,,,,,,,
001Hr000028Zbzh,"City Of West Sacramento, CA",California,Municipality,Lucy Nemerov,53637,Open Opportunity,Tier S,2.0,38.5805,-121.5302,30efce77-589e-443f-b27d-593d642adb58,Open,Initial Interest,Top of Funnel,Lucy Nemerov,10/31/2025,10/6/2025,,,35,2026-02-24,9,,26,,,,,,,,
001Hr000028Zbzu,"City Of Lodi, CA",California,Municipality,Lucy Nemerov,67021,Open Opportunity,Tier S,2.0,38.1341,-121.2722,bf91e891-a3ea-4e04-b59f-a4b69b6d4184,Open,Initial Interest,Top of Funnel,Lucy Nemerov,5/20/2026,5/13/2026,,,31,2026-05-20,6,,21,4,,,,,,,
001Hr000028Zc01,City of Torrance,California,Municipality,Alicia Gopal,147156,,Tier S,2.0,33.8369,-118.3407,efad6168-86ec-4636-b3ac-3c6f9d0676c2,,,,,,,,,2,2026-03-11,2,,,,,,,,,,
001Hr000028Zc07,"City Of Reedley, CA",California,Municipality,Catherine Silvestri,25232,,Tier 1,1.5,36.5963,-119.4504,1923bc46-9999-4351-b1a3-f2e0ffb80cb4,,,,,,,,,6,2026-05-26,6,,,,,,,,,,
001Hr000028Zc09,City of Stockton,California,Municipality,Lucy Nemerov,317818,,Tier S,2.0,37.9575,-121.2925,89ed6c70-d4a4-4bfb-b2c0-d5bd7f426f9b,,,,,,,,,1,2026-05-07,,,,1,,,,,,,
001Hr000028Zc0C,City of Santa Ana,California,Municipality,Alicia Gopal,313818,Open Opportunity,Tier S,2.0,33.7455,-117.8677,32dfcff9-5edc-4e7e-81f1-fe234e56cd10,Open,Initial Interest,Top of Funnel,Ali Cohen,,11/3/2025,,,11,2026-01-12,,11,,,,,,,,,
001Hr000028Zc0T,City of Cupertino,California,Municipality,Catherine Silvestri,60681,,Tier S,2.0,37.323,-122.0322,faa02d99-fc2a-4088-8779-a9bf97bf2f76,,,,,,,,,10,2026-03-11,5,,5,,,,,,,,
001Hr000028Zc0p,City of Woodland,California,Municipality,Lucy Nemerov,60977,,Tier S,2.0,38.6785,-121.7733,bd112f94-b9ba-45ee-a2af-48ef13aeba35,,,,,,,,,41,2026-04-03,16,,25,,,,,,,,
001Hr000028Zc0t,Mendocino County,California,County,Lucy Nemerov,91534,,Tier S,2.0,39.55,-123.4384,47d3b38e-94ea-4dbd-abd8-7d79fb0f6006,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc19,"City Of La Habra, CA",California,Municipality,Alicia Gopal,62609,Nurture,Tier S,2.0,33.9319,-117.9461,4df93d9f-93c1-4dd7-b71e-1d9569509c57,Closed Lost,,,Troy LeCaire,,1/5/2025,,,15,2026-05-21,,,8,,,,7,,,,
001Hr000028Zc1D,City of Glendora,California,Municipality,Catherine Silvestri,52458,,Tier S,2.0,34.1361,-117.8653,c6e474c5-5321-46b6-ab37-c8c83a6e19a1,,,,,,,,,3,2026-01-05,,,3,,,,,,,,
001Hr000028Zc1F,"City Of Pleasanton, CA",California,Municipality,Lucy Nemerov,78252,Open Opportunity,Tier S,2.0,37.6604,-121.8758,cff630d7-2e82-433f-b05f-ef450502134d,Open,Initial Interest,Top of Funnel,Ryan Minter,,6/26/2025,,,24,2026-02-05,5,,19,,,,,,,,
001Hr000028Zc1Q,City of Modesto,California,Municipality,Lucy Nemerov,217728,Open Opportunity,Tier S,2.0,37.6393,-120.997,4c0c8992-22c5-46ba-8300-021ef181c52e,Open,Demo,Mid Funnel,Ali Cohen,12/1/2025,11/24/2025,,Yes,6,2025-11-24,,6,,,,,,,,,
001Hr000028Zc1V,"City Of Merced, CA",California,Municipality,Lucy Nemerov,89308,Nurture,Tier S,2.0,37.3029,-120.4843,8f69107f-e16e-438b-a90f-f60b1294d7bf,Closed Lost,,,Catherine Silvestri,4/8/2026,3/24/2026,,,7,2026-04-07,5,,,,,2,,,,,
001Hr000028Zc1a,"City Of Turlock, CA",California,Municipality,Lucy Nemerov,72682,Open Opportunity,Tier S,2.0,37.4946,-120.846,90c35a1c-a4d9-43e6-93a2-6cb8ada4726b,Open,Initial Interest,Top of Funnel,Ryan Minter,,8/26/2025,,,21,2026-02-06,9,,12,,,,,,,,
001Hr000028Zc2M,City of Costa Mesa,California,Municipality,Alicia Gopal,112148,,Tier S,2.0,33.6638,-117.9047,0e2ad37b-db7b-439a-a97a-d235d7822229,,,,,,,,,17,2026-05-22,7,,,,,,10,,,,
001Hr000028Zc3Q,"City Of Rosemead, CA",California,Municipality,Alicia Gopal,50245,,Tier S,2.0,34.0806,-118.0728,2630d0be-878a-48ef-b61e-7283f5ad9e75,,,,,,,,,4,2025-06-25,,,4,,,,,,,,
001Hr000028Zc3V,"City Of Seal Beach, CA",California,Municipality,Alicia Gopal,24937,,Tier 2,1.0,33.7414,-118.1048,b51b97ee-ea45-4bb6-b88a-201d11633bb2,,,,,,,,,25,2025-11-10,,25,,,,,,,,,
001Hr000028Zc3o,Nevada County,California,County,Lucy Nemerov,102090,,Tier S,2.0,39.1347,-121.171,5c6e06ba-a9ff-4c3f-a20f-055bb41d75b3,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc43,"City Of Palmdale, CA",California,Municipality,Catherine Silvestri,167987,Nurture,Tier S,2.0,34.5777,-118.1159,ab241bfb-5219-42b4-902a-97ef8e9e268b,Closed Lost,,,Ali Cohen,3/5/2026,2/23/2026,,,13,2026-02-26,,13,,,,,,,,,
001Hr000028Zc46,"City Of Hawthorne, CA",California,Municipality,Alicia Gopal,86091,Nurture,Tier S,2.0,33.9164,-118.3526,6db830f9-69a4-4316-895d-3be0d8931100,Closed Lost,,,Catherine Silvestri,4/1/2026,3/27/2026,,,20,2026-04-10,13,,7,,,,,,,,
001Hr000028Zc50,City of San Mateo,California,Municipality,Catherine Silvestri,105087,,Tier S,2.0,37.563,-122.3255,,,,,,,,,,14,2026-05-26,8,6,,,,,,,,,
001Hr000028Zc57,"City Of Palo Alto, CA",California,Municipality,Catherine Silvestri,66680,,Tier S,2.0,37.4419,-122.143,216a0264-9d79-4a45-9499-50bf850a1f53,,,,,,,,,27,2026-05-12,8,,19,,,,,,,,
001Hr000028Zc5V,City of Clovis,California,Municipality,Catherine Silvestri,118488,Nurture,Tier S,2.0,36.8252,-119.7029,ca16282e-72b0-4533-bec0-cc86efece45f,Closed Lost,,,Catherine Silvestri,4/22/2026,3/25/2026,,,17,2026-04-21,15,,2,,,,,,,,
001Hr000028Zc5d,"City Of Yuba City, CA",California,Municipality,Lucy Nemerov,69536,Open Opportunity,Tier S,2.0,39.1407,-121.6177,eb7ecdaf-e46a-4702-b44d-35f8e03a88bf,Open,Initial Interest,Top of Funnel,Joe del Rosario,11/6/2024,1/5/2025,,,1,2025-10-08,,,1,,,,,,,,
001Hr000028Zc5x,"City of Norwalk, CA",California,Municipality,Alicia Gopal,103330,,Tier S,2.0,33.9171,-118.0725,1d5ec56e-e281-4796-9bd6-eb81d0225a6e,,,,,,,,,4,2026-04-06,4,,,,,,,,,,
001Hr000028Zc61,"City Of Gardena, CA",California,Municipality,Alicia Gopal,59702,,Tier S,2.0,33.8837,-118.3091,0066610f-ea20-4d13-b104-1c5e0e66b0c2,,,,,,,,,16,2026-04-17,15,,,,,1,,,,,
001Hr000028Zc62,"City Of Tustin, CA",California,Municipality,Alicia Gopal,79430,Open Opportunity,Tier S,2.0,33.742,-117.8236,512cf98e-a514-4464-8911-f5c559ce7e01,Open,Demo,Mid Funnel,Ali Cohen,4/30/2026,4/16/2026,,,9,2026-04-30,,3,6,,,,,,,,
001Hr000028Zc66,"City Of Santa Monica, CA",California,Municipality,Alicia Gopal,91105,Open Opportunity,Tier S,2.0,34.0119,-118.4916,b7ab5360-eb35-4d9f-9b8f-df6e97359f8b,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,3/13/2026,,,29,2026-05-01,21,,8,,,,,,,,
001Hr000028Zc68,"City Of Alhambra, CA",California,Municipality,Alicia Gopal,81211,,Tier S,2.0,34.0928,-118.1268,3117010d-d61c-473c-803a-3a176dae4796,,,,,,,,,1,2025-11-04,,,1,,,,,,,,
001Hr000028Zc6B,"City Of Carson, CA",California,Municipality,Alicia Gopal,93535,,Tier S,2.0,33.8317,-118.2817,dd2b54fb-2cef-4975-b349-5a733b9288c8,,,,,,,,,7,2026-04-06,7,,,,,,,,,,
001Hr000028Zc6F,"City Of Folsom, CA",California,Municipality,Lucy Nemerov,81224,,Tier S,2.0,38.6719,-121.1613,b28ffc23-7d6c-4c30-b6d5-a3902726e717,,,,,,,,,12,2026-03-09,6,,6,,,,,,,,
001Hr000028Zc6O,"City Of Alameda, CA",California,Municipality,Lucy Nemerov,76362,,Tier S,2.0,37.7799,-122.2822,4a1848f2-dcef-4180-a0c1-249939badad2,,,,,,,,,13,2025-10-09,,,13,,,,,,,,
001Hr000028Zc6v,"City Of Napa, CA",California,Municipality,Lucy Nemerov,78818,,Tier S,2.0,38.2975,-122.2869,8b95f85c-61c9-4c81-860d-cc6fbb46c81e,,,,,,,,,35,2026-04-03,21,,14,,,,,,,,
001Hr000028Zc7S,"City of Glendale, CA",California,Municipality,Catherine Silvestri,196512,Open Opportunity,Tier S,2.0,34.1464,-118.2489,ef6a27a1-6795-4c64-a329-0da35fe9eb31,Open,Initial Interest,Top of Funnel,Emily Murnane,,10/22/2025,,,,,,,,,,,,,,,
001Hr000028Zc7Z,City of Oakland,California,Municipality,Lucy Nemerov,437548,,Tier S,2.0,37.8044,-122.2712,25338649-1c53-46a8-af2d-45de87655354,,,,,,,,,4,2026-03-11,4,,,,,,,,,,
001Hr000028Zc7d,City of Montebello,California,Municipality,Alicia Gopal,62828,,Tier S,2.0,34.0193,-118.1161,7e8b749d-a0cf-40bf-a2f1-6971ea962182,,,,,,,,,27,2026-03-27,21,,6,,,,,,,,
001Hr000028Zc7j,"City Of Porterville, CA",California,Municipality,Catherine Silvestri,62742,,Tier S,2.0,36.0651,-119.0164,1191d7e3-0ab0-4a9c-8b06-92a1a3e65f19,,,,,,,,,17,2026-05-26,4,,13,,,,,,,,
001Hr000028Zc8F,"City Of Oakley, CA",California,Municipality,Lucy Nemerov,43771,,Tier 1,1.5,37.9974,-121.7125,37352a81-dbb3-45ff-aeb3-e2f10a5c3c3e,,,,,,,,,5,2026-02-18,4,,,,,1,,,,,
001Hr000028Zc8V,"City Of Eastvale, CA",California,Municipality,Alicia Gopal,71375,,Tier S,2.0,33.9672,-117.5671,1c52df40-1afa-4e04-b5b3-cf1b3b0bcfae,,,,,,,,,13,2025-09-23,,,13,,,,,,,,
001Hr000028Zc8y,Madera County,California,County,Lucy Nemerov,156304,Open Opportunity,Tier S,2.0,37.2519,-119.6963,2ac7ae33-db31-4ebf-9035-4b5a8f2dee72,Open,Initial Interest,Top of Funnel,Ali Cohen,,11/3/2025,,,10,2026-04-29,7,3,,,,,,,,,
001Hr000028Zc9C,City of Watsonville,California,Municipality,Catherine Silvestri,52966,,Tier S,2.0,36.9102,-121.7569,26058e20-51f4-4508-a42f-8d40cc13c74e,,,,,,,,,17,2026-03-17,12,,5,,,,,,,,
001Hr000028Zc9D,"City Of Azusa, CA",California,Municipality,Catherine Silvestri,48676,Open Opportunity,Tier 1,1.5,34.1336,-117.9076,9d1fa590-394b-4052-a544-7f5e21ee61f2,Open,Initial Interest,Top of Funnel,Ryan Minter,1/12/2026,12/10/2025,,,10,2026-02-25,4,,4,,,2,,,,,
001Hr000028Zc9G,City of Anaheim,California,Municipality,Alicia Gopal,348204,,Tier S,2.0,33.8366,-117.9143,fe127b49-8212-46a6-987f-bcf9717235e9,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc9f,City of Oceanside,California,Municipality,Alicia Gopal,174461,,Tier S,2.0,33.1977,-117.3788,61f53068-09dc-4529-ad9b-1c86bddf37b7,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcAD,City of Sunnyvale,California,Municipality,Catherine Silvestri,155550,Nurture,Tier S,2.0,37.3688,-122.0363,198f74c5-a106-4188-81c5-026c463ba2af,Closed Lost,,,Catherine Silvestri,3/20/2026,3/12/2026,,,10,2026-04-10,10,,,,,,,,,,
001Hr000028ZcAN,"City Of Gilroy, CA",California,Municipality,Catherine Silvestri,58101,,Tier S,2.0,37.003,-121.5566,032e20ff-3047-4a9d-93ee-469e579a4e85,,,,,,,,,24,2026-03-18,9,,15,,,,,,,,
001Hr000028ZcAp,"City Of Mountain View, CA",California,Municipality,Catherine Silvestri,81516,,Tier S,2.0,37.39,-122.0812,644c5445-a4c9-43bf-b0ab-884d0f80d2b7,,,,,,,,,30,2026-04-17,21,,9,,,,,,,,
001Hr000028ZcAu,"City Of San Marino, CA",California,Municipality,Catherine Silvestri,12254,Nurture,Tier 2,1.0,34.1214,-118.1065,f8afeca5-1aad-478b-94b5-b88fc288f8d4,Closed Lost,,,Catherine Silvestri,2/11/2026,1/28/2026,,,2,2026-01-28,2,,,,,,,,,,
001Hr000028ZcAz,"City Of Dublin, CA",California,Municipality,Lucy Nemerov,71674,Open Opportunity,Tier S,2.0,37.7049,-121.9096,c3d901cf-02af-46f0-b4de-8504b268cb8c,Open,Demo,Mid Funnel,Catherine Silvestri,3/20/2026,3/16/2026,,Yes,10,2026-03-20,4,,6,,,,,,,,
001Hr000028ZcB7,"City Of Yorba Linda, CA",California,Municipality,Alicia Gopal,67989,Nurture,Tier S,2.0,33.8885,-117.8133,90925c65-9f4c-45bc-8606-487a3be2c181,Closed Lost,,,Ryan Minter,,10/6/2025,,,23,2025-11-12,,,23,,,,,,,,
001Hr000028ZcBF,"City Of Yreka, CA",California,Municipality,Lucy Nemerov,7826,,Tier 3,0.75,41.7354,-122.6345,4260fa52-5cc2-4842-b4d8-6d006c6a5621,,,,,,,,,2,2026-04-02,2,,,,,,,,,,
001Hr000028ZcBj,"City Of Placerville, CA",California,Municipality,Lucy Nemerov,10869,Open Opportunity,Tier 2,1.0,38.7296,-120.7985,50fbc688-a2bf-4a9d-857d-68a2b1fa6b45,Open,Initial Interest,Top of Funnel,Lucy Nemerov,,4/21/2026,,,1,2026-04-21,,,,1,,,,,,,
001Hr000028ZcCJ,"City Of San Rafael, CA",California,Municipality,Lucy Nemerov,60769,Open Opportunity,Tier S,2.0,37.9735,-122.5311,1ea51723-46c6-4baf-8f93-f206bd9487d2,Open,Initial Interest,Top of Funnel,Lucy Nemerov,,5/22/2026,,,27,2026-05-22,,22,,5,,,,,,,
001Hr000028ZcCT,"City Of Novato, CA",California,Municipality,Lucy Nemerov,52708,,Tier S,2.0,38.1074,-122.5697,44fba74d-9df5-4e74-837e-bd06f2c132f6,,,,,,,,,30,2025-11-17,,,30,,,,,,,,
001Hr000028ZcDN,"City of Chico, CA",California,Municipality,Lucy Nemerov,103898,Open Opportunity,Tier S,2.0,39.7283,-121.838,304fa565-90b4-438f-8e81-0e412115bd81,Open,Initial Interest,Top of Funnel,Ryan Minter,3/27/2026,11/6/2025,,,13,2026-03-24,,,11,,,2,,,,,
001Hr000028ZcDQ,"City Of Chino Hills, CA",California,Municipality,Alicia Gopal,78665,Open Opportunity,Tier S,2.0,33.9898,-117.7326,b51808fe-baea-442f-86b2-80f7e0b23a63,Open,Initial Interest,Top of Funnel,Ali Cohen,5/11/2026,4/16/2026,,,14,2026-05-12,1,,13,,,,,,,,
001Hr000028ZcDV,"City of Fullerton, CA",California,Municipality,Alicia Gopal,142964,Open Opportunity,Tier S,2.0,33.8704,-117.9242,95782218-91ce-4650-ad1f-67ae73255574,Open,Proposal,Mid Funnel,Ryan Minter,11/4/2025,10/27/2025,"$235,000",,6,2025-11-12,,,6,,,,,,,,
001Hr000028ZcDX,"Town Of Apple Valley, CA",California,Municipality,Catherine Silvestri,76224,,Tier S,2.0,34.5008,-117.1859,66f89e92-eae7-448b-90f7-614c5085e67d,,,,,,,,,9,2026-05-26,6,,3,,,,,,,,
001Hr000028ZcDa,"City Of Riverbank, CA",California,Municipality,Lucy Nemerov,25001,Open Opportunity,Tier 1,1.5,37.736,-120.9357,40d1fa8e-3831-419e-a42c-de4e276329b7,Open,Initial Interest,Top of Funnel,Leila Assil,,6/23/2025,,,27,2025-12-11,,15,,,12,,,,,,
