Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Ben Laddis,Calls - Quinzel Perry,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Jenny Allison,Calls - Sydney Ireland,Calls - Emily Murnane
001Hr000028ZbtJ,"Town Of Bethlehem, NY",New York,Municipality,Alicia Gopal,34924,,Tier 1,1.5,42.5779,-73.8184,a0a173a9-7f86-41b0-9c36-cc3e1d7dc31b,,,,,,,,,30,2026-05-18,,12,18,,,,,
001Hr000028ZbtY,"Town Of Guilderland, NY",New York,Municipality,Mihir Shah,36976,,Tier 1,1.5,42.7044,-73.9116,389852dc-86e3-4da7-9a65-cc3b9a38df1e,,,,,,,,,7,2025-12-10,7,,,,,,,
001Hr000028Zbtk,"Village Of Great Neck, NY",New York,Municipality,Alicia Gopal,11112,Open Opportunity,Tier 2,1.0,40.8007,-73.7285,c82e0e98-061a-4ef6-ade1-ccbc9da7cba7,Open,Initial Interest,Top of Funnel,Alicia Gopal,,3/22/2026,,Yes,3,2026-04-28,3,,,,,,,
001Hr000028Zbtt,"City Of Glen Cove, NY",New York,Municipality,Alicia Gopal,28131,,Tier 1,1.5,40.8623,-73.6337,ca848ce6-7ff8-4508-8d3c-30eff71f2164,,,,,,,,,4,2026-01-13,3,,1,,,,,
001Hr000028Zbu1,"Town Of Big Flats, NY",New York,Municipality,Ben Laddis,7679,,Tier 3,0.75,42.1373,-76.9369,a8d36ca8-8087-4a50-8952-5ca05f16aa64,,,,,,,,,,,,,,,,,,
001Hr000028ZbuG,"City Of Rensselaer, NY",New York,Municipality,Alicia Gopal,9287,Open Opportunity,Tier 3,0.75,42.6426,-73.7429,10a20591-2ccd-4b14-abe6-92c4d4900c51,Open,Demo,Mid Funnel,Alicia Gopal,3/30/2026,3/4/2026,,,5,2026-03-04,5,,,,,,,
001Hr000028ZbuI,"County Of Wyoming, NY",New York,County,Ben Laddis,40491,,Tier 1,1.5,42.6421,-78.202,a9c4ca61-0cdd-415d-8ee6-03627b2400e8,,,,,,,,,11,2026-05-13,,11,,,,,,
001Hr000028Zbuv,"Town Of Horseheads, NY",New York,Municipality,Mihir Shah,19069,,Tier 2,1.0,42.1916,-76.7971,738c31d5-6f65-44d6-80fa-1773c0a2968e,,,,,,,,,2,2026-03-25,,1,1,,,,,
001Hr000028ZbvF,"Town Of Wappinger, NY",New York,Municipality,Alicia Gopal,28172,Open Opportunity,Tier 1,1.5,41.5965,-73.9007,b17d44c2-b924-441d-9cbb-e76e25648188,Open,Initial Interest,Top of Funnel,Alicia Gopal,,2/23/2026,,,7,2026-03-04,6,1,,,,,,
001Hr000028ZbvU,"Town Of Corinth, NY",New York,Municipality,Ben Laddis,6534,,Tier 3,0.75,43.2303,-73.8654,a2b61829-122b-461b-9018-e056313cdf4e,,,,,,,,,,,,,,,,,,
001Hr000028Zbvd,"Town Of Onondaga, NY",New York,Municipality,Ben Laddis,22648,Nurture,Tier 2,1.0,42.9751,-76.1413,61515ea0-7c9f-43e0-b19a-3a7815655216,Closed Lost,,,Alicia Gopal,1/14/2026,12/5/2025,,,24,2026-02-05,23,,1,,,,,
001Hr000028Zbw3,"Town Of Lancaster, NY",New York,Municipality,Mihir Shah,45110,,Tier 1,1.5,42.8982,-78.6342,0b6ae27a-37d7-4586-944f-da7ecafdf76b,,,,,,,,,6,2026-04-09,,4,,2,,,,
001Hr000028ZbwC,"Town Of Manlius, NY",New York,Municipality,Alicia Gopal,33598,Open Opportunity,Tier 1,1.5,43.0576,-75.9693,eea34635-e8db-4914-afcf-0de88ac2cd56,Open,Proposal,Mid Funnel,Alicia Gopal,3/5/2026,2/18/2026,"$35,000",,11,2026-03-05,11,,,,,,,
001Hr000028ZbwN,"City Of Troy, NY",New York,Municipality,Ben Laddis,50394,,Tier S,2.0,42.7284,-73.6918,1ebf6fae-95bf-4281-b33c-5507250735b9,,,,,,,,,23,2026-03-05,,11,,,12,,,
001Hr000028ZbwO,Orleans County,New York,County,Mihir Shah,40588,,Tier 1,1.5,43.3505,-78.1989,ef39f918-898a-4fdd-ac1d-76665cfa84a6,,,,,,,,,,,,,,,,,,
001Hr000028Zbwd,"Village Of Harrison, NY",New York,Municipality,Mihir Shah,28774,,Tier 1,1.5,40.97,-73.7176,0ee918b6-4af3-4c08-88c9-d3ae0252739c,,,,,,,,,20,2026-05-06,,9,11,,,,,
001Hr000028Zbwm,"City Of Lackawanna, NY",New York,Municipality,Alicia Gopal,19803,Open Opportunity,Tier 2,1.0,42.8256,-78.8234,a794cf81-80b5-473a-9c49-aaa10ebcc0f1,Open,Initial Interest,Top of Funnel,Alicia Gopal,,12/8/2025,,,15,2026-01-06,15,,,,,,,
001Hr000028Zbx2,"Town Of Malta, NY",New York,Municipality,Ben Laddis,17391,,Tier 2,1.0,42.9854,-73.7869,1a540fe6-8c32-4944-9689-f803381b188a,,,,,,,,,,,,,,,,,,
001Hr000028Zbx3,"Village Of Saranac Lake, NY",New York,Municipality,Ben Laddis,4825,,Tier 3,0.75,44.325,-74.1318,9bad3e03-9897-4530-8b77-bf2d321d4c89,,,,,,,,,,,,,,,,,,
001Hr000028ZbxA,"Town Of North Elba, NY",New York,Municipality,Ben Laddis,7568,,Tier 3,0.75,44.2042,-73.9932,3656b720-2d3e-4e21-b1cb-149261732ecf,,,,,,,,,,,,,,,,,,
001Hr000028ZbxN,"Town Of Hanover, NY",New York,Municipality,Ben Laddis,6893,,Tier 3,0.75,42.4832,-79.1323,0f3b8339-6cb6-4ba0-8e75-972ee9c7518b,,,,,,,,,,,,,,,,,,
001Hr000028Zbxk,"Town Of Lysander, NY",New York,Municipality,Alicia Gopal,23221,Open Opportunity,Tier 2,1.0,43.1856,-76.3869,6dca149b-cfcf-4a65-8756-3b5b8188af7b,Open,Initial Interest,Top of Funnel,Alicia Gopal,,3/24/2026,,,6,2026-03-24,6,,,,,,,
001Hr000028ZbyF,"Village Of Freeport, NY",New York,Municipality,Mihir Shah,44199,Nurture,Tier 1,1.5,40.6576,-73.5832,ffa041b6-59d2-458f-8ca5-8fdf8e477d66,Closed Lost,,,Ben Laddis,,5/15/2026,,,7,2026-05-18,,7,,,,,,
001Hr000028ZbyG,"City Of Plattsburgh, NY",New York,Municipality,Ben Laddis,19909,Nurture,Tier 2,1.0,44.6995,-73.4529,8448d929-1b99-4fe7-a95b-9582c3e2ff75,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,1,2026-02-05,1,,,,,,,
001Hr000028ZbyZ,"City Of Ithaca, NY",New York,Municipality,Alicia Gopal,31710,Nurture,Tier 1,1.5,42.444,-76.5019,3ae4a68a-6210-431e-a51d-44d9db062f2b,Closed Lost,,,Shane Lieberman,6/18/2024,1/5/2025,,,16,2026-02-05,16,,,,,,,
001Hr000028Zbz1,"Town Of Ghent, NY",New York,Municipality,Alicia Gopal,5334,,Tier 3,0.75,42.3207,-73.6301,52bf079e-0a4a-43ec-8576-eab9e09626c1,,,,,,,,,,,,,,,,,,
001Hr000028Zbz6,"City Of Niagara Falls, NY",New York,Municipality,Alicia Gopal,48360,Open Opportunity,Tier 1,1.5,43.0962,-79.0377,550bf61a-2e31-44a6-8566-f8a14ae3b085,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,7,2026-04-01,,7,,,,,,
001Hr000028ZbzL,"City Of Long Beach, NY",New York,Municipality,Mihir Shah,34778,,Tier 1,1.5,40.5887,-73.6669,aaef0d31-02eb-4403-ac80-c30970ade6e2,,,,,,,,,14,2026-05-19,,7,7,,,,,
001Hr000028Zbzi,"Village Of Wappingers Falls, NY",New York,Municipality,Ben Laddis,6073,Nurture,Tier 3,0.75,41.5965,-73.911,4d15f2fb-eee6-4d1f-a694-921a5d1fcb5f,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,,,,,
001Hr000028Zbzn,"Village of Hastings-on-Hudson, NY",New York,Municipality,Ben Laddis,8505,Nurture,Tier 3,0.75,40.9945,-73.8787,07584d5c-c4cd-4c58-a89f-68d8fdb06cb2,Closed Lost,,,Liam Shaw,4/3/2024,1/5/2025,,,,,,,,,,,,
001Hr000028Zbzs,"City Of Hudson, NY",New York,Municipality,Alicia Gopal,5898,,Tier 3,0.75,42.2529,-73.791,6969ee3a-1fbd-4492-b172-e4156329de83,,,,,,,,,,,,,,,,,,
001Hr000028Zc0G,"Town Of Queensbury, NY",New York,Municipality,Mihir Shah,29102,,Tier 1,1.5,43.3587,-73.6577,84469380-d25e-4418-ac27-9307b0f56d1b,,,,,,,,,11,2025-12-05,11,,,,,,,
001Hr000028Zc0d,"Town Of Salina, NY",New York,Municipality,Ben Laddis,33101,Open Opportunity,Tier 1,1.5,43.0857,-76.1851,42132c29-2d12-4860-8f9f-38a62df57604,Open,Sales Qualified,Mid Funnel,Ben Laddis,2/13/2026,1/27/2026,,,2,2026-01-30,,2,,,,,,
001Hr000028Zc0e,"Town Of Ontario, NY",New York,Municipality,Alicia Gopal,10532,Nurture,Tier 2,1.0,43.2209,-77.2834,5a3ec46e-30bb-48fb-9bb3-5f67b7d23e14,Closed Lost,,,Quinzel Perry,11/25/2024,1/5/2025,,,8,2026-05-18,,8,,,,,,
001Hr000028Zc0k,"Town Of Henrietta, NY",New York,Municipality,Ben Laddis,46634,Open Opportunity,Tier 1,1.5,43.0592,-77.6128,4c7300c0-3932-41fc-a495-4c09959cef93,Open,Initial Interest,Top of Funnel,Ben Laddis,,4/28/2026,,Yes,17,2026-04-29,12,,,,,,,5
001Hr000028Zc1A,"City Of Norwich, NY",New York,Municipality,Alicia Gopal,6840,,Tier 3,0.75,42.5312,-75.5235,c52da00a-9369-479b-9d91-bf8f06ca236e,,,,,,,,,,,,,,,,,,
001Hr000028Zc1O,"City Of Corning, NY",New York,Municipality,Mihir Shah,10738,,Tier 2,1.0,42.1429,-77.0547,72bbe144-7638-485f-a531-9f5ae44fbe3d,,,,,,,,,,,,,,,,,,
001Hr000028Zc1c,"Village Of Malone, NY",New York,Municipality,Ben Laddis,5300,,Tier 3,0.75,44.8488,-74.2937,32838cbe-ca72-49f7-a5a2-eb774d97e025,,,,,,,,,1,2025-05-20,,,,1,,,,
001Hr000028Zc1n,"Village Of Bronxville, NY",New York,Municipality,Alicia Gopal,6525,,Tier 3,0.75,40.9382,-73.8321,37b23576-df0e-434c-83b1-965dfb3de7f1,,,,,,,,,,,,,,,,,,
001Hr000028Zc28,"Town Of Orchard Park, NY",New York,Municipality,Alicia Gopal,29735,Open Opportunity,Tier 1,1.5,42.7675,-78.7441,c354d06e-9a82-4c53-a5e2-5ab3c3821f07,Open,Proposal,Mid Funnel,Alicia Gopal,3/12/2026,2/23/2026,"$33,000",,12,2026-03-11,12,,,,,,,
001Hr000028Zc2H,"Town Of Farmington, NY",New York,Municipality,Ben Laddis,14528,,Tier 2,1.0,42.9878,-77.3095,a313c038-8219-473a-8cff-0dafdc0b43be,,,,,,,,,3,2026-05-14,,2,1,,,,,
001Hr000028Zc2X,"Village Of Tarrytown, NY",New York,Municipality,Alicia Gopal,11718,Nurture,Tier 2,1.0,41.0762,-73.8587,b5d40699-8fed-4cde-9d15-9355e6bbbcca,Closed Lost,,,Troy LeCaire,,1/5/2025,,,8,2026-03-20,,8,,,,,,
001Hr000028Zc2e,"Village Of Massena, NY",New York,Municipality,Mihir Shah,10222,,Tier 2,1.0,44.9279,-74.8918,c76db2de-405d-4437-b5f3-b0c45c24c966,,,,,,,,,12,2026-02-02,12,,,,,,,
001Hr000028Zc3E,"Town Of Vernon, NY",New York,Municipality,Alicia Gopal,8219,,Tier 3,0.75,43.0796,-75.5392,9769b360-a963-4128-bfcb-b0ea74fbd92b,,,,,,,,,,,,,,,,,,
001Hr000028Zc3J,"Town Of Hamlin, NY",New York,Municipality,Mihir Shah,8667,,Tier 3,0.75,43.3029,-77.921,a976ea37-85c8-4126-b940-529b8216bb69,,,,,,,,,14,2026-02-09,14,,,,,,,
001Hr000028Zc3P,"Village Of Kings Point, NY",New York,Municipality,Alicia Gopal,5525,,Tier 3,0.75,40.8198,-73.7351,b339da17-6f07-46e4-98c3-1c7e573b9bb9,,,,,,,,,,,,,,,,,,
001Hr000028Zc3S,"Village Of Larchmont, NY",New York,Municipality,Alicia Gopal,6521,Open Opportunity,Tier 3,0.75,40.9279,-73.7518,3435dff3-1350-4cfb-8a2d-08855cea2826,Open,Initial Interest,Top of Funnel,Alicia Gopal,,12/2/2025,,Yes,9,2026-04-07,3,6,,,,,,
001Hr000028Zc3n,"City Of Cohoes, NY",New York,Municipality,Ben Laddis,17993,Nurture,Tier 2,1.0,42.7742,-73.7001,db666453-3983-4e8b-bdfb-41e4f13f8724,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,,,,,
001Hr000028Zc3u,"City Of Middletown, NY",New York,Municipality,Alicia Gopal,30452,Nurture,Tier 1,1.5,41.4459,-74.4229,09af19e7-e47e-4ca8-a1d4-3562a34f84fa,Closed Lost,,,Shane Lieberman,4/22/2024,1/5/2025,"$8,000",,14,2026-05-15,,12,2,,,,,
001Hr000028Zc4L,"Village Of Canton, NY",New York,Municipality,Ben Laddis,7064,Nurture,Tier 3,0.75,44.5956,-75.1691,7ca428b0-7061-49e3-93c6-872d43ff418d,Closed Lost,,,Joe del Rosario,2/11/2025,2/7/2025,,,,,,,,,,,,
001Hr000028Zc4Q,Village of Ardsley,New York,Municipality,Ben Laddis,5006,,Tier 3,0.75,41.0107,-73.8437,baea8ca5-7cb4-4c0b-8f32-5bd503248bfc,,,,,,,,,1,2025-05-21,,,,1,,,,
001Hr000028Zc4V,"City Of Saratoga Springs, NY",New York,Municipality,Alicia Gopal,28301,Open Opportunity,Tier 1,1.5,43.0834,-73.785,844bf707-7af8-4095-8582-62bb264814a9,Open,Initial Interest,Top of Funnel,Alicia Gopal,11/13/2025,1/5/2025,,,17,2025-11-14,17,,,,,,,
001Hr000028Zc4f,"Village Of Potsdam, NY",New York,Municipality,Alicia Gopal,8303,,Tier 3,0.75,44.6696,-75.0398,47bf3c71-7bc9-463c-8bdc-4b784657a21a,,,,,,,,,,,,,,,,,,
001Hr000028Zc4s,"Town Of Sodus, NY",New York,Municipality,Mihir Shah,7984,,Tier 3,0.75,43.2237,-77.0334,bc57507c-2099-4b70-b269-40ed9b942e94,,,,,,,,,,,,,,,,,,
001Hr000028Zc4u,"Town Of Mendon, NY",New York,Municipality,Mihir Shah,9065,Nurture,Tier 3,0.75,42.9977,-77.5049,5051d727-3933-4365-a1ba-5ca300ca2809,Closed Lost,,,Joe del Rosario,2/4/2025,1/29/2025,,,3,2025-12-18,3,,,,,,,
001Hr000028Zc54,"Village Of Herkimer, NY",New York,Municipality,Ben Laddis,7283,,Tier 3,0.75,43.0253,-74.9859,cffaa6b8-0e56-4a5b-aa34-2707b231205c,,,,,,,,,,,,,,,,,,
001Hr000028Zc5n,"Town Of Marcy, NY",New York,Municipality,Ben Laddis,8915,Nurture,Tier 3,0.75,43.1706,-75.2916,71fb8896-cc52-42d5-a3e5-7779121c9a81,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,,,,,
001Hr000028Zc5o,"Village Of Penn Yan, NY",New York,Municipality,Alicia Gopal,5079,Nurture,Tier 3,0.75,42.6609,-77.0539,41791a37-accc-4641-a7e7-9522139e6501,Closed Lost,,,Joe del Rosario,2/26/2025,2/26/2025,,,,,,,,,,,,
001Hr000028Zc5u,"Town Of Ossining, NY",New York,Municipality,Mihir Shah,39742,Nurture,Tier 1,1.5,41.1599,-73.8537,cf220e3f-dea3-42bb-b370-6e95566d2665,Closed Lost,,,Ben Laddis,,3/4/2026,,,5,2026-03-13,,5,,,,,,
001Hr000028Zc5y,"Town Of Victor, NY",New York,Municipality,Mihir Shah,15957,,Tier 2,1.0,42.9826,-77.4089,c1773491-8d1b-4fc1-8dc3-9e688aad04d3,,,,,,,,,20,2026-02-09,20,,,,,,,
001Hr000028Zc65,"Town Of Greene, NY",New York,Municipality,Alicia Gopal,5215,Nurture,Tier 3,0.75,42.3292,-75.7699,1934db0e-1e91-4c5c-b265-8703964ff82c,Closed Lost,,,Joe del Rosario,2/27/2025,2/21/2025,,,,,,,,,,,,
001Hr000028Zc6C,"Town Of Cicero, NY",New York,Municipality,Ben Laddis,31413,,Tier 1,1.5,43.1763,-76.1142,fc596a2d-46a1-4471-bb17-30cd29f180c3,,,,,,,,,3,2026-01-29,,2,,1,,,,
001Hr000028Zc6G,"Town Of Potsdam, NY",New York,Municipality,Ben Laddis,14730,Open Opportunity,Tier 2,1.0,44.6698,-74.9813,36dbfc74-9b4e-4abc-9af7-4c7ae77e533c,Open,Meeting Booked,Top of Funnel,Ben Laddis,10/14/2026,5/6/2026,,,12,2026-05-06,,12,,,,,,
001Hr000028Zc6K,"City Of Peekskill, NY",New York,Municipality,Ben Laddis,25740,Implementation,Tier 1,1.5,41.2901,-73.9204,089ec0b0-57d9-415b-ac04-2dcfb6d3c380,Closed Won,,,Quinzel Perry,3/3/2025,2/10/2025,"$15,000",,,,,,,,,,,
001Hr000028Zc6L,"Village Of Newark, NY",New York,Municipality,Alicia Gopal,8980,Open Opportunity,Tier 3,0.75,43.0467,-77.0953,c23b5982-7488-49f9-8715-07a92d9417f1,Open,Meeting Booked,Top of Funnel,Alicia Gopal,3/17/2026,3/11/2026,,,19,2026-03-25,7,,,12,,,,
001Hr000028Zc6Q,"City Of Auburn, NY",New York,Municipality,Alicia Gopal,26664,Open Opportunity,Tier 1,1.5,42.9317,-76.5661,c70ae3f1-a38e-42c0-8314-19764b341db9,Open,Initial Interest,Top of Funnel,Alicia Gopal,1/12/2026,1/7/2026,,Yes,8,2026-05-18,6,2,,,,,,
001Hr000028Zc6V,"City Of Rome, NY",New York,Municipality,Ben Laddis,31974,,Tier 1,1.5,43.2128,-75.4557,3861ef0e-13f5-48fe-af87-221ddb217fd1,,,,,,,,,8,2026-03-25,,3,5,,,,,
001Hr000028Zc6W,"Town Of New Scotland, NY",New York,Municipality,Alicia Gopal,9036,,Tier 3,0.75,42.6287,-73.9135,e7ecd4b6-c096-4c76-ab09-44cc51dcb750,,,,,,,,,,,,,,,,,,
001Hr000028Zc6a,"City Of Fulton, NY",New York,Municipality,Alicia Gopal,11354,Nurture,Tier 2,1.0,43.3228,-76.4172,0aa40ed1-7aff-47a8-a718-1dd865bda230,Closed Lost,,,Granger West,11/13/2024,1/5/2025,,,,,,,,,,,,
001Hr000028Zc6f,"Town Of Van Buren, NY",New York,Municipality,Ben Laddis,14324,Nurture,Tier 2,1.0,43.1137,-76.3022,53c6ccf4-a0de-4373-99f4-22a318662246,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,,
001Hr000028Zc6k,"City Of Cortland, NY",New York,Municipality,Alicia Gopal,17220,Nurture,Tier 2,1.0,42.6012,-76.1805,40a97a45-ff85-41cb-bcd2-ffe20b17643f,Closed Lost,,,Shane Lieberman,4/17/2024,1/5/2025,,,,,,,,,,,,
001Hr000028Zc6p,"Town Of Hastings, NY",New York,Municipality,Alicia Gopal,9359,Nurture,Tier 3,0.75,43.374,-76.1524,3294c305-ae3e-4b43-bd75-11035bb636b5,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,,
001Hr000028Zc6r,"Village Of Bayville, NY",New York,Municipality,Mihir Shah,6751,All Modules Live,Tier 3,0.75,40.9107,-73.5621,412a6123-2976-47b6-be32-dd11f9dac149,Closed Won,,,Joe del Rosario,1/31/2025,1/28/2025,"$12,000",,,,,,,,,,,
001Hr000028Zc6u,"Town Of Skaneateles, NY",New York,Municipality,Alicia Gopal,7144,Open Opportunity,Tier 3,0.75,42.947,-76.4291,da1abcb6-70f6-4f2f-92a0-1807b6c6581b,Closed Lost,,,Joe del Rosario,2/28/2025,2/6/2025,,,,,,,,,,,,
001Hr000028Zc6z,"Town Of Granby, NY",New York,Municipality,Ben Laddis,6518,Nurture,Tier 3,0.75,43.2672,-76.4332,abcc908b-5eae-4971-8009-f6458723f1af,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,,,,,
001Hr000028Zc74,"Town Of Frankfort, NY",New York,Municipality,Alicia Gopal,6972,,Tier 3,0.75,43.0266,-75.1312,5408c100-d32c-4709-9328-6ecb40f2977f,,,,,,,,,2,2025-12-19,2,,,,,,,
001Hr000028Zc79,"Town Of Watertown, NY",New York,Municipality,Ben Laddis,5872,,Tier 3,0.75,43.9212,-75.9231,336631c9-3542-4a48-83ea-644c183faf9b,,,,,,,,,,,,,,,,,,
001Hr000028Zc7B,"Town Of Greenfield, NY",New York,Municipality,Mihir Shah,8033,,Tier 3,0.75,43.1037,-73.864,a5160df2-432c-419f-a1f5-9f832758272c,,,,,,,,,,,,,,,,,,
001Hr000028Zc7E,"City Of Watertown, NY",New York,Municipality,Ben Laddis,24575,,Tier 2,1.0,43.9726,-75.9097,8beb01ed-541c-46a3-b5af-1bfb32115494,,,,,,,,,,,,,,,,,,
001Hr000028Zc7J,"Town Of Westmoreland, NY",New York,Municipality,Ben Laddis,5888,,Tier 3,0.75,43.1163,-75.4038,7b6b952a-1bca-41b9-82e4-23d649c57c26,,,,,,,,,,,,,,,,,,
001Hr000028Zc7P,"Town Of Niskayuna, NY",New York,Municipality,Ben Laddis,23325,Open Opportunity,Tier 2,1.0,42.8,-73.8914,3c678e3d-ea7b-4b45-bab9-9fbd2453f13f,Open,Meeting Booked,Top of Funnel,Ben Laddis,5/26/2026,5/12/2026,,,12,2026-05-12,,4,,8,,,,
001Hr000028Zc7R,"Town Of Riverhead, NY",New York,Municipality,Mihir Shah,35959,Nurture,Tier 1,1.5,40.917,-72.662,436b00cb-b6c6-4d6b-bb3f-46188f089f17,Closed Lost,,,Troy LeCaire,,1/5/2025,,,30,2026-04-09,30,,,,,,,
001Hr000028Zc84,"Village Of Amityville, NY",New York,Municipality,Alicia Gopal,9534,,Tier 3,0.75,40.679,-73.4171,2e10f2a2-fadd-4222-a7b9-f78a166f5227,,,,,,,,,19,2026-04-07,15,,,4,,,,
001Hr000028Zc88,"Town Of Glenville, NY",New York,Municipality,Alicia Gopal,29308,,Tier 1,1.5,42.9292,-74.0521,c220ed23-44c3-4c78-8a57-b212c46c0f32,,,,,,,,,,,,,,,,,,
001Hr000028Zc8N,"Town Of Clifton Park, NY",New York,Municipality,Alicia Gopal,38153,Open Opportunity,Tier 1,1.5,42.8447,-73.8184,e3eb4065-e034-4eff-9c80-226433848310,Open,Initial Interest,Top of Funnel,Alicia Gopal,3/17/2026,3/2/2026,,,27,2026-04-14,16,2,9,,,,,
