Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Joe del Rosario,Calls - Ali Cohen,Calls - Jenny Allison
001cv00000AuZVk,"County Of Rosebud, MT",Montana,County,Ali Cohen,8124,,Tier 3,0.75,46.2744,-106.4447,be3a4daa-720d-45f9-9fd5-6b8cb6fe4d19,,,,,,,,,3,2026-04-08,,3,
001cv00000AuZZ4,"County Of Stillwater, MT",Montana,County,Ali Cohen,9044,,Tier 3,0.75,45.7001,-109.3922,1b4ca9a1-6a91-4724-8ae6-2358f9491f05,,,,,,,,,2,2025-07-29,2,,
001cv00000AuZZV,"City Of Havre, MT",Montana,Municipality,Ali Cohen,9314,,Tier 3,0.75,48.55,-109.6841,18704eb7-723a-44a0-bd9d-cf8acc918682,,,,,,,,,1,2025-07-29,1,,
001cv00000AuZZu,"County Of Beaverhead, MT",Montana,County,Ali Cohen,9524,,Tier 3,0.75,45.2135,-113.1093,58204739-9cc9-432d-9b96-3868f505796a,,,,,,,,,,,,,
001cv00000AuZaR,"County Of Richland, MT",Montana,County,Ali Cohen,11283,,Tier 2,1.0,47.9201,-104.8017,00c727d1-e8ec-4b89-96a9-88c6894da5dd,,,,,,,,,5,2025-08-20,5,,
001cv00000AuZar,"County Of Fergus, MT",Montana,County,Ali Cohen,11617,,Tier 2,1.0,47.2127,-109.4141,798de5db-6b08-47cd-b578-b3ab6f89c4b3,,,,,,,,,,,,,
001cv00000AuZbB,"County Of Custer, MT",Montana,County,Ali Cohen,11916,,Tier 2,1.0,46.2161,-105.6225,f930ebeb-c8f2-4f82-b270-a49e46259598,,,,,,,,,,,,,
001cv00000AuZdj,"County Of Dawson, MT",Montana,County,Ali Cohen,8904,,Tier 3,0.75,47.2649,-104.8939,075c43bc-9f47-48e4-b3e0-82798b577ad0,,,,,,,,,1,2025-07-29,1,,
001cv00000AuZdm,"County Of Madison, MT",Montana,County,Ali Cohen,8917,,Tier 3,0.75,45.4667,-111.8865,67f01796-f432-4134-910b-65bf8c344ae9,,,,,,,,,,,,,
001cv00000AuZfm,"County Of Big Horn, MT",Montana,County,Ali Cohen,12957,,Tier 2,1.0,45.3497,-107.2716,f387aead-ca9c-4fef-9f68-c26147d9c4d6,,,,,,,,,,,,,
001cv00000AuZfn,"County Of Sanders, MT",Montana,County,Ali Cohen,12959,,Tier 2,1.0,47.6109,-115.1317,9b36d8da-3c82-45ee-b454-ecff9309e7ae,,,,,,,,,4,2026-04-22,,4,
001cv00000AuZiX,"County Of Jefferson, MT",Montana,County,Ali Cohen,12470,,Tier 2,1.0,46.1451,-112.0753,bc4baa7b-61d4-448d-9971-ab9b8e46d88e,,,,,,,,,11,2025-08-27,11,,
001cv00000AuZlR,"County Of Roosevelt, MT",Montana,County,Ali Cohen,10821,,Tier 2,1.0,48.285,-105.1099,2680f7c3-3b40-4d15-ba3c-090b653b29b7,,,,,,,,,1,2026-03-03,,1,
001cv00000AuZlT,"County Of Carbon, MT",Montana,County,Ali Cohen,10847,Open Opportunity,Tier 2,1.0,45.282,-109.1003,97aa03f2-cc97-4e4b-8b1f-a7863b60614b,Open,Initial Interest,Top of Funnel,Ali Cohen,,4/8/2026,,,5,2026-04-14,,5,
001cv00000AuZn9,"County Of Glacier, MT",Montana,County,Ali Cohen,13785,,Tier 2,1.0,48.5217,-112.9197,2a3ef2b2-ad55-44b3-8910-fe58f14b5467,,,,,,,,,1,2025-11-04,,1,
001cv00000AuZpH,"County Of Hill, MT",Montana,County,Ali Cohen,16179,,Tier 2,1.0,48.7488,-110.0351,24e78447-d663-4d38-81c3-65a8460e1b15,,,,,,,,,4,2026-01-12,1,3,
001cv00000AuZth,"County Of Park, MT",Montana,County,Ali Cohen,17473,,Tier 2,1.0,45.4788,-110.6083,cc2f8df3-929a-4a5f-84f6-f92ef90f4829,,,,,,,,,5,2025-09-05,5,,
001cv00000Aua3p,"County Of Lincoln, MT",Montana,County,Ali Cohen,20525,,Tier 2,1.0,46.9549,-112.6817,a006f777-e555-48fb-8773-71fa311140dd,,,,,,,,,10,2026-02-11,1,9,
001cv00000AuaN9,"City Of Bozeman, MT",Montana,Municipality,Ali Cohen,54539,Open Opportunity,Tier S,2.0,45.6793,-111.0373,07171c3b-928b-41ae-a4e0-30eb1c7dcc4e,Open,Initial Interest,Top of Funnel,Emily Murnane,,5/6/2026,,,24,2025-11-21,,24,
001cv00000AuaWG,"County Of Lewis And Clark, MT",Montana,County,Ali Cohen,72223,Open Opportunity,Tier S,2.0,47.2964,-112.403,89587996-2179-4992-8657-4a6f6a1db4cd,Open,Initial Interest,Top of Funnel,Ali Cohen,,10/24/2025,,,8,2026-04-29,,8,
001cv00000B21sZ,"City Of Wolf Point, MT",Montana,Municipality,Ali Cohen,2611,,Tier 3,0.75,48.0906,-105.6406,f527ad94-7fa7-4e2d-abe2-9692e5e74eca,,,,,,,,,,,,,
001cv00000bBVeT,Town of Bridger,Montana,Municipality,Asher Rosenfeld,716,,Tier 3,0.75,45.2958,-108.9138,e40b39b2-8909-4e81-9c0b-53a5c9394021,,,,,,,,,,,,,
001cv00000bBVic,City of Troy,Montana,Municipality,Asher Rosenfeld,911,,Tier 3,0.75,48.4641,-115.8899,65368ab2-170e-4b33-a58b-f9dd8b95c296,,,,,,,,,,,,,
001cv00000bBVid,Wibaux County,Montana,County,Asher Rosenfeld,911,,Tier 3,0.75,46.7837,-104.3184,c1e973e3-7d44-4054-8b90-e576524cbd86,,,,,,,,,,,,,
001cv00000bBVif,Town of Philipsburg,Montana,Municipality,Asher Rosenfeld,913,,Tier 3,0.75,46.3325,-113.2944,36600207-c089-495e-a018-711b28fee688,,,,,,,,,,,,,
001cv00000bBVkr,Town of Superior,Montana,Municipality,Asher Rosenfeld,940,,Tier 3,0.75,47.1916,-114.8918,1253f73a-b840-4daf-9c30-9ea3e2b6740e,,,,,,,,,,,,,
001cv00000bBVpA,Prairie County,Montana,County,Asher Rosenfeld,1112,,Tier 3,0.75,46.7981,-105.4045,1fd23e80-3b1e-4cda-a091-cce13ab807aa,,,,,,,,,,,,,
001cv00000bBVwl,Town of West Yellowstone,Montana,Municipality,Asher Rosenfeld,1202,,Tier 3,0.75,44.6621,-111.1041,f9e01a5b-279c-4ea2-b401-3523af36bc37,,,,,,,,,,,,,
001cv00000bBW3m,Powder River County,Montana,County,Asher Rosenfeld,1734,,Tier 3,0.75,45.2968,-105.5347,6b0bef19-7613-4622-897a-6af9fc2b26e3,,,,,,,,,,,,,
001cv00000bBWD8,City of Three Forks,Montana,Municipality,Asher Rosenfeld,1945,,Tier 3,0.75,45.8924,-111.5522,80f4d98d-e640-460b-8a1b-50b1ffe9e9f0,,,,,,,,,,,,,
001cv00000bBWIi,City of Baker,Montana,Municipality,Asher Rosenfeld,1767,,Tier 3,0.75,46.3695,-104.2774,6a2597e6-8cfe-4547-9dca-2db60351b200,,,,,,,,,,,,,
001cv00000bBWJE,City of Choteau,Montana,Municipality,Asher Rosenfeld,1804,,Tier 3,0.75,47.8125,-112.1836,86a7f0c6-7430-452e-bfbb-dc3122f134b8,,,,,,,,,,,,,
001cv00000bBWNu,Daniels County,Montana,County,Asher Rosenfeld,1625,,Tier 3,0.75,48.7744,-105.7249,cfdcf05f-d3f3-4874-9438-5a1c1a24c8be,,,,,,,,,,,,,
001cv00000bBWPQ,McCone County,Montana,County,Asher Rosenfeld,1717,,Tier 3,0.75,47.4501,-105.8811,e229c566-2295-45af-a991-5b1a1f969bbd,,,,,,,,,,,,,
001cv00000bBWQq,City of Roundup,Montana,Municipality,Asher Rosenfeld,2017,,Tier 3,0.75,46.4452,-108.5418,ecf3ceb1-0bcb-4abe-ac63-e1171d012092,,,,,,,,,,,,,
001cv00000bBWR8,Meagher County,Montana,County,Asher Rosenfeld,2065,,Tier 3,0.75,46.6202,-110.8848,1250833a-fc4e-40f7-b4a5-6a2e6c9a5e88,,,,,,,,,,,,,
001cv00000bBWRO,City of Townsend,Montana,Municipality,Asher Rosenfeld,2209,,Tier 3,0.75,46.3191,-111.5208,c75a1741-8aaa-4d2b-9d53-8f5bfae31f20,,,,,,,,,,,,,
001cv00000bBWRP,City of East Helena,Montana,Municipality,Asher Rosenfeld,2239,,Tier 3,0.75,46.5897,-111.9155,0712c695-b9fa-4617-bc2b-1ec4c86ae3a4,,,,,,,,,,,,,
001cv00000bBWSO,City of Billings,Montana,Municipality,Asher Rosenfeld,121483,,Tier S,2.0,45.7828,-108.5046,d320c79a-398b-413a-bbca-08df6c444071,,,,,,,,,,,,,
001cv00000bBWth,Carter County,Montana,County,Asher Rosenfeld,1399,,Tier 3,0.75,45.4522,-104.3708,c0c14e4a-5eef-4fce-ac08-b5a9accf1f0b,,,,,,,,,,,,,
