Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Leila Assil,Calls - Jenny Allison,Calls - Sydney Ireland
001Hr000028ZcWv,"Town Of Redding, CT",Connecticut,Municipality,Alicia Gopal,8735,,Tier 3,0.75,41.3045,-73.3929,2f6375f3-2776-40e3-a352-d0579ce0a085,,,,,,,,,,,,,,
001Hr000028ZcX4,"Town Of North Stonington, CT",Connecticut,Municipality,Alicia Gopal,5137,,Tier 3,0.75,41.4409,-71.8812,989b6816-4cbc-4fec-b410-d4780d7e3a3c,,,,,,,,,1,2025-10-08,1,,,
001Hr000028ZcXL,"Town Of Woodstock, CT",Connecticut,Municipality,Alicia Gopal,8221,,Tier 3,0.75,41.9484,-71.974,439c471f-3aa4-4c2f-8df2-667b25156260,,,,,,,,,,,,,,
001Hr000028ZcXf,"Town Of Bloomfield, CT",Connecticut,Municipality,Alicia Gopal,21480,Open Opportunity,Tier 2,1.0,41.8265,-72.7301,e6b63f15-12f7-4e16-8c19-0722c60abc61,Open,Initial Interest,Top of Funnel,Leila Assil,,6/5/2025,,,23,2026-05-11,10,13,,
001Hr000028ZcZZ,"Town Of Burlington, CT",Connecticut,Municipality,Alicia Gopal,9591,,Tier 3,0.75,41.7691,-72.9648,4213b20c-cf06-4eed-a0e1-0984bb5da74f,,,,,,,,,11,2025-08-11,,11,,
001Hr000028ZcZx,"Town Of Harwinton, CT",Connecticut,Municipality,Alicia Gopal,5508,,Tier 3,0.75,41.7713,-73.0598,7feb20c8-0cc0-4e3f-a4d1-365e6d3cdf5e,,,,,,,,,,,,,,
001Hr000028Zcae,"Town Of New Fairfield, CT",Connecticut,Municipality,Alicia Gopal,13545,Nurture,Tier 2,1.0,41.4661,-73.4856,f2873d3e-28d4-4f45-acff-cfd55b3bbd29,Closed Lost,,,Liam Shaw,9/10/2024,1/5/2025,,,2,2026-05-11,2,,,
001Hr000028Zcay,"Town Of Griswold, CT",Connecticut,Municipality,Alicia Gopal,11407,Nurture,Tier 2,1.0,41.6046,-71.9841,dc3468f4-f955-4946-a41e-64fb5d026dd3,,,,,,,,,7,2026-01-20,7,,,
001Hr000028Zcck,"Town Of Haddam, CT",Connecticut,Municipality,Alicia Gopal,8529,,Tier 3,0.75,41.4771,-72.5123,bae50927-bab8-410f-a2d0-435233bc458b,,,,,,,,,11,2025-11-05,11,,,
001Hr000028Zcdw,"Town Of Southington, CT",Connecticut,Municipality,Alicia Gopal,43500,,Tier 1,1.5,41.5965,-72.8776,2366f662-6c4e-487c-8eab-1d86d4ae6134,,,,,,,,,7,2026-05-11,7,,,
001Hr000028ZceV,"Town Of Old Lyme, CT",Connecticut,Municipality,Alicia Gopal,7577,,Tier 3,0.75,41.3162,-72.3298,120fb8ff-ada3-437a-8db6-1b90b6cf3fa6,,,,,,,,,,,,,,
001Hr000028Zceh,"Town Of East Granby, CT",Connecticut,Municipality,Alicia Gopal,5180,Nurture,Tier 3,0.75,41.9412,-72.7273,ece95474-005f-4d03-b226-d5386b75ad34,Closed Lost,,,Troy LeCaire,,1/5/2025,,,7,2026-01-27,7,,,
001Hr000028Zcf6,"Town Of Columbia, CT",Connecticut,Municipality,Alicia Gopal,5246,,Tier 3,0.75,41.702,-72.3012,1bf0e53d-c397-4e36-a731-2e0316ad23df,,,,,,,,,3,2025-10-20,3,,,
001Hr000028Zcff,"Town Of Bethany, CT",Connecticut,Municipality,Alicia Gopal,5288,Nurture,Tier 3,0.75,41.4218,-72.9971,7f5fa59d-6f51-486a-ac47-5a3e401d073d,Closed Lost,,,Liam Shaw,8/14/2024,1/5/2025,"$22,000",,,,,,,
001Hr000028Zcfq,"Town Of Beacon Falls, CT",Connecticut,Municipality,Alicia Gopal,6033,,Tier 3,0.75,41.4426,-73.0618,25f20e67-a05a-4d47-819b-dbb9cccb37cd,,,,,,,,,,,,,,
001Hr000028Zcfw,"Town Of Durham, CT",Connecticut,Municipality,Alicia Gopal,7231,Open Opportunity,Tier 3,0.75,41.478,-72.6811,ebb04ada-d476-4b57-90f8-47d344466630,Open,Initial Interest,Top of Funnel,Alicia Gopal,11/25/2025,11/21/2025,,,10,2025-12-18,10,,,
001Hr000028Zcgg,"Town Of Orange, CT",Connecticut,Municipality,Alicia Gopal,14246,,Tier 2,1.0,41.2792,-73.0258,ba17877e-40d0-4708-9641-989cc7ec225f,,,,,,,,,,,,,,
001Hr000028Zcgv,"Town Of Watertown, CT",Connecticut,Municipality,Alicia Gopal,22110,,Tier 2,1.0,41.6063,-73.1184,fb079d9e-f1c9-4dd4-9efe-711d8943f739,,,,,,,,,,,,,,
001Hr000028Zcgw,"Town Of Mansfield, CT",Connecticut,Municipality,Alicia Gopal,26357,,Tier 1,1.5,41.7885,-72.2293,604235f4-fe48-485d-8d68-827b8082b137,,,,,,,,,,,,,,
001Hr000028ZchE,"Town Of Portland, CT",Connecticut,Municipality,Alicia Gopal,9462,,Tier 3,0.75,41.5732,-72.6405,55934b68-28b8-41bb-b806-9da2a6a70a36,,,,,,,,,14,2026-02-04,14,,,
001Hr000028Zci2,"City Of Ansonia, CT",Connecticut,Municipality,Alicia Gopal,18815,Open Opportunity,Tier 2,1.0,41.3462,-73.079,5ef2d07a-6138-4d24-801e-d271757e3d3a,Open,Initial Interest,Top of Funnel,Alicia Gopal,1/14/2026,10/14/2025,,,38,2026-04-07,32,6,,
001Hr000028Zci7,"Town Of Ellington, CT",Connecticut,Municipality,Alicia Gopal,16630,Nurture,Tier 2,1.0,41.9173,-72.4582,20d9f14d-0a0f-46a5-b947-07f4a1b40e8a,Closed Lost,,,Liam Shaw,9/24/2024,1/5/2025,,,,,,,,
001Hr000028ZciN,"Town Of Coventry, CT",Connecticut,Municipality,Alicia Gopal,12205,,Tier 2,1.0,41.7847,-72.3393,10a3cfa7-bcf0-433a-af70-aade0bc756e4,,,,,,,,,,,,,,
001Hr000028ZcjU,"Town Of Lebanon, CT",Connecticut,Municipality,Alicia Gopal,7108,,Tier 3,0.75,41.6363,-72.2126,3056a2a6-140f-455d-9320-0832bef4ebcf,,,,,,,,,,,,,,
001Hr000028Zck2,"Town Of New Hartford, CT",Connecticut,Municipality,Alicia Gopal,6668,,Tier 3,0.75,41.8793,-72.9752,08e7424f-05db-43b2-b5c3-1b0cf725338e,,,,,,,,,2,2025-09-18,,2,,
001Hr000028Zcko,"Town Of Enfield, CT",Connecticut,Municipality,Alicia Gopal,42031,Open Opportunity,Tier 1,1.5,42.0027,-72.5441,67b0c00d-ba26-4958-bb3f-d8f6c496c7c5,Open,Proposal,Mid Funnel,Liam Shaw,7/31/2024,1/5/2025,"$55,000",,,,,,,
001Hr000028ZclW,"Town of Wolcott, CT",Connecticut,Municipality,Alicia Gopal,16232,Nurture,Tier 2,1.0,41.6023,-72.9868,,Closed Lost,,,Liam Shaw,10/9/2024,1/5/2025,,,11,2025-09-24,,11,,
001Hr000028Zcla,"Town Of East Hampton, CT",Connecticut,Municipality,Alicia Gopal,12874,,Tier 2,1.0,41.5755,-72.5024,784eff38-0fa9-4d96-9c2c-930b0f35b034,,,,,,,,,2,2025-09-04,,2,,
001Hr000028Zclx,"Town Of Essex, CT",Connecticut,Municipality,Alicia Gopal,6759,Nurture,Tier 3,0.75,41.3516,-72.4169,16ff769f-050f-4d22-91c0-e5f721b75e14,,,,,,,,,8,2026-02-03,8,,,
001Hr000028Zcm5,"Town Of Canton, CT",Connecticut,Municipality,Alicia Gopal,10083,Open Opportunity,Tier 2,1.0,41.8248,-72.8956,bbde3d1e-03e1-43c6-b112-97c1200723fe,Open,Meeting Booked,Top of Funnel,Alicia Gopal,7/22/2026,5/4/2026,,Yes,5,2026-05-18,5,,,
001Hr000028Zcmu,"Town Of Ridgefield, CT",Connecticut,Municipality,Alicia Gopal,25011,,Tier 1,1.5,41.2841,-73.4975,fd9da23d-4f93-4ed2-962c-3d87c497dbe9,,,,,,,,,,,,,,
001Hr000028Zcnd,"Town Of Clinton, CT",Connecticut,Municipality,Alicia Gopal,13400,Nurture,Tier 2,1.0,41.2882,-72.5288,8ea27144-5569-409e-a10d-a771cae3e66c,Closed Lost,,,Troy LeCaire,,1/5/2025,,,9,2025-06-02,,9,,
001Hr000028Zcng,"Town Of Thompson, CT",Connecticut,Municipality,Alicia Gopal,9226,,Tier 3,0.75,41.9841,-71.8792,f3f42843-b977-4a86-ab9c-929bb69f03c4,,,,,,,,,,,,,,
001Hr000028Zcoc,"Town Of Thomaston, CT",Connecticut,Municipality,Alicia Gopal,7453,Nurture,Tier 3,0.75,41.6743,-73.0724,d18cfcf3-2fa9-4f80-be29-eb4c449b7c1f,Closed Lost,,,Liam Shaw,8/14/2024,1/5/2025,"$12,000",,,,,,,
001Hr000028Zcod,"Town Of Hebron, CT",Connecticut,Municipality,Alicia Gopal,9066,,Tier 3,0.75,41.6579,-72.3659,793fcc48-9401-43a8-a0b2-f58b4a0803c2,,,,,,,,,,,,,,
001Hr000028Zcom,"Town Of Middlebury, CT",Connecticut,Municipality,Alicia Gopal,7684,All Modules Live,Tier 3,0.75,41.5279,-73.1276,51bba036-da3e-4bde-af7a-53587b5d85c3,Closed Won,,,Asher Rosenfeld,8/22/2024,1/5/2025,"$12,000",,,,,,,
001Hr000028Zcp8,"Town Of Madison, CT",Connecticut,Municipality,Alicia Gopal,17619,,Tier 2,1.0,41.2793,-72.5984,82a90bd6-fb04-4453-a2dd-11dd0765158e,,,,,,,,,,,,,,
001Hr000028ZcpC,"Town Of Woodbridge, CT",Connecticut,Municipality,Alicia Gopal,9045,Nurture,Tier 3,0.75,41.3526,-73.0084,c0c9a178-caaa-491c-84af-7dc3849684a2,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,
001Hr000028ZcpF,"Town Of Somers, CT",Connecticut,Municipality,Alicia Gopal,10279,Nurture,Tier 2,1.0,41.9852,-72.4461,04c9cb81-fcb9-4c2c-89f0-44d185d8149e,Closed Lost,,,Liam Shaw,8/26/2024,1/5/2025,,,5,2026-05-04,3,2,,
001Hr000028ZcpI,"Town Of East Windsor, CT",Connecticut,Municipality,Alicia Gopal,11161,,Tier 2,1.0,41.9161,-72.5579,32a0c1ae-5d8f-49ac-9c61-f7c714ba0596,,,,,,,,,6,2025-11-06,6,,,
001Hr000028ZcpU,"Town Of Rocky Hill, CT",Connecticut,Municipality,Alicia Gopal,20746,Open Opportunity,Tier 2,1.0,41.6573,-72.6656,0de541bd-7852-4494-8e6f-f6b19685609b,Open,Initial Interest,Top of Funnel,Alicia Gopal,,12/10/2025,,,8,2026-01-05,8,,,
001Hr000028Zcph,"Town Of Suffield, CT",Connecticut,Municipality,Alicia Gopal,15862,,Tier 2,1.0,41.9915,-72.7018,c4fd262a-4e5c-4dc0-85c7-63224370eae3,,,,,,,,,1,2025-12-15,1,,,
001Hr000028Zcpm,"Town Of Prospect, CT",Connecticut,Municipality,Alicia Gopal,9344,,Tier 3,0.75,41.503,-72.9783,085f4090-6775-46fe-bfc7-95b6b3f2b099,,,,,,,,,,,,,,
001Hr000028Zcpw,"Town Of Newtown, CT",Connecticut,Municipality,Alicia Gopal,27522,Open Opportunity,Tier 1,1.5,41.4135,-73.3088,bde7c05c-b9fe-4a6c-84a3-9b2ecb632425,Open,Proposal,Mid Funnel,Alicia Gopal,2/27/2026,2/27/2026,"$48,000",,6,2026-02-27,6,,,
001Hr000028Zcqf,"Town Of Windsor Locks, CT",Connecticut,Municipality,Alicia Gopal,12531,,Tier 2,1.0,41.9243,-72.6454,adef4b58-7f71-4509-b80c-4562fee90130,,,,,,,,,,,,,,
001Hr000028Zcqs,"Town Of Litchfield, CT",Connecticut,Municipality,Alicia Gopal,8170,Open Opportunity,Tier 3,0.75,41.7475,-73.188,9a404772-4569-4ef5-a35a-c24b69ad854d,Open,Initial Interest,Top of Funnel,Alicia Gopal,11/12/2025,10/10/2025,,,14,2025-11-03,14,,,
001Hr000028Zcrb,"Town Of Brooklyn, CT",Connecticut,Municipality,Alicia Gopal,8488,,Tier 3,0.75,41.7883,-71.9499,b1d904bc-e9eb-45e1-9f10-358641921524,,,,,,,,,,,,,,
001Hr000028ZcsW,"Town Of Plainville, CT",Connecticut,Municipality,Alicia Gopal,17445,,Tier 2,1.0,41.6757,-72.8634,8d9fc9b3-5927-4141-94cc-8e66c3232bb8,,,,,,,,,,,,,,
001Hr000028Zcsu,"City Of Groton, CT",Connecticut,Municipality,Alicia Gopal,10160,Nurture,Tier 2,1.0,41.3522,-72.0767,d8deecdb-2168-4700-bc0d-e5247d4f3a5a,Closed Lost,,,Jenny Allison,10/17/2025,10/15/2025,,,7,2026-03-20,2,,5,
001Hr000028Zct5,"Town Of Stonington, CT",Connecticut,Municipality,Alicia Gopal,18427,,Tier 2,1.0,41.336,-71.9059,fa23dcbe-7f63-486c-adfd-f713029402cf,,,,,,,,,,,,,,
001Hr000028ZctA,"Town Of Stafford, CT",Connecticut,Municipality,Alicia Gopal,11412,,Tier 2,1.0,41.9844,-72.3163,3ed4691d-39a7-40af-88f2-de380bcc4022,,,,,,,,,18,2025-09-25,,18,,
001Hr000028Zctu,"Town Of Colchester, CT",Connecticut,Municipality,Alicia Gopal,15501,,Tier 2,1.0,41.5759,-72.3324,a4cd9878-fa45-4c46-aa4f-1da306452e24,,,,,,,,,,,,,,
001Hr000028Zctz,"Town Of Simsbury, CT",Connecticut,Municipality,Alicia Gopal,24807,,Tier 2,1.0,41.8702,-72.8047,bf668681-e268-4b64-ba1d-98b762d610c5,,,,,,,,,,,,,,
001Hr000028Zcua,"Town Of Putnam, CT",Connecticut,Municipality,Alicia Gopal,9227,,Tier 3,0.75,41.9209,-71.9021,bd00d3cc-29b1-486a-b9f4-d8744a273b04,,,,,,,,,,,,,,
001Hr000028Zcus,"Town Of Wilton, CT",Connecticut,Municipality,Alicia Gopal,18460,,Tier 2,1.0,41.1954,-73.4379,3c8723ee-15fb-4219-b05c-334fbedb22f3,,,,,,,,,1,2026-04-06,,,,1
001Hr000028Zcv0,"Town Of Avon, CT",Connecticut,Municipality,Alicia Gopal,18848,Nurture,Tier 2,1.0,41.8096,-72.8305,d7c54e2c-ef4d-49af-8657-cb17f02cbd52,Closed Lost,,,Alicia Gopal,10/21/2025,10/1/2025,,,2,2025-10-01,2,,,
001Hr000028ZcvV,"Town Of Plymouth, CT",Connecticut,Municipality,Alicia Gopal,11659,,Tier 2,1.0,41.672,-73.0529,fef5f9e6-709f-4b4f-aa83-4857db0c68d3,,,,,,,,,3,2025-11-20,3,,,
001Hr000028ZcwL,"City Of New London, CT",Connecticut,Municipality,Alicia Gopal,27635,,Tier 1,1.5,41.3557,-72.0995,fd1f79e8-e46e-4198-8545-b31d3ebe296e,,,,,,,,,3,2025-05-30,,3,,
001Hr000028ZcwT,"Town Of Monroe, CT",Connecticut,Municipality,Alicia Gopal,18764,,Tier 2,1.0,41.3326,-73.2073,2fc63022-95e0-44a1-b060-3a334c1ce902,,,,,,,,,7,2026-02-12,7,,,
001Hr000028ZcwW,"Town Of Winchester, CT",Connecticut,Municipality,Alicia Gopal,10217,,Tier 2,1.0,41.8994,-73.1348,8b003935-9398-48c8-aeb6-3909f7122b45,,,,,,,,,,,,,,
001Hr000028Zcx5,"Town Of Old Saybrook, CT",Connecticut,Municipality,Alicia Gopal,10563,,Tier 2,1.0,41.296,-72.3845,9ec79109-9b2e-4ee8-ae0e-5cf25e4e569c,,,,,,,,,6,2025-09-18,,6,,
001Hr000028ZcxI,"Town Of Windsor, CT",Connecticut,Municipality,Alicia Gopal,29376,,Tier 1,1.5,41.8526,-72.6437,263befca-aeca-4cfe-98d5-cea6bb6ad86d,,,,,,,,,3,2025-05-29,,3,,
001Hr000028Zcxk,"City Of Torrington, CT",Connecticut,Municipality,Alicia Gopal,35357,,Tier 1,1.5,41.8003,-73.1212,c7c23e6a-09df-44dd-9489-00453906d58f,,,,,,,,,3,2025-07-17,,3,,
001Hr000028ZcyN,"Town Of Granby, CT",Connecticut,Municipality,Alicia Gopal,10953,,Tier 2,1.0,41.9541,-72.7888,6bfcf3fd-6223-480f-bfce-3251a1e712ef,,,,,,,,,9,2026-04-23,9,,,
001Hr000028ZczC,"Town Of Wethersfield, CT",Connecticut,Municipality,Alicia Gopal,27124,,Tier 1,1.5,41.7064,-72.6596,dd1afcdc-9692-4421-81b1-6fe589a9c592,,,,,,,,,1,2025-12-04,1,,,
001Hr000028Zd0m,"Town Of Farmington, CT",Connecticut,Municipality,Alicia Gopal,26645,,Tier 1,1.5,41.736,-72.795,3b3989cf-1614-4662-aba7-57ab84ea9804,,,,,,,,,,,,,,
001Hr000028Zd0v,"Town Of Berlin, CT",Connecticut,Municipality,Alicia Gopal,20113,Open Opportunity,Tier 2,1.0,41.6272,-72.7741,e40a202a-3819-444c-a4ba-66d49816bbcc,Open,Initial Interest,Top of Funnel,Alicia Gopal,,3/18/2026,,,14,2026-03-26,9,5,,
001Hr000028Zd1M,"City Of Derby, CT",Connecticut,Municipality,Alicia Gopal,12274,Open Opportunity,Tier 2,1.0,41.3207,-73.089,099165e8-77e5-453c-a318-ed6ab2af66d5,Open,Meeting Booked,Top of Funnel,Alicia Gopal,1/13/2026,12/11/2025,,,7,2026-01-12,7,,,
001Hr000028Zd1r,"Town Of Southbury, CT",Connecticut,Municipality,Alicia Gopal,19796,,Tier 2,1.0,41.4793,-73.2134,6074a7c7-3943-440c-a8fb-93aa217d982a,,,,,,,,,5,2025-09-19,,5,,
001Hr000028Zd1s,"Town Of Wallingford, CT",Connecticut,Municipality,Alicia Gopal,44194,,Tier 1,1.5,41.4567,-72.8241,c0598da9-e62a-43d5-a2ee-a6a35bfd2d10,,,,,,,,,8,2026-01-22,8,,,
001Hr000028Zd2A,"Town Of Oxford, CT",Connecticut,Municipality,Alicia Gopal,12768,,Tier 2,1.0,41.4472,-73.1368,89801166-b1a1-46bf-9948-5a1f0cd844cd,,,,,,,,,5,2026-02-13,5,,,
001Hr000028Zd3U,"Town Of Montville, CT",Connecticut,Municipality,Alicia Gopal,18478,,Tier 2,1.0,41.464,-72.1556,62cdeb64-3425-4b9b-b0b0-ae1b75f10ab0,,,,,,,,,5,2025-10-06,5,,,
001Hr000028Zd3p,"Town Of Brookfield, CT",Connecticut,Municipality,Alicia Gopal,17482,Open Opportunity,Tier 2,1.0,41.466,-73.3878,956fb67b-68b8-4cf5-96cf-9709ee5536e7,Open,Proposal,Mid Funnel,Alicia Gopal,4/28/2026,4/23/2026,"$7,000",,1,2026-04-23,1,,,
001Hr000028Zd4G,"Town Of Cromwell, CT",Connecticut,Municipality,Alicia Gopal,14302,Nurture,Tier 2,1.0,41.5951,-72.6454,f1040a24-6a0d-485c-9e2c-e8c9e85b51ac,Closed Lost,,,Liam Shaw,9/18/2024,1/5/2025,,,,,,,,
001Hr000028Zd4l,"Town Of Tolland, CT",Connecticut,Municipality,Alicia Gopal,14511,,Tier 2,1.0,41.8715,-72.3687,4ea4a47d-08c1-4d4f-b273-00c0702246a6,,,,,,,,,2,2025-08-18,,2,,
001Hr000028Zd62,"Town Of Plainfield, CT",Connecticut,Municipality,Alicia Gopal,14959,,Tier 2,1.0,41.6765,-71.9151,1b224ebe-a5f3-4ec8-a0d7-1851df644ae4,,,,,,,,,,,,,,
001Hr000028Zd6t,"City Of Middletown, CT",Connecticut,Municipality,Alicia Gopal,47108,Open Opportunity,Tier 1,1.5,41.5623,-72.6506,54c5b050-dee4-41eb-ada3-8cc04c91f28b,Open,Initial Interest,Top of Funnel,Alicia Gopal,,10/23/2025,,,38,2026-04-06,38,,,
001Hr000028Zd7t,"Town Of Seymour, CT",Connecticut,Municipality,Alicia Gopal,16679,,Tier 2,1.0,41.3944,-73.0743,c6d1e367-9245-4b42-a772-d62e5f2124c5,,,,,,,,,2,2025-12-15,2,,,
001Hr000028Zd8c,"Town Of Killingly, CT",Connecticut,Municipality,Alicia Gopal,17742,Nurture,Tier 2,1.0,41.8413,-71.8767,d1885073-27ad-4e87-952d-65dbea059736,Closed Lost,,,Liam Shaw,9/17/2024,1/5/2025,,,1,2025-09-03,,1,,
001Hr000028Zd8s,"Town Of New Canaan, CT",Connecticut,Municipality,Alicia Gopal,20732,,Tier 2,1.0,41.1468,-73.4948,5cb9557e-564d-48ed-bec7-2f407c460e10,,,,,,,,,,,,,,
001Hr000028Zd9a,"Town Of East Lyme, CT",Connecticut,Municipality,Alicia Gopal,18849,,Tier 2,1.0,41.3532,-72.2295,e01ad665-7f87-4c13-9262-abbdbe95f387,,,,,,,,,5,2025-12-16,5,,,
001Hr000028ZdAF,"Town Of Bethel, CT",Connecticut,Municipality,Alicia Gopal,20537,Nurture,Tier 2,1.0,41.3726,-73.4136,b7898c09-7b6e-4680-90f6-37dfa35dd27f,Closed Lost,,,Troy LeCaire,,1/5/2025,,,1,2025-05-21,,1,,
001Hr000028ZdBK,"Town Of South Windsor, CT",Connecticut,Municipality,Alicia Gopal,26767,,Tier 1,1.5,41.849,-72.5718,5aebe72e-51ce-4594-8fa7-5a8da6282d1f,,,,,,,,,3,2025-10-07,3,,,
001Hr000028ZdBO,"Town Of Glastonbury, CT",Connecticut,Municipality,Alicia Gopal,35054,Open Opportunity,Tier 1,1.5,41.6862,-72.5451,a5e7fc61-c125-442c-a109-0e60b83bd8a8,Open,Initial Interest,Top of Funnel,Alicia Gopal,,4/6/2026,,,24,2026-05-18,13,11,,
001Hr000028ZdCB,"Town Of North Haven, CT",Connecticut,Municipality,Alicia Gopal,24169,,Tier 2,1.0,41.3909,-72.8595,8409aec9-4399-42c8-8773-644886d0547a,,,,,,,,,,,,,,
001Hr000028ZdCR,"Town Of Groton, CT",Connecticut,Municipality,Alicia Gopal,38456,Cold,Tier 1,1.5,41.3482,-72.0787,165d4f74-fbf4-47d3-9842-f4e268057f8e,,,,,,,,,26,2026-04-23,26,,,
001Hr000028ZdDX,"Town Of Windham, CT",Connecticut,Municipality,Alicia Gopal,24362,,Tier 2,1.0,41.6998,-72.157,f980beb6-4038-4207-bb97-b5c3cd19b4ed,,,,,,,,,35,2026-05-18,35,,,
001Hr000028ZdDy,"Town Of New Milford, CT",Connecticut,Municipality,Alicia Gopal,28182,,Tier 1,1.5,41.577,-73.4085,d90cd537-5296-4d0e-94f5-fa7cee6341ec,,,,,,,,,2,2025-07-07,,2,,
001Hr000028ZdFE,"Town Of Westport, CT",Connecticut,Municipality,Alicia Gopal,27279,Nurture,Tier 1,1.5,41.1414,-73.3581,4323c521-a634-4a9b-bc7f-8b14c64a50a3,,,,,,,,,29,2026-05-12,29,,,
001Hr000028ZdFY,"Town Of Branford, CT",Connecticut,Municipality,Alicia Gopal,28176,,Tier 1,1.5,41.2814,-72.8103,fc499f1d-0b30-45b6-ad7b-7841675146e4,,,,,,,,,1,2026-02-11,1,,,
001Hr000028ZdFn,"Town Of East Haven, CT",Connecticut,Municipality,Alicia Gopal,27804,,Tier 1,1.5,41.278,-72.872,930ce28e-9ef6-4407-b58e-63ff12978ba8,,,,,,,,,8,2026-02-13,8,,,
001Hr000028ZdGD,"Town Of Newington, CT",Connecticut,Municipality,Alicia Gopal,30365,,Tier 1,1.5,41.6973,-72.7228,081f7d74-1f85-40c4-ba40-3e610d245877,,,,,,,,,5,2025-09-19,,5,,
001Hr000028ZdHF,"Town Of Vernon, CT",Connecticut,Municipality,Alicia Gopal,30326,,Tier 1,1.5,41.8676,-72.4487,d1929b08-dd1f-4580-abc3-05b973e04025,,,,,,,,,,,,,,
