Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Jenny Allison,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Shane Lieberman,Calls - Ryan Minter,Salesforce ID
001Hr000028ZbtG,"City Of Bluffdale, UT",Utah,Municipality,Catherine Silvestri,18835,Recent Competitor Purchase,Tier 2,1.0,40.4897,-111.9388,9da59f09-d566-44b1-b20a-de495babd12e,Closed Lost,,,Alicia Gopal,1/22/2026,1/14/2026,"$45,000",,11,2026-01-14,,3,,8,,,
001Hr000028ZbtP,"City Of Enoch, UT",Utah,Municipality,Catherine Silvestri,8016,Nurture,Tier 3,0.75,37.7733,-113.0244,18ff49bf-0a5d-4025-96c3-61508aea06c5,Closed Lost,,,Catherine Silvestri,2/12/2026,2/5/2026,,,5,2026-02-17,3,2,,,,,
001Hr000028Zbu3,"City of Hooper, UT",Utah,Municipality,Catherine Silvestri,9367,,Tier 3,0.75,41.1638,-112.1224,b8947f69-a7a2-4c5b-a544-e5183e0f1a95,,,,,,,,,8,2026-02-20,1,2,5,,,,
001Hr000028ZbuL,"City Of South Weber, UT",Utah,Municipality,Catherine Silvestri,8125,,Tier 3,0.75,41.1324,-111.9302,98f5f523-5af8-41c6-b470-7c3a3c3a400e,,,,,,,,,2,2026-03-20,1,,1,,,,
001Hr000028Zbul,"County Of Sevier, UT",Utah,County,Catherine Silvestri,21906,Nurture,Tier 2,1.0,38.5864,-112.2583,33721f00-9452-4472-a7d1-74d2fc4a0495,Closed Lost,,,Troy LeCaire,,1/5/2025,"$16,000",,5,2026-01-26,2,3,,,,,
001Hr000028Zbun,"Metro Township Of Kearns, UT",Utah,Municipality,Catherine Silvestri,36747,Nurture,Tier 1,1.5,40.6599,-111.9963,de97da09-5fa3-42ba-bd2b-4aa06f98956d,Closed Lost,,,Alicia Gopal,4/8/2026,1/7/2026,,,2,2025-11-25,,2,,,,,
001Hr000028Zbw0,"City Of Murray, UT",Utah,Municipality,Catherine Silvestri,50188,Open Opportunity,Tier S,2.0,40.6669,-111.888,51c2ea7f-65ce-4ff0-ad04-73458f98e89e,Open,Sales Qualified,Mid Funnel,Catherine Silvestri,5/12/2026,5/4/2026,,,7,2026-05-11,3,4,,,,,
001Hr000028ZbwK,"City Of Midvale, UT",Utah,Municipality,Catherine Silvestri,35938,,Tier 1,1.5,40.6111,-111.8999,21e32136-dbb7-4982-b15b-f2ee28f0e6e8,,,,,,,,,6,2026-02-18,3,3,,,,,
001Hr000028ZbwY,"City Of Vernal, UT",Utah,Municipality,Catherine Silvestri,10241,Nurture,Tier 2,1.0,40.4555,-109.5287,0d523cb3-c551-45c3-826d-3d7192697d77,Closed Lost,,,Catherine Silvestri,4/3/2026,4/2/2026,,,13,2026-04-30,13,,,,,,
001Hr000028ZbxO,"County Of San Juan, UT",Utah,County,Catherine Silvestri,14610,Nurture,Tier 2,1.0,37.4634,-109.7592,37dc0f92-dfd2-4267-8ada-f60ad441a01d,Closed Lost,,,Catherine Silvestri,4/2/2026,3/16/2026,,,20,2026-04-14,9,11,,,,,
001Hr000028ZbxY,"County Of Morgan, UT",Utah,County,Catherine Silvestri,12657,,Tier 2,1.0,41.0576,-111.6184,efebeeb2-78ec-4bd5-9510-a349f46120fc,,,,,,,,,17,2026-02-25,5,12,,,,,
001Hr000028Zbxd,"County Of Kane, UT",Utah,County,Catherine Silvestri,7992,,Tier 3,0.75,37.2933,-112.4291,a63da408-7935-4df4-8121-b264f56da4fb,,,,,,,,,1,2025-12-15,,1,,,,,
001Hr000028Zbxi,"County Of Grand, UT",Utah,County,Catherine Silvestri,9663,,Tier 3,0.75,39.0858,-109.7592,365f119c-fd83-41e8-a826-c00896b18738,,,,,,,,,3,2026-02-18,1,,2,,,,
001Hr000028Zbxn,"County Of Garfield, UT",Utah,County,Catherine Silvestri,5129,,Tier 3,0.75,37.84,-111.2845,59d71110-8a78-4a3f-a334-b5cc4025dae8,,,,,,,,,1,2025-12-15,,1,,,,,
001Hr000028Zbxs,"County Of Carbon, UT",Utah,County,Catherine Silvestri,20372,,Tier 2,1.0,39.648,-110.6169,65665eba-5aab-479b-9493-19545015cd96,,,,,,,,,10,2026-03-23,8,2,,,,,
001Hr000028Zbxx,"County Of Duchesne, UT",Utah,County,Catherine Silvestri,20161,Open Opportunity,Tier 2,1.0,40.1633,-110.4029,43e69182-275f-4a4c-8ad9-8947181806da,Open,Initial Interest,Top of Funnel,Jenny Allison,1/8/2026,12/2/2025,,Yes,19,2026-02-18,2,5,,12,,,
001Hr000028Zbxz,"City Of Price, UT",Utah,Municipality,Catherine Silvestri,8267,,Tier 3,0.75,39.5994,-110.8107,1d569915-6847-4a6f-bbfd-c9c958c4c797,,,,,,,,,7,2026-01-26,7,,,,,,
001Hr000028ZbyH,"County Of Beaver, UT",Utah,County,Catherine Silvestri,7249,Nurture,Tier 3,0.75,38.3266,-113.2871,0cfc12dd-4407-4a2a-9f94-8ab8056fd42c,Closed Lost,,,Troy LeCaire,,1/5/2025,,,2,2025-12-10,,2,,,,,
001Hr000028Zc02,"City Of Cedar City, UT",Utah,Municipality,Catherine Silvestri,37206,Open Opportunity,Tier 1,1.5,37.6774,-113.0618,280db683-81b5-40f0-8344-e0ecc87e43a1,Open,Proposal,Mid Funnel,Catherine Silvestri,2/26/2026,2/17/2026,"$47,500",,18,2026-02-25,10,,8,,,,
001Hr000028Zc1W,"City Of Richfield, UT",Utah,Municipality,Catherine Silvestri,8262,,Tier 3,0.75,38.7725,-112.0841,e1356fdf-5f1d-4870-91c3-2a0e748611a7,,,,,,,,,3,2026-04-29,3,,,,,,
001Hr000028Zc1Y,"City Of West Point, UT",Utah,Municipality,Catherine Silvestri,11430,Nurture,Tier 2,1.0,41.1183,-112.0841,bab6ac3b-b463-4f04-89af-c37787814a12,Closed Lost,,,Jenny Allison,12/10/2025,12/1/2025,"$30,000",,3,2025-12-01,,3,,,,,
001Hr000028Zc1r,"City Of Clinton, UT",Utah,Municipality,Catherine Silvestri,23597,,Tier 2,1.0,41.1397,-112.0505,dfe0448b-75ee-4e34-8210-cd110a6915fc,,,,,,,,,3,2025-12-12,,2,1,,,,
001Hr000028Zc1s,"City Of Pleasant Grove, UT",Utah,Municipality,Catherine Silvestri,37949,,Tier 1,1.5,40.3641,-111.7385,025e21f0-4fe8-4b5f-a627-c8063dfa747e,,,,,,,,,6,2025-12-10,,6,,,,,
001Hr000028Zc3j,"City Of Saratoga Springs, UT",Utah,Municipality,Catherine Silvestri,44164,,Tier 1,1.5,40.3302,-111.9045,02c5d2d8-e4ff-4927-96d5-be76e7cfaa0c,,,,,,,,,13,2026-02-24,1,12,,,,,
001Hr000028Zc5A,"City Of Tooele, UT",Utah,Municipality,Catherine Silvestri,37104,,Tier 1,1.5,40.5308,-112.2983,d4676a4f-c3a5-4b2b-9a65-409ed28c4a02,,,,,,,,,12,2026-03-24,9,3,,,,,
001Hr000028Zc5G,"City Of Lindon, UT",Utah,Municipality,Catherine Silvestri,11709,,Tier 2,1.0,40.3433,-111.7208,a2966b3a-5b2f-4e0c-8eb8-8246fa1e2156,,,,,,,,,2,2026-02-24,1,1,,,,,
001Hr000028Zc63,"City Of Harrisville, UT",Utah,Municipality,Catherine Silvestri,7004,,Tier 3,0.75,41.2813,-111.9883,b837aaf4-6b4c-407d-8263-6f0d9c5bfe10,,,,,,,,,4,2025-12-10,,3,1,,,,
001Hr000028Zc6N,"City Of Tremonton, UT",Utah,Municipality,Catherine Silvestri,12677,,Tier 2,1.0,41.7119,-112.1655,d05b8cfd-7170-4051-b5d5-21005316a656,,,,,,,,,19,2026-04-06,11,8,,,,,
001Hr000028Zc8w,"City Of Brigham City, UT",Utah,Municipality,Catherine Silvestri,19998,,Tier 2,1.0,41.5102,-112.0155,64c52c83-1514-49f7-8116-5f285149198a,,,,,,,,,22,2026-01-26,1,,21,,,,
001Hr000028Zc9U,"City Of West Haven, UT",Utah,Municipality,Catherine Silvestri,19880,,Tier 2,1.0,41.203,-112.0511,4d91ef9b-0d3b-4dc8-aea9-261203b0f0de,,,,,,,,,4,2026-03-02,1,3,,,,,
001Hr000028Zc9e,"White City, UT",Utah,Municipality,Catherine Silvestri,5792,,Tier 3,0.75,40.5658,-111.8644,5eefa4cf-5172-4906-ac5d-8e8832b1da9b,,,,,,,,,,,,,,,,,
001Hr000028ZcAt,"City Of Park City, UT",Utah,Municipality,Catherine Silvestri,8457,,Tier 3,0.75,40.6461,-111.498,10ebce11-b7ed-4a52-8657-457488ea7dfd,,,,,,,,,13,2025-12-01,,12,1,,,,
001Hr000028ZcB8,"City Of Spanish Fork City, UT",Utah,Municipality,Catherine Silvestri,43870,Nurture,Tier 1,1.5,40.115,-111.6549,b3bf8efe-7c4b-481d-921c-4869473731b7,Closed Lost,,,Jenny Allison,12/5/2025,12/3/2025,,,6,2025-12-03,,6,,,,,
001Hr000028ZcBl,"City of Smithfield, UT",Utah,Municipality,Catherine Silvestri,14067,,Tier 2,1.0,41.8383,-111.8327,e01b83aa-1b11-449f-91d9-6b873a8bb781,,,,,,,,,7,2026-02-24,2,5,,,,,
001Hr000028ZcC3,"City Of West Bountiful, UT",Utah,Municipality,Catherine Silvestri,5957,,Tier 3,0.75,40.8938,-111.9019,dfa119be-beec-45ef-9379-dfb16b179ec6,,,,,,,,,2,2025-06-30,,,2,,,,
001Hr000028ZcCZ,"City Of Grantsville, UT",Utah,Municipality,Catherine Silvestri,13574,,Tier 2,1.0,40.5999,-112.4644,fa37e202-ba6c-4f8a-ba21-3dc084b3e03d,,,,,,,,,9,2026-03-20,9,,,,,,
001Hr000028ZcCe,"City Of Ephraim, UT",Utah,Municipality,Catherine Silvestri,5719,,Tier 3,0.75,39.3597,-111.5863,79dd6c18-1882-471b-91eb-5de79afb9ed0,,,,,,,,,12,2026-05-12,12,,,,,,
001Hr000028ZcCt,"City Of Nephi, UT",Utah,Municipality,Catherine Silvestri,6600,,Tier 3,0.75,39.7102,-111.8363,0b37fdf7-fc30-48d5-b6c3-f67d3cff5779,,,,,,,,,8,2026-05-11,8,,,,,,
001Hr000028ZcD0,"City Of South Ogden, UT",Utah,Municipality,Catherine Silvestri,17541,,Tier 2,1.0,41.1762,-111.96,55bb8ede-5337-46da-a24b-dad7d61f3580,,,,,,,,,3,2025-11-25,,1,2,,,,
001Hr000028ZcD7,"City Of Moab, UT",Utah,Municipality,Catherine Silvestri,5317,Open Opportunity,Tier 3,0.75,38.5733,-109.5508,ea81b427-5bb9-4157-83ca-a96c0fe45fd2,Open,Proposal,Mid Funnel,Granger West,6/24/2025,6/23/2025,"$25,000",,,,,,,,,,
001Hr000028ZcDC,"City Of North Logan, UT",Utah,Municipality,Catherine Silvestri,11155,,Tier 2,1.0,41.7694,-111.8047,c75c6ee2-d77f-42eb-9b4c-7f76b88ee2e0,,,,,,,,,2,2026-02-19,1,1,,,,,
001Hr000028ZcDH,"City Of Ivins, UT",Utah,Municipality,Catherine Silvestri,9532,,Tier 3,0.75,37.1686,-113.6794,8f634a17-bea6-4d56-8958-981260041855,,,,,,,,,1,2026-01-27,1,,,,,,
001Hr000028ZcDM,"City Of Santa Clara, UT",Utah,Municipality,Catherine Silvestri,7924,,Tier 3,0.75,37.133,-113.6541,03eabbf2-0703-4ea4-a5c4-33f78022475f,,,,,,,,,1,2026-01-27,1,,,,,,
001Hr000028ZcDR,"City Of Nibley, UT",Utah,Municipality,Catherine Silvestri,7529,Nurture,Tier 3,0.75,41.6744,-111.833,420adb5b-b3e5-471b-b288-cd00d7fdeb11,Closed Lost,,,Catherine Silvestri,2/5/2026,2/2/2026,,,6,2026-02-05,6,,,,,,
001Hr000028ZcDW,"City Of Providence, UT",Utah,Municipality,Catherine Silvestri,8693,Nurture,Tier 3,0.75,41.7063,-111.8172,0ff6f63d-0ab0-44cc-adaf-2add445067d3,Closed Lost,,,Troy LeCaire,,1/5/2025,"$24,000",,9,2026-03-18,9,,,,,,
001Hr000028ZcE7,"City Of North Salt Lake, UT",Utah,Municipality,Catherine Silvestri,22300,,Tier 2,1.0,40.8486,-111.9069,a8b12240-592a-4ee7-b99d-fb91b8b899e0,,,,,,,,,9,2026-02-24,1,7,1,,,,
001Hr000028ZcE8,"City Of Farmington, UT",Utah,Municipality,Catherine Silvestri,25771,,Tier 1,1.5,40.9805,-111.8874,1fcb3ab3-f530-47db-a495-b85b86f5f342,,,,,,,,,5,2025-11-19,,3,,,2,,
001Hr000028ZcGH,"City Of Riverdale, UT",Utah,Municipality,Catherine Silvestri,9409,,Tier 3,0.75,41.1769,-112.0038,8856d92e-10af-4eaf-981e-60fe317badc3,,,,,,,,,2,2026-04-14,2,,,,,,
001Hr000028ZcGI,"City Of Highland, UT",Utah,Municipality,Catherine Silvestri,21146,,Tier 2,1.0,40.4249,-111.7979,11960a70-2af0-453b-aee4-dfe661b7e1b5,,,,,,,,,11,2025-12-01,,11,,,,,
001Hr000028ZcHR,"City of Eagle Mountain, UT",Utah,Municipality,Catherine Silvestri,49738,Nurture,Tier 1,1.5,40.3141,-112.0069,80581b35-f715-441a-8265-2385868278aa,Closed Lost,,,Jenny Allison,11/14/2025,11/10/2025,,,8,2025-11-10,,7,1,,,,
001Hr000028ZcK4,"City Of Fruit Heights, UT",Utah,Municipality,Catherine Silvestri,6091,,Tier 3,0.75,41.0322,-111.9022,751f5b88-1c9f-4704-a863-a2c306b06d93,,,,,,,,,2,2025-06-30,,,1,,1,,
001Hr000028ZcK5,"City Of Roy, UT",Utah,Municipality,Catherine Silvestri,39358,,Tier 1,1.5,41.1616,-112.0263,d76d804e-b6ae-4dd6-8a2a-47ccdc24631b,,,,,,,,,29,2026-04-23,24,5,,,,,
001Hr000028ZcKo,"City Of Mapleton, UT",Utah,Municipality,Catherine Silvestri,12414,,Tier 2,1.0,40.1302,-111.5785,81a75431-03e9-4cb9-9f7b-80f6abb4d808,,,,,,,,,4,2026-05-12,2,2,,,,,
001Hr000028ZcL7,"City Of Pleasant View, UT",Utah,Municipality,Catherine Silvestri,11177,Implementation,Tier 2,1.0,41.3183,-111.9922,391edfe5-d0f7-466a-87b3-e3d1fbf766c7,Closed Won,,,Jason Ginsberg,2/23/2026,2/18/2026,"$12,000",,3,2025-12-16,,3,,,,,
001Hr000028ZcLw,"City Of Farr West, UT",Utah,Municipality,Catherine Silvestri,7979,,Tier 3,0.75,41.2972,-112.0277,38910676-1d10-4f60-a852-dccd21136326,,,,,,,,,5,2026-03-25,4,,1,,,,
001Hr000028ZcM5,"City Of Holladay, UT",Utah,Municipality,Catherine Silvestri,31390,Open Opportunity,Tier 1,1.5,40.6688,-111.8247,e4320b0e-dc40-4198-9f2b-4e6ff276bd6e,Open,Proposal,Mid Funnel,Emily Murnane,,3/11/2026,"$43,000",,23,2026-02-19,6,17,,,,,
001Hr000028ZcMK,"City Of American Fork, UT",Utah,Municipality,Catherine Silvestri,41298,,Tier 1,1.5,40.3769,-111.7958,088a8b56-51ee-4f17-a3ec-0cd93f71bcf0,,,,,,,,,27,2026-05-20,16,7,4,,,,
001Hr000028ZcMf,"City Of Alpine, UT",Utah,Municipality,Catherine Silvestri,10359,Open Opportunity,Tier 2,1.0,40.4533,-111.778,e56feb89-06b4-4ceb-bcc7-08e52f7acc4b,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,5/5/2026,,Yes,12,2026-05-05,10,,2,,,,
001Hr000028ZcMy,"City Of Salem, UT",Utah,Municipality,Catherine Silvestri,9831,,Tier 3,0.75,40.053,-111.6735,c6fc0b0e-a86b-4cf0-9fd6-8923e11356de,,,,,,,,,10,2026-02-23,10,,,,,,
001Hr000028ZcOC,"City Of Santaquin, UT",Utah,Municipality,Catherine Silvestri,15379,Open Opportunity,Tier 2,1.0,39.9755,-111.7852,156012e1-a524-4259-b6eb-727689207123,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,5/12/2026,,,13,2026-04-14,6,7,,,,,
001Hr000028ZcPE,"City Of Draper, UT",Utah,Municipality,Catherine Silvestri,51749,,Tier S,2.0,40.5247,-111.8638,c2ca3a2c-718f-4b58-b76d-b15634a9a5bb,,,,,,,,,5,2026-02-19,2,3,,,,,
001Hr000028ZcPK,"City Of Riverton, UT",Utah,Municipality,Catherine Silvestri,45148,,Tier 1,1.5,40.5219,-111.9391,f50e507b-82e6-41ee-9cc8-6d08341022a4,,,,,,,,,7,2026-01-29,7,,,,,,
001Hr000028ZcQq,"City Of Kaysville, UT",Utah,Municipality,Catherine Silvestri,32976,,Tier 1,1.5,41.0352,-111.9386,53f93848-cf1c-4928-a75d-fd94ac8581eb,,,,,,,,,13,2026-02-25,4,7,1,,1,,
001Hr000028ZcRK,"City Of Clearfield, UT",Utah,Municipality,Catherine Silvestri,32238,Nurture,Tier 1,1.5,41.1108,-112.0261,ea37df5e-5353-4247-84d1-547e717e4dcd,Closed Lost,,,Catherine Silvestri,4/27/2026,4/27/2026,,,23,2026-04-29,3,,18,,2,,
001Hr000028ZcS8,"City Of Washington Terrace, UT",Utah,Municipality,Catherine Silvestri,9276,,Tier 3,0.75,41.1727,-111.9766,df2c9586-cbb9-4244-aeb6-daa395c23358,,,,,,,,,2,2025-12-10,,2,,,,,
001Hr000028ZcSC,"Town Of Vineyard, UT",Utah,Municipality,Catherine Silvestri,16077,Nurture,Tier 2,1.0,40.3057,-111.7495,d7e635ce-3a94-4abf-a864-c688abfb1a28,Closed Lost,,,Jenny Allison,11/20/2025,11/12/2025,,,7,2025-11-12,,7,,,,,
001Hr000028ZcSH,"City Of South Salt Lake, UT",Utah,Municipality,Catherine Silvestri,26166,,Tier 1,1.5,40.7188,-111.8883,d48f2bae-7807-41aa-9508-79d302469c81,,,,,,,,,26,2026-05-12,17,,9,,,,
001Hr000028ZcSM,"City Of Syracuse, UT",Utah,Municipality,Catherine Silvestri,33331,Nurture,Tier 1,1.5,41.0894,-112.0647,9cb040dd-a3dd-440d-b680-8ed7db106aff,Closed Lost,,,Quinzel Perry,9/4/2024,1/5/2025,,,14,2026-04-23,2,,10,,2,,
001Hr000028ZcSR,"City Of Springville, UT",Utah,Municipality,Catherine Silvestri,36135,,Tier 1,1.5,40.1652,-111.6108,699df073-c102-4b11-a7df-57edd2ed6bac,,,,,,,,,1,2025-11-07,,1,,,,,
001Hr000028ZcSW,"City Of Plain, UT",Utah,Municipality,Catherine Silvestri,8147,,Tier 3,0.75,41.298,-112.0861,0234b2aa-91a1-4829-beb5-3808ab3cebd5,,,,,,,,,1,2026-01-26,1,,,,,,
001Hr000028ZcSb,"City Of Centerville, UT",Utah,Municipality,Catherine Silvestri,16785,1+ Module Live,Tier 2,1.0,40.918,-111.8722,e157b396-e4b0-4f01-924e-045569fc3b3c,Closed Won,,,Quinzel Perry,1/6/2025,1/5/2025,"$25,000",,,,,,,,,,
001Hr000028ZcSg,"City Of Payson, UT",Utah,Municipality,Catherine Silvestri,22142,Open Opportunity,Tier 2,1.0,40.0436,-111.7323,eb52b91a-811a-4566-b876-b70a88a17acd,Open,Proposal,Mid Funnel,Catherine Silvestri,1/28/2026,1/26/2026,"$27,000",,2,2026-01-26,2,,,,,,
001Hr000028Zcyi,"County Of Tooele, UT",Utah,County,Catherine Silvestri,84488,,Tier S,2.0,40.5071,-113.0012,1d69bcbd-31be-4534-8057-b03bf2536409,,,,,,,,,17,2026-03-13,9,,8,,,,
001Hr000028Zd1I,"City Of Sunset, UT",Utah,Municipality,Catherine Silvestri,5515,,Tier 3,0.75,41.1399,-112.0308,098d0c75-0488-477c-b6ba-aae019b7bc60,,,,,,,,,2,2025-12-03,,2,,,,,
001Hr000028Zd3g,"City Of Lehi, UT",Utah,Municipality,Catherine Silvestri,79978,,Tier S,2.0,40.3916,-111.8508,54073f37-484c-4911-97ca-e620c6f5e880,,,,,,,,,9,2026-02-24,1,,8,,,,
001Hr000028ZdB0,"City Of Sandy, UT",Utah,Municipality,Catherine Silvestri,95050,,Tier S,2.0,40.565,-111.839,a0e0eb19-e4e4-4b9d-8435-10d36c4892f8,,,,,,,,,16,2026-02-27,4,,12,,,,
001Hr000028ZdMA,"City of Perry, UT",Utah,Municipality,Catherine Silvestri,5752,,Tier 3,0.75,41.461,-112.0367,a8f494da-0651-40c6-b20c-41a4460a78e6,,,,,,,,,1,2026-01-22,,,,,,1,
001Hr000028ZdMM,"City Of Taylorsville, UT",Utah,Municipality,Catherine Silvestri,59242,,Tier S,2.0,40.6532,-111.9579,013f476e-27e8-4d57-88c5-ce4d5223d658,,,,,,,,,12,2025-12-02,,12,,,,,
001Hr000028ZdOD,"Cache County, UT",Utah,County,Catherine Silvestri,145487,,Tier S,2.0,41.756,-111.7615,1eb8205c-8130-4d1c-b711-8ecd52d26fda,,,,,,,,,4,2025-11-25,,4,,,,,
001Hr000028ZdON,"City Of Ogden, UT",Utah,Municipality,Catherine Silvestri,86798,,Tier S,2.0,41.2186,-111.9705,5fd61f2f-604d-4f4e-8fdf-8a34208bc996,,,,,,,,,1,2025-11-21,,1,,,,,
001Hr000028ZdWD,"City Of Millcreek, UT",Utah,Municipality,Catherine Silvestri,64110,Open Opportunity,Tier S,2.0,40.6871,-111.8655,62f06060-1017-452f-9c40-c81b6a259c49,Open,Proposal,Mid Funnel,Catherine Silvestri,4/21/2026,3/25/2026,"$70,000",,23,2026-04-21,11,12,,,,,
001Hr000028ZdXJ,"City Of Orem, UT",Utah,Municipality,Catherine Silvestri,97861,,Tier S,2.0,40.2969,-111.6946,4360c09f-5a83-485d-9d69-8e3d8f9f111e,,,,,,,,,3,2025-10-23,,3,,,,,
001Hr000028ZdY4,"City of St. George, UT",Utah,Municipality,Catherine Silvestri,106288,,Tier S,2.0,37.0965,-113.5684,315edc5a-2699-4afe-bef1-60206db4552c,,,,,,,,,25,2026-04-06,15,10,,,,,
001Hr000028Zdh3,"City Of Logan, UT",Utah,Municipality,Catherine Silvestri,54436,Recent Competitor Purchase,Tier S,2.0,41.737,-111.8338,282cf859-c760-4fbe-a51a-a0eea346715b,Closed Lost,,,Asher Rosenfeld,,1/5/2025,"$49,000",,3,2026-03-10,1,,2,,,,
001Hr000028ZdhX,"City Of Layton, UT",Utah,Municipality,Catherine Silvestri,83291,Open Opportunity,Tier S,2.0,41.0602,-111.9711,c48603b9-487a-4079-b73c-796b14cffa8d,Open,Initial Interest,Top of Funnel,Catherine Silvestri,3/6/2026,2/25/2026,,,22,2026-04-23,9,,13,,,,
001Hr000028Zdhr,"City Of South Jordan, UT",Utah,Municipality,Catherine Silvestri,80139,,Tier S,2.0,40.5622,-111.9297,c907498c-cc4a-4a59-a850-e155a582b787,,,,,,,,,10,2025-12-02,,10,,,,,
001Hr000028Zdk8,"Box Elder County, UT",Utah,County,Catherine Silvestri,64120,Nurture,Tier S,2.0,41.538,-113.1918,653886c8-58d9-43fc-8eaa-ccc98c3c32c3,Closed Lost,,,Jenny Allison,11/4/2025,11/3/2025,,,4,2025-11-03,,4,,,,,
001Hr000028ZdlZ,"County Of Sanpete, UT",Utah,County,Catherine Silvestri,29106,,Tier 1,1.5,39.309,-111.5707,3f390acb-efb7-4919-8a0d-95716f7ae284,,,,,,,,,12,2026-04-01,2,9,1,,,,
