Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Catherine Silvestri,Calls - Ali Cohen,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Jenny Allison,Outreach ID
001Hr000028Zc1L,"City Of Fruitland, ID",Idaho,Municipality,Ryan Minter,6454,,Tier 3,0.75,44.0077,-116.9165,3cc0bb35-c09c-489b-a14c-8b6fd85a7c46,,,,,,,,,5,2026-05-13,3,,1,1,,933
001Hr000028ZcUU,"City Of Post Falls, ID",Idaho,Municipality,Ryan Minter,42610,,Tier 1,1.5,47.718,-116.9516,d2885546-a174-457a-bd57-7f76eae350af,,,,,,,,,2,2025-11-18,,2,,,,2593
001Hr000028ZcgD,"Jefferson County, ID",Idaho,County,Ryan Minter,,,Tier 3,0.75,43.7641,-112.2494,f72e4a1d-d037-4138-afbb-27ab6529e868,,,,,,,,,,,,,,,,12206
001Hr000028Zcuy,"City Of Caldwell, ID",Idaho,Municipality,Ryan Minter,63629,Open Opportunity,Tier S,2.0,43.6629,-116.6874,0bdbd58c-a270-4053-82c0-d80841b3734c,,,,,,,,,26,2026-03-17,11,10,5,,,11543
001Hr000028ZdK2,"City Of Idaho Falls, ID",Idaho,Municipality,Ryan Minter,66898,,Tier S,2.0,43.4927,-112.0408,59bb9eb1-4e32-42b6-bf0d-677ecfff3dbb,,,,,,,,,9,2026-02-26,1,,8,,,11529
001Hr000028ZdL6,"Latah County, ID",Idaho,County,Ryan Minter,,,Tier 3,0.75,46.736,-116.6764,48d8d992-b7b9-4248-b3fd-7442a86903fc,,,,,,,,,1,2026-05-15,,,,1,,12240
001Hr000028ZdPh,"City of Coeur d'Alene, ID",Idaho,Municipality,Ryan Minter,56894,Open Opportunity,Tier S,2.0,47.6735,-116.7812,15e0d7f1-4510-4bef-9275-d927f410e693,Open,Demo,Mid Funnel,Catherine Silvestri,5/11/2026,4/6/2026,,,27,2026-05-08,21,,6,,,11539
001Hr000028ZdSP,"City Of Pocatello, ID",Idaho,Municipality,Ryan Minter,57092,,Tier S,2.0,42.8621,-112.4506,46471502-5e2c-40f1-a90d-ad702e655913,,,,,,,,,4,2026-02-03,,4,,,,11541
001Hr000028ZdmG,"Nez Perce County, ID",Idaho,County,Ryan Minter,42847,,Tier 1,1.5,46.4182,-116.6229,c5f6b821-ab60-4cd6-b917-21c23c70f5ab,,,,,,,,,7,2026-05-05,7,,,,,12242
001Hr000028Zdms,"Kootenai County, ID",Idaho,County,Ryan Minter,188323,,Tier S,2.0,47.702,-116.841,e81ce54c-04bd-4ef7-954e-2fd34cc6ee05,,,,,,,,,6,2026-05-04,6,,,,,12392
001Hr000028Zdqt,"Madison County, ID",Idaho,County,Ryan Minter,,,Tier 3,0.75,43.7508,-111.5584,a40f450c-c7e2-4829-ba29-f89a3357b9e6,,,,,,,,,1,2025-05-20,,,1,,,12209
001Hr000028Zdr3,"Bannock County, ID",Idaho,County,Ryan Minter,91010,,Tier S,2.0,42.5836,-112.143,21f03c5b-2e7c-4401-b8b0-844c18fc6f51,,,,,,,,,5,2026-05-04,5,,,,,12204
001Hr000028Zdt4,"Canyon County, ID",Idaho,County,Ryan Minter,266892,Open Opportunity,Tier S,2.0,43.678,-116.6865,668e7b2f-2b99-42f2-9f42-a40806ccaea3,Open,Initial Interest,Top of Funnel,Ali Cohen,,12/17/2025,,,14,2026-05-11,3,11,,,,12400
001cv00000AuWaZ,"City Of Parma, ID",Idaho,Municipality,Ryan Minter,2114,,Tier 3,0.75,43.7852,-116.9432,cd81760d-3a92-45e7-8fe9-82a2103ba4f7,,,,,,,,,,,,,,,,13325
001cv00000AuWbp,"City Of Driggs, ID",Idaho,Municipality,Ryan Minter,2139,,Tier 3,0.75,43.7231,-111.1111,13e86491-7bc8-4f34-9be3-cf42706311c1,,,,,,,,,,,,,,,,13138
001cv00000AuWrv,"City Of Victor, ID",Idaho,Municipality,Ryan Minter,2236,,Tier 3,0.75,43.6026,-111.1114,b27c1dc1-f9fa-43a5-9d65-ebda1e7fb339,,,,,,,,,,,,,,,,13583
001cv00000AuWyd,"City Of Malad, ID",Idaho,Municipality,Ryan Minter,2303,,Tier 3,0.75,42.1916,-112.2508,0d378306-2fb3-4879-8cbe-eaa5c6a4e58d,,,,,,,,,,,,,,,,13734
001cv00000AuXB7,"City Of Kellogg, ID",Idaho,Municipality,Ryan Minter,2374,,Tier 3,0.75,47.5383,-116.1193,573a092e-ce76-4ca1-a732-3b9d6fd6627a,,,,,,,,,,,,,,,,13935
001cv00000AuXNE,"City Of Spirit Lake, ID",Idaho,Municipality,Ryan Minter,2462,,Tier 3,0.75,47.9663,-116.8685,47c195d7-2f87-4e54-9f8b-8b288c96e4f7,,,,,,,,,,,,,,,,14084
001cv00000AuXUO,"City Of Dalton Gardens, ID",Idaho,Municipality,Ryan Minter,2556,,Tier 3,0.75,47.7296,-116.7702,8ac0eb11-9eef-416d-a5b3-b05048bbd716,,,,,,,,,1,2026-04-20,1,,,,,14312
001cv00000AuXUa,"City Of Bonners Ferry, ID",Idaho,Municipality,Ryan Minter,2561,,Tier 3,0.75,48.6913,-116.3163,fe0092e2-ef9f-4288-9f01-82533b19bdcc,,,,,,,,,3,2026-05-13,,,1,2,,14283
001cv00000AuXUo,"City Of Bellevue, ID",Idaho,Municipality,Ryan Minter,2568,,Tier 3,0.75,43.4635,-114.2606,2faea4e1-7968-480c-b622-21e78f93163d,,,,,,,,,,,,,,,,14297
001cv00000AuXjT,"City Of Filer, ID",Idaho,Municipality,Ryan Minter,2824,,Tier 3,0.75,42.5702,-114.6078,85153f14-3b76-4ba3-af37-912a25745e57,,,,,,,,,,,,,,,,14724
001cv00000AuXll,"City Of Iona, ID",Idaho,Municipality,Ryan Minter,2885,,Tier 3,0.75,43.5263,-111.933,23d9eb8d-d022-4976-bcfe-bb38559b9e1b,,,,,,,,,,,,,,,,14798
001cv00000AuXmy,"City Of Wendell, ID",Idaho,Municipality,Ryan Minter,2926,,Tier 3,0.75,42.7757,-114.7042,cc46537e-c3de-45a3-87ee-91e9bf630eb7,,,,,,,,,,,,,,,,14889
001cv00000AuYC4,"City Of Soda Springs, ID",Idaho,Municipality,Ryan Minter,3118,,Tier 3,0.75,42.6544,-111.6047,0e50f1b5-909a-4bac-8758-f4146d1c63d8,,,,,,,,,1,2025-07-09,,,1,,,15291
001cv00000AuYEh,"City Of Homedale, ID",Idaho,Municipality,Ryan Minter,2996,,Tier 3,0.75,43.6177,-116.9338,e219b2a8-55a4-4bb4-a913-774cff0290ab,,,,,,,,,,,,,,,,15350
001cv00000AuYLO,"City Of Grangeville, ID",Idaho,Municipality,Ryan Minter,3431,,Tier 3,0.75,45.9258,-116.12,d8072e7f-6531-40e2-964b-38a8fa75961a,,,,,,,,,,,,,,,,15882
001cv00000AuYNv,"City Of Salmon, ID",Idaho,Municipality,Ryan Minter,3190,,Tier 3,0.75,45.1758,-113.8959,e1b01c64-625f-430c-993a-d138f61f02b3,,,,,,,,,,,,,,,,15361
001cv00000AuYPu,"City Of Orofino, ID",Idaho,Municipality,Ryan Minter,3275,,Tier 3,0.75,46.4793,-116.2551,4f1b0ce6-cda8-4a7d-b3d9-461bcd827426,,,,,,,,,1,2026-04-20,1,,,,,15488
001cv00000AuYSF,"City Of Ketchum, ID",Idaho,Municipality,Ryan Minter,3588,,Tier 3,0.75,43.6807,-114.3637,1e9ba1f3-236d-44a7-9818-07cd7591fa4e,,,,,,,,,,,,,,,,15639
001cv00000AuYga,"City Of McCall, ID",Idaho,Municipality,Ryan Minter,3844,Implementation,Tier 3,0.75,44.9062,-116.1171,f58ad2b5-de3d-41c3-9084-522037612d9b,Closed Won,,,Ali Cohen,12/4/2025,11/14/2025,"$15,000",,7,2025-12-03,,7,,,,16009
001cv00000AuYrO,"City Of Heyburn, ID",Idaho,Municipality,Ryan Minter,3692,,Tier 3,0.75,42.5585,-113.7639,f2c6bb19-cc16-4e06-991d-095b40abf28a,,,,,,,,,,,,,,,,16412
001cv00000AuYry,"City Of Gooding, ID",Idaho,Municipality,Ryan Minter,3713,,Tier 3,0.75,42.9388,-114.7131,45071c9b-ade7-4bbf-b5de-bbca9cebf7d8,,,,,,,,,,,,,,,,16381
001cv00000AuYrz,"County Of Lewis, ID",Idaho,County,Ryan Minter,3715,,Tier 3,0.75,46.2665,-116.4054,6cb72fca-515a-4873-a61e-b4257664c2ea,,,,,,,,,,,,,,,,16371
001cv00000AuYsY,"City Of St Anthony, ID",Idaho,Municipality,Ryan Minter,3752,,Tier 3,0.75,43.9663,-111.6822,c89e1514-dd80-4b0a-84df-93ff19c56775,,,,,,,,,1,2025-07-09,,,1,,,16411
001cv00000AuYy4,"County Of Custer, ID",Idaho,County,Ryan Minter,4428,,Tier 3,0.75,44.3874,-114.6959,bfeca745-d2ec-4a02-92a8-a361da9d9cb3,,,,,,,,,,,,,,,,20047
001cv00000AuZ7W,"County Of Lincoln, ID",Idaho,County,Ryan Minter,5282,,Tier 3,0.75,43.0496,-114.1694,29ac7509-25b5-4eb1-b59d-a20cae044e8b,,,,,,,,,1,2025-07-29,,,1,,,16976
001cv00000AuZCA,"County Of Bear Lake, ID",Idaho,County,Ryan Minter,6545,,Tier 3,0.75,42.2282,-111.2845,744c7ec1-81c4-4301-80b5-90103fe3bcb4,,,,,,,,,,,,,,,,17090
001cv00000AuZDH,"County Of Caribou, ID",Idaho,County,Ryan Minter,7111,,Tier 3,0.75,42.7539,-111.6661,ff533a2b-b0da-443e-95e2-5ec80226e0a3,,,,,,,,,2,2025-07-09,,,2,,,17266
001cv00000AuZMA,"City Of Kimberly, ID",Idaho,Municipality,Ryan Minter,4824,,Tier 3,0.75,42.5338,-114.3648,3aa7c9b3-b9b2-47ee-a13f-0835e9e1edc4,,,,,,,,,,,,,,,,17327
001cv00000AuZSW,"City Of Shelley, ID",Idaho,Municipality,Ryan Minter,5032,,Tier 3,0.75,43.3813,-112.1233,2b4d7500-c302-4cb0-b06c-c87d74e5d3ff,,,,,,,,,,,,,,,,17643
001cv00000AuZTt,"City Of Rigby, ID",Idaho,Municipality,Ryan Minter,5241,,Tier 3,0.75,43.6724,-111.915,0a273e15-15be-4b3f-8893-81be96e91018,,,,,,,,,1,2025-07-25,,,1,,,17473
001cv00000AuZVZ,"County Of Power, ID",Idaho,County,Ryan Minter,7950,,Tier 3,0.75,42.7528,-112.7685,8e6e3573-4a0b-416a-8b7c-a4e5d793db50,,,,,,,,,1,2025-08-05,,,1,,,17725
001cv00000AuZVh,"County Of Boise, ID",Idaho,County,Ryan Minter,8094,,Tier 3,0.75,43.9605,-115.8563,25523ee9-1052-4219-95d8-8fbfd66d282a,,,,,,,,,5,2026-05-11,5,,,,,17726
001cv00000AuZXM,"County Of Lemhi, ID",Idaho,County,Ryan Minter,8162,,Tier 3,0.75,44.8516,-113.6198,70fd162d-e075-4e07-a8f5-53170a1ee39d,,,,,,,,,,,,,,,,17730
001cv00000AuZdg,"County Of Clearwater, ID",Idaho,County,Ryan Minter,8895,,Tier 3,0.75,46.6776,-115.562,3672a7f7-4c8a-4ed7-b044-411fbb513760,,,,,,,,,2,2025-07-29,,,2,,,17714
001cv00000AuZgN,"County Of Fremont, ID",Idaho,County,Ryan Minter,13592,,Tier 2,1.0,44.2243,-111.479,a00a6a3a-52cb-4bcc-9be6-43562b59e730,,,,,,,,,,,,,,,,18174
001cv00000AuZgO,"County Of Shoshone, ID",Idaho,County,Ryan Minter,13612,Open Opportunity,Tier 2,1.0,42.936,-114.4059,748fd3ad-37ed-4e6a-b8ce-03259a07670b,Open,Meeting Booked,Top of Funnel,Ali Cohen,1/7/2026,10/22/2025,,,34,2026-02-25,,32,2,,,18141
001cv00000AuZhF,"County Of Franklin, ID",Idaho,County,Ryan Minter,14666,,Tier 2,1.0,42.0135,-111.8072,0d23436e-84ae-4362-a39b-d9ccb0040704,,,,,,,,,2,2025-08-13,,,2,,,18121
001cv00000AuZi6,"County Of Valley, ID",Idaho,County,Ryan Minter,12241,,Tier 2,1.0,44.9205,-115.7926,5b85ce8a-d6e4-42ec-a41e-5fc47f0d6978,,,,,,,,,5,2026-05-13,2,1,,2,,18179
001cv00000AuZiA,"County Of Teton, ID",Idaho,County,Ryan Minter,12267,,Tier 2,1.0,43.7846,-111.1918,a2377a6e-9939-4a00-9e66-2fc1366c275d,,,,,,,,,,,,,,,,18096
001cv00000AuZiC,"City Of Garden City, ID",Idaho,Municipality,Ryan Minter,12288,Open Opportunity,Tier 2,1.0,43.6221,-116.2382,75eeea66-e7fa-457a-89fb-2b1afe51b221,Open,Proposal,Mid Funnel,Ali Cohen,11/19/2025,11/10/2025,"$29,000",,4,2025-07-29,,,4,,,18061
001cv00000AuZiK,"County Of Owyhee, ID",Idaho,County,Ryan Minter,12336,,Tier 2,1.0,42.6827,-116.0623,b37b1e68-156e-40e9-b983-1873c377a6dd,,,,,,,,,1,2025-07-29,,,1,,,18117
001cv00000AuZid,"County Of Boundary, ID",Idaho,County,Ryan Minter,12561,,Tier 2,1.0,48.7988,-116.5627,d5ad0e46-be50-4f03-b280-a2e6bfeb01a6,,,,,,,,,1,2026-05-15,,,,1,,18134
001cv00000AuZkN,"County Of Benewah, ID",Idaho,County,Ryan Minter,9931,,Tier 3,0.75,47.2438,-116.6499,79527d9e-e5bb-4983-b2f6-0d13b963d633,,,,,,,,,,,,,,,,17988
001cv00000AuZlZ,"County Of Washington, ID",Idaho,County,Ryan Minter,10898,,Tier 2,1.0,44.3659,-116.7549,9dcf8054-ecfd-4e8b-9323-261f6bbb43c2,,,,,,,,,2,2026-04-06,1,,1,,,18027
001cv00000AuZos,"County Of Gooding, ID",Idaho,County,Ryan Minter,15772,,Tier 2,1.0,42.9388,-114.7131,9d40e7c6-6e47-4772-88f9-68974aea859a,,,,,,,,,,,,,,,,17901
001cv00000AuZra,"County Of Idaho, ID",Idaho,County,Ryan Minter,17040,,Tier 2,1.0,45.902,-115.7237,dd2ec826-5696-401b-9173-0402d175b360,,,,,,,,,,,,,,,,18536
001cv00000AuZyC,"County Of Minidoka, ID",Idaho,County,Ryan Minter,21955,,Tier 2,1.0,42.7538,-113.4903,15bbca29-6106-44c8-9fb1-aaa9c529aa9d,,,,,,,,,,,,,,,,18912
001cv00000Aua0k,"County Of Elmore, ID",Idaho,County,Ryan Minter,28827,,Tier 1,1.5,43.1154,-115.5264,8dec8ae3-878a-496b-93ec-4b0e99215cb0,,,,,,,,,3,2025-08-05,,,3,,,18741
001cv00000Aua2A,"County Of Jerome, ID",Idaho,County,Ryan Minter,24662,,Tier 2,1.0,42.7128,-114.3288,1299df8f-4211-4521-8ae6-ee8fe6bd0f80,,,,,,,,,,,,,,,,19257
001cv00000Aua2F,"County Of Blaine, ID",Idaho,County,Ryan Minter,24766,,Tier 2,1.0,43.4743,-113.9664,6dce6af8-73c3-4839-a870-2acb3f2b267b,,,,,,,,,,,,,,,,19323
001cv00000Aua2c,"County Of Cassia, ID",Idaho,County,Ryan Minter,25164,,Tier 1,1.5,42.358,-113.5729,0cbc3e56-524d-4542-aeae-d0abf44ea714,,,,,,,,,1,2025-07-15,,,1,,,19393
001cv00000Aua39,"County Of Gem, ID",Idaho,County,Ryan Minter,19792,,Tier 2,1.0,44.0325,-116.3589,10b799dd-5c37-47ce-b0ce-86ecd8cd394e,,,,,,,,,3,2025-08-20,,,3,,,18716
001cv00000Aua7m,"County Of Latah, ID",Idaho,County,Ryan Minter,40313,,Tier 1,1.5,46.736,-116.6764,48d8d992-b7b9-4248-b3fd-7442a86903fc,,,,,,,,,,,,,,,,19377
001cv00000Aua8Z,"County Of Jefferson, ID",Idaho,County,Ryan Minter,32202,,Tier 1,1.5,43.7641,-112.2494,f72e4a1d-d037-4138-afbb-27ab6529e868,,,,,,,,,,,,,,,,18800
001cv00000AuaBM,"County Of Payette, ID",Idaho,County,Ryan Minter,26350,,Tier 1,1.5,44.0205,-116.7205,454c21d6-689f-45d4-892a-f89e29b28f49,,,,,,,,,1,2025-05-20,,,1,,,19248
001cv00000AuaKW,"County Of Bingham, ID",Idaho,County,Ryan Minter,48876,,Tier 1,1.5,43.2112,-112.3624,3d6a8acb-cbc5-4115-84e0-a18be8b1ab0f,,,,,,,,,7,2026-05-11,7,,,,,19624
001cv00000AuaKc,"County Of Bonner, ID",Idaho,County,Ryan Minter,49491,,Tier 1,1.5,48.2752,-116.5931,4aaae52a-97cc-409b-9825-f151998f6b31,,,,,,,,,23,2026-01-14,,23,,,,19478
001cv00000AuaUa,"County Of Twin Falls, ID",Idaho,County,Ryan Minter,92243,,Tier S,2.0,42.3353,-114.6759,0f435319-090c-442f-96f0-67c5bc311732,,,,,,,,,1,2026-04-06,1,,,,,19931
001cv00000B21rK,"City Of St Maries, ID",Idaho,Municipality,Ryan Minter,2423,,Tier 3,0.75,47.3144,-116.5627,21bd2e79-d09a-4f7a-b619-451f8b3e436d,,,,,,,,,,,,,,,,20245
001cv00000B21wI,"City Of Sugar City, ID",Idaho,Municipality,Ryan Minter,2616,,Tier 3,0.75,43.873,-111.7483,ad5dea0c-9d5a-4e72-8053-d2833b3b4fca,,,,,,,,,,,,,,,,20383
001cv00000B21xd,"County Of Butte, ID",Idaho,County,Ryan Minter,2654,,Tier 3,0.75,43.6448,-113.1841,0f02b8b4-3243-4411-bd76-46bb94775209,,,,,,,,,,,,,,,,20351
001cv00000B21yF,"City Of Montpelier, ID",Idaho,Municipality,Ryan Minter,2669,,Tier 3,0.75,42.3222,-111.2977,9710e56d-b9cf-4fc1-871d-d1bfece14e7c,,,,,,,,,,,,,,,,20479
001cv00000B220b,"City Of American Falls, ID",Idaho,Municipality,Ryan Minter,4610,,Tier 3,0.75,42.786,-112.8544,447c72e3-c1b7-4086-a361-222863960182,,,,,,,,,,,,,,,,20549
001cv00000B220d,"County Of Oneida, ID",Idaho,County,Ryan Minter,4611,Open Opportunity,Tier 3,0.75,42.206,-112.5245,f9deb7f7-6628-4805-b508-3b7dbb547a52,Open,Initial Interest,Top of Funnel,Ali Cohen,,2/2/2026,,,6,2026-02-02,,6,,,,20520
001cv00000B220l,"County Of Adams, ID",Idaho,County,Ryan Minter,4625,,Tier 3,0.75,44.9883,-116.4916,cf8e2326-f157-4a7c-be9a-97596e1bf983,,,,,,,,,,,,,,,,20476
001cv00000B221D,"City Of Buhl, ID",Idaho,Municipality,Ryan Minter,4654,Open Opportunity,Tier 3,0.75,42.5991,-114.7595,63ecb05f-858c-4b42-8526-2adff8dd3614,Open,Demo,Mid Funnel,Ali Cohen,12/11/2025,12/9/2025,,,2,2025-12-11,,2,,,,20590
001cv00000bBVfO,City of Greenleaf,Idaho,Municipality,Ryan Minter,792,,Tier 3,0.75,43.6713,-116.8163,8c8fbc26-b683-4795-95b6-1b110c14a40a,,,,,,,,,,,,,,,,21202
001cv00000bBVfi,City of McCammon,Idaho,Municipality,Ryan Minter,824,,Tier 3,0.75,42.6505,-112.193,0603ceeb-4243-4504-880c-d13cc32e66eb,,,,,,,,,,,,,,,,21163
001cv00000bBVhi,City of Inkom,Idaho,Municipality,Ryan Minter,843,,Tier 3,0.75,42.7963,-112.2541,5212ad9e-b028-46e6-81d4-f47ee4687998,,,,,,,,,,,,,,,,21249
001cv00000bBVkw,City of Troy,Idaho,Municipality,Ryan Minter,942,,Tier 3,0.75,48.4641,-115.8899,a6818d47-0de8-46d9-98d0-16e556d436fd,,,,,,,,,,,,,,,,21372
001cv00000bBVl0,City of Challis,Idaho,Municipality,Ryan Minter,944,,Tier 3,0.75,44.5046,-114.2317,819cbf8b-b656-48f3-9480-9517591997f2,,,,,,,,,,,,,,,,21368
001cv00000bBVl2,City of Grace,Idaho,Municipality,Ryan Minter,945,,Tier 3,0.75,42.576,-111.7305,f5fb4c46-4e01-4d66-8e79-e6ffcd122ed8,,,,,,,,,,,,,,,,21326
001cv00000bBVlS,City of Council,Idaho,Municipality,Ryan Minter,975,,Tier 3,0.75,44.7299,-116.4382,ed2a637b-fb84-46b4-bf45-1820f67ee1bc,,,,,,,,,,,,,,,,21461
001cv00000bBVmB,City of Cascade,Idaho,Municipality,Ryan Minter,1026,,Tier 3,0.75,44.5163,-116.0418,9813d6f8-2db8-4dbb-9cd4-e1f8d693f297,,,,,,,,,,,,,,,,21408
001cv00000bBVsl,City of Kamiah,Idaho,Municipality,Ryan Minter,1163,,Tier 3,0.75,46.2272,-116.028,41d024e7-9014-43af-8c17-a1bfb36858a8,,,,,,,,,,,,,,,,21552
001cv00000bBVx3,City of Moyie Springs,Idaho,Municipality,Ryan Minter,1225,,Tier 3,0.75,48.7263,-116.1885,d5cd4868-421c-42ca-95e4-55219d291017,,,,,,,,,,,,,,,,21624
001cv00000bBVxG,City of Marsing,Idaho,Municipality,Ryan Minter,1245,,Tier 3,0.75,43.5454,-116.8132,f2dbd6c1-7d69-40ac-85e5-206bbc3afb36,,,,,,,,,,,,,,,,21630
001cv00000bBVxK,Camas County,Idaho,County,Ryan Minter,1247,,Tier 3,0.75,43.5094,-114.8244,fa752ba6-8bfd-4bfa-995e-b04019f8851f,,,,,,,,,,,,,,,,21635
