Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ali Cohen,Calls - Leila Assil,Calls - Catherine Silvestri,Calls - Joe del Rosario,Calls - Sydney Ireland,Calls - Jenny Allison,Calls - Quinzel Perry,Calls - Ryan Minter,Calls - Hugh Bargeron,Calls - Nick Martino,Salesforce ID
001Hr000028ZbnV,"Township Of Upper Uwchlan, PA",Pennsylvania,Municipality,Sydney Ireland,12639,,Tier 2,1.0,40.0784,-75.7023,389949b6-c88c-4977-8095-9e2481076db0,,,,,,,,,16,2026-02-09,16,,,,,,,,,,
001Hr000028ZbnX,"Township Of Conewago, PA",Pennsylvania,Municipality,Ali Cohen,8614,,Tier 3,0.75,39.7878,-77.0277,8d861825-7364-4a5f-860d-2660e750c4bd,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbnZ,"Township Of Oxford, PA",Pennsylvania,Municipality,Ali Cohen,5940,,Tier 3,0.75,39.8164,-75.9485,bcc79064-617b-47e7-923b-37dc50142db3,,,,,,,,,4,2025-08-27,,4,,,,,,,,,
001Hr000028Zbnu,"Township Of Whitemarsh, PA",Pennsylvania,Municipality,Catherine Silvestri,19926,,Tier 2,1.0,40.1193,-75.2362,ae2c24d7-2377-4246-b9c1-638cf732e937,,,,,,,,,1,2025-09-24,,,,1,,,,,,,
001Hr000028Zbo6,"Borough Of Columbia, PA",Pennsylvania,Municipality,Ali Cohen,10157,Open Opportunity,Tier 2,1.0,40.0337,-76.5044,4bdf2dbb-bbdd-4d71-bce1-cf1d67eee85c,Open,Initial Interest,Top of Funnel,Ali Cohen,,11/18/2025,,,27,2026-01-08,27,,,,,,,,,,
001Hr000028ZboD,"Township Of Antrim, PA",Pennsylvania,Municipality,Hugh Bargeron,15723,,Tier 2,1.0,41.634,-77.2869,d318ff41-1f13-4fde-8b0a-720468cde2bf,,,,,,,,,1,2025-11-26,,,,,,1,,,,,
001Hr000028ZboE,"Township Of Harrison, PA",Pennsylvania,Municipality,Ali Cohen,10021,,Tier 2,1.0,40.6366,-79.7167,b3da7bd3-2e22-40de-9d1b-ae6a860b7c92,,,,,,,,,13,2025-07-30,,13,,,,,,,,,
001Hr000028Zboh,"Township Of Elizabeth, PA",Pennsylvania,Municipality,Ali Cohen,12792,Open Opportunity,Tier 2,1.0,40.2566,-79.8185,56e7d24b-9803-4988-93ff-d6970471a929,Open,Initial Interest,Top of Funnel,Ali Cohen,,12/16/2025,,,5,2025-12-16,5,,,,,,,,,,
001Hr000028Zboj,"Borough Of Lewisburg, PA",Pennsylvania,Municipality,Sydney Ireland,5232,,Tier 3,0.75,40.9645,-76.8844,38eecf12-8d2a-4bc0-baf5-364c02d24c6a,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbox,"Township Of Nether Providence, PA",Pennsylvania,Municipality,Catherine Silvestri,14432,Nurture,Tier 2,1.0,39.8893,-75.3686,6fdb108c-2854-4d93-bcb8-1c644e32f866,Closed Lost,,,Troy LeCaire,,1/5/2025,,,2,2026-05-14,,,2,,,,,,,,
001Hr000028Zboy,"Salisbury Township (Lehigh County), PA",Pennsylvania,Municipality,Sydney Ireland,13645,1+ Module Live,Tier 2,1.0,40.5786,-75.4286,48f0c500-0bb9-496b-950b-06f446f283e5,Closed Won,,,Granger West,7/16/2025,7/7/2025,"$25,000",,,,,,,,,,,,,,
001Hr000028Zboz,"Township Of East Hanover, PA",Pennsylvania,Municipality,Catherine Silvestri,2653,,Tier 3,0.75,40.3971,-76.6759,5e558091-54ac-438e-91ba-070ebdfea1bc,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbpB,"Township Of Solebury, PA",Pennsylvania,Municipality,Ali Cohen,8693,,Tier 3,0.75,40.3687,-75.0027,2c891555-753b-4922-a20a-0f71794b3ec7,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbpH,"Township Of Indiana, PA",Pennsylvania,Municipality,Hugh Bargeron,7267,,Tier 3,0.75,40.5653,-79.8857,19d3848f-bed3-4e3b-8386-9de8a10140a4,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbpJ,"Borough Of Milton, PA",Pennsylvania,Municipality,Ali Cohen,6576,,Tier 3,0.75,41.012,-76.8477,93feaa0b-d162-4f87-809e-8a99200d3369,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbpL,"Borough Of Bristol, PA",Pennsylvania,Municipality,Ali Cohen,9852,,Tier 3,0.75,40.1007,-74.8518,8f188f47-f0df-43e7-b44e-6abbd5c43b6e,,,,,,,,,2,2025-05-29,,,,2,,,,,,,
001Hr000028ZbpO,"City Of Aliquippa, PA",Pennsylvania,Municipality,Sydney Ireland,9126,,Tier 3,0.75,40.6155,-80.2622,ad5546da-a28d-4ca3-878a-62ce91fd0e67,,,,,,,,,10,2025-07-16,,10,,,,,,,,,
001Hr000028ZbpT,"Township Of Lake, PA",Pennsylvania,Municipality,Ali Cohen,4851,,Tier 3,0.75,41.4461,-75.3762,b9a928ed-7dcc-4bf6-a336-06656e3f96cc,,,,,,,,,9,2025-07-23,,,,,,,,9,,,
001Hr000028ZbpX,"Borough Of Pottstown, PA",Pennsylvania,Municipality,Catherine Silvestri,23406,,Tier 2,1.0,40.2454,-75.6496,e2708bd6-f5ad-4986-a796-af0375f66d04,,,,,,,,,2,2026-05-15,2,,,,,,,,,,
001Hr000028Zbpc,"Township Of Annville, PA",Pennsylvania,Municipality,Ali Cohen,4943,,Tier 3,0.75,40.3295,-76.5152,7fa09e72-40b8-4bd6-bdc1-112d69d9dde6,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbq4,"Warwick Township (Bucks County), PA",Pennsylvania,Municipality,Hugh Bargeron,14830,,Tier 2,1.0,40.2538,-75.0786,e8d7b475-1bc0-47f1-a28a-3d79eb8d923b,,,,,,,,,23,2025-11-06,23,,,,,,,,,,
001Hr000028Zbq9,"Borough Of Doylestown, PA",Pennsylvania,Municipality,Ali Cohen,8250,,Tier 3,0.75,40.3101,-75.1299,4d997778-df8b-4c15-b9a7-d9f957a9321e,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbqA,"Township Of Hilltown, PA",Pennsylvania,Municipality,Hugh Bargeron,16618,,Tier 2,1.0,40.3394,-75.2362,d210f93b-d08c-4885-beb6-1d9251e2bdcf,,,,,,,,,3,2025-09-29,,,,3,,,,,,,
001Hr000028ZbqB,"Township Of Plymouth, PA",Pennsylvania,Municipality,Catherine Silvestri,18293,,Tier 2,1.0,40.1083,-75.3062,acab7f08-31ec-4e69-a3b6-5b3751d77ec8,,,,,,,,,3,2025-10-03,,,,3,,,,,,,
001Hr000028ZbqU,"Tunkhannock Township, PA",Pennsylvania,Municipality,Catherine Silvestri,6967,,Tier 3,0.75,41.0533,-75.4578,360a9790-e119-4f86-b208-f5ce0479e58d,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbqe,"Borough Of West Mifflin, PA",Pennsylvania,Municipality,Ali Cohen,19332,,Tier 2,1.0,40.3634,-79.8664,067ef127-69b3-45f2-9fc6-41dc137d02ac,,,,,,,,,4,2025-12-11,,,,,,4,,,,,
001Hr000028Zbqk,"Township Of East Marlborough, PA",Pennsylvania,Municipality,Catherine Silvestri,7529,,Tier 3,0.75,39.8801,-75.7255,7f8dbacd-4ede-48ca-8c60-93747a57d908,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbr3,"Township Of East Hempfield, PA",Pennsylvania,Municipality,Hugh Bargeron,26475,,Tier 1,1.5,40.0804,-76.3753,d55ea3ba-8967-4466-b7fe-bc29a4c1db46,,,,,,,,,1,2025-08-19,,,,1,,,,,,,
001Hr000028Zbr4,"Township Of Canton, PA",Pennsylvania,Municipality,Sydney Ireland,8219,,Tier 3,0.75,41.6565,-76.8533,6c662bf0-754c-4b87-a29b-074cf6ae24a5,,,,,,,,,2,2025-06-24,,,,2,,,,,,,
001Hr000028Zbrd,"Town Of Bloomsburg, PA",Pennsylvania,Municipality,Ali Cohen,12587,,Tier 2,1.0,41.0037,-76.4549,6ebab8c7-7c87-49d5-a9c3-0c5dd77a1345,,,,,,,,,15,2025-07-07,,15,,,,,,,,,
001Hr000028Zbre,"Township Of Worcester, PA",Pennsylvania,Municipality,Sydney Ireland,10515,Open Opportunity,Tier 2,1.0,40.1945,-75.3529,35239c2c-037d-4982-aef0-976aa1ff9443,Open,Sales Qualified,Mid Funnel,Sydney Ireland,5/22/2026,5/13/2026,,,5,2026-05-22,,,,,5,,,,,,
001Hr000028Zbri,"Borough Of Berwick, PA",Pennsylvania,Municipality,Hugh Bargeron,10349,,Tier 2,1.0,41.0545,-76.2333,82f2e118-16e0-453e-88b1-dca47613ff2e,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbrj,"Township Of East Vincent, PA",Pennsylvania,Municipality,Sydney Ireland,7437,,Tier 3,0.75,40.1641,-75.5859,7515b24b-3710-447f-9d9c-7606c95e43cb,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbs6,"Borough Of Wyomissing, PA",Pennsylvania,Municipality,Sydney Ireland,11122,,Tier 2,1.0,40.3295,-75.9652,bfc42609-d874-4ee0-9c24-006aad80b3e8,,,,,,,,,1,2026-01-09,1,,,,,,,,,,
001Hr000028ZbsX,"City Of Coatesville, PA",Pennsylvania,Municipality,Sydney Ireland,13299,,Tier 2,1.0,39.9832,-75.8238,c8e07eb4-5546-41a1-a002-65a0f875a13c,,,,,,,,,12,2026-05-19,6,,,,6,,,,,,
001Hr000028Zbsy,"Township Of Lower Swatara, PA",Pennsylvania,Municipality,Hugh Bargeron,9564,,Tier 3,0.75,40.2272,-76.7683,a80d19a1-7fdd-4f0e-8131-d3686b310567,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbtD,"Township Of Robinson, PA",Pennsylvania,Municipality,Catherine Silvestri,15447,,Tier 2,1.0,40.4658,-80.1317,3ed359be-f33d-4a8d-a5bb-e08747d16c59,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbtF,"City Of New Castle, PA",Pennsylvania,Municipality,Hugh Bargeron,21745,,Tier 2,1.0,41.0037,-80.347,19d1a614-dcbf-414f-bda8-d0235e8bbaa6,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbtL,"Township Of South Abington, PA",Pennsylvania,Municipality,Ali Cohen,9510,,Tier 3,0.75,41.4807,-75.6848,9afb369e-5e53-4a6b-986e-4d1d8386c41c,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbtr,"Township Of Hatfield, PA",Pennsylvania,Municipality,Ali Cohen,18701,,Tier 2,1.0,40.2797,-75.2771,cfe29bc6-421e-4529-913c-9055c4770828,,,,,,,,,3,2025-12-05,,,,,,3,,,,,
001Hr000028Zbtu,"Township Of East Manchester, PA",Pennsylvania,Municipality,Ali Cohen,8402,,Tier 3,0.75,40.038,-76.699,701a4813-cc13-4b7a-ad4d-f4a32d59bebb,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbtw,"Borough Of West View, PA",Pennsylvania,Municipality,Ali Cohen,6586,,Tier 3,0.75,40.5223,-80.0342,b6992157-7186-4706-b4d2-41dc02e2a8d4,,,,,,,,,1,2025-10-02,,,,,,,1,,,,
001Hr000028Zbu2,"Township Of Martic, PA",Pennsylvania,Municipality,Hugh Bargeron,5203,,Tier 3,0.75,39.8705,-76.3058,8fc35039-9689-4c65-967a-d508798d22bf,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbuW,"Borough Of Wilson, PA",Pennsylvania,Municipality,Catherine Silvestri,8222,,Tier 3,0.75,40.684,-75.2418,84a8aeaf-ec35-4c1d-aca3-23a1272a8ca3,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbuX,"Township Of Lehigh, PA",Pennsylvania,Municipality,Sydney Ireland,10776,,Tier 2,1.0,40.7767,-75.5393,aa91ea4f-52cb-4e7c-a5bb-2947d52eb8a4,,,,,,,,,4,2026-05-18,,,,,4,,,,,,
001Hr000028Zbuc,"Township Of South Fayette, PA",Pennsylvania,Municipality,Hugh Bargeron,18407,,Tier 2,1.0,40.3576,-80.1652,80f8711d-dd8e-4349-bd4d-10dd77cffb47,,,,,,,,,3,2025-12-12,,,,,,3,,,,,
001Hr000028Zbuf,"Township Of Concord, PA",Pennsylvania,Municipality,Hugh Bargeron,18262,,Tier 2,1.0,39.8738,-75.516,bc9475fa-c405-4bd6-b2ca-b8ad86fdeff0,,,,,,,,,3,2025-09-29,,,,3,,,,,,,
001Hr000028Zbug,"Township Of Moore, PA",Pennsylvania,Municipality,Catherine Silvestri,9353,,Tier 3,0.75,40.7816,-75.4228,fd0b1335-1d7f-48be-ad87-b51b1b716911,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbus,"Township Of West Vincent, PA",Pennsylvania,Municipality,Sydney Ireland,6820,,Tier 3,0.75,40.1328,-75.6557,3b022c52-ca13-4a75-aadb-2587a0914c6d,,,,,,,,,1,2025-05-27,,,,1,,,,,,,
001Hr000028Zbv5,"Township Of Upper Moreland, PA",Pennsylvania,Municipality,Catherine Silvestri,26099,,Tier 1,1.5,40.1547,-75.1028,022032d1-cd6b-4bd7-8781-bad50e3faaeb,,,,,,,,,4,2026-05-01,,,4,,,,,,,,
001Hr000028ZbvP,"Borough Of Carnegie, PA",Pennsylvania,Municipality,Catherine Silvestri,8013,,Tier 3,0.75,40.4087,-80.0834,e6918b80-2d79-4e93-ae24-9340b9feec33,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbvs,"Borough Of Jefferson Hills, PA",Pennsylvania,Municipality,Catherine Silvestri,12366,Open Opportunity,Tier 2,1.0,40.2912,-79.932,ea7a797b-0724-485b-85f2-3a4aeb83e8b6,Open,Initial Interest,Top of Funnel,Leila Assil,8/11/2025,7/30/2025,,,18,2026-05-05,,10,8,,,,,,,,
001Hr000028Zbvy,"Borough Of Indiana, PA",Pennsylvania,Municipality,Ali Cohen,13508,Nurture,Tier 2,1.0,40.6215,-79.1525,402a4215-bf08-4d8b-bd63-d84b45bdd4ff,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,,,,,,,,
001Hr000028Zbvz,"Borough Of Canonsburg, PA",Pennsylvania,Municipality,Ali Cohen,9677,,Tier 3,0.75,40.2626,-80.1873,cdfe2b6d-21c2-4733-b36a-2de93aa4a42c,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbw8,"Longswamp Township, PA",Pennsylvania,Municipality,Sydney Ireland,5553,,Tier 3,0.75,40.493,-75.6557,37c09f76-97fe-49e6-bb23-7193b686890a,,,,,,,,,10,2025-07-30,,10,,,,,,,,,
001Hr000028ZbwD,"Township Of East Lampeter, PA",Pennsylvania,Municipality,Catherine Silvestri,17759,,Tier 2,1.0,40.0408,-76.2131,c52b3d8d-2b56-4556-a8e0-e13e5a5d9247,,,,,,,,,1,2025-12-12,,,,,,1,,,,,
001Hr000028ZbwJ,"Township Of East Whiteland, PA",Pennsylvania,Municipality,Sydney Ireland,14768,,Tier 2,1.0,40.0407,-75.5626,8f22d406-fcbe-4557-8d83-54eca14fdefd,,,,,,,,,22,2026-02-13,22,,,,,,,,,,
001Hr000028ZbwP,"Township Of Chippewa, PA",Pennsylvania,Municipality,Ali Cohen,7953,,Tier 3,0.75,40.7684,-80.377,db6fbb12-97a3-4511-8251-eef0386873b0,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbwX,"Borough Of Oakmont, PA",Pennsylvania,Municipality,Ali Cohen,6749,,Tier 3,0.75,40.5217,-79.8423,5a057978-203a-4aaa-94a7-6180f50b37d0,,,,,,,,,1,2025-10-02,,,,,,,1,,,,
001Hr000028ZbwZ,"Borough Of Folcroft, PA",Pennsylvania,Municipality,Hugh Bargeron,6737,,Tier 3,0.75,39.8909,-75.2838,c6cc1f6f-e551-4f92-9c4b-daf6fc12c60e,,,,,,,,,3,2026-05-12,,,,,,,,,3,,
001Hr000028Zbwn,"Township Of North Cornwall, PA",Pennsylvania,Municipality,Sydney Ireland,8804,,Tier 3,0.75,40.3097,-76.4447,d90abbdb-8dc5-4603-8142-eb6e078277cf,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbwo,"Borough Of Edinboro, PA",Pennsylvania,Municipality,Sydney Ireland,4889,,Tier 3,0.75,41.8742,-80.1317,628ad64e-2173-4379-b3e5-390c5cf6752e,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbww,"Maxatawny Township, PA",Pennsylvania,Municipality,Sydney Ireland,7493,,Tier 3,0.75,40.5331,-75.7371,e8570e0d-38c1-4974-ba41-91ce57ceee44,,,,,,,,,2,2025-07-14,,,,2,,,,,,,
001Hr000028Zbwx,"Borough Of Middletown, PA",Pennsylvania,Municipality,Ali Cohen,9587,,Tier 3,0.75,40.1998,-76.7311,4f22d379-e87b-40e0-ae30-b92cf5b37901,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbxB,"Dunmore Borough, PA",Pennsylvania,Municipality,Ali Cohen,14009,,Tier 2,1.0,41.4198,-75.6324,150e44c3-7826-4a42-a1e9-34b56608eda5,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbxC,"City Of Du Bois, PA",Pennsylvania,Municipality,Ali Cohen,7460,,Tier 3,0.75,41.121,-78.7583,a2967061-af4d-46e8-b32b-4595f98c1786,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbxG,"Township Of Earl, PA",Pennsylvania,Municipality,Catherine Silvestri,7108,,Tier 3,0.75,40.339,-75.7023,ada0ca72-44e6-4383-8c2a-8af4323c246a,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbxb,"Township Of Findlay, PA",Pennsylvania,Municipality,Ali Cohen,6457,,Tier 3,0.75,40.4912,-80.2972,2d5df156-4e0d-4aa7-9985-ed1361fa442a,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbxe,"Township Of East Rockhill, PA",Pennsylvania,Municipality,Catherine Silvestri,5814,,Tier 3,0.75,40.4253,-75.2829,fa883c1a-6d42-4198-9abc-79a3b1f55038,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbya,"Township Of West Lampeter, PA",Pennsylvania,Municipality,Ali Cohen,17394,,Tier 2,1.0,39.9901,-76.2399,5d350c6f-714d-43a9-b2df-b4a6ffe1c72b,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbyc,"Township Of Lower Gwynedd, PA",Pennsylvania,Municipality,Sydney Ireland,12066,,Tier 2,1.0,40.1794,-75.2362,4525c615-25cb-47f2-88d9-9f0d2c29af8b,,,,,,,,,5,2026-05-19,,,,,5,,,,,,
001Hr000028Zbye,"Borough Of Clifton Heights, PA",Pennsylvania,Municipality,Sydney Ireland,6798,Open Opportunity,Tier 3,0.75,39.9293,-75.2963,a15242a0-fd30-43f4-a3cd-03b7fb9b224a,Open,Initial Interest,Top of Funnel,Quinzel Perry,6/12/2025,5/22/2025,,,6,2026-03-06,,,1,,,,5,,,,
001Hr000028Zbyf,"Municipality Of Murrysville, PA",Pennsylvania,Municipality,Hugh Bargeron,20833,,Tier 2,1.0,40.4251,-79.6665,4bd165a2-0a6c-48d3-802e-c15fc725c6f6,,,,,,,,,11,2025-06-23,,11,,,,,,,,,
001Hr000028Zbyt,"Township Of Chestnuthill, PA",Pennsylvania,Municipality,Sydney Ireland,16779,,Tier 2,1.0,40.7304,-75.2091,d13aac5a-8084-493f-b688-a9bdd0dd849e,,,,,,,,,3,2026-05-13,,,,,3,,,,,,
001Hr000028Zbz7,"Township Of East Donegal, PA",Pennsylvania,Municipality,Ali Cohen,8660,,Tier 3,0.75,40.0822,-76.5604,70db23a0-3c28-4da7-8b29-a798301def00,,,,,,,,,6,2025-07-10,,,,6,,,,,,,
001Hr000028Zbz8,"City Of Butler, PA",Pennsylvania,Municipality,Hugh Bargeron,13287,,Tier 2,1.0,40.8612,-79.8953,9cb3646c-067a-49a6-80dd-5cee154ea9d3,,,,,,,,,2,2026-05-26,,,,,,,,,2,,
001Hr000028ZbzB,"Township Of Milford, PA",Pennsylvania,Municipality,Ali Cohen,10212,Open Opportunity,Tier 2,1.0,40.4234,-75.4228,2b23d938-4406-4f0f-9c1e-d4a66577dec3,Open,Initial Interest,Top of Funnel,Ali Cohen,,11/12/2025,,,7,2026-02-20,7,,,,,,,,,,
001Hr000028ZbzO,"Township Of Antis, PA",Pennsylvania,Municipality,Ali Cohen,6441,,Tier 3,0.75,40.6315,-78.3615,b4435667-6709-4f7b-af0a-0669ee94692d,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbzQ,"Township Of Upper Gwynedd, PA",Pennsylvania,Municipality,Hugh Bargeron,17133,,Tier 2,1.0,40.2212,-75.2887,a820b5bd-a219-40c0-b252-106139476462,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbza,"City Of Nanticoke, PA",Pennsylvania,Municipality,Catherine Silvestri,10603,,Tier 2,1.0,41.2054,-76.0049,f5bed696-c309-4400-8d29-d28736974d42,,,,,,,,,5,2026-05-21,,,4,1,,,,,,,
001Hr000028Zbzl,"Township Of Neshannock, PA",Pennsylvania,Municipality,Hugh Bargeron,9784,,Tier 3,0.75,41.2159,-80.3959,7067d4f4-490b-47a0-8754-24ad6fc02e2c,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbzq,"Borough Of Somerset, PA",Pennsylvania,Municipality,Ali Cohen,5992,,Tier 3,0.75,40.0084,-79.0781,52193195-1def-4b75-829e-77fdb4ff06c4,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zbzz,"Township Of Upper Makefield, PA",Pennsylvania,Municipality,Ali Cohen,8853,,Tier 3,0.75,40.2995,-74.9326,3f6b0656-ce08-4519-bb06-9f3f78a80f93,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc0A,"Township Of Colebrookdale, PA",Pennsylvania,Municipality,Sydney Ireland,5122,,Tier 3,0.75,40.325,-75.6309,4d384c53-5d28-4de4-80d8-7ed8c5e01251,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc0H,"Township Of North Lebanon, PA",Pennsylvania,Municipality,Ali Cohen,12018,,Tier 2,1.0,40.4468,-76.5026,805b3ba9-b4d7-483c-9b98-3fe05c97a81a,,,,,,,,,1,2025-05-27,,,,1,,,,,,,
001Hr000028Zc0Q,"Westtown Township, PA",Pennsylvania,Municipality,Catherine Silvestri,11137,,Tier 2,1.0,39.9444,-75.5568,3f874c8c-b9d0-4b92-b3f2-15ed92e17fb4,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc0V,"Maidencreek Township, PA",Pennsylvania,Municipality,Catherine Silvestri,9182,,Tier 3,0.75,40.4622,-75.8883,bf95bb4c-03e5-488e-be8e-6b9c27e7fa93,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc0l,"Township Of Upper Saucon, PA",Pennsylvania,Municipality,Sydney Ireland,17149,,Tier 2,1.0,40.54,-75.3995,dbee5ab8-6e9d-4925-9c29-6af2964c5060,,,,,,,,,4,2025-10-06,,,,4,,,,,,,
001Hr000028Zc0q,"Township Of Coolbaugh, PA",Pennsylvania,Municipality,Catherine Silvestri,20863,,Tier 2,1.0,41.1823,-75.3879,c921ba9b-7b26-4ef9-ad63-c0588216a1d0,,,,,,,,,4,2025-12-16,4,,,,,,,,,,
001Hr000028Zc0s,"Borough Of Glenolden, PA",Pennsylvania,Municipality,Catherine Silvestri,7159,,Tier 3,0.75,39.9001,-75.2891,81625d56-a486-4ae7-8f48-3025308944b6,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc12,"Township Of Hampton, PA",Pennsylvania,Municipality,Ali Cohen,18273,,Tier 2,1.0,40.5814,-79.9349,9a97c68d-a475-4f43-9c9d-46fc3d226ce3,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc13,"Borough of Yeadon, PA",Pennsylvania,Municipality,Sydney Ireland,11945,Open Opportunity,Tier 2,1.0,39.939,-75.2555,adedcec7-cf16-477d-b1dc-d51d34dd8c89,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,10,2026-05-18,5,,,,5,,,,,,
001Hr000028Zc1C,"Township Of East Norriton, PA",Pennsylvania,Municipality,Hugh Bargeron,14002,,Tier 2,1.0,40.1453,-75.3186,71459cce-6d63-42bc-b05f-c1e914dfc931,,,,,,,,,2,2025-10-01,,,,2,,,,,,,
001Hr000028Zc1E,"Borough Of Monaca, PA",Pennsylvania,Municipality,Ali Cohen,5542,,Tier 3,0.75,40.6873,-80.2715,2ee1b143-fc20-4378-900c-fd0fe65ee485,,,,,,,,,,,,,,,,,,,,,
