Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Ryan Minter,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Emily Murnane,Calls - Leila Assil,Calls - Lucy Nemerov,Salesforce ID
001Hr000028Zci1,"City Of Pevely, MO",Missouri,Municipality,Ben Laddis,6016,Nurture,Tier 3,0.75,38.2835,-90.3907,483de329-3c77-413a-96f8-44768a8c1563,Closed Lost,,,Ben Laddis,5/22/2026,5/20/2026,,,6,2026-05-20,6,,,,,,,,,
001Hr000028ZciS,"City Of Oak Grove, MO",Missouri,Municipality,Ben Laddis,8289,Nurture,Tier 3,0.75,39.005,-94.1294,14b7f860-5e1c-4d53-b9f8-7260ef260c5b,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,9,2026-01-27,5,4,,,,,,,,
001Hr000028ZciT,"City Of Cameron, MO",Missouri,Municipality,Ben Laddis,8433,,Tier 3,0.75,39.7412,-94.2358,0334761e-bfd6-476e-8245-11347a8b22d3,,,,,,,,,11,2026-01-29,10,1,,,,,,,,
001Hr000028Zcip,"City Of Maplewood, MO",Missouri,Municipality,Ben Laddis,8188,Nurture,Tier 3,0.75,38.6126,-90.3246,b37492d7-dbcf-4f9c-95db-efdd0661e40c,Closed Lost,,,Ben Laddis,1/28/2026,1/16/2026,,,8,2026-05-15,8,,,,,,,,,
001Hr000028Zcj6,"City Of Raytown, MO",Missouri,Municipality,Ben Laddis,29580,,Tier 1,1.5,39.0086,-94.4636,ae4a2974-23c0-4c81-b255-811ce9e80b50,,,,,,,,,5,2026-01-26,4,1,,,,,,,,
001Hr000028Zcj9,"City Of Warrenton, MO",Missouri,Municipality,Ben Laddis,8892,,Tier 3,0.75,38.8212,-91.1392,2cd46de0-941a-4ec4-b314-50feef7a2f45,,,,,,,,,6,2025-11-07,,6,,,,,,,,
001Hr000028Zck4,"City Of Marshfield, MO",Missouri,Municipality,Ben Laddis,7540,Nurture,Tier 3,0.75,37.3373,-92.9024,68119945-48dd-4ade-ba22-36a9df94bfea,Closed Lost,,,Shane Lieberman,4/26/2024,1/5/2025,,,2,2025-09-23,,2,,,,,,,,
001Hr000028ZckL,"City Of St Johns, MO",Missouri,Municipality,Ben Laddis,6588,,Tier 3,0.75,38.7127,-90.3442,a54d9c60-4c3a-4448-8090-1777a82908e0,,,,,,,,,,,,,,,,,,,,
001Hr000028ZckN,"City Of Aurora, MO",Missouri,Municipality,Ben Laddis,7274,Open Opportunity,Tier 3,0.75,36.9707,-93.718,8a3d6971-5990-430b-87ed-69a3321d76f3,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,5,2026-04-27,2,3,,,,,,,,
001Hr000028ZckX,"City Of Des Peres, MO",Missouri,Municipality,Ben Laddis,9158,,Tier 3,0.75,38.6009,-90.4329,1bcf9bcf-24d2-45d5-a190-7567b5ed25db,,,,,,,,,10,2025-09-02,,10,,,,,,,,
001Hr000028Zckd,"City Of Maryville, MO",Missouri,Municipality,Ben Laddis,10847,Open Opportunity,Tier 2,1.0,40.3461,-94.8729,c0c5481e-f33e-45c2-8221-4ca81dc0c98f,Open,Initial Interest,Top of Funnel,Jenny Allison,,10/29/2025,,Yes,27,2026-05-26,13,9,,,,5,,,,
001Hr000028ZclC,"City Of Pleasant Hill, MO",Missouri,Municipality,Ben Laddis,8803,Open Opportunity,Tier 3,0.75,38.7844,-94.2739,21f3eb88-5a8e-4a1d-b0af-42812ef144b4,Open,Initial Interest,Top of Funnel,Ben Laddis,,3/10/2026,,Yes,9,2026-02-10,2,4,,,,3,,,,
001Hr000028ZclN,"City Of Berkeley, MO",Missouri,Municipality,Ben Laddis,8148,,Tier 3,0.75,38.7545,-90.3312,b3122b7e-9d52-447d-8b67-e664d1e94538,,,,,,,,,9,2026-03-12,8,1,,,,,,,,
001Hr000028ZclU,"City Of Valley Park, MO",Missouri,Municipality,Ben Laddis,6826,,Tier 3,0.75,38.5492,-90.4926,8c0a0e83-d0a2-457d-ae2f-f4dda78a72e1,,,,,,,,,2,2026-01-20,2,,,,,,,,,
001Hr000028ZcmO,"City Of West Plains, MO",Missouri,Municipality,Ben Laddis,12170,,Tier 2,1.0,36.7281,-91.8523,cb3736a4-3de9-48f9-9e4d-5bbb62226ba7,,,,,,,,,16,2026-02-19,15,1,,,,,,,,
001Hr000028ZcmT,"City Of Nixa, MO",Missouri,Municipality,Ben Laddis,24137,,Tier 2,1.0,37.0434,-93.2944,bd5f6508-bf60-4d52-9840-b49a81c1e3a3,,,,,,,,,27,2026-03-13,26,1,,,,,,,,
001Hr000028Zcmf,"Callaway County, MO",Missouri,County,Ben Laddis,45126,,Tier 1,1.5,38.8886,-91.9099,47dbd5d0-6c45-4e52-87ec-460970e65eee,,,,,,,,,4,2025-07-23,,,4,,,,,,,
001Hr000028Zco1,"City Of Kirksville, MO",Missouri,Municipality,Ben Laddis,17542,Open Opportunity,Tier 2,1.0,40.1948,-92.5833,aba7f77f-2778-4b61-86b9-43dca384cc69,Open,Initial Interest,Top of Funnel,Ben Laddis,,1/28/2026,,,24,2026-03-13,24,,,,,,,,,
001Hr000028ZcoH,"City Of Overland, MO",Missouri,Municipality,Ben Laddis,15775,,Tier 2,1.0,38.7012,-90.3623,188eab22-f8cc-4c0f-bb5e-9bcdc59dd761,,,,,,,,,25,2026-02-23,24,1,,,,,,,,
001Hr000028ZcpR,"City Of Carthage, MO",Missouri,Municipality,Ben Laddis,15538,,Tier 2,1.0,37.1786,-94.314,9d020c77-2614-46f5-a97a-ae6c31ee680e,,,,,,,,,7,2026-01-30,6,1,,,,,,,,
001Hr000028Zcpc,"City Of Clayton, MO",Missouri,Municipality,Ben Laddis,16943,,Tier 2,1.0,38.6501,-90.3368,0d6a83f3-85a5-4c88-916a-1568329dd3fa,,,,,,,,,8,2025-11-10,,8,,,,,,,,
001Hr000028Zcpq,"City Of Marshall, MO",Missouri,Municipality,Ben Laddis,13506,,Tier 2,1.0,39.1231,-93.1969,c8f35010-0784-49f1-953b-5a8f86062965,,,,,,,,,37,2026-03-20,27,10,,,,,,,,
001Hr000028Zcq1,"City Of Olivette, MO",Missouri,Municipality,Ben Laddis,8452,,Tier 3,0.75,38.6653,-90.376,29578b56-7cac-469c-bb29-c684b62aa497,,,,,,,,,5,2026-01-23,5,,,,,,,,,
001Hr000028ZcqS,"City Of Crestwood, MO",Missouri,Municipality,Ben Laddis,12338,,Tier 2,1.0,38.557,-90.3818,ac467d10-b4da-44b6-b1c5-90ce3442539c,,,,,,,,,5,2025-10-08,,5,,,,,,,,
001Hr000028ZcqY,"City Of Boonville, MO",Missouri,Municipality,Ben Laddis,7870,,Tier 3,0.75,38.9736,-92.7432,236dee12-1d2d-46a0-aa06-6dd6c8473500,,,,,,,,,3,2026-01-14,3,,,,,,,,,
001Hr000028Zcr8,"City Of Town And Country, MO",Missouri,Municipality,Ben Laddis,11503,Nurture,Tier 2,1.0,38.6123,-90.4635,145c6e34-5e88-429f-af73-87abce004e7a,Closed Lost,,,Ben Laddis,1/26/2026,1/22/2026,"$18,000",,3,2026-01-22,2,1,,,,,,,,
001Hr000028ZcrF,"City Of Eureka, MO",Missouri,Municipality,Ben Laddis,12154,Nurture,Tier 2,1.0,38.5026,-90.6279,aab4ab09-187a-45b5-a69b-4c496967c972,Closed Lost,,,Joe del Rosario,10/31/2024,1/5/2025,,,29,2026-05-07,20,9,,,,,,,,
001Hr000028Zcrv,"City Of Perryville, MO",Missouri,Municipality,Ben Laddis,8475,,Tier 3,0.75,37.7268,-89.8624,9af38d8e-b6ae-49e2-8e90-64524b6063b6,,,,,,,,,6,2026-01-22,3,3,,,,,,,,
001Hr000028Zcs2,"City Of Troy, MO",Missouri,Municipality,Ben Laddis,13358,,Tier 2,1.0,38.9795,-90.9807,2d8cfdda-3d35-47dc-8a42-b4f80a491e5f,,,,,,,,,4,2026-02-02,3,1,,,,,,,,
001Hr000028Zcs8,"City Of Webb City, MO",Missouri,Municipality,Ben Laddis,13251,Nurture,Tier 2,1.0,37.1464,-94.463,cc74f199-3f2e-4480-b01b-68de069b1042,Closed Lost,,,Shane Lieberman,6/6/2024,1/5/2025,,,1,2025-07-16,,1,,,,,,,,
001Hr000028ZcsI,"City Of Gladstone, MO",Missouri,Municipality,Ben Laddis,27017,,Tier 1,1.5,39.2039,-94.5547,291ea91c-16ad-47df-8488-9ec34138c856,,,,,,,,,30,2026-02-25,23,4,,3,,,,,,
001Hr000028ZcsQ,"City Of Sunset Hills, MO",Missouri,Municipality,Ben Laddis,9099,Nurture,Tier 3,0.75,38.5389,-90.4073,179815f2-428c-4e81-a2ec-1fb0c8ee7783,Closed Lost,,,Shane Lieberman,5/2/2024,1/5/2025,"$10,000",,7,2026-02-26,6,1,,,,,,,,
001Hr000028Zct8,"City Of Clinton, MO",Missouri,Municipality,Ben Laddis,8828,,Tier 3,0.75,38.3668,-93.7742,70a8bcb3-e41f-4cef-ab9d-ec27f9913b2b,,,,,,,,,6,2026-01-23,6,,,,,,,,,
001Hr000028ZctN,"City Of Ladue, MO",Missouri,Municipality,Ben Laddis,8969,,Tier 3,0.75,38.6498,-90.3807,590cae19-ec23-4703-8419-c159d3fe10f9,,,,,,,,,43,2026-03-13,33,10,,,,,,,,
001Hr000028Zctv,"City Of Republic, MO",Missouri,Municipality,Ben Laddis,19136,,Tier 2,1.0,37.1201,-93.4802,6990d2f3-aab6-4f40-9318-ddf4788a5daf,,,,,,,,,20,2026-02-25,19,1,,,,,,,,
001Hr000028Zcu2,"City Of Ellisville, MO",Missouri,Municipality,Ben Laddis,9942,,Tier 3,0.75,38.5926,-90.5871,ac8bac72-13fd-4f63-b78b-e58261eca1be,,,,,,,,,14,2026-05-22,13,1,,,,,,,,
001Hr000028ZcuB,"City Of Richmond Heights, MO",Missouri,Municipality,Ben Laddis,9201,Open Opportunity,Tier 3,0.75,38.6287,-90.3196,0197414f-a180-44fe-906f-7d788405e0e9,Open,Meeting Booked,Top of Funnel,Ben Laddis,5/28/2026,5/26/2026,,,7,2026-05-26,7,,,,,,,,,
001Hr000028ZcuO,"City Of Bellefontaine Neighbors, MO",Missouri,Municipality,Ben Laddis,10615,,Tier 2,1.0,38.7403,-90.2265,29a84146-4026-4395-a8eb-367dbe5715b1,,,,,,,,,2,2026-02-06,1,1,,,,,,,,
001Hr000028Zcui,"City Of Washington, MO",Missouri,Municipality,Ben Laddis,14916,Nurture,Tier 2,1.0,38.5581,-91.0121,6ee26c1d-7e19-4129-ae33-0d40d3219039,Closed Lost,,,Ben Laddis,2/25/2026,1/20/2026,,,4,2026-02-19,3,,,1,,,,,,
001Hr000028ZcvQ,"City Of Kirkwood, MO",Missouri,Municipality,Ben Laddis,29371,,Tier 1,1.5,38.5834,-90.4068,63eda14e-d9b8-4078-a76c-eca39d37f9f9,,,,,,,,,3,2025-08-07,,3,,,,,,,,
001Hr000028ZcvU,"City Of Bolivar, MO",Missouri,Municipality,Ben Laddis,10949,,Tier 2,1.0,37.6145,-93.4105,7976dbcd-aa79-42a7-85a7-f497e99bc100,,,,,,,,,17,2026-02-18,17,,,,,,,,,
001Hr000028Zcw3,"City Of Harrisonville, MO",Missouri,Municipality,Ben Laddis,10042,Open Opportunity,Tier 2,1.0,38.6533,-94.3488,acb63265-67a1-4a04-9325-3a9a327e199e,Open,Meeting Booked,Top of Funnel,Joe del Rosario,10/24/2025,10/23/2025,,Yes,8,2026-01-23,4,4,,,,,,,,
001Hr000028ZcxP,"City Of Excelsior Springs, MO",Missouri,Municipality,Ben Laddis,10589,Nurture,Tier 2,1.0,39.3392,-94.2261,6bb86fd4-f988-493c-8fba-9e53a379708d,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,12,2026-02-13,11,1,,,,,,,,
001Hr000028Zcye,"City Of Grain Valley, MO",Missouri,Municipality,Ben Laddis,16002,Open Opportunity,Tier 2,1.0,39.015,-94.1986,f75bfe06-45a2-42ba-b06b-0ef1d2114210,Open,Initial Interest,Top of Funnel,Ben Laddis,,1/29/2026,,,19,2026-01-29,6,8,,5,,,,,,
001Hr000028Zcyw,"City Of Bridgeton, MO",Missouri,Municipality,Ben Laddis,11380,,Tier 2,1.0,38.767,-90.4115,7224a1f0-2164-4331-8b8a-562fda127a25,,,,,,,,,1,2026-01-14,1,,,,,,,,,
001Hr000028Zcz2,"City Of Union, MO",Missouri,Municipality,Ben Laddis,12458,Nurture,Tier 2,1.0,36.9789,-93.4657,7af1e20b-aafa-4c2a-bc6c-1d37af85ba30,Closed Lost,,,Shane Lieberman,5/31/2024,1/5/2025,,,15,2026-02-26,14,1,,,,,,,,
001Hr000028ZczV,"City Of Mexico, MO",Missouri,Municipality,Ben Laddis,11523,Open Opportunity,Tier 2,1.0,39.1731,-91.8873,4b3e8ee0-103d-4bb3-9126-041ce5f41910,Open,Demo,Mid Funnel,Ben Laddis,2/3/2026,1/21/2026,,,8,2026-01-21,7,1,,,,,,,,
001Hr000028Zd0A,"City Of Dardenne Prairie, MO",Missouri,Municipality,Ben Laddis,12933,Recent Competitor Purchase,Tier 2,1.0,38.7703,-90.7293,eecffcc7-c4d8-46b5-8f1f-d8fc6ca7206c,Closed Lost,,,Shane Lieberman,6/13/2024,1/5/2025,"$31,000",,37,2026-04-13,36,1,,,,,,,,
001Hr000028Zd0Z,"City Of Hannibal, MO",Missouri,Municipality,Ben Laddis,17067,,Tier 2,1.0,39.7084,-91.3585,de21fb78-3d31-4b31-bd12-970271d6287e,,,,,,,,,13,2026-02-02,13,,,,,,,,,
001Hr000028Zd1C,"City Of Neosho, MO",Missouri,Municipality,Ben Laddis,12687,,Tier 2,1.0,36.869,-94.368,b4ee5a2a-ab1d-4340-9634-e88dc2f1e1c1,,,,,,,,,5,2026-01-22,4,1,,,,,,,,
