Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Hugh Bargeron,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Ryan Minter,Calls - Nick Martino,Calls - Catherine Silvestri,Calls - Jenny Allison,Outreach ID
001Hr000028Zc5M,"Town Of Central, SC",South Carolina,Municipality,Hugh Bargeron,5296,,Tier 3,0.75,34.7243,-82.7813,b7e7f284-10b4-4403-aa55-14bbf663c53c,,,,,,,,,,,,,,,,,,2322
001Hr000028Zc64,"City Of Greenwood, SC",South Carolina,Municipality,Hugh Bargeron,22221,,Tier 2,1.0,34.1954,-82.1618,8a4ef535-86d4-4892-85c4-b91eab22ab1d,,,,,,,,,5,2026-05-11,5,,,,,,,2330
001Hr000028Zc7H,"City Of Florence, SC",South Carolina,Municipality,Hugh Bargeron,39958,Open Opportunity,Tier 1,1.5,34.1973,-79.7661,ae41942e-e280-4858-9d66-c59eb524d925,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,4/28/2026,,,3,2026-04-08,2,1,,,,,,2253
001Hr000028Zc8P,"City Of Newberry, SC",South Carolina,Municipality,Hugh Bargeron,10487,,Tier 2,1.0,34.2746,-81.6187,bde700da-a8c8-4012-a00b-5a0db92493b2,,,,,,,,,2,2026-04-09,1,1,,,,,,2132
001Hr000028Zc8i,"City Of Sumter, SC",South Carolina,Municipality,Hugh Bargeron,42976,,Tier 1,1.5,33.9204,-80.3415,0b312aa4-4d98-4b98-983f-3e549c7fb706,,,,,,,,,29,2026-05-19,28,1,,,,,,2142
001Hr000028Zc9h,"Town Of Port Royal, SC",South Carolina,Municipality,Hugh Bargeron,13169,,Tier 2,1.0,32.3791,-80.6926,f9c26a72-4d96-4069-b319-bd8c95541105,,,,,,,,,9,2025-11-07,,9,,,,,,2263
001Hr000028ZcAY,"Town Of Hollywood, SC",South Carolina,Municipality,Hugh Bargeron,5392,,Tier 3,0.75,32.7345,-80.2413,2595fa34-dfe0-4fa1-9ca4-9f8ff4e0c021,,,,,,,,,1,2026-04-09,1,,,,,,,2261
001Hr000028ZcBJ,"City Of Walterboro, SC",South Carolina,Municipality,Hugh Bargeron,5463,,Tier 3,0.75,32.9052,-80.6668,fc3dbed4-021a-4ad4-838e-1b560e160475,,,,,,,,,1,2026-04-13,1,,,,,,,2257
001Hr000028ZcCG,"Town Of Bluffton, SC",South Carolina,Municipality,Hugh Bargeron,32191,Open Opportunity,Tier 1,1.5,32.2371,-80.8604,0318fee5-e83d-4961-b825-18a0325e1a50,Open,Initial Interest,Top of Funnel,,,1/5/2025,,,32,2026-05-19,32,,,,,,,2254
001Hr000028ZcD1,"City Of Orangeburg, SC",South Carolina,Municipality,Hugh Bargeron,12482,Open Opportunity,Tier 2,1.0,33.4918,-80.8556,e53dacfb-2b62-4552-a44b-e21f861d33bc,Closed Lost,,,Shane Lieberman,3/13/2024,1/5/2025,,,13,2026-05-11,3,10,,,,,,2136
001Hr000028ZcDe,"Town Of James Island, SC",South Carolina,Municipality,Hugh Bargeron,11602,,Tier 2,1.0,32.7274,-79.9483,ae9a9b9c-920d-49a2-99ff-9f22aa296aed,,,,,,,,,1,2026-04-09,1,,,,,,,2259
001Hr000028ZcEI,"City Of Simpsonville, SC",South Carolina,Municipality,Hugh Bargeron,24685,Open Opportunity,Tier 2,1.0,34.7371,-82.2543,a55624a9-fa40-4e2c-b486-e4e51987bec9,Open,Initial Interest,Top of Funnel,Granger West,4/15/2025,1/5/2025,,,3,2026-05-19,2,1,,,,,,2331
001Hr000028ZcFn,"City Of Anderson, SC",South Carolina,Municipality,Hugh Bargeron,29284,,Tier 1,1.5,34.5034,-82.6501,b5a26c51-576c-4396-bac2-4d03d0c61ca9,,,,,,,,,1,2025-10-21,,1,,,,,,2317
001Hr000028ZcIA,"Town Of Irmo, SC",South Carolina,Municipality,Hugh Bargeron,11758,,Tier 2,1.0,34.086,-81.1832,8300abf0-96cc-4fd8-8eb5-80aefeaeff83,,,,,,,,,13,2026-04-22,9,4,,,,,,2143
001Hr000028ZcIZ,"City Of Hanahan, SC",South Carolina,Municipality,Hugh Bargeron,21480,Recent Competitor Purchase,Tier 2,1.0,32.9306,-80.0032,f1dfcff4-6dca-4a00-9503-00a2afefd67a,Open,Initial Interest,Top of Funnel,Granger West,,1/8/2025,,,8,2026-05-12,1,7,,,,,,2252
001Hr000028ZcIs,"Town Of Hilton Head Island, SC",South Carolina,Municipality,Hugh Bargeron,38076,Open Opportunity,Tier 1,1.5,32.2163,-80.7526,2584b70b-f8d9-4ce2-a6bf-c2f06beecdca,Open,Initial Interest,Top of Funnel,Ryan Minter,1/12/2026,11/17/2025,,,42,2026-05-15,15,15,,12,,,,2243
001Hr000028ZcL8,"City Of Seneca, SC",South Carolina,Municipality,Hugh Bargeron,8900,,Tier 3,0.75,34.6857,-82.9532,4141b107-fba2-4ba5-9e3b-070a7df70164,,,,,,,,,7,2025-10-16,,7,,,,,,2329
001Hr000028ZcLC,"City Of Aiken, SC",South Carolina,Municipality,Hugh Bargeron,31895,,Tier 1,1.5,33.5605,-81.7195,e6636d9d-f997-49f1-946e-eab3fdc3c917,,,,,,,,,3,2026-04-09,1,2,,,,,,2140
001Hr000028ZcLm,"City Of North Myrtle Beach, SC",South Carolina,Municipality,Hugh Bargeron,19485,,Tier 2,1.0,33.816,-78.68,23462e6c-d679-4e4a-9f8a-e9c48d2b451d,,,,,,,,,3,2026-04-13,3,,,,,,,2242
001Hr000028ZcMM,"City Of Lake City, SC",South Carolina,Municipality,Hugh Bargeron,5929,,Tier 3,0.75,33.871,-79.7553,d02eb02c-ba96-4f8b-a91a-fb1e04cc8838,,,,,,,,,1,2026-04-09,1,,,,,,,2262
001Hr000028ZcO9,"City Of West Columbia, SC",South Carolina,Municipality,Hugh Bargeron,17466,Nurture,Tier 2,1.0,33.9935,-81.074,5a460762-86b6-4acc-a543-8ca30b539170,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,27,2026-04-10,8,13,,1,5,,,2145
001Hr000028ZcPi,"City Of Gaffney, SC",South Carolina,Municipality,Hugh Bargeron,12424,Nurture,Tier 2,1.0,35.0718,-81.6498,193cb80a-4ffa-442b-8748-bffea4b6fe03,Closed Lost,,,Shane Lieberman,9/11/2024,1/5/2025,,,5,2026-04-07,3,2,,,,,,2316
001Hr000028ZcRL,"Town Of Cheraw, SC",South Carolina,Municipality,Hugh Bargeron,4963,,Tier 3,0.75,34.6977,-79.8834,4d8b9ca4-ad34-4462-ab6f-8078201616c8,,,,,,,,,,,,,,,,,,2249
001Hr000028ZcRU,"City Of Camden, SC",South Carolina,Municipality,Hugh Bargeron,7907,Open Opportunity,Tier 3,0.75,34.2465,-80.607,b9942c5f-1960-4aa9-81b4-b8c35f1c8c8c,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,2,2026-05-18,2,,,,,,,2133
001Hr000028ZcRj,"City Of Bennettsville, SC",South Carolina,Municipality,Hugh Bargeron,6955,Nurture,Tier 3,0.75,34.6174,-79.6848,27de28ee-cf37-4ed4-a3d8-3bb054341ed4,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,5,2025-11-10,,5,,,,,,2246
001Hr000028ZcSD,"City Of Myrtle Beach, SC",South Carolina,Municipality,Hugh Bargeron,37100,Open Opportunity,Tier 1,1.5,33.6954,-78.8802,3bc2a34e-aeaa-4448-b2e5-036da8286250,Open,Initial Interest,Top of Funnel,Hugh Bargeron,,4/28/2026,,,5,2026-05-14,1,3,,,,1,,2260
001Hr000028ZcSE,"City Of Easley, SC",South Carolina,Municipality,Hugh Bargeron,23422,Open Opportunity,Tier 2,1.0,34.8298,-82.6015,dd3a35fc-c16c-4ca9-945c-0896e4c14c52,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,Yes,22,2026-05-19,14,8,,,,,,2327
001Hr000028ZcSl,"City Of Lancaster, SC",South Carolina,Municipality,Hugh Bargeron,8575,Nurture,Tier 3,0.75,34.7204,-80.7709,358c85d4-5b5a-4d49-aad0-4073f510044e,Closed Lost,,,Shane Lieberman,2/8/2024,1/5/2025,,,17,2026-05-14,15,2,,,,,,2130
001Hr000028ZcSq,"Town Of Batesburg-Leesville, SC",South Carolina,Municipality,Hugh Bargeron,5250,,Tier 3,0.75,33.9101,-81.5373,15bb785b-62aa-4b18-9e1f-4bc83cef82ab,,,,,,,,,4,2026-04-08,4,,,,,,,2135
001Hr000028ZcSv,"City Of North Augusta, SC",South Carolina,Municipality,Hugh Bargeron,24675,,Tier 2,1.0,33.4924,-81.9715,549aecef-79a2-4999-b374-1d2119186fb6,,,,,,,,,10,2026-04-01,4,6,,,,,,2134
001Hr000028ZcT0,"City Of Tega Cay, SC",South Carolina,Municipality,Hugh Bargeron,13278,Nurture,Tier 2,1.0,35.0243,-81.0279,d6927246-8cc1-46a1-9f92-6f2abf9844d3,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,6,2026-04-20,5,1,,,,,,2137
001Hr000028ZcT2,"City Of Clemson, SC",South Carolina,Municipality,Hugh Bargeron,17986,,Tier 2,1.0,34.6834,-82.8374,a9ae3554-d560-4c6d-acac-5d8484031f3f,,,,,,,,,1,2026-03-19,1,,,,,,,2323
001Hr000028ZcT5,"Town Of Fort Mill, SC",South Carolina,Municipality,Hugh Bargeron,27991,,Tier 1,1.5,35.0074,-80.9451,d95e04fb-14b1-4f9c-ac5e-02eec2dc645c,,,,,,,,,4,2026-03-26,3,1,,,,,,2146
001Hr000028ZcTF,"Town Of Lexington, SC",South Carolina,Municipality,Hugh Bargeron,24208,,Tier 2,1.0,33.9815,-81.2362,eb78702b-ddec-49be-9163-10ac4c99f363,,,,,,,,,13,2026-04-15,8,5,,,,,,2147
001Hr000028ZcUJ,"City Of Conway, SC",South Carolina,Municipality,Hugh Bargeron,23119,,Tier 2,1.0,33.836,-79.0478,956045c4-4406-4f1e-936a-26b03c955650,,,,,,,,,10,2026-04-13,4,6,,,,,,2247
001Hr000028ZcUY,"City Of Mauldin, SC",South Carolina,Municipality,Hugh Bargeron,25654,,Tier 1,1.5,34.7787,-82.3101,4c92d8ff-5137-40ad-982d-a89dc1bea372,,,,,,,,,15,2026-04-14,11,4,,,,,,2318
001Hr000028ZcUs,"Town Of Moncks Corner, SC",South Carolina,Municipality,Hugh Bargeron,13644,,Tier 2,1.0,33.196,-80.0131,b99cdd8f-f38b-4c1d-8026-2aecd4d7c519,,,,,,,,,13,2026-03-26,3,10,,,,,,2255
001Hr000028ZcV6,"City Of Dillon, SC",South Carolina,Municipality,Hugh Bargeron,6282,,Tier 3,0.75,34.4166,-79.3712,9495f8f0-2659-40e6-8804-d21c2975b2ab,,,,,,,,,16,2026-05-19,16,,,,,,,2256
001Hr000028ZcVB,"City Of Goose Creek, SC",South Carolina,Municipality,Hugh Bargeron,46229,Open Opportunity,Tier 1,1.5,32.9805,-80.0324,15ba6e85-4692-4e18-8e2f-c677f64e0d06,Open,Initial Interest,Top of Funnel,Ryan Minter,1/14/2026,12/11/2025,,Yes,5,2026-05-12,1,,,2,,2,,2251
001Hr000028ZcVL,"City Of Hartsville, SC",South Carolina,Municipality,Hugh Bargeron,7588,,Tier 3,0.75,34.3743,-80.0733,65c33a48-af92-4d35-a2ac-f1324fb78932,,,,,,,,,1,2026-04-08,1,,,,,,,2244
001Hr000028ZcVM,"City Of Union, SC",South Carolina,Municipality,Hugh Bargeron,8054,,Tier 3,0.75,34.7154,-81.6237,08c1d84a-eedd-44f7-9468-d26b9d144e81,,,,,,,,,10,2026-05-18,10,,,,,,,2320
001Hr000028ZcVQ,"City Of Georgetown, SC",South Carolina,Municipality,Hugh Bargeron,8333,Open Opportunity,Tier 3,0.75,33.3768,-79.2945,9bed6fb5-2c6b-427c-85cf-013233f2c38d,Open,Initial Interest,Top of Funnel,Ryan Minter,12/8/2025,11/17/2025,,Yes,36,2026-05-18,10,5,,21,,,,2250
001Hr000028ZcVq,"City Of Abbeville, SC",South Carolina,Municipality,Hugh Bargeron,4860,,Tier 3,0.75,34.1782,-82.379,a77e9fea-d48b-46a1-8364-af8a361ca92b,,,,,,,,,1,2026-04-10,1,,,,,,,2319
001Hr000028ZcVv,"City Of Spartanburg, SC",South Carolina,Municipality,Hugh Bargeron,38401,Nurture,Tier 1,1.5,34.9516,-81.9327,0d5bcdcd-8c3b-49b2-b5e5-3a54d1391bcc,Closed Lost,,,Shane Lieberman,8/8/2024,1/5/2025,,,7,2026-04-10,3,4,,,,,,2321
001Hr000028ZcX2,"City Of Clinton, SC",South Carolina,Municipality,Hugh Bargeron,7694,Nurture,Tier 3,0.75,34.4726,-81.8807,ade9517d-73aa-43ac-9e0f-8be9407aa2e1,Closed Lost,,,Joe del Rosario,5/28/2025,5/20/2025,,,3,2026-04-13,1,2,,,,,,2324
001Hr000028ZcX7,"City Of Laurens, SC",South Carolina,Municipality,Hugh Bargeron,9319,Nurture,Tier 3,0.75,34.499,-82.0143,09ed9b63-5242-4eea-ae98-d6b6a1f89c5c,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,3,2026-04-13,1,2,,,,,,2332
001Hr000028ZcXC,"City Of Greer, SC",South Carolina,Municipality,Hugh Bargeron,38865,Open Opportunity,Tier 1,1.5,34.9387,-82.2271,22e5e263-ba78-49be-b0f7-6262c260530c,Open,Meeting Booked,Top of Funnel,Alicia Gopal,5/14/2026,4/30/2026,,,17,2026-05-11,12,2,,,3,,,2326
001Hr000028Zciv,"City Of Darlington, SC",South Carolina,Municipality,Hugh Bargeron,6092,,Tier 3,0.75,34.3004,-79.8757,07ad6ef1-5e9e-4363-b13d-8fe79c2560f8,,,,,,,,,12,2026-04-09,1,11,,,,,,6319
001Hr000028Zcy0,"County Of Laurens, SC",South Carolina,County,Hugh Bargeron,67803,Open Opportunity,Tier S,2.0,34.5203,-82.1278,dabea6c9-5e17-4bfe-988b-8b0fdcfa5086,,,,,,,,,2,2025-07-23,,2,,,,,,12127
001Hr000028Zd5a,"City Of Greenville, SC",South Carolina,Municipality,Hugh Bargeron,72095,Open Opportunity,Tier S,2.0,34.8485,-82.4,898172b1-4f16-4ded-8b06-41026eef32e0,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,4/28/2026,,Yes,19,2026-02-02,,1,18,,,,,11451
001Hr000028ZdGn,"Town Of Mount Pleasant, SC",South Carolina,Municipality,Hugh Bargeron,92398,,Tier S,2.0,32.7906,-79.878,98c603c2-e996-4dc2-a746-0fbc927250ed,,,,,,,,,12,2026-04-09,12,,,,,,,11422
001Hr000028ZdHx,"County Of Newberry, SC",South Carolina,County,Hugh Bargeron,37996,,Tier 1,1.5,34.3091,-81.6035,f2e9ec24-87bc-4f35-976d-8c69ca38138e,,,,,,,,,1,2026-04-10,1,,,,,,,12121
001Hr000028ZdL4,"County Of Orangeburg, SC",South Carolina,County,Hugh Bargeron,82962,Open Opportunity,Tier S,2.0,33.5635,-81.0755,09e84674-a25d-4388-a7dc-16a0713a6e1d,Open,Proposal,Mid Funnel,Joe del Rosario,5/7/2025,5/1/2025,"$64,000",,,,,,,,,,,12129
001Hr000028ZdLk,"Anderson County, SC",South Carolina,County,Hugh Bargeron,213076,,Tier S,2.0,34.5528,-82.6483,138fbf1d-eaba-436d-8613-3f7b036ebd87,,,,,,,,,2,2025-11-10,,2,,,,,,12175
001Hr000028ZdP7,"County Of Georgetown, SC",South Carolina,County,Hugh Bargeron,63921,Open Opportunity,Tier S,2.0,33.4213,-79.2902,a41ca282-451c-49f7-a669-a938d44ea2eb,Closed Lost,,,Harrison Peacock,7/1/2025,6/4/2025,,,2,2026-04-14,1,1,,,,,,12120
001Hr000028ZdRS,"County Of Edgefield, SC",South Carolina,County,Hugh Bargeron,26153,,Tier 1,1.5,33.8016,-81.9535,9caa7e3e-238a-4fc9-8dd3-9f33f0379b68,,,,,,,,,1,2025-09-08,,1,,,,,,12107
001Hr000028ZdVk,"Aiken County, SC",South Carolina,County,Hugh Bargeron,177130,,Tier S,2.0,33.6006,-81.6035,8dcba1f8-d311-4b40-aa8c-d675987409cd,,,,,,,,,3,2026-03-26,3,,,,,,,12179
001Hr000028ZdWI,"Berkeley County, SC",South Carolina,County,Hugh Bargeron,255217,Open Opportunity,Tier S,2.0,33.1261,-80.0088,4c42c769-6d86-487b-ab8c-791b3de1b10a,Open,Initial Interest,Top of Funnel,Alicia Gopal,,10/26/2025,,,2,2025-11-04,,,2,,,,,12187
001Hr000028ZdYS,"County Of Clarendon, SC",South Carolina,County,Hugh Bargeron,31024,Open Opportunity,Tier 1,1.5,33.6734,-80.1875,06dbba1c-940e-44d6-9fb8-29bf44128e24,Open,Meeting Booked,Top of Funnel,Nick Martino,3/20/2026,3/10/2026,,Yes,14,2026-03-20,,,,,14,,,12091
001Hr000028ZdZb,"County Of Jasper, SC",South Carolina,County,Hugh Bargeron,30324,,Tier 1,1.5,32.4914,-81.0755,71c07530-87b2-484a-9831-803311eef807,,,,,,,,,5,2026-04-16,4,1,,,,,,12088
001Hr000028ZdaD,"Town Of Summerville, SC",South Carolina,Municipality,Hugh Bargeron,51216,Nurture,Tier S,2.0,33.0189,-80.1758,c607c253-9301-41b5-934d-8cc509a20633,Closed Lost,,,Granger West,11/18/2024,1/5/2025,,,14,2026-04-08,13,1,,,,,,11449
001Hr000028Zdbs,"County Of Kershaw, SC",South Carolina,County,Hugh Bargeron,66130,Open Opportunity,Tier S,2.0,34.3672,-80.5883,dd0879d6-4856-4639-8c9b-afc3857031a8,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,21,2026-05-12,11,10,,,,,,12097
001Hr000028Zddk,"City Of Rock Hill, SC",South Carolina,Municipality,Hugh Bargeron,74102,Open Opportunity,Tier S,2.0,34.9238,-81.0282,fc76e10e-69dd-4fd9-a304-b2566fcfc3b0,Open,Initial Interest,Top of Funnel,Hugh Bargeron,,4/28/2026,,,10,2026-05-06,1,9,,,,,,11423
001Hr000028Zde1,"Lancaster County, SC",South Carolina,County,Hugh Bargeron,108215,,Tier S,2.0,34.7253,-80.6771,c20955b8-0512-475c-be22-c45cf12dc045,,,,,,,,,2,2026-04-08,2,,,,,,,11815
001Hr000028ZdgD,"County Of Dillon, SC",South Carolina,County,Hugh Bargeron,28087,Open Opportunity,Tier 1,1.5,34.3596,-79.4254,1f9c8e8b-eac9-468d-929b-3be42fba6775,Open,Initial Interest,Top of Funnel,Granger West,,1/15/2025,,,,,,,,,,,,12106
001Hr000028ZdgI,"County Of Marion, SC",South Carolina,County,Hugh Bargeron,28784,,Tier 1,1.5,34.1782,-79.4006,c9479243-5824-4622-abd3-c17272422e35,,,,,,,,,7,2026-04-21,2,5,,,,,,12089
001Hr000028ZdhJ,"County Of Darlington, SC",South Carolina,County,Hugh Bargeron,62755,,Tier S,2.0,34.365,-80.0088,c741cf88-795e-4075-b2ac-572911b17a55,,,,,,,,,2,2026-04-09,1,1,,,,,,12122
001Hr000028Zdjb,"County Of Cherokee, SC",South Carolina,County,Hugh Bargeron,56052,,Tier S,2.0,35.012,-81.6035,d01076c9-3964-4c90-aa24-df6cfc8fccc4,,,,,,,,,5,2026-04-09,1,4,,,,,,12092
001Hr000028Zdjw,"County Of Greenwood, SC",South Carolina,County,Hugh Bargeron,69241,,Tier S,2.0,34.1954,-82.1618,0ab4adfe-8df6-4abc-a6e5-96446c7156f6,,,,,,,,,3,2026-04-14,3,,,,,,,12136
001Hr000028ZdkD,"County Of Marlboro, SC",South Carolina,County,Hugh Bargeron,26382,,Tier 1,1.5,34.5582,-79.6951,c3a1b87c-9a66-4629-947e-78353687b8d2,,,,,,,,,3,2026-04-10,2,1,,,,,,12123
001Hr000028ZdoK,"Sumter County, SC",South Carolina,County,Hugh Bargeron,,,Tier 3,0.75,33.9123,-80.4104,234fd7af-1bce-4846-910d-6bcbcf554ca4,,,,,,,,,,,,,,,,,,12182
001Hr000028ZdoU,"Beaufort County, SC",South Carolina,County,Hugh Bargeron,198979,,Tier S,2.0,32.2504,-80.7321,abd8b25f-7cda-428e-9e78-c93511886da5,,,,,,,,,9,2026-05-06,1,8,,,,,,12186
001Hr000028Zdoe,"County Of Colleton, SC",South Carolina,County,Hugh Bargeron,38462,Open Opportunity,Tier 1,1.5,32.8242,-80.7214,70b7639c-0e88-4b8c-8438-3f495e83e540,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,27,2026-05-18,4,23,,,,,,12103
001Hr000028ZdpW,"County Of Chester, SC",South Carolina,County,Hugh Bargeron,32209,Open Opportunity,Tier 1,1.5,34.6708,-81.1196,b602e8e0-f9e2-4f3b-a078-76512072abd8,Open,Initial Interest,Top of Funnel,Nick Martino,,10/22/2025,,,3,2025-10-23,,2,,,1,,,12125
001Hr000028Zdq5,"Dorchester County, SC",South Carolina,County,Hugh Bargeron,169833,Open Opportunity,Tier S,2.0,33.168,-80.5438,d633b459-467e-4432-901c-beeca59d73eb,Open,Initial Interest,Top of Funnel,Alicia Gopal,,10/26/2025,,,25,2026-01-12,,,25,,,,,12185
001Hr000028ZdqZ,"Pickens County, SC",South Carolina,County,Hugh Bargeron,135495,,Tier S,2.0,34.9046,-82.6483,86eed7eb-cde9-49c5-9ac1-12fda6ed94e7,,,,,,,,,11,2026-05-19,10,1,,,,,,12188
001cv000006teO3,"County Of Mccormick, SC",South Carolina,County,Hugh Bargeron,9760,,Tier 3,0.75,33.9135,-82.2935,84e270ff-73f8-41cd-88d4-ec81ab3e2183,,,,,,,,,1,2026-04-09,1,,,,,,,12710
001cv0000086Tm2,"Town of Chapin, SC",South Carolina,Municipality,Hugh Bargeron,1908,,Tier 3,0.75,34.166,-81.3498,c78152b0-12da-4399-8675-3183406725a2,,,,,,,,,,,,,,,,,,12789
001cv00000AuWQT,"Town Of Johnston, SC",South Carolina,Municipality,Hugh Bargeron,2044,,Tier 3,0.75,33.8321,-81.8009,4346736e-8004-49ff-b43b-eff7cbf6b859,,,,,,,,,,,,,,,,,,13047
001cv00000AuWQb,"Town Of Seabrook Island, SC",South Carolina,Municipality,Hugh Bargeron,2046,,Tier 3,0.75,32.5927,-80.1629,afa7f223-56f7-44f9-86b4-d649850c3121,,,,,,,,,6,2025-10-06,,6,,,,,,12970
001cv00000AuWXb,"City Of Folly Beach, SC",South Carolina,Municipality,Hugh Bargeron,2056,,Tier 3,0.75,32.6549,-79.9405,aeb5818e-3e38-4eb8-aead-6abd05bd2132,,,,,,,,,7,2025-07-09,,7,,,,,,13261
001cv00000AuWXx,"Town Of Cowpens, SC",South Carolina,Municipality,Hugh Bargeron,2065,,Tier 3,0.75,35.017,-81.8041,243da437-7719-4238-b844-8e2ea9b92605,,,,,,,,,2,2025-09-08,,2,,,,,,13352
001cv00000AuWY6,"Town Of Mccoll, SC",South Carolina,Municipality,Hugh Bargeron,2067,,Tier 3,0.75,34.6688,-79.5453,52fd5320-123f-4fa9-8cc9-64370bfd85e5,,,,,,,,,,,,,,,,,,13321
001cv00000AuWZ0,"Town Of Ninety Six, SC",South Carolina,Municipality,Hugh Bargeron,2083,,Tier 3,0.75,34.1751,-82.024,a632e5d9-aa31-44cd-a271-c265015d5740,,,,,,,,,,,,,,,,,,13450
001cv00000AuWZW,"Town Of Timmonsville, SC",South Carolina,Municipality,Hugh Bargeron,2094,,Tier 3,0.75,34.1349,-79.9398,8ef9845b-a82a-4cbb-b66e-2a0a377ada9f,,,,,,,,,,,,,,,,,,13437
001cv00000AuWrC,"Town Of Mccormick, SC",South Carolina,Municipality,Hugh Bargeron,2216,,Tier 3,0.75,33.9135,-82.2935,f609d274-061f-4a17-96a1-dc0719f0888d,,,,,,,,,,,,,,,,,,13587
001cv00000AuWrZ,"Town Of Pine Ridge, SC",South Carolina,Municipality,Hugh Bargeron,2224,,Tier 3,0.75,33.9147,-81.1031,05354113-8bbb-4e75-8ae5-c6b9786eaa73,,,,,,,,,,,,,,,,,,13627
