Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Leila Assil,Calls - Nick Martino
001Hr000028Zcz9,"City Of Lewiston, ME",Maine,Municipality,Alicia Gopal,36617,Open Opportunity,Tier 1,1.5,44.1004,-70.2148,96b152ae-358f-4f68-be4e-ea9d7fca5b1a,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,Yes,15,2025-11-13,,7,4,4
001Hr000028Zd0c,"City Of South Portland, ME",Maine,Municipality,Alicia Gopal,26993,,Tier 1,1.5,43.6415,-70.2409,a2f78008-185d-41e0-8958-8387602e9245,,,,,,,,,53,2026-04-07,44,9,,
001Hr000028Zd0o,"Town Of York, ME",Maine,Municipality,Alicia Gopal,13851,,Tier 2,1.0,43.1617,-70.6483,0988ce94-fb1d-4276-b3cf-20f0f82258e5,,,,,,,,,,,,,,
001Hr000028Zd2T,"Town Of Gorham, ME",Maine,Municipality,Alicia Gopal,18426,Open Opportunity,Tier 2,1.0,43.6797,-70.4429,c2f0dd68-e98d-49e6-80da-b97e4c152231,Open,Initial Interest,Top of Funnel,Leila Assil,,5/20/2025,,,9,2025-06-05,,,9,
001Hr000028Zd3Q,"City Of Auburn, ME",Maine,Municipality,Alicia Gopal,24033,,Tier 2,1.0,44.0979,-70.2312,c91791df-4e55-48dc-a8a5-4dacd6ada413,,,,,,,,,11,2025-12-11,,11,,
001Hr000028ZdAs,"City Of Saco, ME",Maine,Municipality,Alicia Gopal,20669,Open Opportunity,Tier 2,1.0,43.5009,-70.4428,45fd7f62-24c2-449d-8f35-0b8122fefa8a,Open,Initial Interest,Top of Funnel,Jenny Allison,,10/6/2025,,,29,2026-04-09,11,13,5,
001Hr000028ZdBR,"Town Of Scarborough, ME",Maine,Municipality,Alicia Gopal,22562,,Tier 2,1.0,43.5901,-70.3345,ef46ec40-9a72-467f-aff4-c41c8b40b807,,,,,,,,,15,2026-04-23,14,1,,
001Hr000028Zde6,"Town Of Kennebunkport, ME",Maine,Municipality,Alicia Gopal,3696,All Modules Live,Tier 3,0.75,43.3617,-70.4768,f0fbdc2a-9f43-4d4b-8bf8-7f6b4e3c36c0,Closed Won,,,Granger West,,1/5/2025,"$30,000",,,,,,,
001Hr000028Zdgy,"City Of Portland, ME",Maine,Municipality,Alicia Gopal,68313,,Tier S,2.0,43.6708,-70.2844,58df6dcb-7fd3-4d67-ac2c-d34ed15360e5,,,,,,,,,14,2026-03-25,14,,,
001Hr000028Zds6,"Hancock County, ME",Maine,County,Alicia Gopal,56526,,Tier S,2.0,44.577,-68.3567,a6bedc5c-7aa7-45d4-8175-8a57e00b50eb,,,,,,,,,2,2025-06-18,,,2,
001Hr000028Zdty,"Kennebac Valley Council of Governments, ME",Maine,Municipality,Alicia Gopal,,,Tier 3,0.75,44.5788,-69.6089,20fe73e2-7d75-411f-a9d3-9d563e3f16c4,,,,,,,,,,,,,,
001cv000007lVNp,"Town Of Belgrade, ME",Maine,Municipality,Alicia Gopal,3252,,Tier 3,0.75,44.4643,-69.8316,45ef37bd-56bd-4d08-88c6-1cde19d8af91,,,,,,,,,,,,,,
001cv00000AuWPU,"Town Of Buckfield, ME",Maine,Municipality,Alicia Gopal,2033,,Tier 3,0.75,44.2895,-70.3653,d0ae7b6c-d501-475f-affb-9cc25cb990b3,,,,,,,,,,,,,,
001cv00000AuWPk,"Town Of Albion, ME",Maine,Municipality,Alicia Gopal,2035,,Tier 3,0.75,44.5323,-69.4425,b941a2bb-f6b0-460e-8a21-af9cb080f4d8,,,,,,,,,,,,,,
001cv00000AuWQi,"Town Of Van Buren, ME",Maine,Municipality,Alicia Gopal,2049,,Tier 3,0.75,47.1573,-67.9353,553ddf67-6a9f-4833-9d1d-57bae8e8d3ba,,,,,,,,,,,,,,
001cv00000AuWVg,"Town Of Boothbay Harbor, ME",Maine,Municipality,Alicia Gopal,2053,,Tier 3,0.75,43.8523,-69.6281,ca6b1860-7739-43ee-b010-930ac01541a8,,,,,,,,,,,,,,
001cv00000AuWXz,"Town Of St Albans, ME",Maine,Municipality,Alicia Gopal,2066,,Tier 3,0.75,44.9101,-69.41,d91443f4-e669-4b14-aab8-166ee7b515f4,,,,,,,,,,,,,,
001cv00000AuWbV,"Town Of Unity, ME",Maine,Municipality,Alicia Gopal,2132,,Tier 3,0.75,44.6113,-69.3342,2ccd6b17-f49c-4956-bf33-a2a7e373cb9b,,,,,,,,,,,,,,
001cv00000AuWcw,"Town Of Dayton, ME",Maine,Municipality,Alicia Gopal,2158,,Tier 3,0.75,43.5359,-70.5705,56a6f5a1-491c-41a8-bc2b-14a4e854698d,,,,,,,,,,,,,,
001cv00000AuWdP,"Town Of Livermore, ME",Maine,Municipality,Alicia Gopal,2167,,Tier 3,0.75,44.4078,-70.2081,331c55df-154a-4a3a-a050-611eeb0711ff,,,,,,,,,,,,,,
001cv00000AuWpB,"Town Of Deer Isle, ME",Maine,Municipality,Alicia Gopal,2176,,Tier 3,0.75,44.2662,-68.6728,f15f491a-d63c-4a39-a993-9f7ab3190b9e,,,,,,,,,,,,,,
001cv00000AuWpN,"Town Of Phippsburg, ME",Maine,Municipality,Alicia Gopal,2180,,Tier 3,0.75,43.8089,-69.8206,98a27301-77a0-4f90-b1e6-48c165d076e9,,,,,,,,,,,,,,
001cv00000AuWq5,"Town Of Canaan, ME",Maine,Municipality,Alicia Gopal,2191,,Tier 3,0.75,44.7617,-69.5614,6db7133b-6a6c-47fe-aadf-79913a6f9bc7,,,,,,,,,,,,,,
001cv00000AuWqG,"Town Of Mount Desert, ME",Maine,Municipality,Alicia Gopal,2194,,Tier 3,0.75,44.3575,-68.3376,1a79626c-1f31-4e45-bc79-add6ed29b6c2,,,,,,,,,,,,,,
001cv00000AuWqH,"Town Of Eddington, ME",Maine,Municipality,Alicia Gopal,2194,,Tier 3,0.75,44.8129,-68.6225,2edafb6b-3d87-43d7-93e2-902f9dafe018,,,,,,,,,,,,,,
001cv00000AuWqa,"Town Of Corinna, ME",Maine,Municipality,Alicia Gopal,2202,,Tier 3,0.75,44.9212,-69.2617,4cf41fe3-afb6-4454-9b15-d5c87ae9cc70,,,,,,,,,,,,,,
001cv00000AuWyi,"Town Of Damariscotta, ME",Maine,Municipality,Alicia Gopal,2304,,Tier 3,0.75,44.0319,-69.5295,3c3a04bc-805b-45bd-9767-3f29e4436dea,,,,,,,,,,,,,,
001cv00000AuX5s,"Town Of Orland, ME",Maine,Municipality,Alicia Gopal,2257,,Tier 3,0.75,44.5706,-68.7378,98e220a2-74bd-4c78-be41-cf227b783536,,,,,,,,,,,,,,
001cv00000AuX6r,"Town Of Dixfield, ME",Maine,Municipality,Alicia Gopal,2276,,Tier 3,0.75,44.5314,-70.4563,3fa21e0c-79cb-4d17-a35a-5147ce4b942b,,,,,,,,,,,,,,
001cv00000AuX7Y,"Town Of Leeds, ME",Maine,Municipality,Alicia Gopal,2291,,Tier 3,0.75,44.3034,-70.1195,32980f9f-2a15-457d-bb3d-d7b7589b0af1,,,,,,,,,,,,,,
001cv00000AuX83,"Town Of Anson, ME",Maine,Municipality,Alicia Gopal,2301,,Tier 3,0.75,44.7984,-69.8892,d334fb7d-241a-419f-bcea-298bdd2575cc,,,,,,,,,,,,,,
001cv00000AuX8t,"Town Of Milo, ME",Maine,Municipality,Alicia Gopal,2319,,Tier 3,0.75,45.2533,-68.9863,40a7c2d0-2f63-4df8-b72e-7a8643e6f043,,,,,,,,,,,,,,
001cv00000AuX9W,"Town Of Lincolnville, ME",Maine,Municipality,Alicia Gopal,2333,,Tier 3,0.75,44.2812,-69.0086,5e646d9a-c59a-4ddb-8090-0226874bf6d2,,,,,,,,,,,,,,
001cv00000AuXN6,"Town Of Manchester, ME",Maine,Municipality,Alicia Gopal,2459,,Tier 3,0.75,44.3245,-69.8603,a79ebdd9-d3c8-4e6e-bd83-9a780930ab0c,,,,,,,,,,,,,,
001cv00000AuXO4,"Town Of Harrison, ME",Maine,Municipality,Alicia Gopal,2479,,Tier 3,0.75,44.1103,-70.6792,6d383b52-d0c6-4cd7-9599-443f875e625c,,,,,,,,,,,,,,
001cv00000AuXPh,"Town Of Hancock, ME",Maine,Municipality,Alicia Gopal,2520,,Tier 3,0.75,44.5287,-68.254,3f848103-f9e9-497d-852c-398d2cfc1997,,,,,,,,,,,,,,
001cv00000AuXU1,"Town Of Bethel, ME",Maine,Municipality,Alicia Gopal,2546,,Tier 3,0.75,44.4045,-70.7899,ccf82de0-18d0-4c37-9575-eee302ba148e,,,,,,,,,,,,,,
001cv00000AuXV3,"City Of Hallowell, ME",Maine,Municipality,Alicia Gopal,2573,,Tier 3,0.75,44.2859,-69.7909,4292c00a-edd9-4c41-9aea-9784659980c1,,,,,,,,,,,,,,
001cv00000AuXZm,"Town Of Thomaston, ME",Maine,Municipality,Alicia Gopal,2782,,Tier 3,0.75,44.079,-69.1817,9b1f999f-67d0-41fe-9bb7-3c78f2b19b09,,,,,,,,,,,,,,
001cv00000AuXet,"Town Of Acton, ME",Maine,Municipality,Alicia Gopal,2697,,Tier 3,0.75,43.5234,-70.9278,f3920a69-8af9-4cd0-b143-883c3a664046,,,,,,,,,,,,,,
001cv00000AuXfu,"Town Of Benton, ME",Maine,Municipality,Alicia Gopal,2734,,Tier 3,0.75,44.5862,-69.5509,3570fa3c-c6d5-4ad6-97cb-9f8553c40d1f,,,,,,,,,,,,,,
001cv00000AuXhF,"Town Of Mexico, ME",Maine,Municipality,Alicia Gopal,2771,,Tier 3,0.75,44.5571,-70.5434,a5b95dcc-6f75-4243-8ea4-b08f42f5e38f,,,,,,,,,,,,,,
001cv00000AuXiT,"Town Of Minot, ME",Maine,Municipality,Alicia Gopal,2795,,Tier 3,0.75,44.1563,-70.3471,037a1553-65c3-476d-847c-56342a4a1076,,,,,,,,,,,,,,
001cv00000AuXig,"Town Of Chelsea, ME",Maine,Municipality,Alicia Gopal,2799,,Tier 3,0.75,44.2503,-69.7173,557de802-27b5-4ae1-8744-0fba5c4eca14,,,,,,,,,,,,,,
001cv00000AuXje,"Town Of Blue Hill, ME",Maine,Municipality,Alicia Gopal,2831,,Tier 3,0.75,44.413,-68.5883,18231bc8-a6fd-4074-8238-ef24a29a5d64,,,,,,,,,,,,,,
001cv00000AuXle,"Town Of Carmel, ME",Maine,Municipality,Alicia Gopal,2881,,Tier 3,0.75,44.7976,-69.0512,cd54c867-b64e-442e-a173-b18c239778d8,,,,,,,,,,,,,,
001cv00000AuXmI,"Town Of Bristol, ME",Maine,Municipality,Alicia Gopal,2904,,Tier 3,0.75,43.9248,-69.4954,595cc463-58cc-4e58-8dca-c6b578a307fe,,,,,,,,,,,,,,
001cv00000AuXmS,"Town Of Corinth, ME",Maine,Municipality,Alicia Gopal,2908,,Tier 3,0.75,44.9861,-68.9992,9f7ae4e0-6a8d-4a8e-bfe9-675b2172a930,,,,,,,,,,,,,,
001cv00000AuXnY,"Town Of Levant, ME",Maine,Municipality,Alicia Gopal,2950,,Tier 3,0.75,44.8692,-68.9348,fe31ce83-54ef-4723-bcf5-7cdc4e7973ea,,,,,,,,,4,2025-12-12,,4,,
001cv00000AuXnn,"Town Of Shapleigh, ME",Maine,Municipality,Alicia Gopal,2959,,Tier 3,0.75,43.5402,-70.8477,152df0b7-332f-4f9a-b790-ae37d000dff1,,,,,,,,,,,,,,
001cv00000AuXzQ,"Town Of Boothbay, ME",Maine,Municipality,Alicia Gopal,3074,,Tier 3,0.75,43.8753,-69.6338,010f9cb4-1e68-4bd3-9e29-4b89e26539f5,,,,,,,,,,,,,,
001cv00000AuXzZ,"Town Of Livermore Falls, ME",Maine,Municipality,Alicia Gopal,3080,,Tier 3,0.75,44.4753,-70.1881,381cdc80-414a-49b3-91e5-2c0edaa6d6e8,,,,,,,,,,,,,,
001cv00000AuYBZ,"Town Of Alfred, ME",Maine,Municipality,Alicia Gopal,3099,,Tier 3,0.75,43.4765,-70.7162,08a49d25-4e5c-4d82-8903-a654c2e3c222,,,,,,,,,,,,,,
001cv00000AuYBw,"Town Of Newport, ME",Maine,Municipality,Alicia Gopal,3112,,Tier 3,0.75,44.8371,-69.2853,6ffc443f-b5c9-4f16-af9c-2a9e579486a4,,,,,,,,,,,,,,
001cv00000AuYCC,"Town Of Bowdoinham, ME",Maine,Municipality,Alicia Gopal,3120,,Tier 3,0.75,44.0092,-69.8969,aa819398-919b-44e8-887b-9170d8cfd92f,,,,,,,,,,,,,,
001cv00000AuYCH,"Town Of Mechanic Falls, ME",Maine,Municipality,Alicia Gopal,3124,,Tier 3,0.75,44.1117,-70.3918,29258727-8a67-4f83-bb88-d5a8ea5b9de7,,,,,,,,,,,,,,
001cv00000AuYCl,"Town Of Woolwich, ME",Maine,Municipality,Alicia Gopal,3142,,Tier 3,0.75,43.9187,-69.801,9bc4747b-0493-4a24-88f7-a0badc0a0f77,,,,,,,,,,,,,,
001cv00000AuYEI,"Town Of Pittston, ME",Maine,Municipality,Alicia Gopal,2984,,Tier 3,0.75,44.2233,-69.7562,5acc9624-d730-44ab-94af-76596a69202d,,,,,,,,,,,,,,
