Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Emily Murnane,Calls - Leila Assil,Calls - Mihir Shah,Calls - Joe del Rosario,Calls - Sydney Ireland,Calls - Ali Cohen,Calls - Ryan Minter,Calls - Jenny Allison,Calls - Quinzel Perry
001Hr000028ZcAZ,"Township Of Jackson, OH",Ohio,Municipality,Mihir Shah,43029,,Tier 1,1.5,40.8665,-81.4938,d3451adf-13b8-4b24-b787-32787965a06d,,,,,,,,,,,,,,,,,,,
001Hr000028ZcAa,"Jackson Township (Franklin County), OH",Ohio,Municipality,Mihir Shah,46340,,Tier 1,1.5,39.8822,-83.0936,f78a00df-5979-4495-8288-738efc58c29f,,,,,,,,,12,2025-09-30,12,,,,,,,,
001Hr000028ZcDA,"City Of Loveland, OH",Ohio,Municipality,Mihir Shah,13191,Nurture,Tier 2,1.0,39.2689,-84.2638,2ad4a97f-6dbc-4248-9234-fff0ccdcac52,Closed Lost,,,Granger West,11/1/2024,1/5/2025,,,6,2026-04-06,6,,,,,,,,
001Hr000028ZcI3,"Township Of Pleasant, OH",Ohio,Municipality,Mihir Shah,8080,,Tier 3,0.75,39.8429,-83.1863,7d244860-5c26-4cdf-8ee2-7d90f876e133,,,,,,,,,2,2026-05-08,,,2,,,,,,
001Hr000028ZcIT,"Township Of Plain, OH",Ohio,Municipality,Ali Cohen,12734,,Tier 2,1.0,40.8877,-81.3729,41bc1bcc-473a-4446-ac97-5c28374fa8d8,,,,,,,,,,,,,,,,,,,
001Hr000028ZcKK,"City Of Bucyrus, OH",Ohio,Municipality,Ali Cohen,11625,Nurture,Tier 2,1.0,40.8084,-82.9755,f44a7653-c061-4378-b9ae-bde82c1d6e31,Closed Lost,,,Joe del Rosario,9/17/2024,1/5/2025,,,2,2025-10-09,2,,,,,,,,
001Hr000028ZcKL,"Township Of Goshen, OH",Ohio,Municipality,Mihir Shah,16192,,Tier 2,1.0,39.2369,-84.1646,2da2d19a-6009-4872-b265-14f35ecf0689,,,,,,,,,,,,,,,,,,,
001Hr000028ZcN9,"Township Of Monclova, OH",Ohio,Municipality,Mihir Shah,14876,,Tier 2,1.0,41.5587,-83.733,d516ea03-8297-4c63-a5ec-1b0f1acfaa10,,,,,,,,,,,,,,,,,,,
001Hr000028ZcPg,"Township Of Ashtabula, OH",Ohio,Municipality,Mihir Shah,19561,,Tier 2,1.0,41.8651,-80.7898,24213483-9513-4c73-8097-72e1ff798583,,,,,,,,,,,,,,,,,,,
001Hr000028ZcST,"Township Of Shalersville, OH",Ohio,Municipality,Mihir Shah,5254,,Tier 3,0.75,41.2389,-81.2312,247723c9-6cec-4b51-8350-6ddb5dd253f2,,,,,,,,,,,,,,,,,,,
001Hr000028ZcSV,"City Of Madeira, OH",Ohio,Municipality,Ali Cohen,9444,,Tier 3,0.75,39.1909,-84.3636,e6241872-a168-497a-ab2e-a4585a15678f,,,,,,,,,2,2026-04-20,2,,,,,,,,
001Hr000028ZcTH,"Township Of Clinton, OH",Ohio,Municipality,Mihir Shah,20161,,Tier 2,1.0,41.5531,-84.1646,6762806d-7747-4c71-a5f6-de1e5b14266b,,,,,,,,,1,2025-09-25,1,,,,,,,,
001Hr000028ZcXB,"City Of Wyoming, OH",Ohio,Municipality,Ali Cohen,8692,,Tier 3,0.75,39.2312,-84.4658,ba8848ac-bfb8-4242-b25c-ab17e1fc1235,,,,,,,,,5,2026-02-18,3,2,,,,,,,
001Hr000028ZccJ,"Township Of Saybrook, OH",Ohio,Municipality,Mihir Shah,9704,,Tier 3,0.75,41.8276,-80.8718,48a9f3e7-911e-4f8c-b4d3-d63df0b9eebc,,,,,,,,,5,2025-07-31,,5,,,,,,,
001Hr000028ZccL,"City Of Barberton, OH",Ohio,Municipality,Ali Cohen,24983,,Tier 2,1.0,41.0128,-81.6051,484c8abc-b644-4d1e-8c62-5d5a2af9a154,,,,,,,,,14,2026-04-13,14,,,,,,,,
001Hr000028Zcdx,"City Of Jackson, OH",Ohio,Municipality,Mihir Shah,6209,,Tier 3,0.75,39.052,-82.6366,a44fdddd-beb8-4976-983a-1cef6a8ef71d,,,,,,,,,4,2025-07-16,,4,,,,,,,
001Hr000028ZchZ,"Township Of Tate, OH",Ohio,Municipality,Ali Cohen,9223,Nurture,Tier 3,0.75,38.9421,-84.0802,8eb4170b-f154-4aa7-8ff0-2fe1d21042af,Closed Lost,,,Leila Assil,8/6/2025,7/31/2025,"$8,500",,3,2025-08-06,,3,,,,,,,
001Hr000028ZcjH,"City Of Highland Heights, OH",Ohio,Municipality,Mihir Shah,8612,,Tier 3,0.75,41.552,-81.4785,fa74918b-adff-4274-8602-8d9c38daea7c,,,,,,,,,2,2025-07-31,,2,,,,,,,
001Hr000028Zcjk,"Township Of Union, OH",Ohio,Municipality,Ali Cohen,12504,,Tier 2,1.0,40.4349,-82.2366,16e5ffe3-6ecb-41a0-a8a4-6e291103e47f,,,,,,,,,,,,,,,,,,,
001Hr000028Zcjl,"City Of Garfield Heights, OH",Ohio,Municipality,Ali Cohen,29369,,Tier 1,1.5,41.417,-81.606,e3eea659-0bc4-4b60-bfa3-ee4563b95f07,,,,,,,,,10,2026-04-23,10,,,,,,,,
001Hr000028ZclH,"Township Of Swan Creek, OH",Ohio,Municipality,Mihir Shah,8517,,Tier 3,0.75,38.594,-82.2021,58be08a3-d905-457d-86e6-4a326b47a2d7,,,,,,,,,,,,,,,,,,,
001Hr000028Zclg,"City Of Munroe Falls, OH",Ohio,Municipality,Ali Cohen,5023,,Tier 3,0.75,41.1445,-81.4398,7107410f-69ae-4271-b6cf-4716cce98152,,,,,,,,,11,2025-10-08,11,,,,,,,,
001Hr000028Zclq,"Washington Township (Franklin County), OH",Ohio,Municipality,Ali Cohen,42997,,Tier 1,1.5,40.0916,-83.1997,0a86b874-daa1-498e-ab99-e1f98905ec28,,,,,,,,,2,2025-09-16,2,,,,,,,,
001Hr000028Zcn8,"Township Of Brimfield, OH",Ohio,Municipality,Ali Cohen,11417,,Tier 2,1.0,41.1,-81.3462,6ac5af65-915a-41a1-887f-15090b80b181,,,,,,,,,9,2025-11-21,9,,,,,,,,
001Hr000028Zcn9,"Township Of Pierce, OH",Ohio,Municipality,Mihir Shah,15199,,Tier 2,1.0,39.0238,-84.2595,c46dfb86-6c83-4ca4-94a9-ed9390f65cc8,,,,,,,,,4,2025-07-09,,,,4,,,,,
001Hr000028Zco7,"City Of Uhrichsville, OH",Ohio,Municipality,Mihir Shah,5217,,Tier 3,0.75,40.3931,-81.3465,c1e06b19-8d35-4be3-a00d-5e13eabdd590,,,,,,,,,7,2026-04-10,7,,,,,,,,
001Hr000028Zcp0,"City Of Upper Sandusky, OH",Ohio,Municipality,Mihir Shah,6619,Nurture,Tier 3,0.75,40.8273,-83.2813,345b7ef3-cc6a-4411-86c0-e33e94cebbb1,Closed Lost,,,Emily Murnane,8/29/2025,8/27/2025,"$10,000",,3,2026-05-14,,,3,,,,,,
001Hr000028Zcpt,"Trumbull County, OH",Ohio,County,Mihir Shah,200373,Nurture,Tier S,2.0,41.3065,-80.7214,a068c68f-f7e7-4e39-ae17-4a68fa84fecf,Closed Lost,,,Leila Assil,6/16/2025,4/30/2025,,,7,2026-05-13,2,3,2,,,,,,
001Hr000028Zcqr,"Township Of Athens, OH",Ohio,Municipality,Mihir Shah,30484,,Tier 1,1.5,39.3292,-82.1013,86a7d9ae-e0e2-4f11-99d9-4e574f547b32,,,,,,,,,,,,,,,,,,,
001Hr000028Zcrk,"Township Of Bethlehem, OH",Ohio,Municipality,Mihir Shah,5502,,Tier 3,0.75,40.8387,-82.7199,85115338-1f31-45f7-945a-4d01cb9767f6,,,,,,,,,,,,,,,,,,,
001Hr000028Zcsw,"Township Of Granville, OH",Ohio,Municipality,Mihir Shah,10069,,Tier 2,1.0,40.0892,-82.5402,9a7e9cf9-cb08-44a2-a086-157041c8ba5b,,,,,,,,,9,2025-08-26,,9,,,,,,,
001Hr000028ZctR,"City Of New Philadelphia, OH",Ohio,Municipality,Ali Cohen,17585,Open Opportunity,Tier 2,1.0,40.4898,-81.4457,bc3ba330-cc38-4a24-a6cd-1bf70a69c543,Open,Initial Interest,Top of Funnel,Emily Murnane,,4/1/2026,,,2,2026-04-01,2,,,,,,,,
001Hr000028Zcu4,"Township Of Liberty, OH",Ohio,Municipality,Ali Cohen,21461,Nurture,Tier 2,1.0,39.4015,-84.4094,84f5d2d6-dfc2-4a04-9c7d-21eaf8f61201,Closed Lost,,,Emily Murnane,11/19/2025,1/5/2025,,,6,2025-12-01,5,1,,,,,,,
001Hr000028ZcuZ,"Township Of Richfield, OH",Ohio,Municipality,Ali Cohen,6406,,Tier 3,0.75,41.2366,-81.6254,4b244753-b858-4827-a8bd-938aa9c11d6f,,,,,,,,,,,,,,,,,,,
001Hr000028Zcux,"City Of Vandalia, OH",Ohio,Municipality,Ali Cohen,15090,,Tier 2,1.0,39.8906,-84.1988,affbcee2-d115-408d-bac2-ba3f9d98d6cf,,,,,,,,,8,2026-04-23,7,,,,,,1,,
001Hr000028ZcvG,"City Of Canfield, OH",Ohio,Municipality,Mihir Shah,7588,Open Opportunity,Tier 3,0.75,41.0251,-80.7609,e9307cb8-8eee-4492-b4ef-8e78eaddd70c,Closed Lost,,,Leila Assil,7/17/2025,7/10/2025,,,1,2025-07-10,,1,,,,,,,
001Hr000028Zcwn,"City Of Eastlake, OH",Ohio,Municipality,Ali Cohen,17499,,Tier 2,1.0,41.6539,-81.4504,36fe1650-638c-425d-a501-247cf55523d7,,,,,,,,,1,2026-01-30,1,,,,,,,,
001Hr000028Zcwp,"Pleasant Township (Van Wert County), OH",Ohio,Municipality,Mihir Shah,10838,,Tier 2,1.0,40.854,-84.627,b98d394b-537a-4013-b0aa-91e9c1725b35,,,,,,,,,,,,,,,,,,,
001Hr000028Zcxl,"City Of Findlay, OH",Ohio,Municipality,Ali Cohen,39942,,Tier 1,1.5,41.0391,-83.6502,1d73f31d-0580-486e-b66d-fbde45df0c5a,,,,,,,,,9,2025-12-02,4,,,5,,,,,
001Hr000028ZczD,"City Of Canal Fulton, OH",Ohio,Municipality,Mihir Shah,5323,,Tier 3,0.75,40.8898,-81.5976,cb7ad399-9832-41f4-bd6e-80d234c816ac,,,,,,,,,7,2026-04-02,4,,,3,,,,,
001Hr000028ZczM,"Township Of Newton, OH",Ohio,Municipality,Mihir Shah,8582,,Tier 3,0.75,40.0704,-84.3752,48412b08-7295-45de-9af4-21c585549e96,,,,,,,,,,,,,,,,,,,
001Hr000028ZczO,"City Of Tiffin, OH",Ohio,Municipality,Mihir Shah,17841,Nurture,Tier 2,1.0,41.1145,-83.178,09a96b37-42b9-4148-8b78-acbb60ae6267,Closed Lost,,,Emily Murnane,3/3/2026,2/20/2026,,,6,2026-02-20,4,,,,,,2,,
001Hr000028Zczr,"City Of Sheffield Lake, OH",Ohio,Municipality,Mihir Shah,8973,,Tier 3,0.75,41.4875,-82.1015,038f06bb-b3ce-4f10-b62a-36a5f5a73a4a,,,,,,,,,,,,,,,,,,,
001Hr000028Zczw,"City Of Kenton, OH",Ohio,Municipality,Mihir Shah,7951,,Tier 3,0.75,40.647,-83.6097,7571bad1-1fdf-4c85-865c-d09e60516ac5,,,,,,,,,12,2026-01-08,2,10,,,,,,,
001Hr000028Zczy,"City Of Maumee, OH",Ohio,Municipality,Mihir Shah,13810,,Tier 2,1.0,41.5628,-83.6538,bf5f3b6b-573f-4366-9cef-849f8d7c93de,,,,,,,,,54,2026-05-19,41,,13,,,,,,
001Hr000028Zd0h,"Township Of Lafayette, OH",Ohio,Municipality,Mihir Shah,6097,,Tier 3,0.75,40.7603,-83.9486,3e07708e-e758-410d-a8ac-47ddd2f144df,,,,,,,,,10,2026-02-23,7,3,,,,,,,
001Hr000028Zd1F,"City Of Bedford, OH",Ohio,Municipality,Ali Cohen,12935,,Tier 2,1.0,41.3931,-81.5365,9ee9671b-d185-43ab-980a-31dbc7d93a34,,,,,,,,,1,2025-07-30,,,,,,,1,,
001Hr000028Zd1c,"Village Of Granville, OH",Ohio,Municipality,Mihir Shah,5709,,Tier 3,0.75,40.0681,-82.5196,b639866f-2ad9-42c6-959d-d7374e8398d8,,,,,,,,,3,2026-03-03,2,1,,,,,,,
001Hr000028Zd1d,"City Of Clyde, OH",Ohio,Municipality,Mihir Shah,6321,Implementation,Tier 3,0.75,41.3042,-82.9752,1d4afa25-3e4d-4d66-bda3-60b4aebd4c1e,Closed Won,,,Emily Murnane,1/22/2026,10/31/2025,"$18,000",,13,2025-12-01,12,1,,,,,,,
001Hr000028Zd21,"City Of Lebanon, OH",Ohio,Municipality,Mihir Shah,21191,,Tier 2,1.0,39.4353,-84.203,7e681d0b-3257-4c57-8e68-69188f64265f,,,,,,,,,2,2025-12-11,2,,,,,,,,
001Hr000028Zd2v,"Township Of Brookfield, OH",Ohio,Municipality,Mihir Shah,8428,,Tier 3,0.75,41.2406,-80.5579,f971f86a-4946-402b-aa54-247433540e7a,,,,,,,,,,,,,,,,,,,
001Hr000028Zd3B,"Township Of Blendon, OH",Ohio,Municipality,Mihir Shah,10024,Open Opportunity,Tier 2,1.0,40.115,-82.8694,b7b600da-1ce1-41a5-a496-005f4a1a9848,Open,Meeting Booked,Top of Funnel,Ali Cohen,6/9/2026,3/11/2026,,,4,2026-03-02,,,,,,4,,,
001Hr000028Zd3f,"Chester Township, OH",Ohio,Municipality,Ali Cohen,10044,,Tier 2,1.0,41.5354,-81.3619,29c889ae-5cca-4843-b1cf-0db7cf7a247b,,,,,,,,,,,,,,,,,,,
001Hr000028Zd4i,"City Of Shelby, OH",Ohio,Municipality,Mihir Shah,9286,,Tier 3,0.75,40.8814,-82.6618,a9c2d87c-c4cf-445f-a35a-5a61330bc9f9,,,,,,,,,1,2025-08-04,,1,,,,,,,
001Hr000028Zd53,"Township Of Suffield, OH",Ohio,Municipality,Mihir Shah,6015,,Tier 3,0.75,41.0233,-81.3474,35ff9bdf-e837-418e-bd57-419143975cc9,,,,,,,,,2,2026-05-08,,,2,,,,,,
001Hr000028Zd5G,"City Of Kettering, OH",Ohio,Municipality,Ali Cohen,57377,Open Opportunity,Tier S,2.0,39.6895,-84.1688,133feb81-d32a-4dbd-8174-5ace88a94d39,Open,Proposal,Mid Funnel,Emily Murnane,3/16/2026,3/4/2026,"$72,500",,22,2026-03-04,14,8,,,,,,,
001Hr000028Zd5X,"Township Of Newbury, OH",Ohio,Municipality,Mihir Shah,5244,,Tier 3,0.75,41.4634,-81.2443,39c21b93-4b5a-4935-8203-04128b461b53,,,,,,,,,9,2025-07-11,,9,,,,,,,
001Hr000028Zd5f,"City Of Englewood, OH",Ohio,Municipality,Mihir Shah,13396,,Tier 2,1.0,39.8776,-84.3022,e36d4a3b-84bd-4952-842d-5cd1f3b6fca5,,,,,,,,,2,2026-04-02,2,,,,,,,,
001Hr000028Zd5h,"City Of North Royalton, OH",Ohio,Municipality,Mihir Shah,30965,All Modules Live,Tier 1,1.5,41.3137,-81.7246,052d766a-435b-4a2e-98a6-432ce4f7b806,Closed Won,,,Asher Rosenfeld,9/13/2024,1/5/2025,"$39,000",,,,,,,,,,,,
001Hr000028Zd5w,"Township Of Upper, OH",Ohio,Municipality,Ali Cohen,14250,,Tier 2,1.0,38.5366,-82.6835,219b68d2-2408-4bc2-92f5-051bf31661cb,,,,,,,,,1,2025-05-27,,,,1,,,,,
001Hr000028Zd61,"Village Of South Lebanon, OH",Ohio,Municipality,Ali Cohen,6541,Open Opportunity,Tier 3,0.75,39.3709,-84.2133,e3f7e760-5efa-4419-8453-56ea70d6d947,Open,Initial Interest,Top of Funnel,Leila Assil,,6/10/2025,,,17,2026-01-29,15,2,,,,,,,
001Hr000028Zd6A,"City Of Northwood, OH",Ohio,Municipality,Mihir Shah,5179,,Tier 3,0.75,41.6073,-83.4688,5223e600-059c-437e-8e21-75acdf9d7630,,,,,,,,,,,,,,,,,,,
001Hr000028Zd76,"Township Of Pleasant, OH",Ohio,Municipality,Mihir Shah,6229,,Tier 3,0.75,39.8429,-83.1863,fa0b7f3e-8f98-4721-b047-f1a92bbe2914,,,,,,,,,9,2025-08-14,,9,,,,,,,
001Hr000028Zd7H,"Township Of Berne, OH",Ohio,Municipality,Mihir Shah,5105,,Tier 3,0.75,39.639,-82.5402,135f05d1-bc5a-4765-92cc-914a324fc280,,,,,,,,,,,,,,,,,,,
001Hr000028Zd7J,"City Of Struthers, OH",Ohio,Municipality,Mihir Shah,9917,,Tier 3,0.75,41.0526,-80.6079,56012c55-e62e-4e81-89ba-b4b8aaccfd93,,,,,,,,,9,2026-01-05,1,8,,,,,,,
001Hr000028Zd7i,"Township Of Perkins, OH",Ohio,Municipality,Mihir Shah,12175,,Tier 2,1.0,41.3906,-82.7131,2e57cd9e-b352-4131-9f85-2ee509d6324c,,,,,,,,,2,2026-01-12,2,,,,,,,,
001Hr000028Zd8E,"Township Of Paris, OH",Ohio,Municipality,Mihir Shah,27854,,Tier 1,1.5,40.7976,-81.1648,c19ff30e-4245-41a9-911b-2faead98ad95,,,,,,,,,4,2025-12-30,4,,,,,,,,
001Hr000028Zd8M,"City Of North Canton, OH",Ohio,Municipality,Mihir Shah,17891,,Tier 2,1.0,40.9094,-81.3949,1985bffb-9c44-496a-899f-554f9d2c6307,,,,,,,,,4,2025-10-08,2,,,2,,,,,
001Hr000028Zd8k,"City Of Clayton, OH",Ohio,Municipality,Ali Cohen,13249,,Tier 2,1.0,39.8631,-84.3605,dd693a50-0204-4f00-b589-e417e277b7a2,,,,,,,,,16,2026-04-20,16,,,,,,,,
001Hr000028Zd8z,"City Of Beachwood, OH",Ohio,Municipality,Mihir Shah,13928,,Tier 2,1.0,41.4645,-81.5087,2633469d-405f-41be-80eb-6a0ea4c1c8cc,,,,,,,,,6,2026-02-19,1,,,5,,,,,
001Hr000028Zd99,"Township Of La Grange, OH",Ohio,Municipality,Mihir Shah,6810,,Tier 3,0.75,41.2373,-82.1199,62fc2948-88ac-4a9c-a719-c871c408ad91,,,,,,,,,1,2026-02-10,,,,,1,,,,
001Hr000028Zd9A,"Township Of Munson, OH",Ohio,Municipality,Mihir Shah,6961,,Tier 3,0.75,41.5254,-81.2299,ec5b20d9-ab1c-44ec-abdd-165a0a5dc617,,,,,,,,,1,2026-05-06,,,1,,,,,,
001Hr000028Zd9O,"Township Of Walnut, OH",Ohio,Municipality,Ali Cohen,6729,,Tier 3,0.75,39.7095,-82.8518,db12b0a5-7e21-429c-8833-794aeddb876c,,,,,,,,,,,,,,,,,,,
001Hr000028Zd9S,"Township Of Northfield Center, OH",Ohio,Municipality,Ali Cohen,5566,,Tier 3,0.75,41.2946,-81.5322,b9e0546b-6433-4123-8e62-b132a845c8ba,,,,,,,,,,,,,,,,,,,
001Hr000028Zd9Y,"City Of Sylvania, OH",Ohio,Municipality,Ali Cohen,19034,,Tier 2,1.0,41.7189,-83.713,57ccd75a-9a72-4e1d-849b-e7f1caf2c268,,,,,,,,,4,2026-04-27,4,,,,,,,,
001Hr000028Zd9e,"Clermont County, OH",Ohio,County,Mihir Shah,211972,,Tier S,2.0,39.0928,-84.1857,5ad5d286-5750-46db-8730-be89ed884d81,,,,,,,,,12,2026-05-14,2,7,3,,,,,,
001Hr000028Zd9n,"City Of Niles, OH",Ohio,Municipality,Mihir Shah,18367,All Modules Live,Tier 2,1.0,41.1828,-80.7654,823ec25b-bdc5-42bd-9012-fb6c7dbac40d,Closed Won,,,David Ciano,4/1/2025,1/7/2025,"$37,000",,,,,,,,,,,,
001Hr000028ZdA3,"City Of Wickliffe, OH",Ohio,Municipality,Mihir Shah,12646,,Tier 2,1.0,41.6053,-81.4534,34c8538a-e2ae-4d17-aa82-69a9540f0f82,,,,,,,,,3,2026-02-05,3,,,,,,,,
001Hr000028ZdA8,"Jefferson County, OH",Ohio,County,Sydney Ireland,,,Tier 3,0.75,40.3872,-80.7658,f72e4a1d-d037-4138-afbb-27ab6529e868,,,,,,,,,2,2025-10-01,2,,,,,,,,
001Hr000028ZdB4,"City Of North College Hill, OH",Ohio,Municipality,Mihir Shah,9556,,Tier 3,0.75,39.2184,-84.5508,3e1ebb5a-5b35-432e-95d8-beec55e6cb41,,,,,,,,,6,2026-04-20,3,3,,,,,,,
001Hr000028ZdB5,"City Of Powell, OH",Ohio,Municipality,Mihir Shah,14286,Nurture,Tier 2,1.0,40.1578,-83.0752,71381c41-ced7-47a5-889f-8660113d8805,Closed Lost,,,Joe del Rosario,9/20/2024,1/5/2025,"$28,000",,,,,,,,,,,,
001Hr000028ZdBA,"City Of Norwalk, OH",Ohio,Municipality,Ali Cohen,17015,,Tier 2,1.0,41.2426,-82.6157,63bb6c13-6592-43d9-b616-49f8508278aa,,,,,,,,,14,2026-04-20,10,4,,,,,,,
001Hr000028ZdBB,"City Of Broadview Heights, OH",Ohio,Municipality,Mihir Shah,19686,,Tier 2,1.0,41.3139,-81.6851,70fe7bc5-4d0e-4623-aa6f-b883f0dbb922,,,,,,,,,4,2026-04-10,4,,,,,,,,
001Hr000028ZdBP,"Township Of Washington, OH",Ohio,Municipality,Ali Cohen,6610,,Tier 3,0.75,39.6162,-82.8934,69ae5819-42d3-403b-913c-4f3e62ce37e9,,,,,,,,,8,2025-08-25,,8,,,,,,,
001Hr000028ZdBY,"Township Of Clay, OH",Ohio,Municipality,Ali Cohen,8840,,Tier 3,0.75,38.9354,-82.5668,aa0f2538-9227-48e8-b097-a9667471627c,,,,,,,,,,,,,,,,,,,
001Hr000028ZdBZ,"City Of Avon Lake, OH",Ohio,Municipality,Ali Cohen,25588,Open Opportunity,Tier 1,1.5,41.5053,-82.0282,1d0f4f29-3ceb-40f4-88ab-d41c80dd7eb5,Open,Initial Interest,Top of Funnel,Emily Murnane,,10/1/2025,,,6,2026-02-02,6,,,,,,,,
001Hr000028ZdCL,"City Of Marietta, OH",Ohio,Municipality,Ali Cohen,13417,,Tier 2,1.0,39.4154,-81.4548,68894998-25b0-4ad1-8012-5781eb595897,,,,,,,,,5,2026-04-20,4,,,1,,,,,
001Hr000028ZdCM,"City Of Sharonville, OH",Ohio,Municipality,Mihir Shah,13987,Open Opportunity,Tier 2,1.0,39.2681,-84.4133,7deded86-2f6a-4030-b403-985a7f84d2b4,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,3,2026-01-06,2,1,,,,,,,
001Hr000028ZdCS,"Township Of Boardman, OH",Ohio,Municipality,Ali Cohen,39698,,Tier 1,1.5,41.0327,-80.666,52231e07-b7b1-48bd-a4df-4800f912b3fe,,,,,,,,,,,,,,,,,,,
001Hr000028ZdCT,"City Of Cleveland Heights, OH",Ohio,Municipality,Ali Cohen,44652,,Tier 1,1.5,41.5201,-81.5562,f20a1b0d-f7d4-4eae-9cf8-0094b9d3e3e4,,,,,,,,,15,2026-04-27,11,,,4,,,,,
001Hr000028ZdCc,"City Of St Clairsville, OH",Ohio,Municipality,Mihir Shah,5048,,Tier 3,0.75,40.0803,-80.9018,6201df3e-0003-44e9-b4e5-c12eaad0e905,,,,,,,,,2,2025-09-29,2,,,,,,,,
001Hr000028ZdCd,"City Of Vermilion, OH",Ohio,Municipality,Mihir Shah,10688,,Tier 2,1.0,41.422,-82.3646,1340faf3-6f8a-4f0e-ba87-c1bf338289e7,,,,,,,,,3,2026-02-12,3,,,,,,,,
001Hr000028ZdCv,"Township Of Sagamore Hills, OH",Ohio,Municipality,Mihir Shah,10794,,Tier 2,1.0,41.3117,-81.5682,b82686b8-44d2-4522-8f1f-44514f4e5f13,,,,,,,,,1,2025-11-05,1,,,,,,,,
001Hr000028ZdD9,"Township Of Brownhelm, OH",Ohio,Municipality,Ali Cohen,7954,,Tier 3,0.75,41.405,-82.3235,b3f22467-f649-4b71-ab15-52f726f80223,,,,,,,,,3,2025-06-13,,3,,,,,,,
001Hr000028ZdDG,"Township Of Lawrence, OH",Ohio,Municipality,Ali Cohen,13506,Nurture,Tier 2,1.0,38.6233,-82.5186,92b233a2-5969-4929-8070-6d283226abf6,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,,,
001Hr000028ZdDH,"City Of Bellbrook, OH",Ohio,Municipality,Ali Cohen,7328,All Modules Live,Tier 3,0.75,39.6356,-84.0708,d65cba06-df5d-4a25-9e33-064b980816f6,Closed Won,,,Emily Murnane,11/10/2025,10/31/2025,"$15,000",,4,2025-10-31,2,2,,,,,,,
