Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Sydney Ireland,Calls - Quinzel Perry,Calls - Ali Cohen,Calls - Nick Martino,Calls - Jenny Allison,Calls - Ryan Minter,Calls - Blake Anderson,Calls - Alicia Gopal,Calls - Joe del Rosario,Calls - Emily Murnane,Outreach ID
001Hr000028Zcb6,"Gas City, IN",Indiana,Municipality,Sydney Ireland,5756,Open Opportunity,Tier 3,0.75,40.4879,-85.611,4ee62847-704d-446e-9ec9-efe8245e56e2,Open,Meeting Booked,Top of Funnel,Sydney Ireland,2/17/2026,2/10/2026,,Yes,14,2026-04-29,14,,,,,,,,,,3668
001Hr000028Zcbg,"City Of Wabash, IN",Indiana,Municipality,Blake Anderson,10349,,Tier 2,1.0,40.7988,-85.8209,113ea535-18b9-4160-aafd-8943d7f132fe,,,,,,,,,3,2025-10-15,,3,,,,,,,,,4628
001Hr000028Zcco,"Town Of Cumberland, IN",Indiana,Municipality,Sydney Ireland,6182,,Tier 3,0.75,39.7765,-85.9572,640e787c-4472-4cdf-a5f3-95dd3a35f144,,,,,,,,,4,2026-02-17,1,3,,,,,,,,,3701
001Hr000028Zcdd,"Boone County, IN",Indiana,County,Sydney Ireland,78773,Open Opportunity,Tier S,2.0,40.0106,-86.4997,53c46bf4-7fde-4269-a676-d94540bcb9de,Open,Proposal,Mid Funnel,Sydney Ireland,3/11/2026,1/20/2026,"$42,000",,8,2026-03-11,4,4,,,,,,,,,12220
001Hr000028Zcdt,"City Of Lawrenceburg, IN",Indiana,Municipality,Blake Anderson,5122,Recent Competitor Purchase,Tier 3,0.75,39.0953,-84.851,6f549d88-23a7-4047-992d-438365adbb14,,,,,,,,,12,2025-08-28,,12,,,,,,,,,3440
001Hr000028Zce1,"City Of Logansport, IN",Indiana,Municipality,Sydney Ireland,18310,,Tier 2,1.0,40.7545,-86.3567,061220de-dea7-460a-8512-e59dba805174,,,,,,,,,3,2026-04-22,1,2,,,,,,,,,5332
001Hr000028ZceT,"Town Of North Manchester, IN",Indiana,Municipality,Sydney Ireland,5419,Nurture,Tier 3,0.75,40.999,-85.7702,1ca028f1-a365-4ef3-b043-bcbed78437a0,Closed Lost,,,Sydney Ireland,3/12/2026,12/10/2025,"$12,000",,7,2026-03-11,2,1,4,,,,,,,,3631
001Hr000028Zces,"City Of Salem, IN",Indiana,Municipality,Blake Anderson,6267,,Tier 3,0.75,38.6056,-86.1011,f84b0c5d-e146-4726-88e8-c01cd5ff6041,,,,,,,,,1,2025-09-26,,1,,,,,,,,,3809
001Hr000028ZcfE,"Town Of Whitestown, IN",Indiana,Municipality,Sydney Ireland,11093,,Tier 2,1.0,39.9528,-86.3451,1db6f33e-35d5-4f59-a041-cb19d16cf46f,,,,,,,,,11,2026-02-02,,8,,,3,,,,,,4498
001Hr000028Zcfy,"City Of Plymouth, IN",Indiana,Municipality,Sydney Ireland,10384,All Modules Live,Tier 2,1.0,41.3437,-86.3097,6e2f4799-2c1e-4dc0-861e-92a5402ca49f,Closed Won,,,Quinzel Perry,7/15/2025,6/30/2025,"$18,000",,2,2025-07-14,,2,,,,,,,,,4599
001Hr000028Zcg5,"Town Of Lowell, IN",Indiana,Municipality,Sydney Ireland,10972,Open Opportunity,Tier 2,1.0,41.2914,-87.4192,fe0aa00c-d919-4c90-b3cc-43be3c52ef78,Open,Initial Interest,Top of Funnel,Quinzel Perry,10/31/2025,10/15/2025,,,25,2026-04-29,10,15,,,,,,,,,4647
001Hr000028ZcgA,"City Of Rochester, IN",Indiana,Municipality,Sydney Ireland,6258,Open Opportunity,Tier 3,0.75,41.065,-86.216,57623d99-f2cb-4656-b980-d4b4f9b19a54,Open,Initial Interest,Top of Funnel,Ali Cohen,,12/5/2025,,,4,2026-01-27,,,4,,,,,,,,3759
001Hr000028ZciB,"Town Of Ellettsville, IN",Indiana,Municipality,Blake Anderson,6588,,Tier 3,0.75,39.2339,-86.625,04935b5d-a964-47f3-a9d6-e92635b1434c,,,,,,,,,6,2026-03-10,3,3,,,,,,,,,3909
001Hr000028ZciL,"City Of Kendallville, IN",Indiana,Municipality,Blake Anderson,10205,Recent Competitor Purchase,Tier 2,1.0,41.4414,-85.265,a46d3387-6c05-4ca6-9676-012964a7f8e4,,,,,,,,,2,2025-10-15,,2,,,,,,,,,4556
001Hr000028Zck6,"City Of Rushville, IN",Indiana,Municipality,Blake Anderson,6187,Nurture,Tier 3,0.75,39.6082,-85.4448,473fd09d-3ed4-4ac7-aac3-c8e52e756c14,Closed Lost,,,Liam Shaw,4/11/2024,1/5/2025,"$31,000",,17,2026-04-09,14,,,,,,,3,,,3811
001Hr000028ZckV,"City Of Huntingburg, IN",Indiana,Municipality,Sydney Ireland,6422,,Tier 3,0.75,38.2989,-86.955,0393773e-5f01-4e05-82da-cc3784765b7d,,,,,,,,,7,2026-02-10,1,6,,,,,,,,,3831
001Hr000028Zcl8,"Town Of Mooresville, IN",Indiana,Municipality,Blake Anderson,9584,,Tier 3,0.75,39.6128,-86.3742,ce284ccb-bb1e-4a6f-91cc-44a82ccbdd03,,,,,,,,,1,2026-02-25,1,,,,,,,,,,4482
001Hr000028ZclJ,"City Of Mount Vernon, IN",Indiana,Municipality,Blake Anderson,6426,,Tier 3,0.75,37.9323,-87.895,bfc3dd10-c924-4161-a5cb-5d50f52e2f93,,,,,,,,,8,2026-05-19,6,2,,,,,,,,,3889
001Hr000028ZclX,"City Of Westfield, IN",Indiana,Municipality,Sydney Ireland,50630,Recent Competitor Purchase,Tier S,2.0,40.0427,-86.1277,e4e9c389-0c47-44b5-80b5-bf4e24fe847d,,,,,,,,,12,2026-05-08,11,1,,,,,,,,,6117
001Hr000028Zcm0,"City Of Peru, IN",Indiana,Municipality,Blake Anderson,11106,Open Opportunity,Tier 2,1.0,40.7537,-86.0691,f7536556-959f-40c6-9914-6cdb2f0297a1,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,21,2026-03-05,6,15,,,,,,,,,4714
001Hr000028Zcmh,"City Of Scottsburg, IN",Indiana,Municipality,Blake Anderson,7267,Nurture,Tier 3,0.75,38.6856,-85.7702,789f8d2a-4ade-4ca7-bb60-c601f67083ab,Closed Lost,,,Sydney Ireland,2/13/2026,2/12/2026,,,4,2026-02-17,2,1,,,1,,,,,,4016
001Hr000028Zcmi,"City Of Elwood, IN",Indiana,Municipality,Blake Anderson,8387,,Tier 3,0.75,40.277,-85.8419,c59278ac-45f1-4d9c-ab9e-303c6de03f41,,,,,,,,,9,2026-04-06,9,,,,,,,,,,4264
001Hr000028ZcnP,"City Of Nappanee, IN",Indiana,Municipality,Blake Anderson,6882,,Tier 3,0.75,41.4426,-85.9942,6704de35-0705-45bd-9389-3850d0c8672f,,,,,,,,,9,2026-03-04,2,2,5,,,,,,,,3999
001Hr000028ZcnV,"City Of New Haven, IN",Indiana,Municipality,Sydney Ireland,15732,Recent Competitor Purchase,Tier 2,1.0,41.0706,-85.0144,c18b9674-0163-4f94-b6f0-572dbe9473ef,,,,,,,,,1,2025-09-18,,1,,,,,,,,,5170
001Hr000028ZcpH,"Town Of Mccordsville, IN",Indiana,Municipality,Sydney Ireland,11744,Open Opportunity,Tier 2,1.0,39.8943,-85.9198,30428eb0-1b59-45f8-bc2c-997c03c8cf61,Open,Proposal,Mid Funnel,Sydney Ireland,3/17/2026,3/13/2026,"$30,000",,28,2026-05-07,5,13,,,10,,,,,,4335
001Hr000028Zcq6,"City Of Washington, IN",Indiana,Municipality,Sydney Ireland,12040,,Tier 2,1.0,38.6592,-87.1728,6c7fb800-579e-47b6-8878-785db72c76f3,,,,,,,,,2,2026-02-10,1,1,,,,,,,,,4818
001Hr000028ZcqR,"City Of Greensburg, IN",Indiana,Municipality,Blake Anderson,12193,,Tier 2,1.0,39.3373,-85.4836,bdede870-90c5-4048-93a6-80907f80e502,,,,,,,,,2,2026-02-20,1,1,,,,,,,,,4768
001Hr000028ZcsJ,"Town Of Brownsburg, IN",Indiana,Municipality,Sydney Ireland,30068,,Tier 1,1.5,39.8433,-86.398,713c3a8a-c370-4788-94f8-9273ce72db2b,,,,,,,,,3,2025-10-06,,3,,,,,,,,,5790
001Hr000028Zcsq,"City Of Jasper, IN",Indiana,Municipality,Blake Anderson,16713,,Tier 2,1.0,38.3914,-86.9318,65932fce-fbbf-4297-9b4a-99a806e7a79b,,,,,,,,,4,2026-02-09,2,2,,,,,,,,,5195
001Hr000028Zcsz,"Town Of Griffith, IN",Indiana,Municipality,Sydney Ireland,16331,,Tier 2,1.0,41.5284,-87.4236,fc2bf2fe-a70e-4de3-ba0a-0120c4ae3d79,,,,,,,,,5,2026-02-19,2,3,,,,,,,,,5191
001Hr000028Zctl,"Monroe County, IN",Indiana,County,Sydney Ireland,140702,Open Opportunity,Tier S,2.0,39.1851,-86.4997,191983b6-7a59-48be-a753-3217a1173ec5,Open,Sales Qualified,Mid Funnel,Sydney Ireland,2/12/2026,1/28/2026,,,18,2026-02-12,11,7,,,,,,,,,12395
001Hr000028ZcuC,"Town Of Danville, IN",Indiana,Municipality,Blake Anderson,10758,,Tier 2,1.0,39.7608,-86.524,62d1c8d0-43ce-4835-805e-0d6e86597d9a,,,,,,,,,2,2026-02-12,1,1,,,,,,,,,4629
001Hr000028Zcup,"City Of Columbia City, IN",Indiana,Municipality,Sydney Ireland,10185,,Tier 2,1.0,41.1571,-85.4884,280940cf-6037-4f75-a6ae-5e0b7a41237b,,,,,,,,,11,2026-05-19,10,1,,,,,,,,,4476
001Hr000028Zcur,"City Of Bluffton, IN",Indiana,Municipality,Sydney Ireland,10318,,Tier 2,1.0,40.7387,-85.1716,6ed4a56f-e47d-4be6-89e6-713fdef50993,,,,,,,,,2,2026-04-02,1,1,,,,,,,,,4643
001Hr000028Zcv1,"Town Of Highland, IN",Indiana,Municipality,Blake Anderson,23672,,Tier 2,1.0,41.5536,-87.452,8bda84ab-5554-442c-9527-91cae3a9552c,,,,,,,,,4,2026-02-24,2,2,,,,,,,,,5589
001Hr000028Zcwf,"City Of Bedford, IN",Indiana,Municipality,Blake Anderson,13794,,Tier 2,1.0,38.8612,-86.4872,91c95354-e88a-4886-a687-7b9ed16c5d47,,,,,,,,,9,2026-03-13,5,4,,,,,,,,,4986
001Hr000028ZcxD,"City Of Michigan City, IN",Indiana,Municipality,Sydney Ireland,27467,Nurture,Tier 1,1.5,41.7075,-86.895,44bdd6fd-f28c-475a-a7fd-b758b88d161d,Closed Lost,,,Troy LeCaire,,1/5/2025,,,6,2026-02-10,4,2,,,,,,,,,5897
001Hr000028Zcxu,"City Of Auburn, IN",Indiana,Municipality,Blake Anderson,13593,,Tier 2,1.0,41.367,-85.0589,71947348-8fca-4770-aa75-a7cf6cb13edc,,,,,,,,,19,2026-05-19,8,11,,,,,,,,,4944
001Hr000028Zcxy,"Town Of Georgetown, IN",Indiana,Municipality,Blake Anderson,3798,Nurture,Tier 3,0.75,38.2945,-85.9755,d3b57754-42ab-4e63-99fe-c6d0249dd620,Closed Lost,,,Sydney Ireland,3/19/2026,3/16/2026,,,6,2026-03-19,5,,,,1,,,,,,4674
001Hr000028ZczL,"Town Of Yorktown, IN",Indiana,Municipality,Blake Anderson,11562,,Tier 2,1.0,40.1805,-85.4808,7081ef23-f065-4fe1-a652-0d41390be3c3,,,,,,,,,4,2026-03-19,2,2,,,,,,,,,4764
001Hr000028Zd0N,"City Of Elkhart, IN",Indiana,Municipality,Blake Anderson,53949,,Tier S,2.0,41.6874,-85.9735,bcd16c86-a2bf-4e7b-b3e1-83c3117bed65,,,,,,,,,3,2026-02-02,2,1,,,,,,,,,11664
001Hr000028Zd0l,"City Of Franklin, IN",Indiana,Municipality,Blake Anderson,25437,,Tier 1,1.5,39.4796,-86.0539,bb91c7d3-0b89-4bf5-8d59-2df5e59fa9e6,,,,,,,,,1,2025-09-26,,1,,,,,,,,,5659
001Hr000028Zd1L,"Township Of Jackson, IN",Indiana,Municipality,Blake Anderson,3686,,Tier 3,0.75,38.8794,-86.053,de2dfac3-a18d-41e6-bb07-e04c192031e4,,,,,,,,,,,,,,,,,,,,,12230
001Hr000028Zd2D,"City Of East Chicago, IN",Indiana,Municipality,Sydney Ireland,26099,,Tier 1,1.5,41.6392,-87.4548,b8eb76f2-b590-4ec8-a8ff-048d93cb1594,,,,,,,,,8,2026-02-13,3,5,,,,,,,,,5719
001Hr000028Zd3c,"Town Of Chesterton, IN",Indiana,Municipality,Blake Anderson,14375,Nurture,Tier 2,1.0,41.6106,-87.0642,00b8cd95-63bc-490b-b3d6-51fd96ed4266,Closed Lost,,,Quinzel Perry,2/26/2025,2/18/2025,"$19,000",,1,2026-02-12,1,,,,,,,,,,5009
001Hr000028Zd41,"Town Of Cedar Lake, IN",Indiana,Municipality,Sydney Ireland,14693,Implementation,Tier 2,1.0,41.3648,-87.4411,6db47203-5c42-4527-85de-81e28271960b,Closed Won,,,Sydney Ireland,2/24/2026,2/13/2026,"$22,000",,6,2026-02-24,4,2,,,,,,,,,4985
001Hr000028Zd4A,"City Of Crown Point, IN",Indiana,Municipality,Blake Anderson,34621,,Tier 1,1.5,41.417,-87.3653,34a616d3-5c7a-440d-8881-6724fbb245ec,,,,,,,,,11,2026-04-06,10,1,,,,,,,,,5934
001Hr000028Zd4M,"City Of New Castle, IN",Indiana,Municipality,Blake Anderson,17424,,Tier 2,1.0,39.9289,-85.3702,4448e477-3c97-4c24-8960-e4173eafc389,,,,,,,,,9,2026-02-12,6,2,1,,,,,,,,5271
001Hr000028Zd4N,"City Of Seymour, IN",Indiana,Municipality,Blake Anderson,21489,Open Opportunity,Tier 2,1.0,38.9592,-85.8903,8c1a3a40-5ea2-4ffc-8e43-5d452489095e,Open,Initial Interest,Top of Funnel,Quinzel Perry,1/27/2025,1/24/2025,,Yes,13,2026-03-20,12,1,,,,,,,,,5483
001Hr000028Zd56,"City Of Beech Grove, IN",Indiana,Municipality,Sydney Ireland,14541,Open Opportunity,Tier 2,1.0,39.7217,-86.091,643f1749-00ed-4922-afbb-0b5e81b642a2,Open,Initial Interest,Top of Funnel,Quinzel Perry,,3/25/2025,,,7,2026-03-09,3,4,,,,,,,,,5119
001Hr000028Zd68,"Town of St. John, IN",Indiana,Municipality,Blake Anderson,19805,,Tier 2,1.0,41.45,-87.47,e51a47fa-09a9-4f88-8772-301e1f119ca6,,,,,,,,,3,2026-02-25,1,2,,,,,,,,,5409
001Hr000028Zd6I,"City Of Lebanon, IN",Indiana,Municipality,Sydney Ireland,16840,,Tier 2,1.0,40.0485,-86.4692,81ca9501-9ec9-4950-b170-561925ff62c7,,,,,,,,,8,2026-02-10,5,3,,,,,,,,,5261
001Hr000028Zd6K,"City Of Greenfield, IN",Indiana,Municipality,Blake Anderson,24009,,Tier 2,1.0,39.7852,-85.7693,22d34394-d2a1-460b-bfeb-aae5e9922e89,,,,,,,,,2,2026-04-06,1,1,,,,,,,,,5561
001Hr000028Zd6g,"City Of Warsaw, IN",Indiana,Municipality,Blake Anderson,15865,Nurture,Tier 2,1.0,41.2381,-85.853,1dc85954-b95c-436a-a8dc-afcac10285e9,Closed Lost,,,Ali Cohen,12/10/2025,12/9/2025,,,9,2026-02-12,,2,7,,,,,,,,5166
001Hr000028Zd6w,"Town Of Avon, IN",Indiana,Municipality,Sydney Ireland,22860,,Tier 2,1.0,39.7631,-86.3811,78b9c86e-0fc9-4f50-aae8-fc5aaf01d249,,,,,,,,,12,2026-02-19,11,1,,,,,,,,,5473
001Hr000028Zd71,"City Of Frankfort, IN",Indiana,Municipality,Sydney Ireland,16651,Nurture,Tier 2,1.0,40.2797,-86.5107,c33eae93-cabd-4d2b-913e-52291efab6bc,Closed Lost,,,Quinzel Perry,9/11/2024,1/5/2025,,,7,2026-02-06,2,5,,,,,,,,,5187
001Hr000028Zd7e,"City Of Crawfordsville, IN",Indiana,Municipality,Sydney Ireland,16385,Open Opportunity,Tier 2,1.0,40.0412,-86.8745,103a7d03-0113-4d99-adfd-09900c26eba7,Open,Sales Qualified,Mid Funnel,Sydney Ireland,2/3/2026,2/3/2026,,Yes,2,2026-02-03,2,,,,,,,,,,5198
001Hr000028Zd83,"City Of Vincennes, IN",Indiana,Municipality,Blake Anderson,16631,Nurture,Tier 2,1.0,38.6773,-87.5286,b81b453f-df57-4625-a823-211bbffe4b8d,Closed Lost,,,Quinzel Perry,8/14/2025,6/26/2025,,,8,2026-02-17,4,4,,,,,,,,,5238
001Hr000028Zd8D,"County Of Huntington, IN",Indiana,County,Blake Anderson,36717,Open Opportunity,Tier 1,1.5,40.7911,-85.52,e5078e2b-228d-497d-9cb6-9f3e1f0e7ada,,,,,,,,,10,2026-03-03,1,9,,,,,,,,,5251
001Hr000028ZdAO,"City Of Shelbyville, IN",Indiana,Municipality,Sydney Ireland,20048,Open Opportunity,Tier 2,1.0,39.5214,-85.7769,fcb97e1b-9c68-4cd4-b730-9fe56cef1a15,Open,Initial Interest,Top of Funnel,Sydney Ireland,2/9/2026,2/5/2026,,,7,2026-05-12,3,4,,,,,,,,,5405
001Hr000028ZdAV,"City Of Hobart, IN",Indiana,Municipality,Blake Anderson,29521,,Tier 1,1.5,41.5323,-87.255,ca866832-ffc5-415b-9177-6774372ae367,,,,,,,,,5,2026-02-13,4,1,,,,,,,,,5827
001Hr000028ZdAZ,"City Of New Albany, IN",Indiana,Municipality,Sydney Ireland,37411,Open Opportunity,Tier 1,1.5,38.2856,-85.8241,89c8069d-d8eb-493e-9bba-f76d17cb6475,Open,Meeting Booked,Top of Funnel,Sydney Ireland,4/16/2026,4/15/2026,,,19,2026-04-15,18,1,,,,,,,,,5994
001Hr000028ZdBz,"City Of Anderson, IN",Indiana,Municipality,Sydney Ireland,54817,,Tier S,2.0,40.1051,-85.6782,0b65b443-3ca1-4400-96b0-ce8b3eb56d1a,,,,,,,,,17,2026-02-11,2,15,,,,,,,,,11464
001Hr000028ZdCA,"Town Of Clarksville, IN",Indiana,Municipality,Sydney Ireland,22071,All Modules Live,Tier 2,1.0,38.2967,-85.76,aedbcd34-b042-4687-9738-2dcab6202a16,Closed Won,,,Liam Shaw,3/20/2024,1/5/2025,"$26,000",,,,,,,,,,,,,,5524
001Hr000028ZdCb,"Township Of Center, IN",Indiana,Municipality,Sydney Ireland,45899,,Tier 1,1.5,41.3911,-87.3612,15facf7a-5d1b-4c7e-9e31-98b16a5e01d9,,,,,,,,,,,,,,,,,,,,,6137
001Hr000028ZdCs,"Township Of Noblesville, IN",Indiana,Municipality,Sydney Ireland,65165,,Tier S,2.0,40.0456,-86.0122,5d4d8957-b080-441c-af24-c3198c97cf35,,,,,,,,,24,2026-02-02,10,14,,,,,,,,,11531
001Hr000028ZdD3,"Town Of Munster, IN",Indiana,Municipality,Sydney Ireland,23761,,Tier 2,1.0,41.5645,-87.5125,bc39fc30-e86d-4a88-a6ee-aee7b8f14b42,,,,,,,,,19,2026-05-08,8,11,,,,,,,,,5590
001Hr000028ZdDn,"Town Of Zionsville, IN",Indiana,Municipality,Blake Anderson,31702,Nurture,Tier 1,1.5,39.95,-86.2789,707344ca-8e57-42b9-91a4-f5c4ba184811,Closed Lost,,,Sydney Ireland,2/25/2026,1/27/2026,,,10,2026-01-27,5,5,,,,,,,,,5853
