Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Emily Murnane,Calls - Lucy Nemerov,Calls - Ryan Minter,Calls - Leila Assil,Calls - Alicia Gopal,Calls - Blake Anderson,Calls - Joe del Rosario,Calls - Quinzel Perry,Calls - Jenny Allison,Calls - Catherine Silvestri,Calls - Shane Lieberman,Salesforce ID
001Hr000028ZbnE,"City Of Cleburne, TX",Texas,Municipality,Blake Anderson,31999,,Tier 1,1.5,32.3476,-97.3867,7286d42d-bb1f-4847-8f0e-a648f629eea7,,,,,,,,,3,2026-04-22,3,,,,,,,,,,,
001Hr000028ZbnJ,"City Of Kyle, TX",Texas,Municipality,Lucy Nemerov,51789,Nurture,Tier S,2.0,29.9891,-97.8772,4d4e3ca3-52c5-43c6-ac0c-bb5c3b5a4734,Closed Lost,,,Lucy Nemerov,3/27/2026,3/9/2026,,,30,2026-04-15,,30,,,,,,,,,,
001Hr000028ZbnL,"City Of Woodway, TX",Texas,Municipality,Lucy Nemerov,9474,,Tier 3,0.75,31.506,-97.205,7c4bd0d8-599d-4491-bd68-f454ceec08ad,,,,,,,,,10,2026-02-20,,4,,,6,,,,,,,
001Hr000028ZbnT,"City Of Friendswood, TX",Texas,Municipality,Emily Murnane,41291,,Tier 1,1.5,29.5294,-95.201,58889f19-944f-4a9a-9c9e-883cef533c12,,,,,,,,,19,2026-03-23,19,,,,,,,,,,,
001Hr000028ZbnY,"City Of Southlake, TX",Texas,Municipality,Lucy Nemerov,31105,,Tier 1,1.5,32.9412,-97.1342,a866accb-f2ed-4c74-8c4b-134ffb072815,,,,,,,,,13,2026-02-12,,10,,,3,,,,,,,
001Hr000028Zbnd,"City Of Colleyville, TX",Texas,Municipality,Blake Anderson,25986,,Tier 1,1.5,32.881,-97.155,bf0b50b0-e735-499c-b231-145e55b971b1,,,,,,,,,1,2026-02-25,,,1,,,,,,,,,
001Hr000028Zbni,"City Of Weslaco, TX",Texas,Municipality,Blake Anderson,41024,,Tier 1,1.5,26.1595,-97.9908,5a722d57-91ef-4615-b538-79bc9e39e331,,,,,,,,,16,2026-04-24,5,,,11,,,,,,,,
001Hr000028Zbnj,"Town Of Addison, TX",Texas,Municipality,Blake Anderson,17012,Nurture,Tier 2,1.0,32.9618,-96.8292,391ab97b-d275-4690-8974-2548292f1a37,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,1,2026-04-14,1,,,,,,,,,,,
001Hr000028Zbnn,"City Of Coppell, TX",Texas,Municipality,Lucy Nemerov,42221,Nurture,Tier 1,1.5,32.9546,-97.015,15672b2f-184d-4d27-957c-c3a6a95113a8,Closed Lost,,,Granger West,4/10/2025,4/9/2025,,,1,2025-11-19,,,,,1,,,,,,,
001Hr000028Zbns,"City Of Cedar Hill, TX",Texas,Municipality,Emily Murnane,48557,Nurture,Tier 1,1.5,32.5885,-96.9561,02f2347b-4fcc-44fc-a80d-0e2646afef1e,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,12,2026-02-23,12,,,,,,,,,,,
001Hr000028Zbnw,"City Of Pharr, TX",Texas,Municipality,Blake Anderson,79697,Nurture,Tier S,2.0,26.1948,-98.1836,b01ee81a-908b-4eb4-8215-8e1c759845e1,Closed Lost,,,Leila Assil,5/30/2025,5/27/2025,,,5,2026-02-05,,,3,2,,,,,,,,
001Hr000028Zbnx,"City Of Hurst, TX",Texas,Municipality,Emily Murnane,40055,,Tier 1,1.5,32.8235,-97.1706,1af6f7c0-a981-45b9-b23e-642c513d80e5,,,,,,,,,15,2026-03-09,7,,,8,,,,,,,,
001Hr000028Zbo2,"City Of Rosenberg, TX",Texas,Municipality,Blake Anderson,39468,,Tier 1,1.5,29.5572,-95.8086,2e0e6979-09fd-4e82-b394-363a7a7bf8d9,,,,,,,,,4,2025-12-09,,,,,4,,,,,,,
001Hr000028Zbo4,"Orange County, TX",Texas,County,Blake Anderson,85045,Open Opportunity,Tier S,2.0,30.1484,-93.8655,4cbc55f9-1479-44ca-ba2f-2db6944711df,Open,Initial Interest,Top of Funnel,Ryan Minter,,12/4/2025,,,18,2026-04-27,,,18,,,,,,,,,
001Hr000028Zbo7,"City Of Seguin, TX",Texas,Municipality,Blake Anderson,30902,,Tier 1,1.5,29.5689,-97.9646,fbdc9313-5dcc-47b8-a2b3-de4357191ecd,,,,,,,,,39,2026-02-13,4,,,9,26,,,,,,,
001Hr000028ZboC,"City Of Farmers Branch, TX",Texas,Municipality,Blake Anderson,36442,Open Opportunity,Tier 1,1.5,32.9265,-96.8961,4ac62616-5ae6-4a78-9a22-3de6bda3e169,Open,Initial Interest,Top of Funnel,Alicia Gopal,5/6/2026,4/29/2026,,Yes,20,2026-05-04,,,,,20,,,,,,,
001Hr000028ZboO,"City Of Donna, TX",Texas,Municipality,Lucy Nemerov,16821,Open Opportunity,Tier 2,1.0,26.1704,-98.052,77f38917-eefc-4595-bcf8-bc487f8e0085,Open,Sales Qualified,Mid Funnel,Lucy Nemerov,4/29/2026,3/30/2026,,,45,2026-04-29,23,22,,,,,,,,,,
001Hr000028ZboX,"City Of Fulshear, TX",Texas,Municipality,Blake Anderson,73135,All Modules Live,Tier S,2.0,29.69,-95.9,c2231613-bc31-4741-be69-f900943d1759,Closed Won,,,Asher Rosenfeld,,1/5/2025,"$15,500",,,,,,,,,,,,,,,
001Hr000028Zboi,"City Of Lakeway, TX",Texas,Municipality,Blake Anderson,19300,,Tier 2,1.0,30.368,-97.9917,5f8ab714-a866-479f-a0e3-5421ad77d1c2,,,,,,,,,18,2026-04-15,1,,17,,,,,,,,,
001Hr000028Zbom,"City Of Converse, TX",Texas,Municipality,Lucy Nemerov,28643,Nurture,Tier 1,1.5,29.5062,-98.3068,1b6a5272-a8ae-4597-b3e5-5ffe9caa34cb,Closed Lost,,,Troy LeCaire,,1/5/2025,"$26,000",,9,2026-03-13,,8,,1,,,,,,,,
001Hr000028Zbop,"City Of Katy, TX",Texas,Municipality,Lucy Nemerov,24005,,Tier 2,1.0,29.7858,-95.8245,cdf6a6a0-f58d-4306-ad03-c1fe79d47aa7,,,,,,,,,17,2026-03-04,15,2,,,,,,,,,,
001Hr000028Zbor,"City Of Hitchcock, TX",Texas,Municipality,Blake Anderson,7408,Nurture,Tier 3,0.75,29.3483,-95.016,e538aefd-c516-44f8-ae42-dd8d93efd252,,,,,,,,,2,2025-11-03,,,1,1,,,,,,,,
001Hr000028ZbpC,"City Of Fort Stockton, TX",Texas,Municipality,Blake Anderson,8423,Open Opportunity,Tier 3,0.75,30.894,-102.8793,fb0bd8db-37b0-45b3-aa51-273a60a81b21,Open,Proposal,Mid Funnel,Ryan Minter,2/27/2026,2/26/2026,"$20,500",Yes,17,2025-09-29,,,,,,,,17,,,,
001Hr000028ZbpM,"City of Beaumont, TX",Texas,Municipality,Blake Anderson,115013,,Tier S,2.0,30.0802,-94.1266,2beb1ebc-f967-4650-9012-0905bca3d17a,,,,,,,,,1,2025-12-04,,,1,,,,,,,,,
001Hr000028ZbpR,Starr County,Texas,County,Blake Anderson,65568,,Tier S,2.0,26.6215,-98.7481,673251f1-be96-45a0-bd7b-5b8309007692,,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZbpZ,"City Of Schertz, TX",Texas,Municipality,Blake Anderson,42622,,Tier 1,1.5,29.561,-98.2674,2bc832ec-6985-4b75-9471-3473d041f9d9,,,,,,,,,6,2026-04-23,6,,,,,,,,,,,
001Hr000028Zbpd,"City Of Forest Hill, TX",Texas,Municipality,Blake Anderson,13818,Open Opportunity,Tier 2,1.0,32.6601,-97.2699,4f9180c3-ca39-4f4a-8f5b-bcd963616352,Open,Initial Interest,Top of Funnel,Emily Murnane,,9/9/2025,,,4,2025-09-09,4,,,,,,,,,,,
001Hr000028ZbqD,"City Of Rockwall, TX",Texas,Municipality,Emily Murnane,49669,,Tier 1,1.5,32.9091,-96.4501,8f65260d-6576-4a88-828f-f5b407e01038,,,,,,,,,24,2026-04-08,12,,,12,,,,,,,,
001Hr000028ZbqL,"City Of Conroe, TX",Texas,Municipality,Blake Anderson,94400,Open Opportunity,Tier S,2.0,30.3119,-95.4561,bef6dc1a-5733-4605-89fd-79796d72d9fd,Open,Initial Interest,Top of Funnel,Granger West,,2/24/2025,,,2,2025-12-04,,,2,,,,,,,,,
001Hr000028ZbqM,"City Of El Campo, TX",Texas,Municipality,Lucy Nemerov,12290,Open Opportunity,Tier 2,1.0,29.1966,-96.2697,5c7cdac9-63f1-445c-a07c-2713cfb4319d,Open,Initial Interest,Top of Funnel,Lucy Nemerov,5/4/2026,2/9/2026,,,12,2026-05-07,,6,,5,1,,,,,,,
001Hr000028ZbqQ,"City Of Lockhart, TX",Texas,Municipality,Blake Anderson,14844,Open Opportunity,Tier 2,1.0,29.8849,-97.67,b5c42a01-f12b-4871-afd0-e7a1d71d8939,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,1,2025-11-13,,,1,,,,,,,,,
001Hr000028ZbqW,"City Of Los Fresnos, TX",Texas,Municipality,Lucy Nemerov,8152,Open Opportunity,Tier 3,0.75,26.0717,-97.4764,758fd575-fe24-4475-a6a6-971802e879d9,Open,Demo,Mid Funnel,Lucy Nemerov,2/27/2026,2/24/2026,,,13,2026-05-11,,8,,,,,,,5,,,
001Hr000028Zbqg,"City Of Penitas, TX",Texas,Municipality,Blake Anderson,6399,,Tier 3,0.75,26.2306,-98.4447,7439e19b-9170-44a4-abf9-c4b438c3d254,,,,,,,,,3,2025-09-24,3,,,,,,,,,,,
001Hr000028Zbqo,"City Of Pflugerville, TX",Texas,Municipality,Emily Murnane,66884,Open Opportunity,Tier S,2.0,30.4548,-97.6223,60dd919a-7427-4e8a-a05c-3f75335890d4,Open,Proposal,Mid Funnel,Emily Murnane,2/12/2026,10/2/2025,"$79,000",,13,2026-02-18,12,,,,,,1,,,,,
001Hr000028Zbqw,"City Of Deer Park, TX",Texas,Municipality,Blake Anderson,33676,Open Opportunity,Tier 1,1.5,29.7052,-95.1238,b1b9f1da-134e-4eb4-b572-7337c68f2bde,Open,Initial Interest,Top of Funnel,Granger West,,2/24/2025,,,12,2026-02-26,11,,1,,,,,,,,,
001Hr000028Zbr1,City of Victoria,Texas,Municipality,Lucy Nemerov,65643,,Tier S,2.0,28.8053,-97.0036,c07c8b02-967f-4ec5-b19d-c03ebca00738,,,,,,,,,3,2026-02-09,,2,,,1,,,,,,,
001Hr000028Zbr6,"City Of Missouri City, TX",Texas,Municipality,Blake Anderson,74850,Nurture,Tier S,2.0,29.6026,-95.527,ff248a50-43ae-40af-a910-588c7f2e72d7,Closed Lost,,,Alicia Gopal,11/21/2025,10/29/2025,,,8,2025-12-04,,,1,,7,,,,,,,
001Hr000028ZbrB,"City Of Waxahachie, TX",Texas,Municipality,Blake Anderson,43368,Open Opportunity,Tier 1,1.5,32.3844,-96.85,0ab38fd8-23b4-493f-9394-906161479736,Open,Demo,Mid Funnel,Emily Murnane,4/30/2026,4/23/2026,"$5,000",,18,2026-04-23,5,,,13,,,,,,,,
001Hr000028ZbrC,"City Of University Park, TX",Texas,Municipality,Blake Anderson,25268,Open Opportunity,Tier 1,1.5,32.855,-96.7976,8549e623-fcd4-4dd2-9da4-29c9247ddb89,Open,Initial Interest,Top of Funnel,Emily Murnane,,9/15/2025,,,23,2025-12-16,23,,,,,,,,,,,
001Hr000028ZbrH,"City Of Keller, TX",Texas,Municipality,Lucy Nemerov,45397,,Tier 1,1.5,32.9342,-97.2293,b5755f53-9410-4f20-b14a-68f19e6374b5,,,,,,,,,12,2026-02-12,,9,,,3,,,,,,,
001Hr000028ZbrJ,City of Pearland,Texas,Municipality,Blake Anderson,122609,,Tier S,2.0,29.5636,-95.286,b2d2a4a7-ed30-4eec-a91f-943efffe4839,,,,,,,,,1,2025-12-04,,,1,,,,,,,,,
001Hr000028ZbrL,"City Of Leander, TX",Texas,Municipality,Lucy Nemerov,67124,,Tier S,2.0,30.5788,-97.8531,d85c9c23-015a-4ed4-994d-43b90536bc49,,,,,,,,,5,2026-05-06,,5,,,,,,,,,,
001Hr000028ZbrM,"City Of Balch Springs, TX",Texas,Municipality,Blake Anderson,27160,Cold,Tier 1,1.5,32.7287,-96.6228,f1289393-3367-44a4-9703-7dc70e43dad9,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,11,2025-10-30,11,,,,,,,,,,,
001Hr000028ZbrN,"Town Of Little Elm, TX",Texas,Municipality,Blake Anderson,51042,Open Opportunity,Tier S,2.0,33.1782,-96.891,e4282f26-24ec-4a81-8b07-dbb08bb19727,Open,Sales Qualified,Mid Funnel,Ryan Minter,3/18/2026,3/11/2026,,,4,2026-03-11,,,4,,,,,,,,,
001Hr000028ZbrQ,"City Of North Richland Hills, TX",Texas,Municipality,Blake Anderson,70209,Open Opportunity,Tier S,2.0,32.8343,-97.2289,2f411ac5-8cd4-4e56-be72-44b384f27848,Open,Initial Interest,Top of Funnel,Ryan Minter,,7/16/2025,,,10,2026-04-21,4,,6,,,,,,,,,
001Hr000028ZbrW,"City Of Bellaire, TX",Texas,Municipality,Blake Anderson,16983,Open Opportunity,Tier 2,1.0,29.7035,-95.4681,d5b7b41d-b955-4bd1-b357-da9a9aec12d9,Open,Initial Interest,Top of Funnel,Emily Murnane,,10/1/2025,,Yes,6,2026-04-07,6,,,,,,,,,,,
001Hr000028Zbrc,"City Of Andrews, TX",Texas,Municipality,Lucy Nemerov,13370,Open Opportunity,Tier 2,1.0,32.3187,-102.5457,1bbb7a37-bc86-43d6-8f43-ccad9ce7da50,Open,Initial Interest,Top of Funnel,Leila Assil,,8/11/2025,,,4,2025-10-15,1,,,3,,,,,,,,
001Hr000028Zbry,"City of McKinney, TX",Texas,Municipality,Blake Anderson,189394,Open Opportunity,Tier S,2.0,33.1983,-96.6389,622c570d-2eb6-4d37-ae07-ce14b91a962e,Open,Initial Interest,Top of Funnel,Leila Assil,,8/8/2025,,,16,2026-04-24,5,,1,10,,,,,,,,
001Hr000028ZbsC,"City Of New Braunfels, TX",Texas,Municipality,Emily Murnane,98857,Nurture,Tier S,2.0,29.7026,-98.1241,6c3f1ae1-e26b-4300-9dea-18ae01ea8a44,Closed Lost,,,Troy LeCaire,,1/5/2025,,,12,2026-02-25,11,,,,,,1,,,,,
001Hr000028ZbsF,"City Of Grapevine, TX",Texas,Municipality,Blake Anderson,50872,,Tier S,2.0,32.9395,-97.0787,fc9b5fd4-cd6d-4af3-8463-6b2f49f6c97d,,,,,,,,,3,2025-12-10,,,3,,,,,,,,,
001Hr000028ZbsG,"City Of Yoakum, TX",Texas,Municipality,Lucy Nemerov,5923,,Tier 3,0.75,29.2877,-97.1519,8b9b7793-768a-46ca-97e9-1b15862adca7,,,,,,,,,5,2026-02-10,,1,,4,,,,,,,,
001Hr000028ZbsK,"City Of Pleasanton, TX",Texas,Municipality,Lucy Nemerov,10780,Open Opportunity,Tier 2,1.0,28.9672,-98.4786,7797122c-ea21-4785-b03f-10bd19efe517,Open,Initial Interest,Top of Funnel,Lucy Nemerov,3/18/2026,3/13/2026,,,53,2026-05-21,14,32,,5,,,,,,2,,
001Hr000028ZbsP,"County of Maverick, TX",Texas,County,Blake Anderson,58056,Open Opportunity,Tier S,2.0,28.741,-100.3498,d404f49b-1a4a-4d02-901e-ba67ee16ebfe,Open,Sales Qualified,Mid Funnel,Ryan Minter,1/12/2026,9/4/2025,,,36,2026-01-20,,,36,,,,,,,,,
001Hr000028ZbsR,"City Of Iowa Park, TX",Texas,Municipality,Blake Anderson,6547,,Tier 3,0.75,33.9515,-98.6687,5d290f43-7152-42ed-9b15-7cfb713ae825,,,,,,,,,14,2026-04-20,12,,2,,,,,,,,,
001Hr000028Zbsj,"City Of San Marcos, TX",Texas,Municipality,Lucy Nemerov,68580,,Tier S,2.0,29.8833,-97.9414,0283ff72-6021-4b39-a4fd-9f96f8b3c29c,,,,,,,,,9,2026-02-11,,1,,,8,,,,,,,
001Hr000028Zbsk,"City Of Big Spring, TX",Texas,Municipality,Blake Anderson,25735,,Tier 1,1.5,32.2529,-101.473,ff2f21a6-6ade-44be-a4ba-3ad38fd15a21,,,,,,,,,20,2025-10-03,20,,,,,,,,,,,
001Hr000028Zbsl,"City Of San Juan, TX",Texas,Municipality,Lucy Nemerov,35577,Open Opportunity,Tier 1,1.5,26.1892,-98.1553,bda5ac54-1d5a-4c38-9048-4450564e8fb7,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,6/11/2025,1/5/2025,,Yes,,,,,,,,,,,,,,
001Hr000028Zbso,"City Of Hewitt, TX",Texas,Municipality,Blake Anderson,16131,All Modules Live,Tier 2,1.0,31.4624,-97.1958,4b1ac152-296e-489f-8bc0-238fbee56485,Closed Won,,,Shane Lieberman,7/31/2024,1/5/2025,"$28,000",,1,2026-05-06,,,,,,,,,,,1,
001Hr000028Zbst,"City Of Copperas Cove, TX",Texas,Municipality,Blake Anderson,37041,Open Opportunity,Tier 1,1.5,31.1241,-97.9031,2ca09bac-9bad-4b42-8d7e-858fdd00efb7,Open,Initial Interest,Top of Funnel,Emily Murnane,,9/3/2025,,,6,2026-02-26,5,,1,,,,,,,,,
001Hr000028ZbtQ,"City Of Floresville, TX",Texas,Municipality,Lucy Nemerov,7554,Open Opportunity,Tier 3,0.75,29.1336,-98.1561,5153c746-9530-40fa-88ed-7e392ece9a17,Open,Meeting Booked,Top of Funnel,Lucy Nemerov,7/2/2026,3/5/2026,,,8,2026-03-04,,6,,2,,,,,,,,
001Hr000028ZbtR,"City Of Eagle Pass, TX",Texas,Municipality,Blake Anderson,28596,Nurture,Tier 1,1.5,28.7091,-100.4995,6d66b76d-622b-443e-809c-6509a2c8b364,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,9,2025-11-05,9,,,,,,,,,,,
001Hr000028Zbtg,"City Of Vernon, TX",Texas,Municipality,Blake Anderson,10045,,Tier 2,1.0,34.1545,-99.2651,dc50ef57-0b99-44f4-8eab-8c8dcc903b44,,,,,,,,,15,2026-04-23,15,,,,,,,,,,,
001Hr000028Zbti,"City Of Bee Cave, TX",Texas,Municipality,Blake Anderson,9028,Open Opportunity,Tier 3,0.75,30.3061,-97.9524,76c2128d-276c-40f3-97dd-6a2bf01dd72e,Open,Initial Interest,Top of Funnel,Leila Assil,,8/26/2025,,,23,2025-11-03,9,,,14,,,,,,,,
001Hr000028Zbtl,"City Of Mansfield, TX",Texas,Municipality,Blake Anderson,74368,Open Opportunity,Tier S,2.0,32.5639,-97.1351,9018ce8e-19a5-489b-b330-87542cca7806,Open,Meeting Booked,Top of Funnel,Leila Assil,6/13/2025,2/13/2025,,,22,2025-11-10,16,,,6,,,,,,,,
001Hr000028Zbtq,"City Of Cibolo, TX",Texas,Municipality,Emily Murnane,33475,,Tier 1,1.5,29.5604,-98.2263,811df7b9-d740-45dc-b69b-3326e4458fa2,,,,,,,,,29,2026-03-23,15,,,14,,,,,,,,
001Hr000028Zbtv,"City Of Duncanville, TX",Texas,Municipality,Lucy Nemerov,39797,,Tier 1,1.5,32.6518,-96.9083,b6605a9d-e6a7-4bfb-8f29-9c9c1bdfdba4,,,,,,,,,5,2026-05-06,,5,,,,,,,,,,
001Hr000028Zbu0,"City Of Rowlett, TX",Texas,Municipality,Lucy Nemerov,63671,Open Opportunity,Tier S,2.0,32.9029,-96.5639,09ec968d-888c-451a-a906-736ef91c811b,Open,Proposal,Mid Funnel,Lucy Nemerov,2/19/2026,2/12/2026,"$65,000",,28,2026-02-19,,17,,,11,,,,,,,
001Hr000028Zbu5,"City Of Haltom City, TX",Texas,Municipality,Lucy Nemerov,45746,Open Opportunity,Tier 1,1.5,32.7996,-97.2692,2240164d-1654-4290-b80b-a4e8153e1f0e,Open,Initial Interest,Top of Funnel,Leila Assil,,2/21/2025,,,,,,,,,,,,,,,,
001Hr000028ZbuB,"City Of Kingsville, TX",Texas,Municipality,Lucy Nemerov,25069,,Tier 1,1.5,27.5159,-97.8561,88681f8c-23eb-4a32-8a94-c68386ff8ff2,,,,,,,,,7,2026-05-07,,6,,1,,,,,,,,
001Hr000028ZbuF,"City Of Hutto, TX",Texas,Municipality,Lucy Nemerov,42661,All Modules Live,Tier 1,1.5,30.5427,-97.5467,1b7e5767-fd23-4ea1-b960-a41133cb8263,Closed Won,,,Asher Rosenfeld,,1/5/2025,"$25,000",,,,,,,,,,,,,,,
001Hr000028ZbuJ,"City Of Granbury, TX",Texas,Municipality,Blake Anderson,11424,,Tier 2,1.0,32.4489,-97.7906,438d7dfb-6504-4bcc-96e2-5049d80286f8,,,,,,,,,23,2026-05-20,22,,,,,1,,,,,,
001Hr000028ZbuK,"City Of Harker Heights, TX",Texas,Municipality,Blake Anderson,33560,Open Opportunity,Tier 1,1.5,31.0835,-97.6597,94ddbb17-ac0a-4ded-8a56-b75e4d6d4867,Open,Initial Interest,Top of Funnel,Emily Murnane,,9/5/2025,,,18,2026-04-22,18,,,,,,,,,,,
001Hr000028ZbuQ,"Hays County, TX",Texas,County,Emily Murnane,234573,,Tier S,2.0,30.0538,-98.0029,3c74a4cc-259c-4db5-95de-f4406b1bc68b,,,,,,,,,8,2026-04-13,8,,,,,,,,,,,
001Hr000028ZbuV,"City Of Lumberton, TX",Texas,Municipality,Blake Anderson,13802,,Tier 2,1.0,30.2658,-94.1996,326b9aa6-2982-489c-a336-4f0c6708cd6b,,,,,,,,,13,2025-12-04,,,13,,,,,,,,,
001Hr000028ZbuZ,"City of Georgetown, TX",Texas,Municipality,Blake Anderson,114000,Recent Competitor Purchase,Tier S,2.0,30.6333,-97.678,0a78c9db-32b3-4cdf-b515-2fa5ef52a724,Closed Lost,,,Ryan Minter,11/12/2025,10/30/2025,"$28,000",,11,2025-12-17,,,11,,,,,,,,,
001Hr000028Zbum,"City Of Nolanville, TX",Texas,Municipality,Lucy Nemerov,6249,Nurture,Tier 3,0.75,31.0788,-97.6056,88dbc711-b2e7-4518-90b2-7bbf047dc764,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,16,2026-05-21,,16,,,,,,,,,,
001Hr000028Zbup,"City Of Texarkana, TX",Texas,Municipality,Lucy Nemerov,29314,Open Opportunity,Tier 1,1.5,33.4251,-94.0477,8dc6f9d2-75e1-4105-bd80-c48b0628ef6e,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,10,2026-03-24,,10,,,,,,,,,,
001Hr000028Zbv9,Cameron County,Texas,County,Blake Anderson,420554,,Tier S,2.0,26.1285,-97.5247,1b057f00-c8a4-456f-add7-fc3f8b931f6c,,,,,,,,,6,2026-02-10,,,,,6,,,,,,,
001Hr000028ZbvC,"City Of Liberty, TX",Texas,Municipality,Emily Murnane,8539,Open Opportunity,Tier 3,0.75,30.058,-94.7955,27632e6b-3f45-40c0-be39-feae270e1b94,Open,Proposal,Mid Funnel,Leila Assil,8/26/2025,8/8/2025,"$24,000",,8,2025-08-19,,,,8,,,,,,,,
001Hr000028ZbvD,"City Of Mcgregor, TX",Texas,Municipality,Blake Anderson,5522,Nurture,Tier 3,0.75,31.4441,-97.4092,e200c62f-8fe9-43ae-b242-b36cc3462a83,Closed Lost,,,Leila Assil,9/5/2025,8/25/2025,,,9,2026-05-26,,,,3,,6,,,,,,
001Hr000028ZbvE,"City Of Dumas, TX",Texas,Municipality,Blake Anderson,14290,,Tier 2,1.0,35.8654,-101.9732,8be65e32-6eb1-4c98-a175-83a550a8fc18,,,,,,,,,16,2025-10-08,16,,,,,,,,,,,
001Hr000028ZbvJ,"City Of Sachse, TX",Texas,Municipality,Blake Anderson,29042,,Tier 1,1.5,32.9762,-96.5953,c2866c45-5dad-4846-8020-a60b00ee4d37,,,,,,,,,4,2026-05-20,3,,,,,1,,,,,,
001Hr000028ZbvN,"City Of La Porte, TX",Texas,Municipality,Blake Anderson,35964,,Tier 1,1.5,29.6658,-95.0194,caed5e8c-8e62-40ea-aa7d-6888833c7d90,,,,,,,,,35,2026-04-15,8,,,27,,,,,,,,
001Hr000028ZbvO,"City of Harlingen, TX",Texas,Municipality,Blake Anderson,71124,,Tier S,2.0,26.1906,-97.6961,eead2dea-ffb6-4d41-85c2-f405d517cf86,,,,,,,,,7,2026-04-15,3,,4,,,,,,,,,
