Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ali Cohen,Calls - Joe del Rosario
001cv00000AuYz0,"City Of West Wendover, NV",Nevada,Municipality,Ali Cohen,4492,,Tier 3,0.75,40.7391,-114.0733,a0c46f1f-cfc8-432b-89fa-4840f899bd0c,,,,,,,,,,,,
001cv00000AuYzW,"County Of Lincoln, NV",Nevada,County,Ali Cohen,4525,,Tier 3,0.75,37.6608,-114.5243,9aacddf3-8104-43f4-b0f5-2955817eaaf9,,,,,,,,,,,,
001cv00000AuZCb,"County Of Pershing, NV",Nevada,County,Ali Cohen,6741,,Tier 3,0.75,40.5686,-118.4864,aad64531-f7ec-48f8-a962-d00f8bddb4f2,,,,,,,,,1,2025-11-04,1,
001cv00000AuZKX,"County Of Lander, NV",Nevada,County,Ali Cohen,5798,,Tier 3,0.75,40.051,-116.9852,061ec7b6-e626-4562-b70e-e9d269d99f0c,,,,,,,,,6,2025-11-06,6,
001cv00000AuZZH,"County Of White Pine, NV",Nevada,County,Ali Cohen,9182,,Tier 3,0.75,39.5564,-114.5243,76617a2d-365b-4ab5-a518-6f5870d64561,,,,,,,,,11,2026-04-29,11,
001cv00000AuZtp,"County Of Humboldt, NV",Nevada,County,Ali Cohen,17648,,Tier 2,1.0,41.5931,-118.5501,ec8a7b37-edd3-4265-9f55-92f4cc86818e,,,,,,,,,2,2025-11-04,2,
001cv00000AuaLd,"County Of Nye, NV",Nevada,County,Ali Cohen,53450,,Tier S,2.0,38.5807,-116.0414,1b02bfa7-8f16-4acf-b18c-f0021a020d97,,,,,,,,,3,2025-11-17,3,
001cv00000AuaN0,"County Of Elko, NV",Nevada,County,Ali Cohen,53915,,Tier S,2.0,41.222,-115.2838,32f73cf3-d150-4824-9485-4100d0ee723c,,,,,,,,,,,,
001cv00000B21zG,"County Of Mineral, NV",Nevada,County,Ali Cohen,4586,,Tier 3,0.75,38.4343,-118.4864,517fa698-1f34-443e-b930-8536fd7972ab,,,,,,,,,,,,
001cv00000bBVea,Esmeralda County,Nevada,County,Asher Rosenfeld,720,,Tier 3,0.75,37.7866,-117.3616,82bd5f3b-d5a3-4eed-8097-5f4883e585f8,,,,,,,,,,,,
001cv00000bBVlJ,City of Caliente,Nevada,Municipality,Asher Rosenfeld,964,,Tier 3,0.75,37.615,-114.5119,aeb6d921-98be-4aeb-9315-ef1772157599,,,,,,,,,,,,
001cv00000bBVxD,City of Wells,Nevada,Municipality,Asher Rosenfeld,1242,,Tier 3,0.75,41.1116,-114.9645,cc370468-4d44-4fce-ab28-a3a7999a66ab,,,,,,,,,,,,
001cv00000bBWF1,City of Sparks,Nevada,Municipality,Asher Rosenfeld,111520,,Tier S,2.0,39.5349,-119.7527,a8b633df-adba-4ed3-96fb-6cfeec2812f1,,,,,,,,,,,,
001cv00000bBWKI,Eureka County,Nevada,County,Asher Rosenfeld,1877,,Tier 3,0.75,39.9313,-116.2305,6523fb9d-cee3-4cf8-a200-635c4b8e562f,,,,,,,,,,,,
001cv00000bBWYM,City of Las Vegas,Nevada,Municipality,Asher Rosenfeld,678922,,Tier S,2.0,36.1716,-115.1391,460385ef-6ec8-4351-98b1-c6c786f33869,,,,,,,,,,,,
001cv00000bBWzL,City of Reno,Nevada,Municipality,Asher Rosenfeld,281714,,Tier S,2.0,39.5299,-119.8143,9884f5b3-ac65-4aa5-89ff-b23d6102672c,,,,,,,,,,,,
001cv00000bBX0b,City of Henderson,Nevada,Municipality,Asher Rosenfeld,350039,,Tier S,2.0,36.0395,-114.9817,027124c6-c2bc-4e00-84b6-98fe2e05a265,,,,,,,,,,,,
001cv00000bBX1R,Washoe County,Nevada,County,Asher Rosenfeld,507280,,Tier S,2.0,40.5608,-119.6035,ec73636b-d179-4c16-93a9-4c7f6ebb90f4,,,,,,,,,,,,
