Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Quinzel Perry,Calls - Joe del Rosario,Calls - Alicia Gopal,Calls - Mihir Shah,Calls - Nick Martino,Calls - Ali Cohen,Calls - Jenny Allison,Calls - Leila Assil,Salesforce ID
001Hr000028Zbxw,"Township Of Chester, NJ",New Jersey,Municipality,Mihir Shah,7709,,Tier 3,0.75,40.7733,-74.6592,2dcb480c-e05a-4490-9c48-7a062dc5af04,,,,,,,,,3,2026-02-04,3,,,,,,,,,,
001Hr000028Zby0,"City Of Passaic, NJ",New Jersey,Municipality,Nick Martino,69633,,Tier S,2.0,40.8567,-74.1289,82687981-4fb6-4c64-9088-9347b725c659,,,,,,,,,8,2025-11-05,8,,,,,,,,,,
001Hr000028Zbyn,"Township Of Pennsville, NJ",New Jersey,Municipality,Sydney Ireland,12626,,Tier 2,1.0,39.6553,-75.5207,bdf79198-9004-4596-88c9-1abd5d4af3ef,,,,,,,,,6,2026-05-20,,6,,,,,,,,,
001Hr000028Zbyp,"Township Of Sparta, NJ",New Jersey,Municipality,Mihir Shah,19976,,Tier 2,1.0,41.0361,-74.6366,01aa94a5-b626-42db-ab65-36808bc545e7,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc2Q,"Fairfield Township, NJ",New Jersey,Municipality,Nick Martino,5589,,Tier 3,0.75,40.8682,-74.3116,a9ba1ef7-2545-485d-853c-6adadfdb62a2,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc2w,"Town Of Hackettstown, NJ",New Jersey,Municipality,Mihir Shah,10355,Open Opportunity,Tier 2,1.0,40.8538,-74.8292,61993c8a-308c-436e-8f8c-06779451d7be,Open,Sales Qualified,Mid Funnel,Mihir Shah,5/19/2026,5/15/2026,,,10,2026-05-19,5,,,,,5,,,,,
001Hr000028Zc3A,"Township Of Greenwich, NJ",New Jersey,Municipality,Sydney Ireland,5472,,Tier 3,0.75,40.694,-75.111,db7d35d5-e776-430e-87cb-579130600fc6,,,,,,,,,1,2026-02-02,1,,,,,,,,,,
001Hr000028Zc4x,"Borough Of Prospect Park, NJ",New Jersey,Municipality,Nick Martino,6285,,Tier 3,0.75,40.9335,-74.1722,6fc9d1b3-8597-4097-812e-57a4eb9d47bf,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc6q,"Township Of Union, NJ",New Jersey,Municipality,Mihir Shah,6629,,Tier 3,0.75,40.6964,-74.27,c6e36300-8db6-4ea3-814c-3288e7776e11,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zc80,"Township Of Howell, NJ",New Jersey,Municipality,Mihir Shah,53801,,Tier S,2.0,40.14,-74.2251,6464f189-489c-49ab-aa01-37fe67518f69,,,,,,,,,8,2026-05-20,,,,,,8,,,,,
001Hr000028Zc8u,"Borough Of Pine Hill, NJ",New Jersey,Municipality,Sydney Ireland,10699,Open Opportunity,Tier 2,1.0,39.7844,-74.992,8ac3e210-4054-4850-b3ef-ae13d607a351,Open,Sales Qualified,Mid Funnel,Sydney Ireland,5/18/2026,5/13/2026,,,3,2026-05-18,,2,,,,,,,1,,
001Hr000028ZcAL,"Township Of Andover, NJ",New Jersey,Municipality,Mihir Shah,6172,,Tier 3,0.75,41.0189,-74.769,227b4849-6588-47f9-ba45-e96a78bb41df,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcBE,"Borough Of Fanwood, NJ",New Jersey,Municipality,Nick Martino,7699,,Tier 3,0.75,40.6409,-74.3839,5ed434f6-0c0d-4027-994f-067fde883de4,,,,,,,,,12,2025-08-05,,,12,,,,,,,,
001Hr000028ZcC5,"Borough Of Morris Plains, NJ",New Jersey,Municipality,Mihir Shah,6135,,Tier 3,0.75,40.8297,-74.4779,82da42be-23f6-43b9-8483-398d356277f3,,,,,,,,,3,2025-12-15,3,,,,,,,,,,
001Hr000028ZcC6,"Borough Of Keyport, NJ",New Jersey,Municipality,Mihir Shah,7196,,Tier 3,0.75,40.4376,-74.2021,190cc11f-a819-45c1-a747-d9e2be8de5e9,,,,,,,,,3,2025-12-15,2,,1,,,,,,,,
001Hr000028ZcC7,"Holmdel Township, NJ",New Jersey,Municipality,Mihir Shah,17317,,Tier 2,1.0,40.3849,-74.189,c49a4197-3efd-47d4-9a15-808f863e11e7,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcC8,"Borough Of South Plainfield, NJ",New Jersey,Municipality,Nick Martino,24243,,Tier 2,1.0,40.5826,-74.4116,c487372b-29e5-4df8-9c1a-66903b18d17a,,,,,,,,,1,2025-05-27,,,,1,,,,,,,
001Hr000028ZcCR,"Borough Of Rockaway, NJ",New Jersey,Municipality,Mihir Shah,6587,,Tier 3,0.75,40.9022,-74.514,04dd45c2-5774-4957-a8bf-b77fdcd798ce,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcE9,"Borough Of North Arlington, NJ",New Jersey,Municipality,Nick Martino,16339,,Tier 2,1.0,40.7884,-74.1335,9630e606-651c-44ee-896c-77c83b9d4150,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcF1,"Borough Of Westwood, NJ",New Jersey,Municipality,Nick Martino,11203,,Tier 2,1.0,40.9918,-74.036,c6b9d734-ec33-4156-9240-2ec5a5bd506e,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcFB,"Borough Of Hillsdale, NJ",New Jersey,Municipality,Nick Martino,10068,,Tier 2,1.0,41.0026,-74.043,da34a7f9-d37a-4ada-965f-59de0e124941,,,,,,,,,1,2025-05-27,,,,1,,,,,,,
001Hr000028ZcFP,"Borough Of Norwood, NJ",New Jersey,Municipality,Nick Martino,5595,,Tier 3,0.75,40.9962,-73.9561,c2d747f8-6b53-488b-99b7-88305c958364,,,,,,,,,5,2026-02-04,5,,,,,,,,,,
001Hr000028ZcH1,"Borough Of Butler, NJ",New Jersey,Municipality,Mihir Shah,8116,,Tier 3,0.75,41.0024,-74.3395,7b9b70c9-b12b-43c9-8e48-d27340b41c65,,,,,,,,,1,2025-09-30,,,1,,,,,,,,
001Hr000028ZcH8,"Borough Of Montvale, NJ",New Jersey,Municipality,Nick Martino,8439,Nurture,Tier 3,0.75,41.0481,-74.0613,b9130100-6775-485e-975c-5bdc68417f39,Closed Lost,,,Troy LeCaire,,1/5/2025,,,2,2025-07-11,,,2,,,,,,,,
001Hr000028ZcHC,"City of Orange Township, NJ",New Jersey,Municipality,Nick Martino,33906,,Tier 1,1.5,40.7684,-74.2407,16fd1cd9-d271-4657-9a83-b419e648c3a8,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcHD,"Township Of Freehold, NJ",New Jersey,Municipality,Mihir Shah,35596,,Tier 1,1.5,40.2214,-74.2674,9f845b16-64f7-4e11-adec-025dc431f085,,,,,,,,,3,2025-06-24,,,,3,,,,,,,
001Hr000028ZcHN,"Township Of Washington (Warren County), NJ",New Jersey,Municipality,Mihir Shah,6508,,Tier 3,0.75,40.7691,-74.9879,a2765131-6719-4f8f-8bc1-0ce9531d7b9d,,,,,,,,,2,2025-12-15,2,,,,,,,,,,
001Hr000028ZcHW,"Borough Of Milltown, NJ",New Jersey,Municipality,Nick Martino,6981,,Tier 3,0.75,40.4551,-74.4425,0c71faec-2cdd-4c39-bab4-5976222051be,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcHu,"Borough Of Little Silver, NJ",New Jersey,Municipality,Mihir Shah,6091,,Tier 3,0.75,40.3375,-74.0489,6e0386dd-3152-498d-b40e-649eb1c1b15f,,,,,,,,,6,2026-02-03,6,,,,,,,,,,
001Hr000028ZcJI,"Township Of West Deptford, NJ",New Jersey,Municipality,Sydney Ireland,22463,,Tier 2,1.0,39.8438,-75.192,a27f165b-33ce-46b5-99b5-1da84dbc38c5,,,,,,,,,6,2026-05-19,,6,,,,,,,,,
001Hr000028ZcJh,"Borough Of Glen Ridge, NJ",New Jersey,Municipality,Nick Martino,7709,,Tier 3,0.75,40.8007,-74.2039,289f895d-8f18-4a7d-b9c7-d1066d74c3e5,,,,,,,,,3,2025-06-10,,,3,,,,,,,,
001Hr000028ZcK2,"Township Of Westampton, NJ",New Jersey,Municipality,Sydney Ireland,9104,,Tier 3,0.75,40.0155,-74.8281,b402db85-578c-4450-9fb6-a7e13f90e53c,,,,,,,,,4,2026-04-24,,4,,,,,,,,,
001Hr000028ZcLI,"Borough Of Haddon Heights, NJ",New Jersey,Municipality,Sydney Ireland,7467,,Tier 3,0.75,39.8833,-75.0571,ece5c91c-8fe4-4c79-807a-241522a02615,,,,,,,,,2,2025-12-15,1,,1,,,,,,,,
001Hr000028ZcLJ,"Borough Of Dunellen, NJ",New Jersey,Municipality,Nick Martino,7568,,Tier 3,0.75,40.5919,-74.463,dafce3f4-d315-44db-9a39-62a810b5d64d,,,,,,,,,4,2025-12-15,2,,2,,,,,,,,
001Hr000028ZcLT,"Borough Of Englewood Cliffs, NJ",New Jersey,Municipality,Nick Martino,5342,,Tier 3,0.75,40.8805,-73.9512,dd13cec7-b2a3-448e-8287-5471e790260b,,,,,,,,,1,2026-03-18,,1,,,,,,,,,
001Hr000028ZcMk,"Borough Of Fair Haven, NJ",New Jersey,Municipality,Mihir Shah,6204,,Tier 3,0.75,40.3597,-74.0457,7734bd1a-0329-44ef-b6e4-b58f9397f90a,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcMm,"Village Of Ridgefield Park, NJ",New Jersey,Municipality,Nick Martino,13136,,Tier 2,1.0,40.8551,-74.0189,4295d82e-2f6a-49c1-8d6f-31cfc70d925e,,,,,,,,,4,2026-02-09,,,,,4,,,,,,
001Hr000028ZcNJ,"Borough Of Belmar, NJ",New Jersey,Municipality,Mihir Shah,5881,,Tier 3,0.75,40.1783,-74.0313,503816c6-3f2e-4cdb-987e-504b335317a1,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcNt,"Borough Of Midland Park, NJ",New Jersey,Municipality,Nick Martino,6966,,Tier 3,0.75,40.9917,-74.1419,cb3764a6-1d53-45ad-9a37-02ebd22ded57,,,,,,,,,7,2026-01-05,5,,2,,,,,,,,
001Hr000028ZcNw,"Township Of Lopatcong, NJ",New Jersey,Municipality,Mihir Shah,9412,,Tier 3,0.75,40.6993,-75.1636,52b9d4ba-18b1-47eb-b8b2-89f5a9f6a9b3,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcNx,"City Of Woodbury, NJ",New Jersey,Municipality,Sydney Ireland,10086,,Tier 2,1.0,39.8382,-75.1532,f7723f50-8192-4083-a90d-47119218e079,,,,,,,,,3,2026-02-04,,,,,3,,,,,,
001Hr000028ZcON,"Township Of Rochelle Park, NJ",New Jersey,Municipality,Nick Martino,5820,,Tier 3,0.75,40.9096,-74.0733,371aa75e-554d-4d8a-967c-78173161628f,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcPZ,"Borough Of Leonia, NJ",New Jersey,Municipality,Nick Martino,9243,,Tier 3,0.75,40.8617,-73.9879,a5c53d09-ae39-4c14-b65e-8525b0ed05d0,,,,,,,,,4,2026-04-07,,1,3,,,,,,,,
001Hr000028ZcQZ,"Township Of Verona, NJ",New Jersey,Municipality,Nick Martino,14446,,Tier 2,1.0,40.8315,-74.245,2edb5c10-052a-4c55-b84f-9d3e0f4a1418,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcQj,"Township Of Upper Freehold, NJ",New Jersey,Municipality,Mihir Shah,7270,,Tier 3,0.75,40.1499,-74.5387,c229fb24-99b9-4eed-94c6-d0c7c42508df,,,,,,,,,1,2026-02-19,1,,,,,,,,,,
001Hr000028ZcQw,"Borough Of Woodcliff Lake, NJ",New Jersey,Municipality,Nick Martino,6091,,Tier 3,0.75,41.0208,-74.0495,35efb312-4179-4c60-9976-185b1be1292b,,,,,,,,,1,2026-02-19,1,,,,,,,,,,
001Hr000028ZcRy,"Township Of Mendham, NJ",New Jersey,Municipality,Mihir Shah,6006,,Tier 3,0.75,40.7875,-74.5637,6603245b-61ae-4e32-b3b1-cf418cdc0804,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcS4,"Borough Of Allendale, NJ",New Jersey,Municipality,Nick Martino,6809,,Tier 3,0.75,41.0302,-74.1273,3eeb7a40-8ea9-4d30-923b-3c8da5181b16,,,,,,,,,4,2026-03-19,,3,1,,,,,,,,
001Hr000028ZcSJ,"Township Of Edgewater Park, NJ",New Jersey,Municipality,Sydney Ireland,8915,,Tier 3,0.75,40.0538,-74.9096,7deeef9d-adcb-488e-a15d-88b2935e081a,,,,,,,,,21,2026-04-29,,9,12,,,,,,,,
001Hr000028ZcSS,"Borough Of Kenilworth, NJ",New Jersey,Municipality,Nick Martino,8335,,Tier 3,0.75,40.6773,-74.2865,90d8e56b-8d6b-4dd3-96b2-128f22371980,,,,,,,,,7,2025-07-21,,,7,,,,,,,,
001Hr000028ZcTT,"Borough Of Emerson, NJ",New Jersey,Municipality,Nick Martino,7244,,Tier 3,0.75,40.9744,-74.0278,df6aa47d-5ffe-42f1-a882-12276e1e6a14,,,,,,,,,2,2025-12-15,1,,1,,,,,,,,
001Hr000028ZcU7,"Borough Of Cliffside Park, NJ",New Jersey,Municipality,Nick Martino,25594,,Tier 1,1.5,40.8214,-73.9879,04e24f1d-b2b9-4cfd-8848-988776de6d0f,,,,,,,,,2,2026-03-16,,2,,,,,,,,,
001Hr000028ZcUb,"Township Of Holland, NJ",New Jersey,Municipality,Mihir Shah,5193,,Tier 3,0.75,40.5945,-75.1169,c7f2be30-aa32-46fa-829b-080aefed63bf,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcV5,"Township Of Tewksbury, NJ",New Jersey,Municipality,Mihir Shah,5881,,Tier 3,0.75,40.7057,-74.7749,6019a945-f622-48c3-ac2e-cd8211d1fe7c,,,,,,,,,1,2025-12-10,1,,,,,,,,,,
001Hr000028ZcVR,"Borough Of New Providence, NJ",New Jersey,Municipality,Nick Martino,13617,,Tier 2,1.0,40.6983,-74.4017,9d13b27a-955c-4944-96eb-9948f16ad66a,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcVc,"Borough Of Middlesex, NJ",New Jersey,Municipality,Nick Martino,14501,,Tier 2,1.0,40.5803,-74.5013,a7003faa-f5cf-4929-bac3-e9418e84eb1c,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcVe,"Township Of Haddon, NJ",New Jersey,Municipality,Sydney Ireland,15360,,Tier 2,1.0,39.9105,-75.0498,32e5af92-9140-49f6-8cbe-05af24b12ce2,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcVt,"Township Of Lebanon, NJ",New Jersey,Municipality,Mihir Shah,6210,,Tier 3,0.75,40.7018,-74.8834,9bb54dba-1891-4741-9c6a-140db709fb02,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcWD,"Borough Of Little Ferry, NJ",New Jersey,Municipality,Nick Martino,10912,,Tier 2,1.0,40.853,-74.034,07b785f3-ee89-4a16-8977-8da3c63ceb13,,,,,,,,,4,2025-06-27,,,,4,,,,,,,
001Hr000028ZcWL,"Borough Of Raritan, NJ",New Jersey,Municipality,Mihir Shah,9096,,Tier 3,0.75,40.5742,-74.6387,b1ac9cfc-1662-427b-af78-20194203f16d,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcWc,"Township Of Bordentown, NJ",New Jersey,Municipality,Sydney Ireland,11934,,Tier 2,1.0,40.1514,-74.6933,065048f2-2262-43f4-9cc9-4a4289b01e3e,,,,,,,,,10,2025-07-01,,,,10,,,,,,,
001Hr000028ZcXP,"Borough Of Ramsey, NJ",New Jersey,Municipality,Nick Martino,14693,,Tier 2,1.0,41.0573,-74.1416,fefa8dda-e477-4f55-a5c5-9ce2c9481078,,,,,,,,,2,2025-12-10,2,,,,,,,,,,
001Hr000028ZcYO,"Borough Of Somerdale, NJ",New Jersey,Municipality,Sydney Ireland,5536,,Tier 3,0.75,39.8476,-75.0213,c51ee520-473d-4c52-b194-25336deaa80b,,,,,,,,,4,2025-12-15,4,,,,,,,,,,
001Hr000028ZcYb,"Borough Of Wood Ridge, NJ",New Jersey,Municipality,Nick Martino,10089,,Tier 2,1.0,40.8499,-74.0857,8c90cbba-6d8b-4d43-925d-0bab2264c9f7,,,,,,,,,5,2025-12-15,4,,1,,,,,,,,
001Hr000028ZcYg,"Township Of Maurice River, NJ",New Jersey,Municipality,Sydney Ireland,5745,,Tier 3,0.75,39.2697,-74.9784,aa2e03f4-e57c-4a29-8576-351fe7b4a5ca,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcYn,"Borough Of Totowa, NJ",New Jersey,Municipality,Nick Martino,10917,,Tier 2,1.0,40.8951,-74.2242,83baa6d4-73d7-4155-920c-e9472549f100,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcYr,"Borough Of Glen Rock, NJ",New Jersey,Municipality,Nick Martino,12064,Open Opportunity,Tier 2,1.0,40.9623,-74.1262,87f5dd2f-6c09-40e7-9e3b-fff1f20a75c3,Open,Initial Interest,Top of Funnel,Ryan Minter,2/18/2026,2/3/2026,,,3,2026-03-18,2,1,,,,,,,,,
001Hr000028ZcZM,"Borough Of North Haledon, NJ",New Jersey,Municipality,Nick Martino,8866,,Tier 3,0.75,40.9537,-74.1809,e3d046eb-0cdd-4e7f-b807-26d819459a45,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcZP,"Borough Of Mount Arlington, NJ",New Jersey,Municipality,Mihir Shah,5905,,Tier 3,0.75,40.9278,-74.6346,e3824dbc-3353-468e-9fa2-6f4cb3cb3dc3,,,,,,,,,2,2026-02-04,2,,,,,,,,,,
001Hr000028ZcZT,"Borough Of Eatontown, NJ",New Jersey,Municipality,Mihir Shah,13593,,Tier 2,1.0,40.2907,-74.052,9ee493c2-ab50-4d79-a229-9f041cf459ef,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcZe,"Borough Of Washington, NJ",New Jersey,Municipality,Mihir Shah,7314,,Tier 3,0.75,40.7584,-74.9796,0a501d50-e3b8-48f5-b549-0783c004f920,,,,,,,,,3,2025-11-03,,,3,,,,,,,,
001Hr000028ZcZs,"Town Of Boonton, NJ",New Jersey,Municipality,Mihir Shah,8802,,Tier 3,0.75,40.9028,-74.4076,72fa3180-54e4-41f1-b4b5-d2b7f2459424,,,,,,,,,13,2026-02-05,,,9,,4,,,,,,
001Hr000028ZcZy,"City Of Margate, NJ",New Jersey,Municipality,Sydney Ireland,5247,,Tier 3,0.75,39.3279,-74.5035,e3bc07f3-5a1c-4c6a-b49b-0e12d61112e5,,,,,,,,,1,2025-10-03,,,1,,,,,,,,
001Hr000028ZcaI,"Hunterdon County, NJ",New Jersey,County,Mihir Shah,131708,,Tier S,2.0,40.567,-74.9209,3d43621f-06d4-467a-983a-5f3b563d1718,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zcai,"Borough Of Carteret, NJ",New Jersey,Municipality,Nick Martino,25152,,Tier 1,1.5,40.5864,-74.2262,defe84a7-4bdd-459e-aa6d-47eea02da1ad,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zcaj,"Township Of Willingboro, NJ",New Jersey,Municipality,Sydney Ireland,31822,,Tier 1,1.5,40.0289,-74.8808,a695ea02-d3fe-4aaa-8883-3a0ef9b8cb7d,,,,,,,,,1,2026-04-07,,1,,,,,,,,,
001Hr000028Zcat,"City Of Gloucester City, NJ",New Jersey,Municipality,Sydney Ireland,11441,,Tier 2,1.0,39.8928,-75.1204,25690513-75ba-4829-8168-ee64cff2ee54,,,,,,,,,9,2026-02-10,,,,,9,,,,,,
001Hr000028ZcbX,"Borough Of Manasquan, NJ",New Jersey,Municipality,Mihir Shah,5940,Nurture,Tier 3,0.75,40.122,-74.0487,0b5fd6ad-0a38-440e-8406-81e2618668a4,Closed Lost,,,Troy LeCaire,,1/5/2025,,,1,2026-02-19,1,,,,,,,,,,
001Hr000028Zcbh,"Town Of Guttenberg, NJ",New Jersey,Municipality,Nick Martino,11502,,Tier 2,1.0,40.7956,-74.0113,4f5eef02-cc1c-4dda-8c6f-ae891490dda4,,,,,,,,,10,2026-04-23,,1,,,9,,,,,,
001Hr000028ZccA,"Township Of Carneys Point, NJ",New Jersey,Municipality,Sydney Ireland,8748,,Tier 3,0.75,39.7064,-75.4701,1f92dffa-95a5-4cee-9461-9f5b04a4988f,,,,,,,,,2,2026-05-14,,2,,,,,,,,,
001Hr000028Zccy,"Borough Of Oceanport, NJ",New Jersey,Municipality,Mihir Shah,6134,,Tier 3,0.75,40.3106,-74.0231,21e55f01-0637-404b-a159-37ecb7427fc0,,,,,,,,,1,2025-06-04,,,1,,,,,,,,
001Hr000028Zcd4,"Township Of Saddle Brook, NJ",New Jersey,Municipality,Nick Martino,14359,Nurture,Tier 2,1.0,40.8904,-74.0986,67371261-0236-4fdb-be1e-cb2e8d6ea593,Closed Lost,,,Troy LeCaire,,1/5/2025,,,,,,,,,,,,,,,
001Hr000028ZcdD,"Township Of New Hanover, NJ",New Jersey,Municipality,Sydney Ireland,6509,,Tier 3,0.75,40.0268,-74.6166,38e102da-78f5-4f42-bd58-e0ac0e59beca,,,,,,,,,2,2026-04-08,1,1,,,,,,,,,
001Hr000028ZcdM,"Township Of Blairstown, NJ",New Jersey,Municipality,Mihir Shah,5736,,Tier 3,0.75,40.9833,-74.9939,830e2d94-7e8a-4242-8c49-8562d814049f,,,,,,,,,1,2025-06-02,,,1,,,,,,,,
001Hr000028ZcdV,"Township Of Bedminster, NJ",New Jersey,Municipality,Mihir Shah,8162,Nurture,Tier 3,0.75,40.6792,-74.6499,7ab42d41-38c1-402b-b014-4946c644c729,Closed Lost,,,Quinzel Perry,10/20/2025,9/30/2025,,,5,2025-10-22,,,5,,,,,,,,
001Hr000028Zce6,"Township Of Waterford, NJ",New Jersey,Municipality,Sydney Ireland,10400,,Tier 2,1.0,39.7648,-74.8909,b9954ab5-b327-48d6-8b0d-470e508c57fb,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZceF,"Township Of Chesterfield, NJ",New Jersey,Municipality,Sydney Ireland,9567,,Tier 3,0.75,40.1152,-74.6399,5c9f8dd9-d0d0-4830-9a89-21aec6c1356d,,,,,,,,,21,2026-04-29,,3,18,,,,,,,,
001Hr000028ZceL,"Township Of Eastampton, NJ",New Jersey,Municipality,Sydney Ireland,6251,,Tier 3,0.75,40.0055,-74.7649,cd514141-fbc6-4519-a647-e4f527a20770,,,,,,,,,6,2026-04-29,1,5,,,,,,,,,
001Hr000028Zced,"Township Of Logan, NJ",New Jersey,Municipality,Sydney Ireland,6087,,Tier 3,0.75,39.8008,-75.3412,fa4a4096-cc7d-4619-9186-3a5cffe69919,,,,,,,,,12,2026-05-19,8,4,,,,,,,,,
001Hr000028Zcex,"Borough Of Hightstown, NJ",New Jersey,Municipality,Mihir Shah,5871,,Tier 3,0.75,40.2689,-74.5237,0cce9d43-0cd3-43f7-a6ff-65923e353ab2,,,,,,,,,,,,,,,,,,,,,
001Hr000028Zcf4,"Borough Of Old Tappan, NJ",New Jersey,Municipality,Nick Martino,5836,,Tier 3,0.75,41.0141,-73.9814,34555e44-f9c5-4f21-b2be-8510bda93447,,,,,,,,,2,2026-03-27,1,1,,,,,,,,,
001Hr000028Zcf5,"Township Of Hainesport, NJ",New Jersey,Municipality,Sydney Ireland,6014,,Tier 3,0.75,39.9837,-74.8272,aa176772-bf24-4360-b520-de9efc3d5a49,,,,,,,,,7,2026-05-18,4,3,,,,,,,,,
001Hr000028ZcfS,"Borough Of Collingswood, NJ",New Jersey,Municipality,Sydney Ireland,14121,,Tier 2,1.0,39.9188,-75.0886,5a20ef76-39a1-4aad-a09c-a0714e6bfcb2,,,,,,,,,3,2026-05-19,,3,,,,,,,,,
001Hr000028ZcfV,"Township Of Frankford, NJ",New Jersey,Municipality,Mihir Shah,5362,,Tier 3,0.75,41.1509,-74.7648,3253f76e-f8de-48f0-bb37-f6b8e7dc95d4,,,,,,,,,,,,,,,,,,,,,
001Hr000028ZcfW,"Township Of Springfield, NJ",New Jersey,Municipality,Nick Martino,17178,Open Opportunity,Tier 2,1.0,40.702,-74.3201,d197fd28-22b6-4c98-8256-46e9ebe240d2,Open,Initial Interest,Top of Funnel,Ryan Minter,,2/3/2026,,,3,2026-02-20,3,,,,,,,,,,
001Hr000028Zcfc,"Township Of Mount Holly, NJ",New Jersey,Municipality,Sydney Ireland,9977,,Tier 3,0.75,39.9932,-74.7856,b4bc2d88-0f91-422b-8fab-07c1d2b28c9f,,,,,,,,,11,2026-05-19,5,6,,,,,,,,,
