Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Jenny Allison,Calls - Catherine Silvestri,Calls - Leila Assil,Calls - Nick Martino,Calls - Ryan Minter,Calls - Alicia Gopal,Calls - Joe del Rosario,Outreach ID
001Hr000028ZbxU,"City Of Montrose, CO",Colorado,Municipality,Catherine Silvestri,20648,Recent Competitor Purchase,Tier 2,1.0,38.4783,-107.8762,71848c73-1e58-4dd1-b350-34f69cd2623e,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,11,2026-01-29,1,,2,,8,,,884
001Hr000028ZbyK,"City Of Dacono, CO",Colorado,Municipality,Catherine Silvestri,6487,,Tier 3,0.75,40.0847,-104.9394,2fda804a-557e-461e-88dc-81ee6ef518b1,,,,,,,,,11,2025-09-25,11,,,,,,,1054
001Hr000028Zbyv,"Town Of Eagle, CO",Colorado,Municipality,Catherine Silvestri,7538,Open Opportunity,Tier 3,0.75,39.6542,-106.8266,651ed99d-bb5c-4a93-8153-2b266c97c758,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,10,2026-03-02,,4,3,,3,,,886
001Hr000028Zbz0,"City Of Durango, CO",Colorado,Municipality,Catherine Silvestri,19223,,Tier 2,1.0,37.274,-107.8792,be09f546-c781-4a6a-b06c-ae3e6ca291df,,,,,,,,,14,2025-11-25,14,,,,,,,887
001Hr000028Zbz5,"City Of Glenwood Springs, CO",Colorado,Municipality,Catherine Silvestri,10326,Open Opportunity,Tier 2,1.0,39.5505,-107.3248,8976660b-1332-424f-8afc-43be84078b84,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,6/10/2026,4/2/2026,,,9,2026-04-02,,2,7,,,,,888
001Hr000028ZbzA,"City Of Cortez, CO",Colorado,Municipality,Catherine Silvestri,8855,,Tier 3,0.75,37.3489,-108.5859,adc04826-c749-415f-a0dc-eaa380cdd55c,,,,,,,,,23,2025-11-12,22,,1,,,,,891
001Hr000028ZbzF,"City Of Craig, CO",Colorado,Municipality,Catherine Silvestri,8969,,Tier 3,0.75,40.5152,-107.5465,fb962074-8391-440e-934a-71efb2f5aa67,,,,,,,,,6,2026-02-02,2,,4,,,,,894
001Hr000028ZbzK,"City Of Sterling, CO",Colorado,Municipality,Catherine Silvestri,13739,,Tier 2,1.0,40.6255,-103.2077,3226ea46-7eb1-477a-83c3-99f0c890c561,,,,,,,,,10,2026-05-15,1,9,,,,,,889
001Hr000028ZbzU,"City Of Delta, CO",Colorado,Municipality,Catherine Silvestri,9224,,Tier 3,0.75,38.7422,-108.069,8350f95b-341f-40b3-bb01-4b9d0116446b,,,,,,,,,21,2026-04-23,19,2,,,,,,895
001Hr000028Zbzj,"City Of Wheat Ridge, CO",Colorado,Municipality,Catherine Silvestri,32722,,Tier 1,1.5,39.7661,-105.0772,1e4522d8-4017-42ea-82ca-35acf6afd0a4,,,,,,,,,4,2025-07-17,,,4,,,,,906
001Hr000028Zbzo,"City Of Greenwood Village, CO",Colorado,Municipality,Catherine Silvestri,15495,Nurture,Tier 2,1.0,39.6172,-104.9508,73b78e65-6963-4fd6-92ac-3728e4a3b252,Closed Lost,,,Troy LeCaire,,1/5/2025,,,14,2026-03-09,12,2,,,,,,908
001Hr000028Zc03,"City Of Northglenn, CO",Colorado,Municipality,Catherine Silvestri,37333,,Tier 1,1.5,39.8962,-104.9811,24a7f5f7-e7f0-47d8-b2d2-c44c86798038,,,,,,,,,9,2026-04-09,2,3,4,,,,,912
001Hr000028Zc0D,"Town Of Gypsum, CO",Colorado,Municipality,Catherine Silvestri,8529,Open Opportunity,Tier 3,0.75,39.6447,-106.9491,f47d02e7-1e8f-40b1-bf71-48f8c379cba5,Open,Initial Interest,Top of Funnel,Leila Assil,,3/3/2026,,,10,2026-05-04,7,3,,,,,,918
001Hr000028Zc0i,"City Of Cherry Hills Village, CO",Colorado,Municipality,Catherine Silvestri,6353,Nurture,Tier 3,0.75,39.6417,-104.9594,cc13916d-b067-4ed9-85c2-4a9983323cce,Closed Lost,,,Leila Assil,9/30/2024,1/5/2025,"$25,000",,2,2026-02-02,2,,,,,,,1051
001Hr000028ZcHA,"Town Of Avon, CO",Colorado,Municipality,Catherine Silvestri,6058,,Tier 3,0.75,39.6351,-106.5221,2167a128-8922-4c9b-8995-adf825ed1760,,,,,,,,,5,2025-10-13,5,,,,,,,2525
001Hr000028ZcJp,"City Of Edgewater, CO",Colorado,Municipality,Catherine Silvestri,4951,Nurture,Tier 3,0.75,39.753,-105.0641,5f9c25ef-f326-4976-b16d-627f209612a5,Closed Lost,,,Catherine Silvestri,3/16/2026,3/9/2026,,,30,2026-03-09,,1,29,,,,,1956
001Hr000028ZcKk,"City Of Salida, CO",Colorado,Municipality,Catherine Silvestri,5812,,Tier 3,0.75,38.5347,-105.9989,7f096088-d878-40bf-ad0b-86bcf8b2e824,,,,,,,,,10,2026-04-10,,4,6,,,,,1954
001Hr000028ZcN1,"City Of Brush, CO",Colorado,Municipality,Catherine Silvestri,5296,,Tier 3,0.75,40.2589,-103.6238,226b3f63-6e6c-4f68-88f2-c45ae68554da,,,,,,,,,7,2025-12-12,4,,3,,,,,2526
001Hr000028ZcNA,"Summit County, CO",Colorado,County,Catherine Silvestri,30882,Open Opportunity,Tier 1,1.5,39.5912,-106.064,53600333-2725-4aac-b2c3-4ee0ee0d242d,Open,Initial Interest,Top of Funnel,Leila Assil,,3/3/2026,,,51,2026-03-19,19,12,20,,,,,12026
001Hr000028ZcQB,"City Of Canon, CO",Colorado,Municipality,Catherine Silvestri,17363,,Tier 2,1.0,38.4494,-105.2253,0f1d12cb-7807-4b6b-9d23-178418291e4c,,,,,,,,,18,2026-04-23,,10,8,,,,,1953
001Hr000028ZcQL,"City Of Manitou Springs, CO",Colorado,Municipality,Catherine Silvestri,4832,,Tier 3,0.75,38.8576,-104.9128,ad834653-f86e-41b0-8b3a-75e4e713ff30,,,,,,,,,10,2026-04-22,4,6,,,,,,1955
001Hr000028ZcRt,"Town Of Breckenridge, CO",Colorado,Municipality,Catherine Silvestri,5024,,Tier 3,0.75,39.4817,-106.0384,92a6bd35-0959-4ebf-bb86-a9be98612b86,,,,,,,,,28,2026-04-20,12,12,4,,,,,2519
001Hr000028ZcWP,"Town Of Vail, CO",Colorado,Municipality,Catherine Silvestri,4735,Open Opportunity,Tier 3,0.75,39.6433,-106.3781,b49b8ba9-06c1-4d70-819f-eadce6ea5dec,Open,Initial Interest,Top of Funnel,Harrison Peacock,,6/3/2025,,,5,2025-10-10,5,,,,,,,2521
001Hr000028ZcZc,"City Of Gunnison, CO",Colorado,Municipality,Catherine Silvestri,6695,Open Opportunity,Tier 3,0.75,38.5458,-106.9253,f904e17c-6f06-4694-98d4-f5db0bd5b206,Open,Initial Interest,Top of Funnel,Catherine Silvestri,,4/30/2026,,Yes,30,2026-04-30,28,2,,,,,,2524
001Hr000028ZcZm,"Town Of Eaton, CO",Colorado,Municipality,Catherine Silvestri,5868,,Tier 3,0.75,40.5194,-104.7025,f6804495-48d7-466f-8a61-442a81c7b12e,,,,,,,,,11,2025-10-14,11,,,,,,,2520
001Hr000028ZcZr,"Town Of Estes Park, CO",Colorado,Municipality,Catherine Silvestri,5880,,Tier 3,0.75,40.3772,-105.5217,533b8803-4aa7-4eaa-a16e-e7e363fead55,,,,,,,,,29,2026-04-22,16,13,,,,,,2523
001Hr000028ZcZw,"Town Of Carbondale, CO",Colorado,Municipality,Catherine Silvestri,6491,Open Opportunity,Tier 3,0.75,39.4022,-107.2112,bb5bcac5-6a0f-473c-959d-54041ce0e1a1,Open,Meeting Booked,Top of Funnel,Catherine Silvestri,6/15/2026,5/5/2026,,,3,2026-04-08,2,1,,,,,,2522
001Hr000028Zcdc,"County of La Plata, CO",Colorado,County,Catherine Silvestri,56250,,Tier S,2.0,37.2126,-107.7636,0f225190-50f8-4688-b081-897e83112cf7,,,,,,,,,34,2026-05-18,,27,7,,,,,12027
001Hr000028ZclI,"Town Of Castle Rock, CO",Colorado,Municipality,Catherine Silvestri,76353,Open Opportunity,Tier S,2.0,39.3722,-104.8561,7ba762d2-772c-47a3-acda-9f5f38c72802,Open,Initial Interest,Top of Funnel,Alicia Gopal,3/10/2026,1/7/2026,,,17,2026-02-18,15,,,,,2,,11472
001Hr000028Zd4J,"County of Garfield, CO",Colorado,County,Catherine Silvestri,62707,Nurture,Tier S,2.0,39.6585,-107.7636,2d2e9316-e20c-42c8-ae9e-22ff97884d12,Closed Lost,,,Leila Assil,6/13/2025,5/14/2025,"$60,000",,6,2026-05-04,,1,5,,,,,12022
001Hr000028ZdGo,"City Of Loveland, CO",Colorado,Municipality,Catherine Silvestri,77194,,Tier S,2.0,40.3955,-105.0746,b51a0cd2-1bc3-4362-a0b9-6dd3a6f9f9f4,,,,,,,,,9,2025-09-23,9,,,,,,,11470
001Hr000028ZdHS,"Fremont County, CO",Colorado,County,Catherine Silvestri,50318,Open Opportunity,Tier S,2.0,38.5307,-105.5005,d0bb9672-f741-4572-af13-a988eca6b4d3,Open,Initial Interest,Top of Funnel,Leila Assil,,6/23/2025,,,17,2025-11-25,4,,13,,,,,12031
001Hr000028ZdSR,"Broomfield County, CO",Colorado,County,Catherine Silvestri,,,Tier 3,0.75,39.9205,-105.0867,c2bed48f-7a35-4e0d-b5be-3c5343f50a6d,,,,,,,,,8,2025-07-03,,,8,,,,,12030
001Hr000028ZdU8,"Mesa County, CO",Colorado,County,Catherine Silvestri,161260,,Tier S,2.0,38.9585,-108.6176,e665357b-a232-42ab-adcf-8a6557635f7d,,,,,,,,,18,2026-01-20,,,10,,8,,,12144
001Hr000028ZdWH,"City of Longmont, CO",Colorado,Municipality,Catherine Silvestri,98630,,Tier S,2.0,40.1672,-105.1019,20fe5e00-844f-47ba-a73a-f6dabbf77c21,,,,,,,,,18,2026-01-14,8,,,,,10,,11469
001Hr000028Zdc2,"City Of Lone Tree, CO",Colorado,Municipality,Catherine Silvestri,14206,,Tier 2,1.0,39.5363,-104.8855,9d7dc4f0-ce30-496a-af71-746eeadf2a21,,,,,,,,,19,2026-04-07,18,1,,,,,,680
001Hr000028ZddX,"Town Of Parker, CO",Colorado,Municipality,Catherine Silvestri,60313,Open Opportunity,Tier S,2.0,39.5186,-104.7614,ed7a6831-d457-4e2f-bad3-f2a3d85e7767,Open,Demo,Mid Funnel,Jenny Allison,10/22/2025,10/3/2025,,,14,2026-01-09,14,,,,,,,11512
001Hr000028Zdes,"City of Broomfield, CO",Colorado,Municipality,Catherine Silvestri,76860,Nurture,Tier S,2.0,39.9205,-105.0867,c2bed48f-7a35-4e0d-b5be-3c5343f50a6d,Closed Lost,,,Leila Assil,1/22/2025,1/5/2025,,,,,,,,,,,,11471
001Hr000028Zdg9,"Montrose County, CO",Colorado,County,Catherine Silvestri,44806,,Tier 1,1.5,38.4683,-108.1429,f6069ed1-adb0-4268-87ab-5ff58b54642c,,,,,,,,,19,2025-12-12,19,,,,,,,12032
001Hr000028ZdlR,"Montezuma County, CO",Colorado,County,Catherine Silvestri,26531,,Tier 1,1.5,37.3258,-108.6176,3ccba849-7309-4af5-8f6b-10559d3ce6bb,,,,,,,,,3,2026-04-03,,1,2,,,,,12021
001Hr000028Zdpq,"Pueblo County, CO",Colorado,County,Catherine Silvestri,169422,,Tier S,2.0,38.2529,-104.4723,f571fa65-b7a9-4cc7-9dec-8143e0742440,,,,,,,,,28,2026-03-19,,2,24,,2,,,12148
001Hr000028Zdsg,"City Of Golden, CO",Colorado,Municipality,Catherine Silvestri,19871,,Tier 2,1.0,39.7555,-105.2211,a6d722d9-d420-4cda-ae58-7be74f7ebf4d,,,,,,,,,7,2026-04-07,,6,1,,,,,683
001Hr000028ZdvZ,"Town Of Severance, CO",Colorado,Municipality,Catherine Silvestri,9605,,Tier 3,0.75,40.5241,-104.8511,02a084d6-0d56-495f-9955-6379a454ed31,,,,,,,,,37,2026-05-18,16,17,,,,,4,722
001Hr000028ZiwO,"Town of Crested Butte, CO",Colorado,Municipality,Catherine Silvestri,1658,Nurture,Tier 3,0.75,38.8697,-106.9878,a371fae9-e8b4-4665-9569-e2f7fc2a3bd7,Closed Lost,,,Troy LeCaire,4/11/2024,1/5/2025,"$15,000",,4,2026-04-06,,4,,,,,,12610
001Hr000028ZjNP,"Town of Mt. Crested Butte, CO",Colorado,Municipality,Catherine Silvestri,961,1+ Module Live,Tier 3,0.75,38.9122,-106.9624,c3507abe-e2ad-43c2-82c9-0a3a70cca1b6,Closed Won,,,Asher Rosenfeld,,1/5/2025,"$15,000",,,,,,,,,,,12622
001cv00000AuWNn,"Town Of Elizabeth, CO",Colorado,Municipality,Catherine Silvestri,2004,Nurture,Tier 3,0.75,39.3603,-104.5969,8a1ebadf-d172-458a-b317-ce46a4be685a,Closed Lost,,,Jenny Allison,9/24/2025,9/15/2025,,,4,2025-09-15,4,,,,,,,12944
001cv00000AuWQC,"Town Of Limon, CO",Colorado,Municipality,Catherine Silvestri,2041,,Tier 3,0.75,39.2639,-103.6922,fade1b15-61ee-437e-9a98-1361544a1abc,,,,,,,,,4,2025-09-29,4,,,,,,,12977
001cv00000AuWbT,"Town Of Granby, CO",Colorado,Municipality,Catherine Silvestri,2132,,Tier 3,0.75,40.0861,-105.9395,b2d2ea79-7742-4918-8c69-f26024717dc1,,,,,,,,,6,2025-07-31,,,6,,,,,13075
001cv00000AuWqo,"Town Of Lyons, CO",Colorado,Municipality,Catherine Silvestri,2208,,Tier 3,0.75,40.2247,-105.2714,2922a7a7-ada8-4b21-84ea-80eb05542a9b,,,,,,,,,18,2025-11-19,18,,,,,,,13678
001cv00000AuX7k,"Town Of Rangely, CO",Colorado,Municipality,Catherine Silvestri,2296,Nurture,Tier 3,0.75,40.0875,-108.8048,4065ab7e-44ce-4631-8727-7a4f0bbd0ab6,Closed Lost,,,Jenny Allison,9/22/2025,9/15/2025,,,2,2025-09-15,2,,,,,,,13767
001cv00000AuX8U,"City Of Wray, CO",Colorado,Municipality,Catherine Silvestri,2308,,Tier 3,0.75,40.0758,-102.2232,8908cea4-acd8-4162-8b0b-e52c7d4b8b8e,,,,,,,,,9,2025-10-10,9,,,,,,,13820
001cv00000AuX9P,"City Of Holyoke, CO",Colorado,Municipality,Catherine Silvestri,2332,,Tier 3,0.75,40.5844,-102.3024,274d9333-3328-4d3f-994f-8d85fa7c119b,,,,,,,,,6,2025-11-06,6,,,,,,,13910
001cv00000AuX9e,"County Of Sedgwick, CO",Colorado,County,Catherine Silvestri,2336,,Tier 3,0.75,40.9364,-102.5255,0973374f-07e5-4897-95ec-b45ed89c4c49,,,,,,,,,8,2025-08-22,,,8,,,,,13905
001cv00000AuX9f,"Town Of Meeker, CO",Colorado,Municipality,Catherine Silvestri,2336,,Tier 3,0.75,40.0375,-107.9131,7197a33c-969a-4367-832d-5f47c1b1e67a,,,,,,,,,3,2025-09-24,3,,,,,,,13925
001cv00000AuX9u,"Town Of La Salle, CO",Colorado,Municipality,Catherine Silvestri,2342,,Tier 3,0.75,40.3489,-104.7019,334e6e47-2ab8-4af1-b7d6-8ca54781c0d1,,,,,,,,,3,2025-08-08,,,3,,,,,13856
001cv00000AuXAT,"Town Of Cedaredge, CO",Colorado,Municipality,Catherine Silvestri,2356,Nurture,Tier 3,0.75,38.9016,-107.9265,d5146443-36e7-46ac-bdad-71981ea3ff35,Closed Lost,,,Jenny Allison,10/14/2025,10/9/2025,,,16,2025-10-21,5,,11,,,,,13961
001cv00000AuXAj,"Town Of Ault, CO",Colorado,Municipality,Catherine Silvestri,2365,,Tier 3,0.75,40.5825,-104.7319,3ef3595d-6f86-48d3-9784-b7b1495c6e3b,,,,,,,,,4,2025-09-18,4,,,,,,,13986
001cv00000AuXB1,"City Of Las Animas, CO",Colorado,Municipality,Catherine Silvestri,2373,Open Opportunity,Tier 3,0.75,38.0667,-103.2227,e88c153d-42d3-45ef-8419-91c03d740a0d,Open,Meeting Booked,Top of Funnel,Leila Assil,8/13/2025,8/4/2025,,,8,2026-03-11,,3,5,,,,,13977
001cv00000AuXVW,"Town Of Palisade, CO",Colorado,Municipality,Catherine Silvestri,2584,Recent Competitor Purchase,Tier 3,0.75,39.1103,-108.3509,fb9a87ff-999b-4657-8c09-caf56fcc18ca,Closed Lost,,,Jenny Allison,9/19/2025,9/12/2025,"$19,000",,2,2025-10-01,2,,,,,,,14255
001cv00000AuXVs,"Town Of Telluride, CO",Colorado,Municipality,Catherine Silvestri,2595,,Tier 3,0.75,37.9375,-107.8123,202582da-ab04-4954-b417-9d7f0b185d36,,,,,,,,,16,2026-03-31,11,5,,,,,,14405
001cv00000AuXlp,"Town Of Bayfield, CO",Colorado,Municipality,Catherine Silvestri,2887,,Tier 3,0.75,37.2256,-107.5981,1e46083f-285d-48c1-a190-860241db130c,,,,,,,,,14,2025-09-19,14,,,,,,,14830
001cv00000AuXmB,"Town Of Frisco, CO",Colorado,Municipality,Catherine Silvestri,2903,,Tier 3,0.75,39.5744,-106.0975,4b122ad8-e968-486a-af4c-6fe4ad04848b,,,,,,,,,8,2025-09-25,8,,,,,,,14721
001cv00000AuXn7,"Town Of Platteville, CO",Colorado,Municipality,Catherine Silvestri,2937,Nurture,Tier 3,0.75,40.215,-104.8227,5560429d-08db-4289-9cb7-2064323e3a03,Closed Lost,,,Jenny Allison,9/19/2025,9/12/2025,,,1,2025-09-12,1,,,,,,,14874
001cv00000AuYBN,"Town Of Snowmass Village, CO",Colorado,Municipality,Catherine Silvestri,3093,,Tier 3,0.75,39.213,-106.9378,ba743215-8112-4699-94e5-fa3751a70f26,,,,,,,,,7,2025-10-09,7,,,,,,,15152
001cv00000AuYBX,"City Of Burlington, CO",Colorado,Municipality,Catherine Silvestri,3098,,Tier 3,0.75,39.3061,-102.2694,b65b17e5-7bdc-40c8-96aa-7046f7d62d52,,,,,,,,,2,2025-09-16,2,,,,,,,15200
