Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Leila Assil,Calls - Jenny Allison,Calls - Hugh Bargeron,Calls - Emily Murnane,Outreach ID
001Hr000028ZcWS,"City Of Princeton, KY",Kentucky,Municipality,Hugh Bargeron,6204,,Tier 3,0.75,37.1092,-87.882,e76f840e-3146-4392-8852-6985916d4e7d,,,,,,,,,9,2026-05-06,3,6,,,,,3776
001Hr000028ZcX5,"City Of Bellevue, KY",Kentucky,Municipality,Hugh Bargeron,5524,,Tier 3,0.75,39.1064,-84.4788,01864e36-14d8-4268-867e-912b30013959,,,,,,,,,11,2026-05-08,7,4,,,,,3675
001Hr000028ZcY7,"City Of Mayfield, KY",Kentucky,Municipality,Hugh Bargeron,10017,All Modules Live,Tier 2,1.0,36.7417,-88.6367,7b6df6fe-435a-4966-be86-7a206f0711b8,Closed Won,,,Ryan Minter,8/14/2025,6/26/2025,"$12,000",,10,2025-08-13,10,,,,,,4570
001Hr000028ZcZa,"City Of Paris, KY",Kentucky,Municipality,Hugh Bargeron,10209,,Tier 2,1.0,38.2098,-84.253,c7abb691-cda0-42ed-ba51-7273425e7438,,,,,,,,,10,2026-05-08,1,9,,,,,4597
001Hr000028Zcb3,"Meade County, KY",Kentucky,County,Hugh Bargeron,,,Tier 3,0.75,37.9601,-86.2159,ca105404-1e6b-4d17-ad6b-5057a34f1ec8,,,,,,,,,,,,,,,,,12483
001Hr000028Zcc6,"City Of Harrodsburg, KY",Kentucky,Municipality,Hugh Bargeron,9112,,Tier 3,0.75,37.7623,-84.8433,5586f21b-01a8-42d0-950d-4011271d073c,,,,,,,,,1,2025-11-14,1,,,,,,4389
001Hr000028ZccO,"City Of Wilmore, KY",Kentucky,Municipality,Hugh Bargeron,6027,,Tier 3,0.75,37.861,-84.6625,05a0861b-2322-40a8-aa32-4abe1b6a78eb,,,,,,,,,5,2026-01-15,3,2,,,,,3841
001Hr000028ZccT,"City Of Mount Sterling, KY",Kentucky,Municipality,Hugh Bargeron,7545,Nurture,Tier 3,0.75,38.0565,-83.9433,ed4fc15d-8b84-4ab0-8776-2dfcade63961,Closed Lost,,,Sydney Ireland,2/19/2026,2/13/2026,,,18,2026-05-11,11,6,,1,,,4101
001Hr000028Zccu,"City Of Covington, KY",Kentucky,Municipality,Hugh Bargeron,40837,Open Opportunity,Tier 1,1.5,39.0837,-84.5086,53fdad0a-227a-4d85-bfa4-17ab38a2f34f,Open,Meeting Booked,Top of Funnel,Sydney Ireland,4/20/2026,4/17/2026,,,18,2026-04-17,12,6,,,,,6048
001Hr000028Zcfe,"City Of Ashland, KY",Kentucky,Municipality,Hugh Bargeron,21476,Nurture,Tier 2,1.0,38.479,-82.6376,695622e2-cafc-4738-b8d3-a45154145712,Closed Lost,,,Quinzel Perry,2/18/2025,2/13/2025,,,8,2026-04-09,6,2,,,,,5504
001Hr000028Zciy,"City Of Monticello, KY",Kentucky,Municipality,Hugh Bargeron,5694,Open Opportunity,Tier 3,0.75,36.8298,-84.8491,c80ea7a3-2a89-4114-ac01-ab281ca224eb,Open,Demo,Mid Funnel,Sydney Ireland,3/18/2026,6/30/2025,,,24,2026-05-13,8,5,,11,,,3751
001Hr000028Zcjc,"City Of Vine Grove, KY",Kentucky,Municipality,Hugh Bargeron,6700,Nurture,Tier 3,0.75,37.8102,-85.9812,b9e23a72-c558-47ad-9579-12010f4c560a,Closed Lost,,,Sydney Ireland,1/30/2026,1/16/2026,,,11,2026-01-30,3,7,,1,,,3819
001Hr000028Zcji,"City Of Corbin, KY",Kentucky,Municipality,Hugh Bargeron,7768,,Tier 3,0.75,36.9487,-84.0969,55732fca-e5c2-4b5f-be56-5c21c3393175,,,,,,,,,5,2026-02-24,4,1,,,,,4288
001Hr000028ZckP,"City Of Oak Grove, KY",Kentucky,Municipality,Hugh Bargeron,7793,Open Opportunity,Tier 3,0.75,36.665,-87.4428,24de8a4c-e8de-4a6c-9fda-d1bee5db789a,Open,Initial Interest,Top of Funnel,Ryan Minter,7/23/2025,7/1/2025,,,12,2026-02-12,8,4,,,,,4136
001Hr000028ZckR,"City Of London, KY",Kentucky,Municipality,Hugh Bargeron,7413,Open Opportunity,Tier 3,0.75,37.129,-84.0833,5557935b-c77b-43ac-998a-fc47404ce758,Open,Meeting Booked,Top of Funnel,Sydney Ireland,3/9/2026,2/23/2026,,,12,2025-08-19,12,,,,,,4095
001Hr000028Zcki,"City Of Elsmere, KY",Kentucky,Municipality,Hugh Bargeron,9165,Open Opportunity,Tier 3,0.75,39.0126,-84.6047,1e94f027-f99a-450e-a80e-05ca0490bd78,Open,Meeting Booked,Top of Funnel,Jason Ginsberg,3/26/2026,3/19/2026,,,12,2026-04-08,9,2,,1,,,4417
001Hr000028Zclw,"City Of Hillview, KY",Kentucky,Municipality,Hugh Bargeron,8669,Nurture,Tier 3,0.75,38.0788,-85.6787,b9082ca4-bc4f-4764-8a79-4c92eacab39c,Closed Lost,,,Jason Ginsberg,5/5/2026,4/30/2026,,,11,2026-05-11,7,4,,,,,4336
001Hr000028Zcp6,"City Of Morehead, KY",Kentucky,Municipality,Hugh Bargeron,7013,,Tier 3,0.75,38.1769,-83.4357,d1f30753-b8ac-4fb8-b8b4-e7f206a4d7c3,,,,,,,,,7,2026-02-19,2,5,,,,,4127
001Hr000028Zcv5,"City Of Lyndon, KY",Kentucky,Municipality,Hugh Bargeron,10928,,Tier 2,1.0,38.2567,-85.6016,db129933-94ba-42dc-a89f-1a573b157258,,,,,,,,,4,2026-01-21,,4,,,,,4698
001Hr000028ZcwC,"City Of Franklin, KY",Kentucky,Municipality,Hugh Bargeron,10133,Open Opportunity,Tier 2,1.0,36.7188,-86.5786,c4f47ef0-d897-41d3-8224-2ce61bc59da9,Open,Initial Interest,Top of Funnel,Ryan Minter,,6/26/2025,,,44,2026-05-11,35,9,,,,,4548
001Hr000028Zcxf,"City Of Campbellsville, KY",Kentucky,Municipality,Hugh Bargeron,11459,Open Opportunity,Tier 2,1.0,37.3434,-85.3419,75daa1a1-5308-42ca-a86b-6f255ee40953,Open,Meeting Booked,Top of Funnel,Sydney Ireland,3/16/2026,1/5/2025,,,27,2026-03-25,12,15,,,,,4743
001Hr000028ZcyA,"City Of Nicholasville, KY",Kentucky,Municipality,Hugh Bargeron,31490,,Tier 1,1.5,37.8794,-84.5734,561d4244-20bc-4a06-8800-b894f1262784,,,,,,,,,22,2026-05-11,15,7,,,,,5870
001Hr000028Zcza,"City Of Somerset, KY",Kentucky,Municipality,Hugh Bargeron,11954,,Tier 2,1.0,37.092,-84.6041,97e60f34-368d-4583-a155-8b57625e4c5f,,,,,,,,,11,2025-12-08,11,,,,,,4783
001Hr000028Zczf,"City Of Lawrenceburg, KY",Kentucky,Municipality,Hugh Bargeron,11795,,Tier 2,1.0,38.0372,-84.8963,14121b4a-5bf1-44b6-98bd-202726047e57,,,,,,,,,4,2026-02-25,3,1,,,,,4779
001Hr000028Zd0k,"City Of Radcliff, KY",Kentucky,Municipality,Hugh Bargeron,22942,Open Opportunity,Tier 2,1.0,37.8368,-85.9476,a85c20e4-721d-4865-8602-352f4a515b6b,Open,Meeting Booked,Top of Funnel,Ryan Minter,7/10/2025,7/1/2025,,,12,2026-03-04,10,2,,,,,5551
001Hr000028Zd0r,"City Of Murray, KY",Kentucky,Municipality,Hugh Bargeron,17311,,Tier 2,1.0,36.6103,-88.3148,846942c3-0693-42fe-a6e1-dc2171ebe222,,,,,,,,,15,2026-02-26,11,4,,,,,5262
001Hr000028Zd11,"City Of Independence, KY",Kentucky,Municipality,Hugh Bargeron,28920,,Tier 1,1.5,38.9431,-84.5441,4005ebdd-6039-4ebf-8f15-ad0cd87782de,,,,,,,,,15,2026-05-08,11,4,,,,,5787
001Hr000028Zd18,"City Of Newport, KY",Kentucky,Municipality,Hugh Bargeron,14113,,Tier 2,1.0,39.0914,-84.4958,23085e1c-ee56-4d12-9714-735cd2d2df19,,,,,,,,,19,2026-05-08,15,4,,,,,5040
001Hr000028Zd1T,"City Of Madisonville, KY",Kentucky,Municipality,Hugh Bargeron,19420,Open Opportunity,Tier 2,1.0,37.3281,-87.4989,e76b537a-878e-46d7-b23f-d533eb849bed,Open,Sales Qualified,Mid Funnel,Sydney Ireland,5/4/2026,5/1/2026,,Yes,11,2026-05-01,6,5,,,,,5397
001Hr000028Zd2X,"City Of Elizabethtown, KY",Kentucky,Municipality,Hugh Bargeron,31931,,Tier 1,1.5,37.7043,-85.8712,534bc990-4ae5-4da8-8310-57d5f414ef03,,,,,,,,,22,2026-02-13,16,6,,,,,5869
001Hr000028Zd2a,"City Of Bardstown, KY",Kentucky,Municipality,Hugh Bargeron,13621,,Tier 2,1.0,37.8105,-85.4664,d78f4756-5b92-495d-902c-ebde2e3009a4,,,,,,,,,6,2026-05-08,3,3,,,,,4958
001Hr000028Zd2i,"City Of Henderson, KY",Kentucky,Municipality,Hugh Bargeron,27716,,Tier 1,1.5,37.8395,-87.5885,2cabe8e0-b9ff-45d9-9996-e2c9407782b7,,,,,,,,,9,2026-05-14,1,8,,,,,5783
001Hr000028Zd3i,"City Of Winchester, KY",Kentucky,Municipality,Hugh Bargeron,19071,,Tier 2,1.0,37.9901,-84.1796,087c3250-11b1-43bc-921f-34057ab94dea,,,,,,,,,9,2026-02-09,8,1,,,,,5363
001Hr000028Zd43,"City Of Erlanger, KY",Kentucky,Municipality,Hugh Bargeron,19710,Open Opportunity,Tier 2,1.0,39.0167,-84.6008,4eeaeec8-ef9a-4ba8-bb3d-683232d435af,Open,Initial Interest,Top of Funnel,Sydney Ireland,2/2/2026,2/2/2026,,,11,2026-02-02,10,1,,,,,5393
001Hr000028Zd5s,"City Of Glasgow, KY",Kentucky,Municipality,Hugh Bargeron,15087,Open Opportunity,Tier 2,1.0,36.9963,-85.9128,6e4ec65f-bf68-4180-98b8-beff90e25ab4,Open,Demo,Mid Funnel,Ryan Minter,9/11/2025,8/26/2025,,,6,2025-08-26,6,,,,,,5091
001Hr000028Zd67,"City Of Berea, KY",Kentucky,Municipality,Hugh Bargeron,15924,Open Opportunity,Tier 2,1.0,37.5687,-84.2963,e9564a8e-0ce5-4716-beb1-153e812473be,Open,Initial Interest,Top of Funnel,Ryan Minter,,8/7/2025,,,7,2026-01-16,5,2,,,,,5141
001Hr000028Zd6S,"City Of Danville, KY",Kentucky,Municipality,Hugh Bargeron,17303,Nurture,Tier 2,1.0,37.6459,-84.7725,9afc3f45-0be7-451b-aab5-4adc6c6d37a8,Closed Lost,,,Liam Shaw,4/15/2024,1/5/2025,"$19,999",,32,2026-05-01,21,11,,,,,5259
001Hr000028Zd7G,"City Of Fort Thomas, KY",Kentucky,Municipality,Hugh Bargeron,17264,Nurture,Tier 2,1.0,39.0751,-84.4472,a9a5cc0a-077f-4367-b78d-014c5cf3ecb4,Open,Initial Interest,Top of Funnel,Ryan Minter,,8/11/2025,,Yes,13,2026-01-20,4,8,,1,,,5263
001Hr000028Zd7M,"City Of Paducah, KY",Kentucky,Municipality,Hugh Bargeron,26278,Open Opportunity,Tier 1,1.5,37.0842,-88.598,ab8bf7f2-a6c7-4425-a720-12bf0035d917,Open,Initial Interest,Top of Funnel,Ryan Minter,,8/12/2025,,,34,2026-04-14,25,9,,,,,5705
001Hr000028Zd8J,"City Of Mount Washington, KY",Kentucky,Municipality,Hugh Bargeron,18317,Open Opportunity,Tier 2,1.0,38.0482,-85.5417,d689c688-6ff8-4b27-84e1-8b8116c4665f,Open,Initial Interest,Top of Funnel,Leila Assil,10/30/2024,1/5/2025,,,23,2026-05-08,20,3,,,,,5287
001Hr000028ZdEM,"City Of Jeffersontown, KY",Kentucky,Municipality,Hugh Bargeron,28671,Open Opportunity,Tier 1,1.5,38.1942,-85.5644,8917b954-1f34-4e0f-a71f-ae419f04ac79,Open,Initial Interest,Top of Funnel,Ryan Minter,9/26/2025,9/3/2025,,,26,2026-03-10,19,7,,,,,5804
001Hr000028ZdES,"City Of Hopkinsville, KY",Kentucky,Municipality,Hugh Bargeron,30683,Cold,Tier 1,1.5,36.8655,-87.4889,8c12ccf1-6efb-4bb6-997d-055a345353ff,Closed Lost,,,Sydney Ireland,1/23/2026,1/22/2026,,,5,2025-11-10,5,,,,,,5862
001Hr000028ZdGC,"City Of Frankfort, KY",Kentucky,Municipality,Hugh Bargeron,28595,Nurture,Tier 1,1.5,38.195,-84.8785,ba81532b-b3e3-44c3-899d-e88bd6a6b9e0,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,4,2026-05-13,1,3,,,,,5792
001Hr000028ZdGS,"City Of Florence, KY",Kentucky,Municipality,Hugh Bargeron,32132,,Tier 1,1.5,38.999,-84.6266,60c3ef95-ba44-4d29-89c7-3d93cacaccf0,,,,,,,,,8,2026-04-09,1,7,,,,,5890
001Hr000028ZdHa,"City Of Georgetown, KY",Kentucky,Municipality,Hugh Bargeron,37730,Open Opportunity,Tier 1,1.5,38.2098,-84.5588,8b3fb27a-24ae-42c2-8226-ad9e4a8f63cb,Open,Sales Qualified,Mid Funnel,Sydney Ireland,5/19/2026,5/11/2026,,Yes,7,2026-05-18,,7,,,,,5978
001Hr000028ZdIm,"City Of Richmond, KY",Kentucky,Municipality,Hugh Bargeron,35756,Open Opportunity,Tier 1,1.5,37.7482,-84.2958,9e0edbad-c328-4f6d-b4af-cc52daaf1231,Open,Initial Interest,Top of Funnel,Sydney Ireland,3/2/2026,1/30/2026,,Yes,27,2026-04-24,11,16,,,,,5953
001Hr000028ZdOU,"Jessamine County, KY",Kentucky,County,Hugh Bargeron,52991,Open Opportunity,Tier S,2.0,37.8956,-84.5641,a58cd463-483a-4f07-b7fd-9ac99a1db494,Open,Initial Interest,Top of Funnel,Ryan Minter,,1/5/2026,,,16,2026-04-02,10,6,,,,,12486
001Hr000028ZdQK,"Kenton County, KY",Kentucky,County,Hugh Bargeron,174862,Nurture,Tier S,2.0,38.9864,-84.5641,82efb9f5-a47f-4837-89fd-b4e6fd6eb49d,Closed Lost,,,Emily Murnane,11/6/2025,10/22/2025,,,19,2026-04-30,,16,,,,3,12492
001Hr000028ZdZG,"Campbell County, KY",Kentucky,County,Hugh Bargeron,94008,,Tier S,2.0,38.8952,-84.3963,5f441d50-0188-45ce-ad79-b7576dc91e56,,,,,,,,,16,2026-02-03,4,12,,,,,12009
001Hr000028ZdZM,"Boone County, KY",Kentucky,County,Hugh Bargeron,140496,All Modules Live,Tier S,2.0,38.9941,-84.7316,53c46bf4-7fde-4269-a676-d94540bcb9de,,,,,,,,,,,,,,,,,12494
001Hr000028ZddY,"City Of Owensboro, KY",Kentucky,Municipality,Hugh Bargeron,60011,,Tier S,2.0,37.7674,-87.1129,d2adf0a7-31b7-4551-b6dd-1934180d787e,,,,,,,,,16,2026-04-02,6,10,,,,,11542
001Hr000028ZdlI,"Bullitt County, KY",Kentucky,County,Hugh Bargeron,85802,,Tier S,2.0,37.9842,-85.6846,79835038-05c7-4834-bf0c-789737cf8775,,,,,,,,,19,2026-02-24,,2,17,,,,12481
001Hr000028Zdsq,"Franklin County, KY",Kentucky,County,Hugh Bargeron,52442,,Tier S,2.0,38.2481,-84.8985,4a8ae285-e54c-4765-8e78-ace562859156,,,,,,,,,15,2026-01-30,,8,7,,,,12485
001Hr000028ZduW,"Shelby County, KY",Kentucky,County,Hugh Bargeron,,,Tier 3,0.75,38.1778,-85.2308,513a96e6-142a-4ea0-8892-e6ce6d714c8a,,,,,,,,,9,2026-02-19,5,4,,,,,12488
001Hr000028Zduq,"Hardin County, KY",Kentucky,County,Hugh Bargeron,112826,,Tier S,2.0,37.6566,-86.0122,d643f193-fed5-4506-bb5a-54f4323adc95,,,,,,,,,5,2026-04-30,,5,,,,,12493
001Hr000028Zduv,"Warren County, KY",Kentucky,County,Hugh Bargeron,,,Tier 3,0.75,36.9886,-86.4997,4ea25c2a-0265-437f-95f7-be8968d86887,,,,,,,,,6,2026-04-07,,1,5,,,,12490
001Hr000028Zj4y,"County Of Greenup, KY",Kentucky,County,Hugh Bargeron,35649,Open Opportunity,Tier 1,1.5,38.5731,-82.8302,026dd746-4831-44b6-9198-e3cde33e63b2,Open,Meeting Booked,Top of Funnel,Sydney Ireland,1/30/2026,1/15/2026,,Yes,7,2026-01-28,,7,,,,,12615
001cv00000AuWXO,"City Of Beattyville, KY",Kentucky,Municipality,Hugh Bargeron,2054,,Tier 3,0.75,37.5718,-83.7069,7b99f726-92ca-4138-a411-6a9666e8f8cd,,,,,,,,,1,2026-03-05,,1,,,,,13283
001cv00000AuWYA,"City Of Elkton, KY",Kentucky,Municipality,Hugh Bargeron,2068,,Tier 3,0.75,36.81,-87.1542,94758b52-f755-4a90-9c22-16d49cc705ce,,,,,,,,,6,2026-03-20,2,4,,,,,13236
001cv00000AuWai,"City Of Dry Ridge, KY",Kentucky,Municipality,Hugh Bargeron,2116,,Tier 3,0.75,38.682,-84.5899,3049f387-7849-4708-a1a9-382a4b266c7a,,,,,,,,,2,2026-03-05,1,1,,,,,13083
001cv00000AuWaz,"City Of Carlisle, KY",Kentucky,Municipality,Hugh Bargeron,2121,,Tier 3,0.75,38.312,-84.0274,2eebea2a-880e-4ae4-b295-15d06d2f0dc8,,,,,,,,,3,2025-06-30,3,,,,,,13049
001cv00000AuWqJ,"City Of Greensburg, KY",Kentucky,Municipality,Hugh Bargeron,2195,,Tier 3,0.75,37.2609,-85.4989,cad3ea71-518f-409f-abb0-c0da45e97667,,,,,,,,,1,2026-03-04,,1,,,,,13504
001cv00000AuWqO,"City Of Falmouth, KY",Kentucky,Municipality,Hugh Bargeron,2198,,Tier 3,0.75,38.6767,-84.3302,b473747d-e74c-44ba-93a6-d26e26ac17d5,,,,,,,,,5,2025-06-30,5,,,,,,13452
001cv00000AuWqq,"City Of Jackson, KY",Kentucky,Municipality,Hugh Bargeron,2208,Open Opportunity,Tier 3,0.75,37.5531,-83.3835,d5cdae44-f66f-4d12-90a4-fa44a98cb305,Closed Lost,,,Ryan Minter,7/24/2025,7/22/2025,,,3,2025-07-22,3,,,,,,13588
001cv00000AuWrR,"City Of Horse Cave, KY",Kentucky,Municipality,Hugh Bargeron,2221,,Tier 3,0.75,37.1795,-85.9073,a8403665-8fa9-4dac-a19e-1eacf474713c,,,,,,,,,4,2026-03-04,3,1,,,,,13615
001cv00000AuX5j,"City Of Junction City, KY",Kentucky,Municipality,Hugh Bargeron,2255,,Tier 3,0.75,37.583,-84.7865,b82fc4d9-f9f1-45f3-ae12-14696615f9a8,,,,,,,,,11,2026-03-12,7,4,,,,,13749
001cv00000AuX5r,"County Of Robertson, KY",Kentucky,County,Hugh Bargeron,2257,,Tier 3,0.75,38.5224,-84.0379,213915c5-d854-4622-bf0e-36ffd66cf404,,,,,,,,,,,,,,,,,13632
001cv00000AuX7D,"City Of Eddyville, KY",Kentucky,Municipality,Hugh Bargeron,2283,,Tier 3,0.75,37.0945,-88.0803,153e3bf3-7fd9-4b23-9aeb-ee2086ed5247,,,,,,,,,,,,,,,,,13764
001cv00000AuX82,"City Of Hickman, KY",Kentucky,Municipality,Hugh Bargeron,2301,Open Opportunity,Tier 3,0.75,36.5712,-89.1862,8da88cd5-b43d-4362-b47b-eabc712d0ef2,Open,Initial Interest,Top of Funnel,Ryan Minter,7/11/2025,6/24/2025,,,6,2025-07-11,6,,,,,,13829
001cv00000AuX8T,"City Of Tompkinsville, KY",Kentucky,Municipality,Hugh Bargeron,2307,,Tier 3,0.75,36.7023,-85.6916,8320040e-afd1-4b8b-8dd1-dd2f45ca4f36,,,,,,,,,3,2025-06-30,3,,,,,,13800
001cv00000AuX9R,"City Of Raceland, KY",Kentucky,Municipality,Hugh Bargeron,2332,,Tier 3,0.75,38.5401,-82.7285,76967d80-dab5-4730-9fc2-670db41a4983,,,,,,,,,8,2025-08-19,8,,,,,,13915
001cv00000AuX9V,"City Of Irvine, KY",Kentucky,Municipality,Hugh Bargeron,2333,,Tier 3,0.75,37.7006,-83.9738,d1246988-e13d-4243-9a1d-80fefc32bd00,,,,,,,,,4,2026-03-19,2,2,,,,,13857
001cv00000AuXAI,"City Of Cave City, KY",Kentucky,Municipality,Hugh Bargeron,2352,,Tier 3,0.75,37.1367,-85.9569,aacd44bd-d583-47d5-8cc5-41f4d83368a9,,,,,,,,,1,2025-06-23,1,,,,,,13957
001cv00000AuXNY,"City Of Morgantown, KY",Kentucky,Municipality,Hugh Bargeron,2469,,Tier 3,0.75,37.2256,-86.6836,440fa52c-3df2-4238-94d6-dad5ee113ff5,,,,,,,,,5,2026-03-09,3,2,,,,,14109
001cv00000AuXOG,"City Of Anchorage, KY",Kentucky,Municipality,Hugh Bargeron,2484,,Tier 3,0.75,38.2667,-85.533,46a30bd7-eb49-4f63-b249-b467d47d33eb,,,,,,,,,2,2026-03-25,1,1,,,,,14171
001cv00000AuXPZ,"City Of Calvert, KY",Kentucky,Municipality,Hugh Bargeron,2517,,Tier 3,0.75,37.0334,-88.35,fb8910aa-9c89-485a-a0d3-55430052477d,,,,,,,,,4,2025-09-02,4,,,,,,14262
001cv00000AuXei,"City Of Cadiz, KY",Kentucky,Municipality,Hugh Bargeron,2691,,Tier 3,0.75,36.865,-87.8353,fd0f5fcd-2bec-484b-afb9-6f0ce32b33b4,,,,,,,,,3,2025-06-30,3,,,,,,14360
001cv00000AuXf7,"City Of Eminence, KY",Kentucky,Municipality,Hugh Bargeron,2708,,Tier 3,0.75,38.3701,-85.1805,7fcaca95-9a9b-47b2-97db-8f1367b30bb7,,,,,,,,,6,2026-03-11,5,1,,,,,14527
001cv00000AuXg6,"City Of Russell Springs, KY",Kentucky,Municipality,Hugh Bargeron,2742,,Tier 3,0.75,37.0562,-85.0886,601f496c-44ab-4d0d-a4b7-5ab4c55dd77f,,,,,,,,,3,2025-06-25,3,,,,,,14505
001cv00000AuXjF,"City Of Lakeside Park, KY",Kentucky,Municipality,Hugh Bargeron,2820,,Tier 3,0.75,39.0356,-84.5691,8cb520ff-045c-4e01-a12a-0a45bae7e2d4,,,,,,,,,1,2025-06-23,1,,,,,,14722
001cv00000AuXjk,"City Of Springfield, KY",Kentucky,Municipality,Hugh Bargeron,2834,Open Opportunity,Tier 3,0.75,37.6864,-85.2212,556f2968-2c4e-4486-8296-321a69129681,Closed Lost,,,Ryan Minter,7/14/2025,6/24/2025,,,10,2026-03-19,7,3,,,,,14762
001cv00000AuXjq,"City Of Indian Hills, KY",Kentucky,Municipality,Hugh Bargeron,2836,,Tier 3,0.75,38.2726,-85.6627,3094e36c-6994-4d7e-a3fc-f127a0529dcb,,,,,,,,,7,2026-04-07,4,3,,,,,14663
