Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Ryan Minter,Calls - Sydney Ireland,Calls - Joe del Rosario,Calls - Quinzel Perry
001cv00000AuY5q,"Borough Of Aleutians East, AK",Alaska,County,Joe del Rosario,3398,,Tier 3,0.75,55.4086,-161.7164,cc3b2674-cbde-4b2d-ae40-31deb91b086a,,,,,,,,,,,,,,
001cv00000AuYBu,"City Of Kotzebue, AK",Alaska,Municipality,Joe del Rosario,3110,Open Opportunity,Tier 3,0.75,66.8969,-162.5931,b248057f-3efb-4f6f-833e-71f59f385bb8,Open,Initial Interest,Top of Funnel,Leila Assil,,12/15/2025,,,,,,,,
001cv00000AuYJD,"Borough Of Petersburg, AK",Alaska,County,Joe del Rosario,3356,,Tier 3,0.75,57.3779,-132.9752,d06c6f6c-eec5-4b47-bf59-179b3d6fd835,,,,,,,,,,,,,,
001cv00000AuYhp,"City Of Valdez, AK",Alaska,Municipality,Joe del Rosario,3907,,Tier 3,0.75,61.1309,-146.3499,e9295afb-4735-4c1c-8683-5c5a97f19d15,,,,,,,,,1,2025-11-20,1,,,
001cv00000AuYlx,"City Of Unalaska, AK",Alaska,Municipality,Joe del Rosario,4009,Open Opportunity,Tier 3,0.75,53.8726,-166.5376,27ff240b-8e40-427d-a764-8a642b2cfdd5,Open,Initial Interest,Top of Funnel,Leila Assil,,12/15/2025,,,2,2025-12-15,2,,,
001cv00000AuYyJ,"City Of Soldotna, AK",Alaska,Municipality,Joe del Rosario,4444,Open Opportunity,Tier 3,0.75,60.4864,-151.0572,d4ec98f3-3bbb-452b-ab31-6df3b0105d47,Open,Initial Interest,Top of Funnel,Leila Assil,,12/15/2025,,,1,2025-11-20,1,,,
001cv00000AuZRT,"Borough Of Northwest Arctic, AK",Alaska,County,Joe del Rosario,7560,,Tier 3,0.75,67.2873,-160.0343,4a90dc5f-8cf6-4fef-bf9f-18ef96f61cdd,,,,,,,,,,,,,,
001cv00000AuZTf,"City Of Utqiagvik, AK",Alaska,Municipality,Joe del Rosario,5176,,Tier 3,0.75,71.2906,-156.7886,713dbe50-0c3c-4d4d-bf8e-87f40be4a0ed,,,,,,,,,1,2025-11-20,1,,,
001cv00000AuZli,"Borough Of North Slope, AK",Alaska,County,Joe del Rosario,10972,,Tier 2,1.0,69.0579,-152.8628,9d1ba255-f19d-413e-b534-7c2d86e7d770,,,,,,,,,1,2026-05-06,,1,,
001cv00000AuZn4,"Borough Of Ketchikan Gateway, AK",Alaska,County,Joe del Rosario,13754,,Tier 2,1.0,55.5009,-131.1496,7e17e9d3-a9e3-47fd-a3cb-a965a51989e0,,,,,,,,,5,2026-05-19,,5,,
001cv00000B21wj,"City Of Seward, AK",Alaska,Municipality,Joe del Rosario,2625,,Tier 3,0.75,60.1048,-149.4421,e2caef73-5fec-4fae-8039-fcdb6885e3a9,,,,,,,,,,,,,,
001cv00000bBVfr,City of King Cove,Alaska,Municipality,Asher Rosenfeld,833,,Tier 3,0.75,55.0594,-162.3131,c49e55ca-65e1-46be-9c93-381df3e25459,,,,,,,,,,,,,,
001cv00000bBViD,Bristol Bay Borough,Alaska,County,Asher Rosenfeld,884,,Tier 3,0.75,58.7578,-156.7793,54e072cf-0ddf-49c3-adb5-f123d9ed7c47,,,,,,,,,,,,,,
001cv00000bBVlV,City of Hoonah,Alaska,Municipality,Asher Rosenfeld,978,,Tier 3,0.75,58.1101,-135.4445,85fa1568-b454-47df-9c63-2387beccd6b0,,,,,,,,,,,,,,
001cv00000bBVoF,City of Craig,Alaska,Municipality,Asher Rosenfeld,1051,,Tier 3,0.75,55.4768,-133.1358,a5246a46-8caf-48a1-a02b-31afac67cd81,,,,,,,,,,,,,,
001cv00000bBVpI,Borough of Skagway,Alaska,County,Asher Rosenfeld,1119,,Tier 3,0.75,59.4572,-135.3145,b61b58bc-002e-431f-ae85-1939d2386187,,,,,,,,,,,,,,
001cv00000bBWML,Kodiak Island Borough,Alaska,County,Asher Rosenfeld,12654,,Tier 2,1.0,57.5369,-153.2659,a831c50c-4b85-4a92-bdad-ee7b0f28e91d,,,,,,,,,4,2026-05-06,,4,,
001cv00000bBWzO,Municipality of Anchorage,Alaska,Municipality,Asher Rosenfeld,289600,,Tier S,2.0,61.2176,-149.8997,dea515b3-5ac1-4363-a877-7bc2f4c35f6e,,,,,,,,,3,2026-05-06,,3,,
