Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Leila Assil,Calls - Jenny Allison,Calls - Joe del Rosario,Salesforce ID
001Hr000028Zcix,"Town Of Oconomowoc, WI",Wisconsin,Municipality,Nick Martino,8832,,Tier 3,0.75,43.1123,-88.4398,23385d0b-e034-4292-8e3c-f6fdc856d7e7,,,,,,,,,,,,,,,
001Hr000028Zcj7,"City Of Manitowoc, WI",Wisconsin,Municipality,Nick Martino,34547,,Tier 1,1.5,44.0886,-87.6576,1092db17-3799-46f6-b15e-3391fe3cfecc,,,,,,,,,14,2026-04-23,14,,,,
001Hr000028ZcjM,"Village Of Harrison, WI",Wisconsin,Municipality,Nick Martino,13179,,Tier 2,1.0,44.2344,-88.3232,56419552-3d43-46bd-a0df-c7a5557a43e6,,,,,,,,,6,2025-07-29,6,,,,
001Hr000028Zcnm,"Walworth County, WI",Wisconsin,County,Nick Martino,105822,,Tier S,2.0,42.6203,-88.5565,e8a08411-e9c7-44cc-857b-fbbe6c1aaa19,,,,,,,,,45,2026-01-05,18,27,,,
001Hr000028Zcpy,"City Of Berlin, WI",Wisconsin,Municipality,Nick Martino,5614,,Tier 3,0.75,43.968,-88.9434,ccba0f2e-895e-4510-a3ef-75be3cf9c3a9,,,,,,,,,,,,,,,
001Hr000028Zcqv,"City Of Onalaska, WI",Wisconsin,Municipality,Nick Martino,18824,,Tier 2,1.0,43.8844,-91.2351,fa314503-a212-47f2-9221-aaae340da8f0,,,,,,,,,4,2025-07-08,4,,,,
001Hr000028Zcsi,"Village Of Rothschild, WI",Wisconsin,Municipality,Nick Martino,5546,,Tier 3,0.75,44.8872,-89.6201,1e134264-143f-4d38-9d10-3fe256bbf573,,,,,,,,,,,,,,,
001Hr000028Zct1,"Town Of Waterford, WI",Wisconsin,Municipality,Nick Martino,6474,,Tier 3,0.75,42.7922,-88.2656,0e8ca8c9-367c-4341-b084-24a4a42567ba,,,,,,,,,7,2025-07-16,7,,,,
001Hr000028ZctQ,"Village of DeForest, WI",Wisconsin,Municipality,Nick Martino,10884,,Tier 2,1.0,43.2478,-89.3437,f3a5a07c-ed65-4fe0-837e-49f8d984a6f8,,,,,,,,,3,2025-07-01,3,,,,
001Hr000028Zctq,"Town Of Middleton, WI",Wisconsin,Municipality,Nick Martino,6777,,Tier 3,0.75,43.0673,-89.5781,a3902788-f395-43c9-8221-db14f9f8357f,,,,,,,,,,,,,,,
001Hr000028ZcvH,"City Of Port Washington, WI",Wisconsin,Municipality,Nick Martino,12614,,Tier 2,1.0,43.3872,-87.8756,b72d0629-31b1-49b4-a8e6-2c676988f4bf,,,,,,,,,16,2025-08-08,16,,,,
001Hr000028Zcw1,"Menasha Town, WI",Wisconsin,Municipality,Nick Martino,18157,,Tier 2,1.0,44.2022,-88.4465,6d0390cc-47fe-42d1-9fc7-677a1cb2d1c2,,,,,,,,,,,,,,,
001Hr000028Zcww,"Town Of Mukwonago, WI",Wisconsin,Municipality,Nick Martino,7782,,Tier 3,0.75,42.8934,-88.3852,723e2358-d09a-48ec-9cb8-465ce2431d38,,,,,,,,,,,,,,,
001Hr000028ZcxM,"Village Of Brown Deer, WI",Wisconsin,Municipality,Nick Martino,12705,,Tier 2,1.0,43.1633,-87.9645,86cb442f-e13c-4446-b4b0-f7da0de63bf9,,,,,,,,,1,2025-07-01,1,,,,
001Hr000028ZczF,"Village Of Allouez, WI",Wisconsin,Municipality,Nick Martino,14004,,Tier 2,1.0,44.4775,-88.0162,f6cede00-7622-47b3-a6d8-a0540fb60669,,,,,,,,,6,2025-07-16,6,,,,
001Hr000028Zczv,"City Of Lake Mills, WI",Wisconsin,Municipality,Nick Martino,6433,Nurture,Tier 3,0.75,43.0814,-88.9118,f9ec70bd-9c69-4f60-8495-0f016729fadf,Closed Lost,,,Joe del Rosario,8/20/2025,3/26/2025,,,4,2025-08-18,,,,4,
001Hr000028Zd1t,"Town Of Buchanan, WI",Wisconsin,Municipality,Nick Martino,6880,,Tier 3,0.75,44.2625,-88.2169,43997818-7a32-4793-845b-d0b8236230bc,,,,,,,,,1,2026-03-13,1,,,,
001Hr000028Zd22,"City Of Oak Creek, WI",Wisconsin,Municipality,Nick Martino,36260,,Tier 1,1.5,42.8858,-87.8631,a8b5eb8a-a79b-4dcd-bed1-894f8111093b,,,,,,,,,6,2026-05-26,3,3,,,
001Hr000028Zd37,"Village Of Lake Hallie, WI",Wisconsin,Municipality,Nick Martino,7263,,Tier 3,0.75,44.8758,-91.4407,b7fadda6-edfb-48fe-8ea6-ba6fee27482e,,,,,,,,,,,,,,,
001Hr000028Zd3M,"City Of Waupaca, WI",Wisconsin,Municipality,Nick Martino,6350,Open Opportunity,Tier 3,0.75,44.358,-89.0859,e9a83274-ee25-479e-815e-486dd1f6d780,Open,Demo,Mid Funnel,Nick Martino,3/11/2026,7/25/2025,,,44,2026-05-06,41,,3,,
001Hr000028Zd3e,"Village Of Kronenwetter, WI",Wisconsin,Municipality,Nick Martino,8455,,Tier 3,0.75,44.8222,-89.5904,6f80b4af-ef8c-48b2-8edf-b9fcef354248,,,,,,,,,,,,,,,
001Hr000028Zd4w,"City Of Stevens Point, WI",Wisconsin,Municipality,Nick Martino,25692,,Tier 1,1.5,44.5236,-89.5746,6f6553d5-6525-4494-bf18-070f4d596030,,,,,,,,,10,2025-08-29,10,,,,
001Hr000028Zd5g,"City Of Verona, WI",Wisconsin,Municipality,Nick Martino,14276,,Tier 2,1.0,42.9908,-89.5332,8fdcc22b-227a-4725-bf70-1ffe7d7c5cca,,,,,,,,,10,2025-08-05,10,,,,
001Hr000028Zd5k,"Village Of Fox Point, WI",Wisconsin,Municipality,Nick Martino,6837,,Tier 3,0.75,43.1575,-87.9018,cfc65cde-774a-44eb-bcce-fd785cc54cf8,,,,,,,,,12,2025-07-18,12,,,,
001Hr000028Zd6B,"City Of Kenosha, WI",Wisconsin,Municipality,Nick Martino,99286,,Tier S,2.0,42.5841,-87.8242,a193de61-1946-4297-81f0-9abf9eb6b7ab,,,,,,,,,6,2025-08-11,6,,,,
001Hr000028Zd7I,"City Of Monona, WI",Wisconsin,Municipality,Nick Martino,8779,,Tier 3,0.75,43.0623,-89.3335,845121b9-8d82-463d-a38b-23f4521291a2,,,,,,,,,,,,,,,
001Hr000028Zd7N,"Village Of Mount Horeb, WI",Wisconsin,Municipality,Nick Martino,7742,,Tier 3,0.75,43.0086,-89.7385,d2037d64-4406-4a92-889b-6c336ce1c8f1,,,,,,,,,2,2025-07-08,2,,,,
001Hr000028Zd7O,"City Of Tomah, WI",Wisconsin,Municipality,Nick Martino,9556,,Tier 3,0.75,43.9786,-90.504,069aed8b-592e-4abb-8ee0-c518172773c8,,,,,,,,,,,,,,,
001Hr000028Zd7V,"Town Of Merton, WI",Wisconsin,Municipality,Nick Martino,8279,Nurture,Tier 3,0.75,43.1414,-88.3073,ec8c5042-3154-4353-ad0e-32db3d49c97c,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,5,2025-09-17,5,,,,
001Hr000028Zd7b,"Town Of Saratoga, WI",Wisconsin,Municipality,Nick Martino,5092,,Tier 3,0.75,44.3045,-89.7943,f54010b8-4280-4122-82f5-de0e676d26c4,,,,,,,,,10,2025-07-30,10,,,,
001Hr000028Zd7c,"Village Of Waterford, WI",Wisconsin,Municipality,Nick Martino,5612,,Tier 3,0.75,42.7631,-88.2143,2040714a-c653-49cf-ae82-b5aa42091d34,,,,,,,,,5,2025-10-07,5,,,,
001Hr000028Zd7h,"Village Of Jackson, WI",Wisconsin,Municipality,Nick Martino,7198,,Tier 3,0.75,43.3239,-88.1668,dda33186-e272-4944-8121-52ea52148077,,,,,,,,,6,2025-08-13,6,,,,
001Hr000028Zd9K,"City Of Shawano, WI",Wisconsin,Municipality,Nick Martino,9244,,Tier 3,0.75,44.7822,-88.609,fb8ec86d-159a-468d-8878-e893eae76d00,,,,,,,,,14,2025-09-03,14,,,,
001Hr000028Zd9o,"City Of Greenfield, WI",Wisconsin,Municipality,Nick Martino,37352,,Tier 1,1.5,42.9614,-88.0126,3d686105-cf4b-4d65-b249-789eccaebdd0,,,,,,,,,7,2026-04-15,7,,,,
001Hr000028ZdA5,"City Of De Pere, WI",Wisconsin,Municipality,Nick Martino,25335,Open Opportunity,Tier 1,1.5,44.4489,-88.0604,6eb2e6cc-d43a-4c73-92a7-2859adf66f9a,Open,Meeting Booked,Top of Funnel,Alicia Gopal,6/12/2026,4/30/2026,,,10,2025-08-25,10,,,,
001Hr000028ZdAa,"Town Of Onalaska, WI",Wisconsin,Municipality,Nick Martino,5821,,Tier 3,0.75,43.9467,-91.2217,b9feda90-eabd-4ec3-b8e7-7b6799efc546,,,,,,,,,8,2025-07-29,8,,,,
001Hr000028ZdAz,"Town Of Genesee, WI",Wisconsin,Municipality,Nick Martino,7142,,Tier 3,0.75,42.9581,-88.3602,55a9e2f3-51b6-4c92-a806-f9e82b706389,,,,,,,,,6,2025-07-07,,6,,,
001Hr000028ZdB8,"City Of Evansville, WI",Wisconsin,Municipality,Nick Martino,5791,,Tier 3,0.75,42.7803,-89.2993,24bba41b-1321-4d16-baa3-e8aad54e7ffb,,,,,,,,,,,,,,,
001Hr000028ZdBa,"City Of Waukesha, WI",Wisconsin,Municipality,Nick Martino,71256,,Tier S,2.0,43.0108,-88.2292,bd2f635e-173a-4cfe-9d76-d906caef7c20,,,,,,,,,7,2025-08-12,7,,,,
001Hr000028ZdBo,"City Of Delavan, WI",Wisconsin,Municipality,Nick Martino,8594,,Tier 3,0.75,42.6331,-88.6437,7112626d-2a96-4e42-a454-88bfcf29bcae,,,,,,,,,2,2025-08-14,2,,,,
001Hr000028ZdCI,"City Of Watertown, WI",Wisconsin,Municipality,Nick Martino,22885,Open Opportunity,Tier 2,1.0,43.1947,-88.729,63a94e20-645a-4575-abf7-99af6ebdf7db,Open,Initial Interest,Top of Funnel,Leila Assil,1/30/2025,1/5/2025,,,,,,,,,
001Hr000028ZdCW,"County of Calumet, WI",Wisconsin,County,Nick Martino,53199,,Tier S,2.0,44.1586,-88.2461,9865647f-f192-47ea-b9b3-f46c1d03b5ab,,,,,,,,,12,2025-08-28,12,,,,
001Hr000028ZdCh,"City Of Hartford, WI",Wisconsin,Municipality,Nick Martino,15747,,Tier 2,1.0,43.3178,-88.379,14614740-fd99-492f-a905-33d86f564df4,,,,,,,,,17,2025-09-10,17,,,,
001Hr000028ZdCn,"Village Of Menomonee Falls, WI",Wisconsin,Municipality,Nick Martino,38906,,Tier 1,1.5,43.1789,-88.1175,9195faac-f8c1-49f3-9b98-bbef80b79454,,,,,,,,,14,2025-07-15,14,,,,
001Hr000028ZdCq,"City Of Fort Atkinson, WI",Wisconsin,Municipality,Nick Martino,12489,,Tier 2,1.0,42.9289,-88.8371,20907811-9717-4e91-9830-94376ea2f615,,,,,,,,,10,2025-09-04,10,,,,
001Hr000028ZdDA,"Village Of Waukesha, WI",Wisconsin,Municipality,Nick Martino,8430,,Tier 3,0.75,42.9595,-88.2279,dc820c15-52f9-4810-84a7-652c0bb444ea,,,,,,,,,11,2025-07-29,11,,,,
001Hr000028ZdDj,"City Of Prairie Du Chien, WI",Wisconsin,Municipality,Nick Martino,5487,,Tier 3,0.75,43.0517,-91.1412,783057e8-3bc7-4ab5-897a-2943c13b5728,,,,,,,,,,,,,,,
001Hr000028ZdEJ,"City Of Neenah, WI",Wisconsin,Municipality,Nick Martino,27525,,Tier 1,1.5,44.1858,-88.4626,52ce7f46-9912-4b36-93c1-fa0cfb86cbe9,,,,,,,,,14,2026-05-11,14,,,,
001Hr000028ZdEY,"Town Of Freedom, WI",Wisconsin,Municipality,Nick Martino,6209,,Tier 3,0.75,44.3866,-88.2884,70b2e247-608f-4b9d-bd8d-37e8c2f21208,,,,,,,,,9,2025-07-30,9,,,,
001Hr000028ZdF1,"City Of New London, WI",Wisconsin,Municipality,Nick Martino,7524,,Tier 3,0.75,44.3928,-88.7398,1af2a353-7ae2-4797-836e-687a5fabc409,,,,,,,,,1,2025-07-01,1,,,,
001Hr000028ZdFI,"City Of Jefferson, WI",Wisconsin,Municipality,Nick Martino,7753,,Tier 3,0.75,43.0056,-88.8073,dea14452-43f4-4658-bc3d-773639de94c4,,,,,,,,,1,2025-07-08,1,,,,
001Hr000028ZdFb,"Village Of Bellevue, WI",Wisconsin,Municipality,Nick Martino,16122,,Tier 2,1.0,44.4643,-87.9563,546b50d0-bff7-4615-a39f-f4eb39e7ae10,,,,,,,,,6,2025-07-18,6,,,,
001Hr000028ZdFc,"City Of Brookfield, WI",Wisconsin,Municipality,Nick Martino,41464,Nurture,Tier 1,1.5,43.0609,-88.1261,e25b50ea-d58a-42a7-b932-25e2f74b7a6f,Closed Lost,,,Troy LeCaire,,1/5/2025,,,11,2026-04-23,11,,,,
001Hr000028ZdG5,"City Of Columbus, WI",Wisconsin,Municipality,Nick Martino,5505,,Tier 3,0.75,43.338,-89.0154,431190a4-c955-4382-87fb-92c0f169457e,,,,,,,,,,,,,,,
001Hr000028ZdGG,"City Of Platteville, WI",Wisconsin,Municipality,Nick Martino,11764,,Tier 2,1.0,42.7342,-90.4785,08cb587b-ed96-4961-95a2-00c8b3acb772,,,,,,,,,3,2025-08-13,3,,,,
001Hr000028ZdGy,"Town Of Grand Rapids, WI",Wisconsin,Municipality,Nick Martino,7613,Nurture,Tier 3,0.75,44.3731,-89.7656,828d4a86-7bed-42b2-9e59-3073ceb1282e,Closed Lost,,,Liam Shaw,3/13/2024,1/5/2025,,,,,,,,,
001Hr000028ZdHC,"Town Of Milton, WI",Wisconsin,Municipality,Nick Martino,3110,,Tier 3,0.75,42.8102,-88.951,1899b2eb-98d2-4cc1-9dde-8a7ed5df47d9,,,,,,,,,2,2025-07-01,2,,,,
001Hr000028ZdHD,"City Of New Richmond, WI",Wisconsin,Municipality,Nick Martino,10350,,Tier 2,1.0,45.123,-92.5366,8cf937be-c335-4628-a90e-ea6367d5f03a,,,,,,,,,6,2026-04-15,6,,,,
001Hr000028ZdHE,"City Of La Crosse, WI",Wisconsin,Municipality,Nick Martino,52185,,Tier S,2.0,43.8138,-91.2519,b471d7d8-46e0-4aa9-91d2-85390423e1ae,,,,,,,,,18,2025-08-26,18,,,,
001Hr000028ZdHJ,"Village Of Somers, WI",Wisconsin,Municipality,Nick Martino,8330,,Tier 3,0.75,42.6403,-87.9104,3d1b9482-05c6-4f47-9465-da63082d11e7,,,,,,,,,9,2025-10-06,9,,,,
001Hr000028ZdHR,"City Of Oconomowoc, WI",Wisconsin,Municipality,Nick Martino,18379,,Tier 2,1.0,43.1114,-88.4995,a0a3aa15-6c13-4fb7-94e3-d091cbadcc69,,,,,,,,,2,2025-07-01,2,,,,
001Hr000028ZdHW,"City Of Rhinelander, WI",Wisconsin,Municipality,Nick Martino,8308,,Tier 3,0.75,45.6366,-89.4121,c4a24675-bc98-43a8-b373-cc04a26aed2a,,,,,,,,,6,2025-07-10,6,,,,
001Hr000028ZdHg,"Dunn County, WI",Wisconsin,County,Nick Martino,,,Tier 3,0.75,44.9094,-91.9099,93fb63e7-dabe-4afb-8664-db1bef764e82,,,,,,,,,,,,,,,
001Hr000028ZdIb,"Village Of Cottage Grove, WI",Wisconsin,Municipality,Nick Martino,7338,,Tier 3,0.75,43.0746,-89.1515,737bc02d-c16b-4929-b7ac-f9c90b8087c1,,,,,,,,,,,,,,,
001Hr000028ZdIg,"City Of Beaver Dam, WI",Wisconsin,Municipality,Nick Martino,16647,,Tier 2,1.0,43.4578,-88.8373,49365c36-b0e2-4acd-a16d-ad327928b87b,,,,,,,,,1,2025-07-11,1,,,,
001Hr000028ZdIu,"City Of Lake Geneva, WI",Wisconsin,Municipality,Nick Martino,8504,,Tier 3,0.75,42.5917,-88.4334,1fd535a9-923b-4afd-b4ab-41adf0a4341e,,,,,,,,,2,2025-07-18,2,,,,
001Hr000028ZdIx,"Village Of West Salem, WI",Wisconsin,Municipality,Nick Martino,5273,,Tier 3,0.75,43.8991,-91.0812,5449b31a-4c85-43bb-997f-84d6af65f142,,,,,,,,,1,2025-07-01,1,,,,
001Hr000028ZdJM,"Village Of Bristol, WI",Wisconsin,Municipality,Nick Martino,5217,,Tier 3,0.75,42.5588,-88.0505,e033324c-a89d-447e-b1ca-ee260af8f803,,,,,,,,,,,,,,,
001Hr000028ZdJO,"Village Of Howard, WI",Wisconsin,Municipality,Nick Martino,20229,,Tier 2,1.0,44.5624,-88.0803,31ce8c29-ac0c-49ad-b0f9-7e872d56ef9e,,,,,,,,,1,2025-08-12,1,,,,
001Hr000028ZdJW,"Village Of Twin Lakes, WI",Wisconsin,Municipality,Nick Martino,6388,,Tier 3,0.75,42.5311,-88.2481,70bb3f84-4b07-4920-a18d-33ad7be91c31,,,,,,,,,9,2025-07-30,9,,,,
001Hr000028ZdJX,"City Of Cudahy, WI",Wisconsin,Municipality,Nick Martino,17946,,Tier 2,1.0,42.9597,-87.8615,e0bc45d4-dd25-4228-9cd2-fa5bf674fa73,,,,,,,,,1,2025-07-15,,1,,,
001Hr000028ZdJY,"Village Of Fox Crossing, WI",Wisconsin,Municipality,Nick Martino,18925,,Tier 2,1.0,44.2291,-88.4695,27f44fb7-71ce-4082-9044-66ec92d133f9,,,,,,,,,8,2025-08-05,8,,,,
001Hr000028ZdKW,"Village of Salem Lake, WI",Wisconsin,Municipality,Nick Martino,14630,,Tier 2,1.0,42.5542,-88.1105,7c2d8e20-fdd8-4aa0-b2dd-ceef9cc54855,,,,,,,,,13,2025-08-08,13,,,,
001Hr000028ZdKu,"Town Of Delafield, WI",Wisconsin,Municipality,Nick Martino,8157,,Tier 3,0.75,43.0622,-88.3543,2581db7b-86e8-4c85-9c2a-d05c490a2cbe,,,,,,,,,4,2025-07-15,4,,,,
001Hr000028ZdKw,"City Of Stoughton, WI",Wisconsin,Municipality,Nick Martino,13085,,Tier 2,1.0,42.9169,-89.2179,06491639-0086-4ef3-af2c-e88020532084,,,,,,,,,12,2026-04-08,11,,1,,
001Hr000028ZdLE,"Village Of Whitefish Bay, WI",Wisconsin,Municipality,Nick Martino,14747,Nurture,Tier 2,1.0,43.1133,-87.9001,aaefb8f3-3108-4fde-9b09-afeada60d51f,Closed Lost,,,Liam Shaw,3/12/2024,1/5/2025,,,,,,,,,
001Hr000028ZdLJ,"Town Of Brookfield, WI",Wisconsin,Municipality,Nick Martino,6447,,Tier 3,0.75,43.0361,-88.1668,92bb917f-e609-44a0-b44e-bedbe2d279bb,,,,,,,,,17,2026-04-08,17,,,,
001Hr000028ZdLY,"City Of Edgerton, WI",Wisconsin,Municipality,Nick Martino,5952,,Tier 3,0.75,42.8353,-89.0676,98135732-fa2c-4db4-b32d-535b8a7154a6,,,,,,,,,,,,,,,
001Hr000028ZdLj,"Winnebago County, WI",Wisconsin,County,Nick Martino,173307,,Tier S,2.0,44.0127,-88.7109,b95b6115-4562-4a3c-bc27-5b506fa31f0a,,,,,,,,,19,2026-03-18,19,,,,
001Hr000028ZdMB,"City Of Hudson, WI",Wisconsin,Municipality,Nick Martino,15149,Recent Competitor Purchase,Tier 2,1.0,44.9747,-92.7569,625bb9f0-9e21-45a7-b112-fdda7a4032a1,Closed Lost,,,Liam Shaw,7/30/2024,1/5/2025,"$21,000",,9,2026-01-27,9,,,,
001Hr000028ZdMF,"Village Of Union Grove, WI",Wisconsin,Municipality,Nick Martino,4925,Nurture,Tier 3,0.75,42.6881,-88.0515,bc0686cd-2cfb-49fd-aac7-e7520c487dce,Closed Lost,,,Liam Shaw,3/8/2024,1/5/2025,"$15,000",,,,,,,,
001Hr000028ZdMP,"Village Of North Fond Du Lac, WI",Wisconsin,Municipality,Nick Martino,5406,Nurture,Tier 3,0.75,43.8114,-88.4834,248f0ca2-b651-435b-81dc-2f9c0dddda70,Closed Lost,,,Liam Shaw,3/27/2024,1/5/2025,"$15,000",,7,2026-03-19,7,,,,
001Hr000028ZdMS,"City Of Glendale, WI",Wisconsin,Municipality,Nick Martino,13178,,Tier 2,1.0,43.1353,-87.9356,9d6bc5c6-879a-489e-ab77-54445eafa697,,,,,,,,,1,2025-07-01,1,,,,
001Hr000028ZdMY,"City Of Sturgeon Bay, WI",Wisconsin,Municipality,Nick Martino,10015,Open Opportunity,Tier 2,1.0,44.8342,-87.377,1d1101bb-da39-4746-b6ec-d5e42e53960b,Open,Proposal,Mid Funnel,Nick Martino,9/8/2025,9/4/2025,"$38,000",,4,2025-09-04,4,,,,
001Hr000028ZdMy,"Town Of Troy, WI",Wisconsin,Municipality,Nick Martino,2392,,Tier 3,0.75,43.2328,-89.9066,31138d4b-afb2-4d8b-bf12-4ef0667fef7b,,,,,,,,,3,2025-07-09,3,,,,
001Hr000028ZdN3,"Town Of Little Suamico, WI",Wisconsin,Municipality,Nick Martino,5628,,Tier 3,0.75,44.721,-88.0465,ec57776c-95c5-43b5-a685-2310815eb873,,,,,,,,,10,2025-07-30,10,,,,
001Hr000028ZdN8,"Town Of Hull, WI",Wisconsin,Municipality,Nick Martino,5274,,Tier 3,0.75,44.9064,-90.2432,5d8cee22-5dd8-4190-b669-2865ce4c12b2,,,,,,,,,6,2025-07-14,6,,,,
001Hr000028ZdNX,"Town Of Geneva, WI",Wisconsin,Municipality,Nick Martino,5468,,Tier 3,0.75,42.6386,-88.4598,9c9a9d08-52d6-4abb-aa67-7308604cd2c6,,,,,,,,,2,2025-07-08,2,,,,
001Hr000028ZdNY,"Village Of Elm Grove, WI",Wisconsin,Municipality,Nick Martino,6524,,Tier 3,0.75,43.0428,-88.0794,2a74c81a-f11d-48d5-89bc-f3d62278b3a9,,,,,,,,,3,2026-03-18,3,,,,
001Hr000028ZdNc,"Village Of Slinger, WI",Wisconsin,Municipality,Nick Martino,6116,,Tier 3,0.75,43.3336,-88.2862,3a5141dd-8013-453c-b95a-4e83911480c6,,,,,,,,,11,2025-09-04,11,,,,
001Hr000028ZdNn,"Village Of Ashwaubenon, WI",Wisconsin,Municipality,Nick Martino,16913,,Tier 2,1.0,44.4822,-88.0701,42666fc0-e4bf-4d0d-951a-0bc970a22c74,,,,,,,,,4,2025-07-14,4,,,,
001Hr000028ZdNx,"City Of Altoona, WI",Wisconsin,Municipality,Nick Martino,8817,,Tier 3,0.75,44.8047,-91.4432,ef5dedd0-0f62-49e6-9553-30e654f6868e,,,,,,,,,3,2025-08-12,3,,,,
001Hr000028ZdNy,"City Of Two Rivers, WI",Wisconsin,Municipality,Nick Martino,11270,Open Opportunity,Tier 2,1.0,44.1539,-87.5692,3ea88816-99cb-4c78-bdbc-88ee2aa40bff,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,,,,,,,
001Hr000028ZdO0,"City Of Muskego, WI",Wisconsin,Municipality,Nick Martino,25242,,Tier 1,1.5,42.9016,-88.1493,b50912d2-05a2-42fd-b485-86fcad97a8d8,,,,,,,,,10,2025-08-29,10,,,,
001Hr000028ZdO7,"Town Of Algoma, WI",Wisconsin,Municipality,Nick Martino,6912,,Tier 3,0.75,44.0402,-88.6241,ffd97d77-5f71-4ce0-9982-a68ac1fbf07a,,,,,,,,,1,2025-07-09,1,,,,
001Hr000028ZdO8,"City Of Waupun, WI",Wisconsin,Municipality,Nick Martino,11515,,Tier 2,1.0,43.6333,-88.7296,e432c683-040a-4443-bab6-bf94444da68b,,,,,,,,,3,2025-08-20,3,,,,
001Hr000028ZdO9,"Village of Grafton, WI",Wisconsin,Municipality,Nick Martino,12298,,Tier 2,1.0,43.3197,-87.9534,793dfe58-2073-430a-8e9a-e01a078c9dfb,,,,,,,,,12,2025-08-12,12,,,,
001Hr000028ZdOX,"Village Of Waunakee, WI",Wisconsin,Municipality,Nick Martino,14950,,Tier 2,1.0,43.1919,-89.4557,92f08fcc-11f8-49c7-87fb-af7172c74d6e,,,,,,,,,2,2025-07-17,2,,,,
001Hr000028ZdOl,"City Of Antigo, WI",Wisconsin,Municipality,Nick Martino,8006,Nurture,Tier 3,0.75,45.1402,-89.1523,a24bc857-bc44-482d-b423-67980b923f90,Closed Lost,,,Leila Assil,,1/8/2025,,,,,,,,,
001Hr000028ZdOm,"Village Of Greendale, WI",Wisconsin,Municipality,Nick Martino,14652,,Tier 2,1.0,42.9406,-87.9959,52e11a8b-7e31-4040-89ed-1749983da12b,,,,,,,,,10,2025-09-04,10,,,,
