Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Sydney Ireland,Calls - Ali Cohen,Calls - Nick Martino,Calls - Quinzel Perry,Calls - Alicia Gopal,Calls - Jenny Allison,Calls - Ryan Minter,Calls - Catherine Silvestri,Salesforce ID
001Hr000028Zc1J,"Township Of Northfield, MI",Michigan,Municipality,Ali Cohen,8514,,Tier 3,0.75,42.4004,-83.7434,c0af77a2-74a6-4df9-aa5d-ffee3fc826fe,,,,,,,,,10,2026-01-13,,10,,,,,,,
001Hr000028Zc3B,"Groveland Township, MI",Michigan,Municipality,Sydney Ireland,5895,,Tier 3,0.75,42.8174,-83.5283,77e3d45a-ba14-48de-aaa1-5f92bb9d9bee,,,,,,,,,3,2026-03-25,3,,,,,,,,
001Hr000028Zc3U,"City Of Clawson, MI",Michigan,Municipality,Nick Martino,11284,,Tier 2,1.0,42.5334,-83.1463,74ec405b-355d-425c-bda4-8df436d0a942,,,,,,,,,,,,,,,,,,,
001Hr000028Zc52,"City Of Chelsea, MI",Michigan,Municipality,Sydney Ireland,5393,,Tier 3,0.75,42.3181,-84.0205,001f280d-8968-47d9-b2f3-07b78952420b,,,,,,,,,3,2026-03-26,3,,,,,,,,
001Hr000028Zc6T,"City Of Sault Ste Marie, MI",Michigan,Municipality,Ali Cohen,13410,,Tier 2,1.0,46.4977,-84.3476,38d546c8-197b-46e9-9e86-c0d40f93728d,,,,,,,,,,,,,,,,,,,
001Hr000028Zc6h,"Deerfield Township, MI",Michigan,Municipality,Sydney Ireland,5766,,Tier 3,0.75,42.7194,-83.8685,688982fe-da61-4f01-9cf9-3538fd76f72a,,,,,,,,,,,,,,,,,,,
001Hr000028Zc6y,"Charter Township Of Lansing, MI",Michigan,Municipality,Sydney Ireland,8087,Open Opportunity,Tier 3,0.75,42.7607,-84.5231,cb2612a7-afa9-4bc9-9104-8f8de6453092,Open,Initial Interest,Top of Funnel,Sydney Ireland,4/30/2026,3/25/2026,,,3,2026-04-15,3,,,,,,,,
001Hr000028Zc7a,"Charter Township Of Coloma, MI",Michigan,Municipality,Ali Cohen,5017,,Tier 3,0.75,42.1861,-86.3084,d50233ef-4a34-4a8f-907c-815e7615755a,,,,,,,,,2,2025-06-05,,,,2,,,,,
001Hr000028Zc7b,"City Of Grosse Pointe, MI",Michigan,Municipality,Sydney Ireland,5584,,Tier 3,0.75,42.3861,-82.9119,fc1e0ab7-2f87-4052-afb6-3b5aa08c3630,,,,,,,,,14,2026-05-22,,,,,14,,,,
001Hr000028Zc8e,"Township of Salem (Allegan County), MI",Michigan,Municipality,Sydney Ireland,5080,,Tier 3,0.75,42.7295,-85.8281,a0f6926b-ab24-4d74-97c0-5e853c3adbdd,,,,,,,,,4,2026-01-29,4,,,,,,,,
001Hr000028Zc9N,"Village Of Holly, MI",Michigan,Municipality,Sydney Ireland,5958,,Tier 3,0.75,42.792,-83.6277,7b406f32-5a30-476c-a0d3-3e037b60ea19,,,,,,,,,1,2026-05-07,1,,,,,,,,
001Hr000028Zc9O,"Charter Township Of Pennfield, MI",Michigan,Municipality,Sydney Ireland,8707,Open Opportunity,Tier 3,0.75,42.3677,-85.1463,a4f35de1-155a-4cb0-b789-859fe97818ee,Open,Initial Interest,Top of Funnel,Sydney Ireland,5/21/2026,5/12/2026,,,6,2026-05-27,6,,,,,,,,
001Hr000028Zc9S,"Charter Township Of Larkin, MI",Michigan,Municipality,Sydney Ireland,5340,,Tier 3,0.75,43.6837,-84.2273,a6a06f84-7ce3-4ec9-9396-39a9942f7568,,,,,,,,,,,,,,,,,,,
001Hr000028Zc9n,"City Of Ishpeming, MI",Michigan,Municipality,Sydney Ireland,6167,,Tier 3,0.75,46.4885,-87.6676,4a450987-6655-42b7-879c-6e8ee108e951,,,,,,,,,1,2026-03-24,1,,,,,,,,
001Hr000028ZcA2,"City Of St Louis, MI",Michigan,Municipality,Sydney Ireland,6862,,Tier 3,0.75,43.4084,-84.6067,546f78b0-f2a2-4a7a-90f9-9b8153a2e610,,,,,,,,,14,2026-05-19,14,,,,,,,,
001Hr000028ZcAV,"Township Of Green Lake, MI",Michigan,Municipality,Sydney Ireland,6632,,Tier 3,0.75,44.6404,-85.7462,7c5d7b3f-c43c-4fb9-988c-62429f3a811a,,,,,,,,,3,2026-04-06,3,,,,,,,,
001Hr000028ZcBX,"City Of Mason, MI",Michigan,Municipality,Ali Cohen,8235,,Tier 3,0.75,42.5792,-84.4436,b143ad3e-16a8-4e02-9968-22985ef42ab4,,,,,,,,,1,2025-09-30,,,,1,,,,,
001Hr000028ZcBe,"City Of Alma, MI",Michigan,Municipality,Sydney Ireland,9404,,Tier 3,0.75,43.379,-84.6602,893fe372-0cd4-45f9-ace1-68fda6b390ac,,,,,,,,,,,,,,,,,,,
001Hr000028ZcCc,"Township Of York, MI",Michigan,Municipality,Sydney Ireland,8892,,Tier 3,0.75,42.1557,-83.7377,a9874107-1a67-4526-9b38-a23c4c7078e5,,,,,,,,,2,2026-02-12,2,,,,,,,,
001Hr000028ZcDY,"City Of Charlotte, MI",Michigan,Municipality,Ali Cohen,9209,Open Opportunity,Tier 3,0.75,42.5636,-84.8358,90b4a64d-e492-47fd-9bd4-955124331c0d,Open,Meeting Booked,Top of Funnel,Ali Cohen,6/11/2026,1/12/2026,,Yes,1,2026-01-12,,1,,,,,,,
001Hr000028ZcF2,"Township Of Algoma, MI",Michigan,Municipality,Ali Cohen,12189,,Tier 2,1.0,43.1493,-85.6229,26175359-b757-4d38-a0b9-3cfcc61c7f05,,,,,,,,,,,,,,,,,,,
001Hr000028ZcF7,"City Of Ecorse, MI",Michigan,Municipality,Sydney Ireland,9216,,Tier 3,0.75,42.2445,-83.1458,9197a8f2-5e90-4f87-817b-006fd5876bf0,,,,,,,,,2,2026-05-11,2,,,,,,,,
001Hr000028ZcFk,"Charter Township Of Augusta, MI",Michigan,Municipality,Sydney Ireland,7107,,Tier 3,0.75,42.1179,-83.6136,7cf08b6a-7e55-4097-931f-85e7288b9ae2,,,,,,,,,3,2026-03-25,3,,,,,,,,
001Hr000028ZcFu,"Township Of Gaines, MI",Michigan,Municipality,Sydney Ireland,6647,,Tier 3,0.75,42.9138,-83.8685,312be6e5-742b-4952-a6cc-087141b846ba,,,,,,,,,,,,,,,,,,,
001Hr000028ZcG5,"City Of East Grand Rapids, MI",Michigan,Municipality,Ali Cohen,11389,,Tier 2,1.0,42.9411,-85.61,a361544e-826e-4244-8cc5-c8896684eaa7,,,,,,,,,4,2025-11-19,,4,,,,,,,
001Hr000028ZcGc,"Township Of Leoni, MI",Michigan,Municipality,Ali Cohen,13913,,Tier 2,1.0,42.2545,-84.3118,d911771d-7be0-426d-af27-905588138832,,,,,,,,,,,,,,,,,,,
001Hr000028ZcHV,"Township Of Watertown, MI",Michigan,Municipality,Sydney Ireland,2068,,Tier 3,0.75,42.829,-84.7002,7a0ff88b-5ba1-4aad-ab2e-26c7bab6271b,,,,,,,,,,,,,,,,,,,
001Hr000028ZcHX,"Charter Township Of Texas, MI",Michigan,Municipality,Nick Martino,18014,,Tier 2,1.0,42.2011,-85.6868,587c5a1c-95cc-4f93-a35e-487a4aeaef9f,,,,,,,,,,,,,,,,,,,
001Hr000028ZcIQ,"Township Of Alpena, MI",Michigan,Municipality,Sydney Ireland,9110,Nurture,Tier 3,0.75,45.1285,-83.4136,0239ae50-2bb9-4882-9d35-42b3906db208,Closed Lost,,,Sydney Ireland,3/24/2026,3/20/2026,,,5,2026-03-24,4,,,,,1,,,
001Hr000028ZcJT,"Vienna Charter Township, MI",Michigan,Municipality,Ali Cohen,13246,,Tier 2,1.0,41.903,-83.4267,c592efe8-9c90-46c2-8c77-bf735bbc8712,,,,,,,,,,,,,,,,,,,
001Hr000028ZcJi,"Madison Charter Township, MI",Michigan,Municipality,Sydney Ireland,8455,,Tier 3,0.75,41.8603,-84.0426,5062ac90-c893-4c8d-a398-a43c05f7d1a6,,,,,,,,,3,2026-04-08,3,,,,,,,,
001Hr000028ZcKG,"Charter Township Of Monitor, MI",Michigan,Municipality,Nick Martino,10612,,Tier 2,1.0,41.903,-83.4267,6ce4d9cd-e9d9-4ab3-9040-10cd7c356457,,,,,,,,,,,,,,,,,,,
001Hr000028ZcKg,"City Of Marquette, MI",Michigan,Municipality,Nick Martino,20394,Open Opportunity,Tier 2,1.0,46.5436,-87.3954,dc7c84dc-840b-44d2-8d44-0e650af5b5b7,Open,Proposal,Mid Funnel,Nick Martino,10/21/2025,10/9/2025,"$32,500",,1,2025-10-09,,,1,,,,,,
001Hr000028ZcKv,"City Of Novi, MI",Michigan,Municipality,Nick Martino,66560,Open Opportunity,Tier S,2.0,42.4806,-83.4755,120001d4-b4ab-44fc-b5b0-56fee8b8638f,,,,,,,,,15,2026-05-27,,,15,,,,,,
001Hr000028ZcLE,"Charter Township Of Lowell, MI",Michigan,Municipality,Sydney Ireland,6289,,Tier 3,0.75,42.9001,-85.3711,dbef995b-9897-4c5e-bdf6-804e8fce4960,,,,,,,,,3,2026-05-14,3,,,,,,,,
001Hr000028ZcLF,"Webster Township, MI",Michigan,Municipality,Sydney Ireland,6661,Open Opportunity,Tier 3,0.75,42.3654,-83.8261,5741142e-0219-47c2-b024-6fa6692543d8,Open,Proposal,Mid Funnel,Sydney Ireland,3/10/2026,3/3/2026,"$5,000",,,,,,,,,,,,
001Hr000028ZcMP,"Township Of Mayfield, MI",Michigan,Municipality,Sydney Ireland,7980,,Tier 3,0.75,43.1126,-83.272,2a259024-a4b7-41c3-a4e3-9a752f0273ff,,,,,,,,,,,,,,,,,,,
001Hr000028ZcMl,"City Of Northville, MI",Michigan,Municipality,Sydney Ireland,6074,,Tier 3,0.75,42.4311,-83.4833,2ffb7af3-dcad-49f2-a669-571b2c0ac6be,,,,,,,,,11,2026-05-18,11,,,,,,,,
001Hr000028ZcNs,"Fruitland Township, MI",Michigan,Municipality,Sydney Ireland,5816,,Tier 3,0.75,43.3296,-86.358,8be9f342-a64b-4bf9-8e14-35888472d891,,,,,,,,,,,,,,,,,,,
001Hr000028ZcO4,"City Of Flushing, MI",Michigan,Municipality,Sydney Ireland,8344,,Tier 3,0.75,43.0631,-83.8511,92a9e703-a1ff-40c1-b0f0-a9b88dad0147,,,,,,,,,6,2026-03-20,6,,,,,,,,
001Hr000028ZcOh,"Township Of Dundee, MI",Michigan,Municipality,Sydney Ireland,8424,,Tier 3,0.75,41.9648,-83.6987,f9d1bf10-4fa3-4f6b-aaeb-32a465f3f490,,,,,,,,,1,2026-03-23,1,,,,,,,,
001Hr000028ZcPB,"Township Of Ontwa, MI",Michigan,Municipality,Sydney Ireland,6872,Nurture,Tier 3,0.75,41.7822,-86.0428,2f3789d5-5c31-4f79-ba3d-f441fa1d1644,Closed Lost,,,Sydney Ireland,1/28/2026,1/27/2026,,,2,2026-01-27,2,,,,,,,,
001Hr000028ZcPP,"City Of Brighton, MI",Michigan,Municipality,Sydney Ireland,7461,,Tier 3,0.75,42.5295,-83.7802,67450bcb-7a1a-4822-9c8d-29562c86401f,,,,,,,,,7,2026-05-19,6,,,,,,,1,
001Hr000028ZcPa,"Charter Township Of Jamestown, MI",Michigan,Municipality,Sydney Ireland,9923,,Tier 3,0.75,42.8257,-85.8422,dee08d17-0a18-43aa-8f34-6553bae20eaa,,,,,,,,,3,2026-03-20,3,,,,,,,,
001Hr000028ZcRr,"City Of Harper Woods, MI",Michigan,Municipality,Nick Martino,15275,,Tier 2,1.0,42.4331,-82.9241,e3488ecf-38bb-4250-b46d-10ff0a2404e5,,,,,,,,,13,2025-11-10,,,13,,,,,,
001Hr000028ZcSj,"City Of Mt Clemens, MI",Michigan,Municipality,Nick Martino,15473,,Tier 2,1.0,42.5973,-82.878,7f267d1d-7b32-41f6-bb77-233a0d279688,,,,,,,,,1,2025-10-08,,,1,,,,,,
001Hr000028ZcSp,"Township Of Richland, MI",Michigan,Municipality,Sydney Ireland,8735,,Tier 3,0.75,42.3631,-85.4582,cd3821ef-2a84-44da-9771-a2554b088df4,,,,,,,,,,,,,,,,,,,
001Hr000028ZcSz,"Township Of Oakfield, MI",Michigan,Municipality,Sydney Ireland,6150,,Tier 3,0.75,43.1783,-85.3756,1b93537e-9c46-46e0-98ad-822bdd1f1f12,,,,,,,,,,,,,,,,,,,
001Hr000028ZcTR,"Township of Forsyth, MI",Michigan,Municipality,Sydney Ireland,6238,,Tier 3,0.75,42.9275,-83.63,eb4d3eaf-a6f2-4571-8b80-c28d8010b762,,,,,,,,,1,2026-03-24,1,,,,,,,,
001Hr000028ZcTY,"Charter Township Of Bloomfield, MI",Michigan,Municipality,Ali Cohen,43983,,Tier 1,1.5,42.5813,-83.2812,b6496c5c-316b-4b38-b550-e48ff7557f72,,,,,,,,,10,2026-02-12,,10,,,,,,,
001Hr000028ZcTl,"Township Of Carrollton, MI",Michigan,Municipality,Sydney Ireland,5696,,Tier 3,0.75,43.4509,-83.946,5a889ec2-f402-4426-b540-6f7f46617269,,,,,,,,,3,2026-04-23,3,,,,,,,,
001Hr000028ZcUB,"City Of Utica, MI",Michigan,Municipality,Ali Cohen,5177,,Tier 3,0.75,42.6261,-83.0335,eaf33fec-16c7-4947-96e3-00e9bd3c0f2a,,,,,,,,,,,,,,,,,,,
001Hr000028ZcUC,"City of St. Clair, MI",Michigan,Municipality,Ali Cohen,5354,Open Opportunity,Tier 3,0.75,42.8209,-82.486,4966917f-bd18-4972-9349-10f110b74b5f,Open,Sales Qualified,Mid Funnel,Jason Ginsberg,3/24/2026,3/12/2026,,,3,2026-04-09,,1,,,,2,,,
001Hr000028ZcUL,"City Of East Lansing, MI",Michigan,Municipality,Ali Cohen,46854,,Tier 1,1.5,42.737,-84.4839,449ca404-f6e8-4291-a066-772a4924aa7a,,,,,,,,,,,,,,,,,,,
001Hr000028ZcUg,"Paw Paw Township, MI",Michigan,Municipality,Sydney Ireland,6851,,Tier 3,0.75,42.2048,-85.9272,2d93c983-67b4-4419-9c42-7a7a27967319,,,,,,,,,5,2026-04-24,5,,,,,,,,
001Hr000028ZcUk,"City Of Allegan, MI",Michigan,Municipality,Sydney Ireland,5179,,Tier 3,0.75,42.5292,-85.8553,c187cf22-9398-4683-80e8-cbc48619e5df,,,,,,,,,,,,,,,,,,,
001Hr000028ZcUl,"City Of Petoskey, MI",Michigan,Municipality,Sydney Ireland,5905,,Tier 3,0.75,45.375,-84.9585,9f0f489c-0185-46b4-bbc4-eb59f1fa0c30,,,,,,,,,1,2026-02-25,1,,,,,,,,
001Hr000028ZcUx,"Township Of Rose, MI",Michigan,Municipality,Sydney Ireland,6169,Open Opportunity,Tier 3,0.75,42.7444,-83.6136,d4ded885-cebb-43fd-bb13-3423f5e78e01,Open,Verbal,Mid Funnel,Sydney Ireland,3/20/2026,3/18/2026,"$7,000",,2,2026-03-24,2,,,,,,,,
001Hr000028ZcVJ,"Township Of Yankee Springs, MI",Michigan,Municipality,Sydney Ireland,5356,,Tier 3,0.75,42.639,-85.4994,40011754-aa05-4280-88c9-c529f604229c,,,,,,,,,4,2026-04-02,4,,,,,,,,
001Hr000028ZcVd,"Charter Township Of Mundy, MI",Michigan,Municipality,Ali Cohen,15209,,Tier 2,1.0,42.9069,-83.7412,c9d2a9a6-3fd4-40f2-a091-b36459f7323b,,,,,,,,,,,,,,,,,,,
001Hr000028ZcVx,"Charter Township Of Gunplain, MI",Michigan,Municipality,Sydney Ireland,6148,,Tier 3,0.75,42.4856,-85.5818,bbe8468e-e1a0-41a2-ae16-a5dc196868a9,,,,,,,,,,,,,,,,,,,
001Hr000028ZcW2,"City Of Eaton Rapids, MI",Michigan,Municipality,Sydney Ireland,5198,,Tier 3,0.75,42.5092,-84.6558,64cc32d4-5ec7-4d93-87ab-17c302b009af,,,,,,,,,9,2026-05-11,9,,,,,,,,
001Hr000028ZcWH,"Township Of Grosse Ile, MI",Michigan,Municipality,Nick Martino,10654,,Tier 2,1.0,42.1303,-83.1488,6ca7b672-06da-431a-859f-eff2673d1904,,,,,,,,,,,,,,,,,,,
001Hr000028ZcWV,"Township Of Ash, MI",Michigan,Municipality,Sydney Ireland,7898,,Tier 3,0.75,42.0593,-83.3909,30d91b97-1b2a-4bed-8715-57a95e467759,,,,,,,,,,,,,,,,,,,
001Hr000028ZcWq,"Township Of Howard, MI",Michigan,Municipality,Sydney Ireland,6313,,Tier 3,0.75,41.8356,-86.1548,66b212f1-df48-406f-9cc2-5f295bd64b9d,,,,,,,,,2,2026-03-25,2,,,,,,,,
001Hr000028ZcWw,"Township Of Schoolcraft, MI",Michigan,Municipality,Sydney Ireland,9156,,Tier 3,0.75,42.1317,-85.5818,d90eae4d-8029-4f93-b24f-18e53d183c7e,,,,,,,,,,,,,,,,,,,
001Hr000028ZcXU,"Charter Township Of Chocolay, MI",Michigan,Municipality,Sydney Ireland,5953,,Tier 3,0.75,46.4924,-87.3554,4340352a-1d1a-462c-9310-cc06d4f56d2b,,,,,,,,,2,2026-03-25,2,,,,,,,,
001Hr000028ZcXd,"City Of River Rouge, MI",Michigan,Municipality,Sydney Ireland,7115,Nurture,Tier 3,0.75,42.2734,-83.1344,12626589-8abb-4a29-bc21-e9f2dedf368f,Closed Lost,,,Sydney Ireland,4/27/2026,3/19/2026,,,15,2026-05-01,15,,,,,,,,
001Hr000028ZcXe,"City Of St Johns, MI",Michigan,Municipality,Ali Cohen,7653,,Tier 3,0.75,43.0011,-84.5592,a67454d9-df33-4f8c-b019-018d1bc1250c,,,,,,,,,1,2025-09-30,,,,1,,,,,
001Hr000028ZcYT,"Hampton Charter Township, MI",Michigan,Municipality,Sydney Ireland,9681,,Tier 3,0.75,43.6156,-83.8166,21152317-fa0c-4c67-a731-56b3a49695a0,,,,,,,,,4,2026-03-18,4,,,,,,,,
001Hr000028ZcYd,"City Of Grandville, MI",Michigan,Municipality,Nick Martino,15953,,Tier 2,1.0,42.9097,-85.7631,15d9a800-c973-4511-8f23-000ea8c30283,,,,,,,,,3,2025-10-13,,,3,,,,,,
001Hr000028ZcYf,"Township Of Royalton, MI",Michigan,Municipality,Sydney Ireland,5152,,Tier 3,0.75,42.0129,-86.4289,8e5b1cff-1f92-4573-b697-ed320c32352b,,,,,,,,,6,2026-04-08,6,,,,,,,,
001Hr000028ZcYm,"City Of Grosse Pointe Farms, MI",Michigan,Municipality,Ali Cohen,10004,,Tier 2,1.0,42.4092,-82.8919,c3dd3308-e891-4b08-9eb3-fccd5868ffc3,,,,,,,,,,,,,,,,,,,
001Hr000028ZcZ1,"Township Of Reynolds, MI",Michigan,Municipality,Sydney Ireland,5736,,Tier 3,0.75,43.4146,-85.4994,5969805f-2937-4c75-b346-fc5b7eead2e3,,,,,,,,,2,2026-03-25,2,,,,,,,,
001Hr000028ZcZJ,"Township Of Solon, MI",Michigan,Municipality,Sydney Ireland,6514,,Tier 3,0.75,43.2652,-85.6229,acb72944-558f-49c8-98c3-8345161adf48,,,,,,,,,1,2026-03-18,1,,,,,,,,
001Hr000028ZcZR,"Township Of Genoa, MI",Michigan,Municipality,Ali Cohen,20831,,Tier 2,1.0,42.5634,-83.8685,2e2bd6e3-dd08-4b23-9107-6b566344fb2b,,,,,,,,,,,,,,,,,,,
001Hr000028ZcZU,"City Of Hazel Park, MI",Michigan,Municipality,Nick Martino,14900,,Tier 2,1.0,42.4625,-83.1041,3d4283a0-fa76-4c84-a1c0-e50dd2015d50,,,,,,,,,6,2025-10-29,,,6,,,,,,
001Hr000028ZcZq,"Township Of Lenox, MI",Michigan,Municipality,Nick Martino,12306,,Tier 2,1.0,42.7627,-82.7988,9a1fec2c-c390-490e-b5c6-1a7f50091c26,,,,,,,,,,,,,,,,,,,
001Hr000028ZcZv,"City Of Norton Shores, MI",Michigan,Municipality,Ali Cohen,25185,Nurture,Tier 1,1.5,43.1689,-86.2639,2a1bb9ed-4cfb-48c3-a8e2-7657a4b1050d,Closed Lost,,,Quinzel Perry,,1/5/2025,,,1,2026-04-29,,1,,,,,,,
001Hr000028Zca5,"Grand Haven Charter Township, MI",Michigan,Municipality,Ali Cohen,17870,,Tier 2,1.0,43.0012,-86.2008,a9dcbb71-5940-4309-a681-54384b128e99,,,,,,,,,,,,,,,,,,,
001Hr000028Zca9,"Township of Armada, MI",Michigan,Municipality,Sydney Ireland,5336,,Tier 3,0.75,42.8596,-82.9286,c7bc6a90-3c22-4f82-b285-fdf7474aa76f,,,,,,,,,1,2026-03-25,1,,,,,,,,
001Hr000028ZcaU,"City Of Frankenmuth, MI",Michigan,Municipality,Sydney Ireland,5193,,Tier 3,0.75,43.3317,-83.738,43211d33-247d-4167-b772-a03f72f7f0a8,,,,,,,,,4,2026-05-11,4,,,,,,,,
001Hr000028Zcar,"Charter Township Of Bedford, MI",Michigan,Municipality,Sydney Ireland,9233,,Tier 3,0.75,42.3953,-85.2322,4de4b149-1de8-4cb7-8259-b37a0bb6b0f8,,,,,,,,,,,,,,,,,,,
001Hr000028ZcbG,"Williamston Township, MI",Michigan,Municipality,Sydney Ireland,5282,,Tier 3,0.75,42.7433,-84.3332,709ef580-7b2a-4ba3-979c-b6a3a22cebc7,,,,,,,,,,,,,,,,,,,
001Hr000028ZcbR,"Charter Township Of Mt Morris, MI",Michigan,Municipality,Ali Cohen,19834,,Tier 2,1.0,43.0607,-83.7532,23a902d3-8b2f-4203-a798-2de8f4763704,,,,,,,,,,,,,,,,,,,
001Hr000028Zcbe,"Township Of Tyrone, MI",Michigan,Municipality,Sydney Ireland,5061,Open Opportunity,Tier 3,0.75,43.2195,-85.7512,46a4e365-2f93-4d2a-82cb-7a1327e6b211,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,1,2026-05-07,1,,,,,,,,
001Hr000028Zcbj,"Township Of Otsego, MI",Michigan,Municipality,Ali Cohen,5961,,Tier 3,0.75,42.4526,-85.7462,32837f36-4e37-48dc-ba3c-d19b02443b85,,,,,,,,,1,2025-08-18,,,,1,,,,,
001Hr000028Zcby,"City Of Milan, MI",Michigan,Municipality,Sydney Ireland,6049,,Tier 3,0.75,42.0853,-83.6824,a868fe57-ddee-4f1e-bd68-fcb9c869a0c2,,,,,,,,,2,2026-03-09,2,,,,,,,,
001Hr000028Zcc4,"Township Of Birch Run, MI",Michigan,Municipality,Sydney Ireland,5872,Open Opportunity,Tier 3,0.75,43.255,-83.7412,5b264406-f745-4e42-bbca-5c22122be5fc,Open,Initial Interest,Top of Funnel,Sydney Ireland,3/26/2026,3/24/2026,,,5,2026-03-27,5,,,,,,,,
001Hr000028Zcc5,"Village Of Milford, MI",Michigan,Municipality,Sydney Ireland,6474,,Tier 3,0.75,42.5917,-83.6004,b9238d76-9551-438b-84e1-ceba2f00f9d0,,,,,,,,,2,2026-03-25,2,,,,,,,,
001Hr000028ZccD,"City Of Springfield, MI",Michigan,Municipality,Sydney Ireland,5270,,Tier 3,0.75,42.3264,-85.2392,507bde64-ed33-466a-93aa-977b240d28aa,,,,,,,,,,,,,,,,,,,
001Hr000028Zccd,"Township Of Elba, MI",Michigan,Municipality,Sydney Ireland,5232,,Tier 3,0.75,43.004,-83.4003,c6e3673a-423b-4746-9c77-c08590ab29a5,,,,,,,,,2,2026-01-29,2,,,,,,,,
001Hr000028Zccs,"Charter Township Of Williams, MI",Michigan,Municipality,Sydney Ireland,5014,,Tier 3,0.75,41.903,-83.4267,49fc6219-6f01-44c5-b96a-d5547a2e4290,,,,,,,,,9,2026-04-29,9,,,,,,,,
001Hr000028ZcdY,"Township Of Park, MI",Michigan,Municipality,Nick Martino,18770,,Tier 2,1.0,42.8102,-86.1853,a1cc4ea2-77cf-455e-8a91-0fb3935808be,,,,,,,,,,,,,,,,,,,
001Hr000028Zcdb,"Springfield Charter Township, MI",Michigan,Municipality,Nick Martino,14699,,Tier 2,1.0,42.7493,-83.5001,38d4cea6-1696-42c5-89ed-e50b22feb5d2,,,,,,,,,6,2026-03-06,,,6,,,,,,
001Hr000028Zcdi,"Charter Township Of Montrose, MI",Michigan,Municipality,Sydney Ireland,5974,,Tier 3,0.75,43.1766,-83.8632,5d2ddf83-03d6-4ea0-bf30-93c6248dafea,,,,,,,,,2,2026-03-24,2,,,,,,,,
