Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Jenny Allison,Calls - Alicia Gopal,Calls - Leila Assil,Calls - Sydney Ireland,Calls - Blake Anderson,Calls - Nick Martino,Calls - Ali Cohen,Calls - Ryan Minter,Calls - Emily Murnane
001Hr000028Zc7c,"Town Of Chatham, MA",Massachusetts,Municipality,Blake Anderson,6703,Nurture,Tier 3,0.75,41.6827,-69.9616,5f02609e-398c-4d3a-b6f9-b98a8ddf6d72,Closed Lost,,,Leila Assil,2/19/2026,1/23/2026,,,3,2026-02-19,,,,3,,,,,
001Hr000028ZcFC,"Town Of Winchendon, MA",Massachusetts,Municipality,Blake Anderson,10352,,Tier 2,1.0,42.6871,-72.044,aaf21309-eaf2-4a3d-a275-c5dcd9646d37,,,,,,,,,13,2025-11-25,13,,,,,,,,
001Hr000028ZcFv,"Town Of Hamilton, MA",Massachusetts,Municipality,Blake Anderson,7539,,Tier 3,0.75,42.6362,-70.8431,80162f84-42c2-4cd6-9637-5a55ebe32eaa,,,,,,,,,,,,,,,,,,,
001Hr000028ZcGJ,"Town Of Swansea, MA",Massachusetts,Municipality,Blake Anderson,17259,,Tier 2,1.0,41.7482,-71.1896,a0e79caa-5d1d-4616-a462-7e5a07c49dc1,,,,,,,,,6,2025-12-16,6,,,,,,,,
001Hr000028ZcGU,"Town Of Northbridge, MA",Massachusetts,Municipality,Blake Anderson,16298,,Tier 2,1.0,42.1516,-71.6494,91a1b4ea-c6e1-4d56-98a9-6ca71eab728c,,,,,,,,,3,2025-11-13,3,,,,,,,,
001Hr000028ZcGd,"Town Of Clinton, MA",Massachusetts,Municipality,Alicia Gopal,15381,,Tier 2,1.0,42.4232,-71.6836,92735cf3-0278-4ead-9de1-200f3b78e2d2,,,,,,,,,10,2025-10-08,10,,,,,,,,
001Hr000028ZcGr,"Town Of Nantucket, MA",Massachusetts,Municipality,Alicia Gopal,14491,Open Opportunity,Tier 2,1.0,41.2853,-70.0988,3176dd96-4be6-4c2c-9e60-ddff2cde9eba,Open,Initial Interest,Top of Funnel,Alicia Gopal,,5/12/2026,,,19,2026-05-19,15,4,,,,,,,
001Hr000028ZcJm,"Town Of Sutton, MA",Massachusetts,Municipality,Alicia Gopal,9361,,Tier 3,0.75,42.15,-71.7633,f2fb3a84-0434-4e2b-a9b3-566e05736db0,,,,,,,,,14,2025-11-24,14,,,,,,,,
001Hr000028ZcKd,"Town Of Williamstown, MA",Massachusetts,Municipality,Blake Anderson,7813,,Tier 3,0.75,42.7113,-73.1995,32957992-fec1-4e16-9aa0-b64f509e8f26,,,,,,,,,19,2025-11-25,5,,14,,,,,,
001Hr000028ZcKl,"Town Of Marion, MA",Massachusetts,Municipality,Alicia Gopal,5333,,Tier 3,0.75,41.7024,-70.7657,dc43fb6f-331e-482b-b78d-29a613f0841d,,,,,,,,,,,,,,,,,,,
001Hr000028ZcKt,"City Of Attleboro, MA",Massachusetts,Municipality,Alicia Gopal,46580,Open Opportunity,Tier 1,1.5,41.9443,-71.2814,b73b6c77-658a-4f0a-b540-08d70d7b1d60,Open,Proposal,Mid Funnel,Alicia Gopal,2/4/2026,2/2/2026,"$56,000",,23,2026-04-17,,12,11,,,,,,
001Hr000028ZcLD,"Town Of Hopedale, MA",Massachusetts,Municipality,Blake Anderson,5998,,Tier 3,0.75,42.1264,-71.5368,a7efbe84-08ce-4911-a998-25538165c7c4,,,,,,,,,3,2025-09-18,,,3,,,,,,
001Hr000028ZcLH,"Town Of Merrimac, MA",Massachusetts,Municipality,Alicia Gopal,6705,,Tier 3,0.75,42.8341,-71.0006,80ad89da-9e8b-40a5-938a-78d819179861,,,,,,,,,,,,,,,,,,,
001Hr000028ZcLZ,"Town Of Dighton, MA",Massachusetts,Municipality,Blake Anderson,8150,,Tier 3,0.75,41.8439,-71.1567,4602161d-bc0c-4cf7-be46-ca6338ae62dd,,,,,,,,,,,,,,,,,,,
001Hr000028ZcLe,"Town Of Leicester, MA",Massachusetts,Municipality,Blake Anderson,11048,,Tier 2,1.0,42.2459,-71.9087,c9ab7ab0-216f-4c82-a08b-19cf72b52f09,,,,,,,,,31,2026-04-06,20,,11,,,,,,
001Hr000028ZcNn,"Town Of Dalton, MA",Massachusetts,Municipality,Blake Anderson,6290,,Tier 3,0.75,42.4737,-73.1662,e8166f63-9276-4d52-ac7e-f13ee740633e,,,,,,,,,2,2025-12-01,2,,,,,,,,
001Hr000028ZcNy,"Town Of Hanson, MA",Massachusetts,Municipality,Alicia Gopal,10674,Open Opportunity,Tier 2,1.0,42.0655,-70.8664,9e485c60-672e-4795-a618-32f0ace21c76,Open,Meeting Booked,Top of Funnel,Alicia Gopal,4/16/2026,4/8/2026,,,18,2026-04-14,,18,,,,,,,
001Hr000028ZcOl,"Town Of Hadley, MA",Massachusetts,Municipality,Alicia Gopal,5272,Open Opportunity,Tier 3,0.75,42.3418,-72.5884,0639f0a5-d635-4a39-af92-630af7ae8953,Open,Initial Interest,Top of Funnel,Leila Assil,,7/10/2025,,,15,2026-01-26,3,,11,1,,,,,
001Hr000028ZcPe,"Town Of Lexington, MA",Massachusetts,Municipality,Blake Anderson,34071,,Tier 1,1.5,42.4474,-71.2272,6e9f78dc-0087-4e95-a55d-162599847f76,,,,,,,,,7,2025-07-15,,,7,,,,,,
001Hr000028ZcPz,"Town Of Westborough, MA",Massachusetts,Municipality,Blake Anderson,21499,Open Opportunity,Tier 2,1.0,42.2694,-71.6134,edee6735-66c6-4fcf-8e76-3b49edd15fec,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,9,2025-12-16,9,,,,,,,,
001Hr000028ZcQ0,"City Of Melrose, MA",Massachusetts,Municipality,Alicia Gopal,29312,,Tier 1,1.5,42.4548,-71.0655,8fd49c67-25a8-46dd-b2d9-6dda022a3033,,,,,,,,,35,2026-05-04,6,27,2,,,,,,
001Hr000028ZcQ4,"Town Of Wenham, MA",Massachusetts,Municipality,Blake Anderson,4987,,Tier 3,0.75,42.6048,-70.8867,b80d2466-cfee-4fa1-9454-a43dd15fc463,,,,,,,,,6,2025-11-25,6,,,,,,,,
001Hr000028ZcR1,"Town Of Topsfield, MA",Massachusetts,Municipality,Alicia Gopal,6555,,Tier 3,0.75,42.6418,-70.9505,8795072d-187a-4c27-a0fc-5fa13c6eadc3,,,,,,,,,,,,,,,,,,,
001Hr000028ZcRw,"Town Of Dudley, MA",Massachusetts,Municipality,Blake Anderson,11884,,Tier 2,1.0,42.0434,-71.9276,e7bf850d-79d4-4c7c-bfdc-7935ba10cae5,,,,,,,,,8,2025-06-26,,,8,,,,,,
001Hr000028ZcS6,"Town Of Wilmington, MA",Massachusetts,Municipality,Alicia Gopal,23012,,Tier 2,1.0,42.5482,-71.1724,679e32a6-0c81-4c69-bf61-2af6b8178eda,,,,,,,,,11,2025-12-16,11,,,,,,,,
001Hr000028ZcSd,"City Of Southbridge Town, MA",Massachusetts,Municipality,Alicia Gopal,17657,,Tier 2,1.0,42.075,-72.0337,5caed217-0e20-4a6b-a577-9777165899dc,,,,,,,,,,,,,,,,,,,
001Hr000028ZcT8,"Town Of Eastham, MA",Massachusetts,Municipality,Blake Anderson,5832,,Tier 3,0.75,41.8565,-69.987,068febf0-34ff-4c07-8bc5-3db860450e42,,,,,,,,,,,,,,,,,,,
001Hr000028ZcT9,"Town Of Rutland, MA",Massachusetts,Municipality,Blake Anderson,9169,,Tier 3,0.75,42.3692,-71.9477,c1a10729-c4bf-489b-8db6-5d9ab8081cf7,,,,,,,,,4,2025-06-10,,,4,,,,,,
001Hr000028ZcTB,"Town Of Deerfield, MA",Massachusetts,Municipality,Alicia Gopal,5115,,Tier 3,0.75,42.5446,-72.6056,2e7e3b23-b97c-45c7-a313-0e6ca6ef1bf9,,,,,,,,,5,2025-06-16,,,5,,,,,,
001Hr000028ZcU2,"Town Of Boxborough, MA",Massachusetts,Municipality,Blake Anderson,5425,,Tier 3,0.75,42.4838,-71.5116,7f26687d-ddd7-411c-8519-9a85d02bd646,,,,,,,,,12,2025-06-26,,,12,,,,,,
001Hr000028ZcUK,"Town of Franklin, MA",Massachusetts,Municipality,Alicia Gopal,33057,Open Opportunity,Tier 1,1.5,42.0807,-71.3891,dc0e1b2f-0432-46d0-9880-a8bb75a17fec,Open,Initial Interest,Top of Funnel,Sydney Ireland,,1/23/2026,,,,,,,,,,,,,
001Hr000028ZcV8,"Town Of Berkley, MA",Massachusetts,Municipality,Alicia Gopal,6785,,Tier 3,0.75,41.8459,-71.0828,b81da952-cbd0-42b1-93b2-7baa4bd6be8b,,,,,,,,,,,,,,,,,,,
001Hr000028ZcV9,"Town Of Lincoln, MA",Massachusetts,Municipality,Alicia Gopal,6890,Open Opportunity,Tier 3,0.75,42.4259,-71.3039,1e1d9537-52c5-4667-81f2-d33785861b82,Closed Lost,,,Leila Assil,7/29/2025,6/6/2025,,,5,2025-08-04,,,5,,,,,,
001Hr000028ZcVb,"Town Of Tyngsborough, MA",Massachusetts,Municipality,Blake Anderson,12421,,Tier 2,1.0,42.6767,-71.4244,7532cc04-7648-4dad-8a96-a6166c1b0877,,,,,,,,,15,2025-12-16,7,,8,,,,,,
001Hr000028ZcWF,"Town Of Plainville, MA",Massachusetts,Municipality,Alicia Gopal,9945,,Tier 3,0.75,42.0043,-71.3328,4baecc82-1cae-41af-a920-536cb0e89726,,,,,,,,,10,2025-07-07,,,10,,,,,,
001Hr000028ZcX8,"Town Of Newbury, MA",Massachusetts,Municipality,Alicia Gopal,6701,,Tier 3,0.75,42.7649,-70.8715,fb1d96b2-95d9-47cc-97f2-bdfcd8523854,,,,,,,,,19,2025-12-11,19,,,,,,,,
001Hr000028ZcXV,"Town Of Winchester, MA",Massachusetts,Municipality,Alicia Gopal,22662,,Tier 2,1.0,42.4523,-71.137,128ffa94-11af-47c7-b48e-99988937068c,,,,,,,,,4,2025-09-30,4,,,,,,,,
001Hr000028ZcY4,"Town Of Bourne, MA",Massachusetts,Municipality,Blake Anderson,20709,,Tier 2,1.0,41.7496,-70.6034,88694ddb-9ee2-444b-82cf-36c0045209b9,,,,,,,,,3,2026-01-30,,1,2,,,,,,
001Hr000028ZcYc,"Town Of Swampscott, MA",Massachusetts,Municipality,Alicia Gopal,15155,Open Opportunity,Tier 2,1.0,42.4709,-70.9176,dbc16142-bd55-4633-a870-4ed1dfd76df6,Open,Demo,Mid Funnel,Alicia Gopal,1/28/2026,1/22/2026,,,9,2026-01-22,8,1,,,,,,,
001Hr000028ZcYi,"Town Of West Boylston, MA",Massachusetts,Municipality,Alicia Gopal,7855,,Tier 3,0.75,42.3668,-71.7856,1f5565f3-2368-446f-9c65-ca10bb55282a,,,,,,,,,10,2025-07-02,,,10,,,,,,
001Hr000028ZcZ0,"Town Of Carlisle, MA",Massachusetts,Municipality,Blake Anderson,5181,,Tier 3,0.75,42.5293,-71.3495,8ea79f30-aa47-4a4c-a615-fbb0c2992c31,,,,,,,,,,,,,,,,,,,
001Hr000028ZcZG,"Town Of Manchester-By-The-Sea, MA",Massachusetts,Municipality,Blake Anderson,5363,,Tier 3,0.75,42.5778,-70.7676,d2428361-86d9-4c6b-bb63-674ad9352a7f,,,,,,,,,13,2026-05-18,,,10,,3,,,,
001Hr000028Zca0,"Town Of Great Barrington, MA",Massachusetts,Municipality,Blake Anderson,7164,Open Opportunity,Tier 3,0.75,42.196,-73.362,3a3da825-c046-47e2-a7d2-ed2859d307d6,,,,,,,,,,,,,,,,,,,
001Hr000028Zca4,"Town Of Abington, MA",Massachusetts,Municipality,Alicia Gopal,17094,,Tier 2,1.0,42.1048,-70.9453,8e2d4a7a-3fd6-4abf-a04b-72c03d1dcd23,,,,,,,,,,,,,,,,,,,
001Hr000028ZcaF,"Town Of Yarmouth, MA",Massachusetts,Municipality,Alicia Gopal,25286,,Tier 1,1.5,41.6594,-70.2033,68120bbc-4d15-4339-a682-b08420195e20,,,,,,,,,,,,,,,,,,,
001Hr000028ZcaO,"Town Of Bolton, MA",Massachusetts,Municipality,Alicia Gopal,5676,,Tier 3,0.75,42.4334,-71.6078,11384427-a515-45ae-811b-2e1579d1ce39,,,,,,,,,23,2026-04-08,23,,,,,,,,
001Hr000028Zcax,"Town Of Lee, MA",Massachusetts,Municipality,Blake Anderson,5755,Open Opportunity,Tier 3,0.75,42.3042,-73.2487,9ca7a803-5c81-4e3e-9352-01ec933a6cdf,Open,Proposal,Mid Funnel,Leila Assil,7/31/2025,5/21/2025,"$70,000",,13,2025-07-30,,,13,,,,,,
001Hr000028ZcbI,"Town Of Belchertown, MA",Massachusetts,Municipality,Blake Anderson,15279,Open Opportunity,Tier 2,1.0,42.28,-72.4035,0575e51a-7be8-4776-89b4-aac8829aa1c0,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,8,2025-12-04,5,,3,,,,,,
001Hr000028ZcbN,"Town Of Carver, MA",Massachusetts,Municipality,Alicia Gopal,11668,Open Opportunity,Tier 2,1.0,41.89,-70.7704,e02bb31e-6628-4493-8b1c-b76ba6297d9d,Open,Meeting Booked,Top of Funnel,Alicia Gopal,5/12/2026,4/30/2026,,,35,2026-05-12,,21,5,9,,,,,
001Hr000028ZcbQ,"Town Of Ashland, MA",Massachusetts,Municipality,Alicia Gopal,18560,,Tier 2,1.0,42.2612,-71.4634,39d0d5d0-bff1-48ba-a794-ebd3749d11fd,,,,,,,,,6,2025-10-14,6,,,,,,,,
001Hr000028Zcbv,"Town Of Rowley, MA",Massachusetts,Municipality,Blake Anderson,6131,,Tier 3,0.75,42.7188,-70.8807,dc9d6dd0-8dca-4ec7-8bfa-352b7bdc3f21,,,,,,,,,,,,,,,,,,,
001Hr000028ZccU,"Town Of Georgetown, MA",Massachusetts,Municipality,Alicia Gopal,8416,,Tier 3,0.75,42.7251,-70.9912,ae40940c-7a44-480a-ae27-8c9db61ff45e,,,,,,,,,4,2025-10-02,4,,,,,,,,
001Hr000028Zcca,"Town Of Athol, MA",Massachusetts,Municipality,Alicia Gopal,11905,Nurture,Tier 2,1.0,42.5959,-72.2267,e739869e-f2b8-4190-a1c4-cce78ba60891,Open,Initial Interest,Top of Funnel,Leila Assil,2/13/2025,1/5/2025,,,15,2026-01-28,,9,6,,,,,,
001Hr000028Zccf,"Town Of Sterling, MA",Massachusetts,Municipality,Alicia Gopal,8152,,Tier 3,0.75,42.438,-71.7595,57804f9f-93a6-4da0-8108-4e2bbccd3450,,,,,,,,,4,2025-06-11,,,4,,,,,,
001Hr000028Zccn,"Town Of Lenox, MA",Massachusetts,Municipality,Blake Anderson,5099,Open Opportunity,Tier 3,0.75,42.3572,-73.285,78d10cb7-d8c5-4905-9a25-480934632182,,,,,,,,,,,,,,,,,,,
001Hr000028Zcd7,"Town Of East Longmeadow, MA",Massachusetts,Municipality,Blake Anderson,16370,,Tier 2,1.0,42.0645,-72.5126,d0cc0884-1a47-423d-9f62-f631796a435c,,,,,,,,,8,2025-11-04,8,,,,,,,,
001Hr000028ZcdL,"Town Of Paxton, MA",Massachusetts,Municipality,Alicia Gopal,5028,,Tier 3,0.75,42.3115,-71.9278,86dace41-7731-48e5-aa0f-e978be2c4ba5,,,,,,,,,,,,,,,,,,,
001Hr000028ZcdQ,"Town Of Southampton, MA",Massachusetts,Municipality,Alicia Gopal,6187,,Tier 3,0.75,42.2293,-72.7301,529ad6c8-8f5d-4f19-b99b-4bb867199e3f,,,,,,,,,,,,,,,,,,,
001Hr000028Zcdp,"Town Of Edgartown, MA",Massachusetts,Municipality,Blake Anderson,5302,,Tier 3,0.75,41.3914,-70.5196,d53da7c3-b854-4569-9ddc-c5f2436ac09b,,,,,,,,,7,2025-06-26,,,7,,,,,,
001Hr000028ZceA,"Town Of Ware, MA",Massachusetts,Municipality,Alicia Gopal,10178,Nurture,Tier 2,1.0,42.2606,-72.2426,ba3b6ccf-7203-4fe5-a8cc-054f745b1c4c,,,,,,,,,,,,,,,,,,,
001Hr000028ZceQ,"Town Of Hopkinton, MA",Massachusetts,Municipality,Blake Anderson,18943,Recent Competitor Purchase,Tier 2,1.0,42.2284,-71.5221,5d212f38-5450-408f-a73b-d7a04d98aea8,Closed Lost,,,Leila Assil,12/9/2024,1/5/2025,,,3,2025-11-10,3,,,,,,,,
001Hr000028ZceW,"Town Of Adams, MA",Massachusetts,Municipality,Blake Anderson,8100,,Tier 3,0.75,42.6251,-73.119,038e5d49-cfbb-4feb-b38c-9073a3ecfbf1,,,,,,,,,3,2025-09-18,,,3,,,,,,
001Hr000028Zcei,"Town Of Oak Bluffs, MA",Massachusetts,Municipality,Alicia Gopal,5472,Open Opportunity,Tier 3,0.75,41.4556,-70.5678,c740bb9c-57e2-40dc-bbc6-f51746e76ee3,Open,Initial Interest,Top of Funnel,Leila Assil,,6/27/2025,,,14,2025-10-22,3,,11,,,,,,
001Hr000028Zcep,"Town Of Hanover, MA",Massachusetts,Municipality,Blake Anderson,14871,,Tier 2,1.0,42.1162,-70.8477,5597c176-ed27-476d-9dc8-ca0c7682f127,,,,,,,,,15,2025-12-16,15,,,,,,,,
001Hr000028Zcet,"Town Of Halifax, MA",Massachusetts,Municipality,Alicia Gopal,7749,,Tier 3,0.75,41.9959,-70.8443,dcb06959-c265-4547-913d-d05178aedd35,,,,,,,,,,,,,,,,,,,
001Hr000028ZcfD,"Town Of Westminster, MA",Massachusetts,Municipality,Blake Anderson,8275,,Tier 3,0.75,42.5459,-71.9106,4bf46b06-82c5-40f0-9e97-596fd4c73609,,,,,,,,,16,2025-12-03,16,,,,,,,,
001Hr000028ZcfF,"Town Of Sturbridge, MA",Massachusetts,Municipality,Blake Anderson,9846,,Tier 3,0.75,42.1083,-72.0808,a0c53b1d-3bfb-41d6-903c-7cffcc9729b3,,,,,,,,,,,,,,,,,,,
001Hr000028ZcfJ,"Town Of Boxford, MA",Massachusetts,Municipality,Alicia Gopal,8141,,Tier 3,0.75,42.6599,-70.9971,24e5332e-f01f-47ae-a0fa-653f633a708a,,,,,,,,,4,2025-10-02,4,,,,,,,,
001Hr000028ZcgO,"Town Of Barre, MA",Massachusetts,Municipality,Blake Anderson,5526,,Tier 3,0.75,42.4224,-72.1048,c0e1cad5-d66e-4e83-910e-1268c7f8ffe9,,,,,,,,,2,2025-09-17,,,2,,,,,,
001Hr000028Zch5,"Town Of Orange, MA",Massachusetts,Municipality,Alicia Gopal,7577,,Tier 3,0.75,42.5886,-72.3096,7bd98fb0-fe9b-4764-a6d7-b1a40d0f132b,,,,,,,,,4,2025-09-25,4,,,,,,,,
001Hr000028Zch6,"Town Of Maynard, MA",Massachusetts,Municipality,Alicia Gopal,10574,1+ Module Live,Tier 2,1.0,42.4303,-71.4604,24559b1d-ecc7-4173-b270-b65a3048da6c,Closed Won,,,Leila Assil,10/28/2024,1/5/2025,"$36,000",,,,,,,,,,,,
001Hr000028Zchb,"Town Of Rochester, MA",Massachusetts,Municipality,Alicia Gopal,5762,,Tier 3,0.75,41.755,-70.8453,38886a6f-5c6a-4705-a5be-fc3e52c80a45,,,,,,,,,8,2025-07-15,,,8,,,,,,
001Hr000028Zcht,"City Of Agawam Town, MA",Massachusetts,Municipality,Blake Anderson,28494,,Tier 1,1.5,42.0895,-72.6271,12750fff-1477-4ac1-ad02-391a5697cd8d,,,,,,,,,3,2026-01-27,,,2,1,,,,,
001Hr000028Zci8,"City Of Newburyport, MA",Massachusetts,Municipality,Alicia Gopal,18295,,Tier 2,1.0,42.8126,-70.8773,ecadc3ea-0fd4-4ef7-afe5-b9327a7616c2,,,,,,,,,7,2025-10-14,7,,,,,,,,
001Hr000028ZciH,"City Of Gardner, MA",Massachusetts,Municipality,Alicia Gopal,21191,Nurture,Tier 2,1.0,42.5751,-71.9981,4113a806-dd78-4b78-891c-35ee0d95f0ab,Closed Lost,,,Jenny Allison,10/6/2025,9/29/2025,"$66,000",,5,2025-09-29,5,,,,,,,,
001Hr000028Zciz,"Town Of Shirley, MA",Massachusetts,Municipality,Alicia Gopal,7279,,Tier 3,0.75,42.5449,-71.6482,4dddca30-7e72-4c09-a75f-3df31fa5af25,,,,,,,,,,,,,,,,,,,
001Hr000028Zcj4,"Town Of Millbury, MA",Massachusetts,Municipality,Blake Anderson,13884,,Tier 2,1.0,42.1913,-71.7606,872585ef-7208-4d05-8cca-6ad766c385c5,,,,,,,,,,,,,,,,,,,
001Hr000028ZcjF,"Town Of Cohasset, MA",Massachusetts,Municipality,Alicia Gopal,8373,,Tier 3,0.75,42.2407,-70.8021,5dbc49b9-89b7-4393-9f51-29ebfd2c6921,,,,,,,,,3,2025-09-18,,,3,,,,,,
001Hr000028Zcjm,"Town Of Mendon, MA",Massachusetts,Municipality,Alicia Gopal,6251,Open Opportunity,Tier 3,0.75,42.1057,-71.5523,56f8fd1c-bc1c-42fc-b7e2-886535fa5d41,Open,Proposal,Mid Funnel,Alicia Gopal,2/11/2026,2/9/2026,"$38,000",,26,2026-03-02,3,14,9,,,,,,
001Hr000028Zcka,"Town Of Ashburnham, MA",Massachusetts,Municipality,Alicia Gopal,6341,Nurture,Tier 3,0.75,42.6355,-71.9097,5683aba1-cda0-43f5-8ba4-3dee8e6b4dc7,Closed Lost,,,Jenny Allison,10/6/2025,9/25/2025,,,4,2025-11-14,4,,,,,,,,
001Hr000028ZclQ,"Town Of Holbrook, MA",Massachusetts,Municipality,Blake Anderson,11335,,Tier 2,1.0,42.1448,-71.0141,e145848f-c7d7-4123-ac21-b3e57ea947fe,,,,,,,,,6,2026-02-05,4,2,,,,,,,
001Hr000028Zclk,"Town Of Fairhaven, MA",Massachusetts,Municipality,Alicia Gopal,15909,,Tier 2,1.0,41.6409,-70.8814,07960f70-76fb-483d-8098-347340c05c50,,,,,,,,,10,2026-05-07,2,,8,,,,,,
001Hr000028Zclu,"Town Of Upton, MA",Massachusetts,Municipality,Blake Anderson,8050,Nurture,Tier 3,0.75,42.1738,-71.6031,33721c91-75ed-46eb-95f9-1cebb0f3f921,Closed Lost,,,Leila Assil,5/9/2025,5/7/2025,,,,,,,,,,,,,
001Hr000028Zclv,"Town Of Ayer, MA",Massachusetts,Municipality,Blake Anderson,8400,,Tier 3,0.75,42.5601,-71.5902,b20551e5-8454-499a-840d-a49b1adc1580,,,,,,,,,11,2025-07-07,,,11,,,,,,
001Hr000028Zcly,"Town Of Rockport, MA",Massachusetts,Municipality,Blake Anderson,6959,,Tier 3,0.75,42.6548,-70.623,a1f19088-7649-4871-a70f-9396aae90d04,,,,,,,,,,,,,,,,,,,
001Hr000028Zcm8,"Town Of West Bridgewater, MA",Massachusetts,Municipality,Blake Anderson,7727,,Tier 3,0.75,42.019,-71.0078,680be7df-b33f-4ceb-894a-1f298e19bf44,,,,,,,,,,,,,,,,,,,
001Hr000028ZcmC,"Town Of Harvard, MA",Massachusetts,Municipality,Blake Anderson,6844,,Tier 3,0.75,42.4962,-71.587,6c1381fe-c4f9-4905-8eae-85928fb55afc,,,,,,,,,,,,,,,,,,,
001Hr000028ZcmF,"Town Of Lakeville, MA",Massachusetts,Municipality,Blake Anderson,11762,,Tier 2,1.0,41.8459,-70.9495,9fd657ac-b91c-459b-a514-46e57a9f11af,,,,,,,,,5,2026-05-18,,,4,,1,,,,
001Hr000028ZcmG,"Town Of Webster, MA",Massachusetts,Municipality,Alicia Gopal,17651,,Tier 2,1.0,42.0501,-71.8801,63f31568-5b64-4b55-9c8c-286608cb220d,,,,,,,,,9,2025-09-24,,,9,,,,,,
001Hr000028ZcmR,"Town Of Groveland, MA",Massachusetts,Municipality,Blake Anderson,6737,,Tier 3,0.75,42.7604,-71.0314,4b182860-f0b8-4dba-98c5-ef1182a97d43,,,,,,,,,,,,,,,,,,,
001Hr000028Zcn2,"Town Of Brewster, MA",Massachusetts,Municipality,Alicia Gopal,10456,,Tier 2,1.0,41.7609,-70.083,f6d83e3a-6d4c-4b40-8ed2-681e4f888289,,,,,,,,,6,2025-07-10,,,6,,,,,,
001Hr000028ZcnM,"Town Of Norwell, MA",Massachusetts,Municipality,Alicia Gopal,11349,,Tier 2,1.0,42.1574,-70.8179,0b9ade7e-c0f1-4eed-88f4-11f201f938f3,,,,,,,,,7,2026-04-02,,5,2,,,,,,
001Hr000028Zcnb,"Town Of Rehoboth, MA",Massachusetts,Municipality,Alicia Gopal,12687,Open Opportunity,Tier 2,1.0,41.847,-71.2394,a6dd51be-a046-40e1-9a19-8f26dc6a0873,Open,Sales Qualified,Mid Funnel,Alicia Gopal,4/22/2026,3/27/2026,,,30,2026-04-22,,27,3,,,,,,
