Account ID,Account Name,State,Entity Type,Owner,Population,Account Status,Tier,SQO Points,Lat,Lng,Starbridge Buyer ID,Opp Status,Stage,Funnel Position,Sourced By,Discovery Call Date,Created Date,ARR,Previously Lost,Total Calls,Last Call Date,Calls - Nick Martino,Calls - Leila Assil,Calls - Ben Laddis,Calls - Joe del Rosario,Calls - Jenny Allison,Calls - Quinzel Perry,Outreach ID
001Hr000028Zc2S,"City Of New Prague, MN",Minnesota,Municipality,Nick Martino,8247,,Tier 3,0.75,44.5433,-93.5761,3be0eb68-f628-44cc-9a61-6fc00451a38b,,,,,,,,,,,,,,,,,4215
001Hr000028Zc4T,"City Of Hibbing, MN",Minnesota,Municipality,Nick Martino,16077,Nurture,Tier 2,1.0,47.4272,-92.9377,30de88e7-abff-4c7b-8ba1-8a43a4187364,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,5194
001Hr000028Zc7l,"City Of Medina, MN",Minnesota,Municipality,Nick Martino,6809,,Tier 3,0.75,45.0352,-93.5825,0105b19f-1765-449a-bad6-254416b06c9f,,,,,,,,,5,2025-07-14,5,,,,,,3891
001Hr000028Zc85,"City Of Hermantown, MN",Minnesota,Municipality,Nick Martino,10211,,Tier 2,1.0,46.8069,-92.2382,d64c97a0-de90-408c-aef9-fdd0719336b2,,,,,,,,,18,2026-05-18,18,,,,,,4587
001Hr000028ZcA0,"Baldwin Township, MN",Minnesota,Municipality,Nick Martino,7077,,Tier 3,0.75,45.5016,-93.5932,31a47837-436d-4efa-8071-96445133df23,,,,,,,,,1,2025-06-18,,,,,,1,3984
001Hr000028ZcCX,"City Of Crystal, MN",Minnesota,Municipality,Nick Martino,22711,,Tier 2,1.0,45.0327,-93.3602,4d52fdef-feca-4ea2-86fd-c31f1ec06b4b,,,,,,,,,30,2026-04-21,30,,,,,,5571
001Hr000028ZcFq,"City Of Big Lake, MN",Minnesota,Municipality,Nick Martino,12198,,Tier 2,1.0,45.3325,-93.742,8179e0ba-7a88-467e-82f0-678efe3a4aa8,,,,,,,,,13,2026-05-18,13,,,,,,4767
001Hr000028ZcH5,"City Of Spring Lake Park, MN",Minnesota,Municipality,Nick Martino,7157,,Tier 3,0.75,45.1077,-93.238,80b6ccb0-b868-4df5-9612-745b5cec3a7e,,,,,,,,,1,2025-06-30,1,,,,,,3897
001Hr000028ZcIV,"City Of Edina, MN",Minnesota,Municipality,Nick Martino,53318,Open Opportunity,Tier S,2.0,44.8897,-93.3499,f34bc3c6-917a-4dce-bc96-368059d4cbf8,Open,Proposal,Mid Funnel,Nick Martino,8/13/2025,8/5/2025,"$66,000",,2,2025-08-11,2,,,,,,11718
001Hr000028ZcJJ,"City Of Winona, MN",Minnesota,Municipality,Nick Martino,25964,Open Opportunity,Tier 1,1.5,44.0554,-91.6664,00e4cdeb-4bab-4688-955a-7d76c29bf4b5,Open,Initial Interest,Top of Funnel,Nick Martino,1/16/2026,1/12/2026,,Yes,6,2026-01-12,6,,,,,,5702
001Hr000028ZcKE,"City Of Mound, MN",Minnesota,Municipality,Nick Martino,9187,,Tier 3,0.75,44.9366,-93.6661,681b24f9-1a33-4a57-899f-037bb1053439,,,,,,,,,,,,,,,,,4470
001Hr000028ZcL4,"City Of Waseca, MN",Minnesota,Municipality,Nick Martino,9241,,Tier 3,0.75,44.077,-93.5084,264486c9-3d45-4545-a590-f2f5816dccd0,,,,,,,,,5,2026-04-14,5,,,,,,4446
001Hr000028ZcLM,"City Of Morris, MN",Minnesota,Municipality,Nick Martino,5206,,Tier 3,0.75,45.5919,-95.9189,9b25f39f-88da-4e86-b9e5-e77ae7c059a8,,,,,,,,,3,2025-07-08,3,,,,,,3552
001Hr000028ZcLU,"City Of Isanti, MN",Minnesota,Municipality,Nick Martino,7064,,Tier 3,0.75,45.4894,-93.2476,63032364-95b1-42e5-9fce-66f07c993e2f,,,,,,,,,,,,,,,,,3755
001Hr000028ZcP0,"Town Of Thomson, MN",Minnesota,Municipality,Nick Martino,5557,Open Opportunity,Tier 3,0.75,46.7046,-92.341,23ba140b-ff2d-4f6b-ae62-bea2be7c4177,Open,Proposal,Mid Funnel,Granger West,6/23/2025,6/17/2025,"$21,000",,,,,,,,,,3588
001Hr000028ZcQN,"City Of Hopkins, MN",Minnesota,Municipality,Nick Martino,18573,Open Opportunity,Tier 2,1.0,44.9244,-93.4114,df65c25e-a084-42b6-b4bd-a33c156f9c17,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,1,2025-08-13,,1,,,,,5356
001Hr000028ZcRI,"City Of Rogers, MN",Minnesota,Municipality,Nick Martino,13398,Nurture,Tier 2,1.0,45.1878,-93.5525,1db26d03-1514-43e0-b32f-b174abb933d9,Closed Lost,,,Shane Lieberman,7/2/2024,1/5/2025,,,29,2025-12-09,29,,,,,,4937
001Hr000028ZcRh,"City Of Chaska, MN",Minnesota,Municipality,Nick Martino,28047,Nurture,Tier 1,1.5,44.7893,-93.6018,be7aee22-1b83-4188-8658-970b3ceeb5b5,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,8,2026-04-21,8,,,,,,5756
001Hr000028ZcRo,"City Of Little Canada, MN",Minnesota,Municipality,Nick Martino,10499,Open Opportunity,Tier 2,1.0,45.0275,-93.0898,d8190b98-9ce9-42b0-b5b8-5aeadfc55ee7,Open,Proposal,Mid Funnel,Nick Martino,1/22/2026,1/13/2026,"$29,000",,1,2026-01-13,1,,,,,,4665
001Hr000028ZcRq,"City Of Hutchinson, MN",Minnesota,Municipality,Nick Martino,14590,,Tier 2,1.0,44.8925,-94.3693,fd2d0ffa-6b12-4be4-a632-8a528e01b3f3,,,,,,,,,,,,,,,,,5050
001Hr000028ZcT4,"City Of Eden Prairie, MN",Minnesota,Municipality,Nick Martino,63161,Open Opportunity,Tier S,2.0,44.8547,-93.4708,8d2c6379-9b82-4a5e-91e8-35ead437c1e7,Open,Demo,Mid Funnel,Nick Martino,5/12/2026,5/7/2026,,Yes,16,2025-08-22,16,,,,,,11738
001Hr000028ZcTD,"City Of Ham Lake, MN",Minnesota,Municipality,Nick Martino,16905,,Tier 2,1.0,45.2502,-93.25,d98935da-5d8b-48ef-b5d1-4bb16f0fabcb,,,,,,,,,14,2025-10-08,14,,,,,,5207
001Hr000028ZcTW,"City Of Roseville, MN",Minnesota,Municipality,Nick Martino,35874,Nurture,Tier 1,1.5,45.0061,-93.1566,37dc38ab-5866-4ff1-adbb-03f5a9c55de5,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,2,2025-06-02,,,,2,,,5974
001Hr000028ZcUq,"City Of Waite Park, MN",Minnesota,Municipality,Nick Martino,8360,,Tier 3,0.75,45.5572,-94.2242,3d6a2d6e-e6f4-47b6-bda9-598f277eb4c0,,,,,,,,,,,,,,,,,4256
001Hr000028ZcWR,"City Of Corcoran, MN",Minnesota,Municipality,Nick Martino,6770,,Tier 3,0.75,45.0952,-93.5475,a19bb73e-c7b1-4ad8-8f81-56e10afcc241,,,,,,,,,,,,,,,,,3783
001Hr000028ZcY3,"City Of Albert Lea, MN",Minnesota,Municipality,Nick Martino,18428,,Tier 2,1.0,43.6478,-93.3687,49895955-956f-4081-985a-f37dfea95c41,,,,,,,,,2,2026-04-09,2,,,,,,5330
001Hr000028ZcYq,"City Of Mendota Heights, MN",Minnesota,Municipality,Nick Martino,11665,Open Opportunity,Tier 2,1.0,44.8836,-93.1383,2b502425-d91e-48c0-9e1d-25c1bb79b319,Open,Meeting Booked,Top of Funnel,Nick Martino,3/18/2026,3/11/2026,,,24,2026-03-11,24,,,,,,4781
001Hr000028ZcZH,"City Of Jordan, MN",Minnesota,Municipality,Nick Martino,6777,,Tier 3,0.75,44.6712,-93.6294,388301ee-dd1c-413d-9ba8-a3329d4916af,,,,,,,,,1,2025-07-01,1,,,,,,3829
001Hr000028ZcaN,"City Of St Paul Park, MN",Minnesota,Municipality,Nick Martino,5486,,Tier 3,0.75,44.8348,-92.9926,15227e91-2324-4c7c-9456-08450663a827,,,,,,,,,12,2026-05-11,12,,,,,,3575
001Hr000028Zcas,"City Of Fairmont, MN",Minnesota,Municipality,Nick Martino,10410,,Tier 2,1.0,43.6522,-94.4611,edb2199a-2f59-4989-b5ff-c4c985b7125c,,,,,,,,,39,2026-05-08,39,,,,,,4634
001Hr000028Zcd1,"City Of St Joseph, MN",Minnesota,Municipality,Nick Martino,6932,,Tier 3,0.75,45.5648,-94.318,9b23940d-5115-4617-ac10-31410dee6ce6,,,,,,,,,,,,,,,,,4082
001Hr000028ZcdX,"City Of Bemidji, MN",Minnesota,Municipality,Nick Martino,15279,Nurture,Tier 2,1.0,47.4716,-94.8827,8d05ad4c-9466-4ebe-af4c-4e0893001554,Closed Lost,,,Shane Lieberman,6/27/2024,1/5/2025,,,5,2026-03-19,5,,,,,,5101
001Hr000028Zcdl,"City Of North St Paul, MN",Minnesota,Municipality,Nick Martino,12608,,Tier 2,1.0,45.0125,-92.9919,a460bb6a-6901-460d-aa0b-d183a4ad00d7,,,,,,,,,2,2025-08-21,2,,,,,,4852
001Hr000028ZceN,"City Of Montevideo, MN",Minnesota,Municipality,Nick Martino,5292,,Tier 3,0.75,44.941,-95.7236,6a4eaa99-8392-4836-ba14-a53741be9029,,,,,,,,,,,,,,,,,3465
001Hr000028ZceU,"City Of International Falls, MN",Minnesota,Municipality,Nick Martino,5718,Nurture,Tier 3,0.75,48.6023,-93.4041,3e90f735-eb1f-4103-ab50-cc0c62996130,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,3716
001Hr000028ZceX,"City Of La Crescent, MN",Minnesota,Municipality,Nick Martino,5274,,Tier 3,0.75,43.8265,-91.3036,0f26ee2c-447c-4ca7-9f9c-86d528d3bcbb,,,,,,,,,8,2025-07-17,8,,,,,,3490
001Hr000028Zcem,"City Of Chisago City, MN",Minnesota,Municipality,Nick Martino,5649,Nurture,Tier 3,0.75,45.3736,-92.8899,ba19d5ce-0b67-43f0-b5c2-e97096dff8c2,Closed Lost,,,Shane Lieberman,7/15/2024,1/5/2025,,,,,,,,,,,3494
001Hr000028ZcfA,"City Of Robbinsdale, MN",Minnesota,Municipality,Nick Martino,14245,Nurture,Tier 2,1.0,45.0322,-93.3386,3690e060-dd55-4103-bc64-94913290e30c,Closed Lost,,,Shane Lieberman,7/22/2024,1/5/2025,,,3,2025-09-23,3,,,,,,5054
001Hr000028ZcfQ,"Township Of Linwood, MN",Minnesota,Municipality,Nick Martino,5335,,Tier 3,0.75,45.3519,-93.0795,a4a35f02-9aff-4725-b766-9db55a640024,,,,,,,,,1,2025-06-30,1,,,,,,3551
001Hr000028ZcfX,"City Of Champlin, MN",Minnesota,Municipality,Nick Martino,23478,Nurture,Tier 2,1.0,45.1889,-93.3975,5394b9ca-8578-440c-81fe-c990304c39d5,Closed Lost,,,Shane Lieberman,6/10/2024,1/5/2025,,,,,,,,,,,5602
001Hr000028Zcfn,"City Of Baxter, MN",Minnesota,Municipality,Nick Martino,8830,,Tier 3,0.75,46.3484,-94.2686,820a18a0-b7d2-40b4-91eb-94d7df14ff6a,,,,,,,,,,,,,,,,,4319
001Hr000028Zcg9,"City Of Glencoe, MN",Minnesota,Municipality,Nick Martino,5710,,Tier 3,0.75,44.769,-94.1518,b1e8dea7-e6ac-463c-9e8e-2f52106b87b8,,,,,,,,,,,,,,,,,3596
001Hr000028ZcgJ,"City Of Carver, MN",Minnesota,Municipality,Nick Martino,6401,,Tier 3,0.75,44.7634,-93.6254,03bdc8ee-3e7c-491c-acb6-898e61818d24,,,,,,,,,5,2025-12-17,5,,,,,,3583
001Hr000028ZcgZ,"City Of Shorewood, MN",Minnesota,Municipality,Nick Martino,7728,,Tier 3,0.75,44.9012,-93.5847,b64e0fa2-542a-4cba-b0c8-2268eebaa62d,,,,,,,,,5,2025-07-08,5,,,,,,4157
001Hr000028Zcgi,"City Of Byron, MN",Minnesota,Municipality,Nick Martino,6546,Nurture,Tier 3,0.75,44.0327,-92.6455,7eddac80-9357-4733-8a52-251c74515ddf,Closed Lost,,,Nick Martino,7/3/2025,6/30/2025,"$21,000",,1,2025-06-30,1,,,,,,3611
001Hr000028Zcgm,"City Of Grand Rapids, MN",Minnesota,Municipality,Nick Martino,11220,Open Opportunity,Tier 2,1.0,47.237,-93.5283,c14ec73d-d9b4-46a7-8c6f-05ed283af848,Open,Proposal,Mid Funnel,Nick Martino,10/30/2025,10/24/2025,"$35,000",,18,2025-10-24,18,,,,,,4701
001Hr000028Zcgr,"City Of Mounds View, MN",Minnesota,Municipality,Nick Martino,12946,,Tier 2,1.0,45.105,-93.2086,e0b8228f-aae4-41dc-a265-3bfd20d40ef7,,,,,,,,,7,2026-05-18,7,,,,,,4938
001Hr000028Zch7,"City Of Falcon Heights, MN",Minnesota,Municipality,Nick Martino,5227,Nurture,Tier 3,0.75,44.9916,-93.1663,62c3f796-8dcf-49f7-b729-a7e315831d8f,Closed Lost,,,Shane Lieberman,7/8/2024,1/5/2025,,,,,,,,,,,3620
001Hr000028ZchO,"City Of Minnetrista, MN",Minnesota,Municipality,Nick Martino,8557,,Tier 3,0.75,44.9383,-93.7177,c744bc31-5e1b-4f00-84cc-9ec8e2f97e19,,,,,,,,,,,,,,,,,4249
001Hr000028Zche,"City Of New Ulm, MN",Minnesota,Municipality,Nick Martino,14096,Nurture,Tier 2,1.0,44.3144,-94.4593,36f8eb65-ac56-41fb-9719-3b97c790d867,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,5010
001Hr000028Zci0,"City Of Zimmerman, MN",Minnesota,Municipality,Nick Martino,6395,,Tier 3,0.75,45.4433,-93.5936,916d6d93-f7cd-4579-8ebb-1f8ed694e003,,,,,,,,,,,,,,,,,3694
001Hr000028Zci9,"City Of Otsego, MN",Minnesota,Municipality,Marykate McCarthy,21401,1+ Module Live,Tier 2,1.0,45.2741,-93.5914,c8d04b1b-5958-406a-9d9a-b8e3a7e125ac,Closed Won,,,Joe del Rosario,2/19/2025,1/16/2025,"$25,000",,,,,,,,,,5400
001Hr000028Zcia,"City Of Orono, MN",Minnesota,Municipality,Nick Martino,8212,Nurture,Tier 3,0.75,44.9714,-93.6044,b65f4d49-fe01-4d51-af1c-250bc0276c3a,Closed Lost,,,Liam Shaw,11/6/2024,1/5/2025,,,35,2026-03-09,29,,,6,,,4258
001Hr000028Zcim,"City Of Vadnais Heights, MN",Minnesota,Municipality,Nick Martino,12623,,Tier 2,1.0,45.0506,-93.0693,c310249e-1f67-49dc-b1aa-e6ab91b8e6ed,,,,,,,,,8,2026-05-18,8,,,,,,4917
001Hr000028ZcjN,"City Of Stewartville, MN",Minnesota,Municipality,Nick Martino,6759,,Tier 3,0.75,43.8555,-92.4885,76a71ea8-f649-4dc2-a214-bb391b2f81af,,,,,,,,,13,2025-10-23,13,,,,,,3789
001Hr000028Zcje,"City Of Mahtomedi, MN",Minnesota,Municipality,Nick Martino,8075,,Tier 3,0.75,45.0697,-92.9516,c59dc3d7-e15a-4550-b68e-4f39844aa708,,,,,,,,,,,,,,,,,4210
001Hr000028Zcjf,"City Of North Mankato, MN",Minnesota,Municipality,Nick Martino,14448,Open Opportunity,Tier 2,1.0,44.1733,-94.0338,45bf85cd-6b09-4689-9a32-0dcea3dfd1d8,Open,Meeting Booked,Top of Funnel,Nick Martino,5/13/2026,5/8/2026,,,5,2026-05-08,5,,,,,,5037
001Hr000028ZckW,"City of St. Francis, MN",Minnesota,Municipality,Nick Martino,8099,,Tier 3,0.75,45.3975,-93.3879,7128a0a7-f3d5-4329-888e-a31ac64af926,,,,,,,,,,,,,,,,,4221
001Hr000028ZckY,"Township Of White Bear, MN",Minnesota,Municipality,Nick Martino,10742,,Tier 2,1.0,45.0961,-93.021,b2a86ea2-5fd7-4b7b-8e22-aee887a9d0e2,,,,,,,,,,,,,,,,,4697
001Hr000028Zckn,"City Of Maplewood, MN",Minnesota,Municipality,Nick Martino,40940,Open Opportunity,Tier 1,1.5,44.953,-92.9952,128f4029-a275-4b13-81b1-fe51f39bc0d4,Open,Initial Interest,Top of Funnel,Ben Laddis,,2/13/2026,,,21,2026-02-25,14,,7,,,,6064
001Hr000028Zcl7,"City Of Belle Plaine, MN",Minnesota,Municipality,Nick Martino,7444,,Tier 3,0.75,44.623,-93.7684,7033b13f-aa30-439a-81e3-7cf1ea08ceee,,,,,,,,,,,,,,,,,4043
001Hr000028ZclP,"City Of Albertville, MN",Minnesota,Municipality,Nick Martino,7970,Nurture,Tier 3,0.75,45.2312,-93.6688,bd313f4b-c243-4bf0-89b7-8a2cb84dbc83,Closed Lost,,,Liam Shaw,11/18/2024,1/5/2025,,,1,2025-05-29,,,,1,,,4162
001Hr000028Zcn6,"City Of Dayton, MN",Minnesota,Municipality,Nick Martino,8226,Open Opportunity,Tier 3,0.75,45.2439,-93.515,aa61a0cb-8688-4089-b5ba-d44581548104,Open,Meeting Booked,Top of Funnel,Nick Martino,4/13/2026,4/2/2026,,,8,2026-05-19,8,,,,,,4029
001Hr000028ZcnH,"City Of South St Paul, MN",Minnesota,Municipality,Nick Martino,20536,,Tier 2,1.0,44.876,-93.0276,9eea95c8-68ed-4680-9534-47b4ccf07b1d,,,,,,,,,13,2025-09-15,13,,,,,,5459
001Hr000028Zco5,"City Of Oak Grove, MN",Minnesota,Municipality,Nick Martino,9058,,Tier 3,0.75,45.3408,-93.3269,51355030-3a16-4332-8a62-e6e00da08f24,,,,,,,,,8,2025-07-29,8,,,,,,4376
001Hr000028Zcoa,"City Of Anoka, MN",Minnesota,Municipality,Nick Martino,17847,Nurture,Tier 2,1.0,45.1977,-93.3872,3760c988-46f3-4d3e-a467-606e40117377,Closed Lost,,,Asher Rosenfeld,,1/5/2025,,,13,2025-09-08,13,,,,,,5290
001Hr000028Zcoh,"City Of Crookston, MN",Minnesota,Municipality,Nick Martino,7315,Nurture,Tier 3,0.75,47.7746,-96.6094,cd36b0a1-81ca-42b8-b247-3730a8fa1c10,Closed Lost,,,Shane Lieberman,7/25/2024,1/5/2025,,,6,2025-11-07,6,,,,,,4097
001Hr000028ZcpN,"City Of Little Falls, MN",Minnesota,Municipality,Nick Martino,9061,,Tier 3,0.75,45.9806,-94.3694,af8f29ce-1bb3-4ef0-95fe-0b59f4a42b4b,,,,,,,,,3,2025-07-01,3,,,,,,4408
001Hr000028ZcpY,"City Of Chanhassen, MN",Minnesota,Municipality,Nick Martino,26037,,Tier 1,1.5,44.862,-93.5323,785c7370-ea97-49a8-a192-c79413479178,,,,,,,,,,,,,,,,,5684
001Hr000028ZcqE,"City Of Wyoming, MN",Minnesota,Municipality,Nick Martino,8063,,Tier 3,0.75,45.3375,-92.9981,15e4a395-49a4-4b79-a321-2f50721ec46a,,,,,,,,,,,,,,,,,4195
001Hr000028Zcrm,"City Of Arden Hills, MN",Minnesota,Municipality,Nick Martino,9637,Nurture,Tier 3,0.75,45.0502,-93.1566,981c5793-8ee6-4687-a829-1b52a385148a,Closed Lost,,,Shane Lieberman,7/12/2024,1/5/2025,,,27,2026-05-19,27,,,,,,4544
001Hr000028ZcsO,"City Of Hugo, MN",Minnesota,Municipality,Nick Martino,16109,Nurture,Tier 2,1.0,45.16,-92.9933,1a8e90c5-4685-4684-89e0-5638cd94594a,Closed Lost,,,Joe del Rosario,4/14/2025,3/25/2025,,,15,2026-02-23,15,,,,,,5159
001Hr000028ZcsT,"City Of Faribault, MN",Minnesota,Municipality,Nick Martino,24420,,Tier 2,1.0,44.295,-93.2688,5643a871-2322-4d08-b8ee-24b32ad2f5f6,,,,,,,,,,,,,,,,,5622
001Hr000028ZcsV,"City Of Alexandria, MN",Minnesota,Municipality,Nick Martino,14382,,Tier 2,1.0,45.8848,-95.3777,4dc65903-85fd-4f49-b6e1-92f9ec3c171a,,,,,,,,,4,2025-08-28,4,,,,,,5007
001Hr000028Zcu1,"City Of East Grand Forks, MN",Minnesota,Municipality,Nick Martino,9079,,Tier 3,0.75,47.9312,-97.0093,4377c51b-928b-4743-ba3b-e0f4019df0f8,,,,,,,,,,,,,,,,,4430
001Hr000028Zcu7,"City Of Cambridge, MN",Minnesota,Municipality,Nick Martino,9915,,Tier 3,0.75,45.5657,-93.2259,2bf908f2-48c8-4750-b486-16387c7ac95d,,,,,,,,,,,,,,,,,4487
001Hr000028ZcuG,"City Of St Anthony Village, MN",Minnesota,Municipality,Nick Martino,9007,,Tier 3,0.75,45.0206,-93.2179,bc574432-5cfc-4edc-af5f-913bbf0ee9b6,,,,,,,,,,,,,,,,,4432
001Hr000028Zcuj,"City Of Andover, MN",Minnesota,Municipality,Nick Martino,32926,Open Opportunity,Tier 1,1.5,45.2333,-93.2913,49a64f5d-4d0e-43f0-a256-86df4519af86,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,5908
001Hr000028Zcut,"City Of Austin, MN",Minnesota,Municipality,Briana Maibaum,26225,All Modules Live,Tier 1,1.5,43.6666,-92.9746,f56fd706-e3fe-44e7-b88e-5c7402615a1b,Closed Won,,,Asher Rosenfeld,6/18/2024,1/5/2025,"$7,500",,,,,,,,,,5697
001Hr000028ZcvX,"City Of Worthington, MN",Minnesota,Municipality,Nick Martino,13726,,Tier 2,1.0,43.6211,-95.5941,41c27d2c-4dde-4631-a3f9-dc8e16a7e320,,,,,,,,,4,2026-05-13,4,,,,,,4993
001Hr000028Zcwc,"City Of Victoria, MN",Minnesota,Municipality,Nick Martino,11042,Nurture,Tier 2,1.0,44.8587,-93.6615,7f80a42e-2451-48c1-ad80-a9336991ed4d,Closed Lost,,,Nick Martino,11/3/2025,8/25/2025,"$16,000",,25,2025-09-08,25,,,,,,4620
001Hr000028Zcx9,"City Of Lino Lakes, MN",Minnesota,Municipality,Nick Martino,21608,,Tier 2,1.0,45.1602,-93.0888,cc8a4c13-8a02-4b5d-9455-c013159323c7,,,,,,,,,14,2026-05-18,14,,,,,,5480
001Hr000028Zcxp,"City Of Lake Elmo, MN",Minnesota,Municipality,Nick Martino,12899,,Tier 2,1.0,44.9958,-92.8794,35e0797c-3cad-46ee-8342-dccbc657c8d8,,,,,,,,,,,,,,,,,4730
001Hr000028Zcxw,"City Of Oakdale, MN",Minnesota,Municipality,Nick Martino,27974,,Tier 1,1.5,44.963,-92.9649,d9dc1c29-01c4-40d3-96de-f14c208d02d8,,,,,,,,,3,2025-08-14,3,,,,,,5776
001Hr000028Zcyt,"City Of Cloquet, MN",Minnesota,Municipality,Nick Martino,12686,,Tier 2,1.0,46.7218,-92.4612,72e41923-e2da-420a-b2ba-9ad747198f7d,,,,,,,,,19,2025-10-07,19,,,,,,4877
001Hr000028Zcyx,"City Of Waconia, MN",Minnesota,Municipality,Nick Martino,13071,,Tier 2,1.0,44.8504,-93.7876,29e272bf-d55e-45c9-8eea-0d97619e4ed9,,,,,,,,,20,2025-10-06,20,,,,,,4903
001Hr000028Zczp,"City Of St Peter, MN",Minnesota,Municipality,Nick Martino,11707,Open Opportunity,Tier 2,1.0,44.3259,-93.9557,9a3e08a0-62ea-46f7-bade-12a66a6f75e4,Open,Initial Interest,Top of Funnel,,,1/5/2025,,,,,,,,,,,4784
001Hr000028Zd0Q,"City Of Brainerd, MN",Minnesota,Municipality,Nick Martino,14255,,Tier 2,1.0,46.3527,-94.202,c787e2aa-88f3-46b2-8e6a-da1c561f1b43,,,,,,,,,5,2026-05-13,5,,,,,,5012
001Hr000028Zd0T,"City Of East Bethel, MN",Minnesota,Municipality,Nick Martino,12038,Open Opportunity,Tier 2,1.0,45.3194,-93.2024,499e0a98-880a-484a-9bc8-93a49c345e2b,Open,Initial Interest,Top of Funnel,Asher Rosenfeld,,1/5/2025,,,,,,,,,,,4803
001Hr000028Zd1U,"City Of West St Paul, MN",Minnesota,Municipality,Nick Martino,20822,,Tier 2,1.0,44.9161,-93.1016,9a4be49a-3778-469b-91da-2ca06c32c749,,,,,,,,,18,2025-09-04,18,,,,,,5450
001Hr000028Zd2E,"City Of Ramsey, MN",Minnesota,Municipality,Nick Martino,28202,,Tier 1,1.5,45.2611,-93.45,d34950fb-f044-43bf-b105-1802f1aa9587,,,,,,,,,3,2025-08-27,3,,,,,,5751
001Hr000028Zd2G,"City Of Monticello, MN",Minnesota,Municipality,Nick Martino,14564,Open Opportunity,Tier 2,1.0,45.3055,-93.7941,9d696208-2856-4762-bdf0-a13398172b6a,Open,Initial Interest,Top of Funnel,Granger West,1/21/2025,1/5/2025,,,,,,,,,,,5023
001Hr000028Zd3W,"City Of Golden Valley, MN",Minnesota,Municipality,Nick Martino,21942,,Tier 2,1.0,44.9917,-93.36,e08be883-bed9-4185-899d-f11b3963449d,,,,,,,,,20,2025-09-15,20,,,,,,5529
